00-00	PANDAIGDIG NA PAGPAPAHAYAG NG MGA KARAPATAN NG TAO
00-01	Sapagkat ang pagkilala sa katutubong karangalan at sa pantay at di-maikakait na mga karapatan ng lahat ng nabibilang sa angkan ng tao ay siyang saligan ng kalayaan, katarungan at kapayapaan sa daigdig.
00-02	Sapagkat ang pagwawalang-bahala at paglalapastangan sa mga karapatan ng tao ay nagbunga ng mga gawang di-makatao na humamak sa budhi ng sangkatauhan, at ang pagdatal ng isang daigdig na ang mga tao ay magtatamasa ng kalayaan sa pagsasalita at ng kaligtasan sa pangamba at pagdaralita ay ipinahayag na pinakamataas na mithiin ng mga karaniwang tao.
00-03	Sapagkat mahalaga, kung ang tao ay di-pipiliting manghawakan bilang huling magagawa, sa paghihimagsik laban sa paniniil at pang-aapi, na ang mga karapatan ng tao'y mapangalagaan sa pamamagitan ng paghahari ng batas.
00-04	Sapagkat mahalagang itaguyod ang pagpapaunlad ng mabuting pagsasamahan ng mga bansa.
00-05	Sapagkat ang mga mamamayan ng Mga Bansang Nagkakaisa ay nagpatibay sa Karta ng kanilang pananalig sa mga Saligang karapatan ng tao, sa karangalan at kahalagahan ng pagkatao at sa pantay na mga karapatan ng mga lalaki at babae at nagpapasiyang itaguyod ang kaunlarang panlipunan at lalong mabubuting pamantayan ng buhay sa lalong malaking kalayaan.
00-06	Sapagkat ang mga Kasaping Estado ay nangako sa kanilang sarili na tamuhin sa pakikipagtulungan sa mga Bansang Nagkakaisa, ang pagtataguyod ng pandaigdig na paggalang at pagtalima sa mga karapatan ng tao at mga saligang kalayaan.
00-07	Sapagkat lubhang mahalaga ang pagkakaunawa ng lahat sa mga karapatan at kalayaang ito at lubhang mahalaga sa ganap na pagsasakatuparan ng mga pangakong ito.
00-08	Ngayon, Samakatuwid,
00-09	Ang Pangkalahatang Kapulungan
00-10	ay nagpapahayag ng
00-11	Pandaigdig na Pagpapahayag na ito
00-12	ng mga Karapatan ng Tao
00-13	bilang pangkalahatang pamantayang maisasagawa para sa lahat ng tao at bansa, sa layuning ang bawat tao at bawat galamay ng lipunan, na laging nasa isip ang Pahayag na ito, ay magsikap sa pamamagitan ng pagtuturo at edukasyon na maitaguyod ang paggalang sa mga karapatan at kalayaang ito at sa pamamagitan ng mga hakbang na pagsulong na pambansa at pandaigdig, ay makamtan ang pangkalahatan at mabisang pagkilala at pagtalima sa mga ito, maging ng mga mamamayan ng mga Kasaping Estado at ng mga mamamayan ng mga teritoryo na nasa ilalim ng kanilang nasasakupan.
01-00	Artikulo 1
01-01	Ang lahat ng tao'y isinilang na malaya at pantay-pantay sa karangalan at mga karapatan. Sila'y pinagkalooban ng katwiran at budhi at dapat magpalagayan ang isa't isa sa diwa ng pagkakapatiran.
02-00	Artikulo 2
02-01	Ang bawat tao'y karapat-dapat sa lahat ng karapatan at kalayaang nakalahad sa Pahayag na ito, nang walang ano mang uri ng pagtatangi, gaya ng lahi, kulay, kasarian, wika, relihiyon, kuro-kurong pampulitika o iba pa, pinagmulang bansa o lipunan, ari-arian, kapanganakan o iba pang katayuan.
02-02	Bukod dito, walang pagtatanging gagawin batay sa katayuang pampulitika, hurisdiksiyunal o pandaigdig na kalagayan ng bansa o teritoryong kinabibilangan ng isang tao, maging ito ay nagsasarili, itinitiwala, di-nakapamamahala sa sarili o nasa ilalim ng ano mang katakdaan ng soberanya.
03-00	Artikulo 3
03-01	Ang bawat tao'y may karapatan sa buhay, kalayaan at kapanatagan ng sarili.
04-00	Artikulo 4
04-01	Walang sino mang aalipinin o bubusabusin; ipagbabawal ang ano mang anyo ng pang-aalipin at ang pangangalakal ng alipin.
05-00	Artikulo 5
05-01	Walang sino mang pahihirapan o lalapatan ng malupit,di-makatao o nakalalait na pakikitungo sa parusa.
06-00	Artikulo 6
06-01	Ang bawat tao'y may karapatang kilalanin saan mang dako bilang isang tao sa harap ng batas.
07-00	Artikulo 7
07-01	Ang lahat ay pantay-pantay sa harap ng batas at may karapatan sa walang pagtatangi ng pangangalaga ng batas. Ang lahat ay may karapatan sa pantay na pangangalaga laban sa ano mang pagtatangi-tanging nalalabag sa Pahayag na ito at laban sa ano mang pagbubuyo sa gayong pagtatangi-tangi.
08-00	Artikulo 8
08-01	Ang bawat tao'y may karapatan sa mabisang lunas ng karampatang mga hukumang pambansa tungkol sa mga gawang lumalabag sa pangunahing mga karapatan na ipinagkaloob sa kanya ng saligang batas o ng batas.
09-00	Artikulo 9
09-01	Walang sino mang ipaiilalim sa di-makatwirang pagdakip, pagpigil o pagpapatapon.
10-00	Artikulo 10
10-01	Ang bawat tao'y may karapatan sa ganap na pagkakapantay-pantay, sa isang makatarungan at hayag na paglilitis ng isang hukumang malaya at walang kinikilingan, sa pagpapasiya ng kanyang mga karapatan at panangutan at sa ano mang paratang na kriminal laban sa kanya.
11-00	Artikulo 11
11-00	Ang bawat taong pinararatangan ng pagkakasalang pinarurusahan ay may karapatang ituring na walang-sala hanggang di-napatutunayang nagkasala alinsunod sa batas sa isang hayag na paglilitis na ipinagkaroon niya ng lahat ng garantiyang kailangan sa kanyang pagtatanggol.
