00-00	INSONI HEXON BAREDE UMUMIYE BEYONNOME
00-01	Be insoni avlodon hemmey xasbie leyogete fikfamon iyen sevon beroberbie, yendiku conibe hexon zine - ozodeti, edoleti iyen sulhbeyeti esosine shertbe be neze seede;
00-02	Be insoni hexon beitoneti iyen nifret kardeeti besheriyyeti be dehshetvarde barbarizmi sebeb be, hemsinin be sixankarde, etiqadbaste ozodeti malikbie, tarsiku, ehtijociku ozodbie dinyo ofeyemoneti si besheriyyeti en ali piyeybe be neze seede;
00-03	Insoni be zilmi-istibdodi veyne bene oxone vasite be giyom eshte mecbur nibe temin kayro insoni hexon de ganuni hukumeti dasti midafie karde zeruribe be neze seede;
00-04	Xelgon arede mehribane munasibeton oko dastek doy vacibeti be neze seede;
00-05	Ibie Milleton xalqon Ibie Milleton Teshkilati (IMT) Nizomnomede be esosine insoni hexon, be insoni shexsiyyeti leyogeti iyen giymeti, merdon-jenon hexon berobereti bove kay tesdig karde, hemsinin heniyen hevuje ozodeti sheraitede be sosiale tereggi nailbe iyen bo jimoni sheraiti sokbeyo komeq karde be qetm doe be be neze seede;
00-06	Uzvbie devleton de IMT hemkoeti sheraitede be insoni hexon iyen esosine ozodetiyon bemel vardero komeqeti karde beshte ehde peqeteeti be neze seede;
00-07	In hexon iyen ozodetiyon tam derk kardeyo hemone ehdepeqeteyon be vire rosniye yole ehemiyyet kesb kardeeti be neze seedey;
00-08	IMT Pene Meclis
00-09	beyon kardede Insoni Hexon barede Umumiye Beyonnome qeley vezife teki, eseyen be vire rese qore bepe hemme milleton iyen devleton jogo cehd biken ki, har kes iyen cemiyyeti har qile orqan in Beyonnome ishte dastede rehber qete esosde maarifvoneti ya de tedrise roy be in hexon iyen ozodetiyon hurmetkarde iyen evoni temin kayro dastek be bizno, milli iyen beynelxalqe seviyyede de tereqqipervere tedbiron roy hem IMT uzvbie xelgon, hemen sevon yuristiksiye jiyobie eraziyonede jiye xelgon arede hemmeyevo iyen effektiv zine bibu.
01-00	Madde 1
01-01	Hemme insonon beshte leyogeti iyen hexonro ozod iyen berober movarde beden. Sevon shuur iyen vicdon hese, eve ki, deyendi minasibetede bene bive reftor kardeninin.
02-00	Madde 2
02-01	Har qile shexs ishte irqi, pusti ranqi, cinsi, zivoni, dini iyen co egide, milli ya sosial sevoni, emlake, sosiale movqe iyen co veziyyetiku beshikre nibe in Beyonnomede elon karde bie hemme hexon iyen ozodetiyon malik benine.
02-02	Simiku ziode, si hemine shexsi mensubbie memleketi ya erazi, si erazi mistegileti, geyyumeti jiyobe, ishtenidarenibe be ya suvereneti har cure shiklede mehdud beku beshikre nibe, siyasiye, hugugiye iyen beynelxalge statusiku be nav ome co-sesinetiyon barde ebini.
03-00	Madde 3
03-01	Har shexsi bo jiye, bo ozodeti iyen shexsi dastnijeneti hexish hese.
04-00	Madde 4
04-01	His kes bene kole (noke) ya shikre veziyyetede ogete ebini; guldoreti iyen gule hiriyemon hemmey formonde gedegen karde bede.
05-00	Madde 5
05-01	His kes be ezobi, ya geddore, sey leyogeti be ji varde geyri-insone minesibeton, be cezoon meruz nibenine.
06-00	Madde 6
06-01	Har qile shexs konco bede bibu ishte hexe subyekteti zineyeti hexish heste .
07-00	Madde 7
07-01	Hemme insonon ganuni vede beroberin iyen qanuni terefiku berober shiklede ishteni midafie hexjon hestishone. Hemme insonon in Beyonnome decvoniye har cure co-vijniyetionku, be jelevone co-vijniyetion har cure cehdiku berober shiklede midafie hexjon hestishone.
08-00	Madde 8
08-01	Har qile shexsi Konstitusiye ya ganuni bey doe hexon decvoniye vaxtede selohiyetine milliye mehkemon terefiku ishte hexon midafie karde hexish heste.
09-00	Madde 9
09-01	His kes ishtenbese be hebs, bo qete ya be kusovne meruz mande ezini.
10-00	Madde 10
10-01	Har qile shexsi sey hex iyen vezlfon teyin kardeyo iyen beyo hande bie cinoyete ittihomon esosin be mieyyen kardeyo, besey koy mistegile, biterefe mehkemede tam berobereti esasede, de oshkoeti iyen si edoleti hemmey telebon sesh karde sheraitede diye kay hexish heste.
11-00	Madde 11
11-01	Cinayet kardeede ittihombie har qile shexs tove sey qino besey midafieyo hemme imkonon teminbie oje mehkeme istintagede de ganuniye ro sibut be, beqino hisobbe hexish heste.
11-02	His qile shexs de milliye ganundoeti iyen de beynelxalge hexon esosi bino be vaxt cinoyet hisob nibe hereket iyen behereketon qore cinoyetede ittihom be ezini. Hemsinin bey cinoyeti karde vaxtede tetbig bey zine cezoku qone cezo tetbig bey ezini.
12-00	Madde 12
12-01	His qile shexs be shexsiye, xeyzone midaxile, ke-be eneqiniyeti, beyendi mektub nivishte nunekiliyeti, beshte sherefi iyen nufuzi ishtenbese gesdi meruz be ezini. Har kesi be jogo midaxile iyen gesdi si ganuni terefiku midafie bey hexish heste.
13-00	Madde 13
13-01	Har qile shexsi har qile memleketi hududede serbest hereket karde iyen jimone vire sesiniye hexish heste.
13-02	Har kesi ishten olken daxil be sherti har qile memleket terk karde iyen beshte olke oqarde hexish heste.
14-00	Madde 14
14-01	Har qile shexsi teqibiku co memleketede boshteno penohqo neve, hemsinin si penohqoede istifade karde hexish heste.
14-02	Si hexede hegigeten be geyri-siyasiye cinayeton ro doede, ya be IMT-i megsedon iyen prinsipon zidd hereketonku be nav ome tegibon vaxti istifade karde ebini.
15-00	Madde 15
15-01	Har qele shexsi vetendosheti hexish heste.
15-02	His kes ishtenbese vetendoshetiku, iyen vetendosheti deqishkarde hexeku mehrum karde ebini.
16-00	Madde 16
16-01	Be peresemone sini rese merdon iyen jenon irqiye, milliye, diniye elometon qore his qile mehdudiyyet nibey be nikah daxilbe iyen kexivandbe hex histeshone. Evon be nikah daxil beede, nikahi middetede ya sey decvone vaxtede si eyni hexonku istifode kardeden.
16-02	Nikah be nikahi daxil bie har diqle teref ozode iyen tam rozi beede debaste bede.
16-03	Xeyzon si cemiyyeti tebiie iyen serqrupe vahide, sey si cemiyyeti iyen devleti terefiku midafiebey hexish heste.
17-00	Madde 17
17-01	Har qile shexsi hem coline, hemen de co keson be ico milkiyet xivandbey hexish heste.
17-02	His kesi ishtenbese si milkiyeto mehrum karde ebini.
18-00	Madde 18
18-01	Har qile shexsi fikir, vicdon iyen din ozodeti hexish heste. Bi hexe ishte dini iyen etigati deqish karde ozodeti, beshte dini iyen bove kardeyon tehsil, divo kay, dini iyen rituale ayinon icro kay vaxti coline, ya de cokeson be ico, oshko ya ferdi shikilede etigad kay daxile.
19-00	Madde 19
19-01	Har qile shexsi egide iyen ey serbest ifade karde ozodetish heste; bi hexe be manee be egide malikbe iyen informasiyon ya ideyaon devleti serhediku be shikre nibe de dilipiye vasiteon neve, ya be dast varde, pevilo kay ozodeti daxile.
20-00	Madde 20
20-01	Har qile shexsi be dinc yigincagon iyen assosasiyon ozodeti hexish heste.
20-02	His kesi be konse qile assosiasiya uzveti mecbur karde ebini.
21-00	Madde 21
21-01	Har qile shexsi devleti idare kardeede ya bilavasite, ya ozode shikilede vijniyebie numayendon vasite ishtirak kay hexish heste.
21-02	Har qile shexsi ishte olkede devleti idaronede xidmet kardeyo be berober imkoni hexish heste.
21-03	Xelgi irade si iqtidare hakimiyeti esas benine; In irade ishteni de nunekile sedodoymone roy, umumiye iyen berobere vijoniye hexe, ya sedodoymone ozodeti temin bike de co eynimeneyne formeyon devoniye bie mitemadi iyen soxte nikardemone vijinon nisho doenine.
22-00	Madde 22
22-01	Har qile shexsi si cemiyeti uzv teki sosiale midafiesh benine iyen de milliye ya beynelxelge hemkoeti roon, har devleti soxtemoni iyen pesurson dairede sey leyogeti midafie iyen shexsiyeti ozode ovciyo iqtisadiye, sosiale iyen medeniye sahonede hexonish heste.
23-00	Madde 23
23-01	Har qile shexsi de zehmeti dastko bey, serbeste koy vire sesin karde, edoletine iyen soke ko sheraiti bey, iyen bekoetiku midafie bey hexish heste.
23-02	Har qile shexsi his qile co-vijniyeti nibie bo i cure koy i cure zehmethex sey hexish heste.
23-03	Har kobike shexsi beshte koy qore lozim beede de co sosiale midafie vasiton temom bie, sey ishteni iyen xeyzoni loyigine quzoroni teminbike edaletine iyen qenoetbexshe maash sey hexish heste.
23-04	Har qile shexsi hemkaron ittifog soxte iyen ishte sosiale maragon midafie kardeyo be hemkaron ittifagi uzvbey hexish heste.
24-00	Madde 24
24-01	Har qile shexsi istirohet, iyen asude vaxt, hemsinin koye ruji beagilnishte hudud, iyen maash doe bie mitemadiye mezuniyeti hexish heste.
25-00	Madde 25
25-01	Har qile shexsi ishteni iyen xeyzoni sehheti iyen rifahi temin kardeyo lozimbie hardemon, takanemon, tibbiye xidmet, iyen lozimi sosiale teminaten daxilbie jimone seviyye iyen bekoreti, noxesheti, elileti, veve mandeeti, pibeyeti, iyen si shexsi ishteniku be shikrenibe sebebonku jimone vasiteon qin kardeede be teminati hexish heste.
25-02	Moeti iyen hirdeneti be mexsusiye geydi iyen komeq sey hexish heste. Nikohi sekishtede, ya nikohiku bekeno movardebie hirdenon i cure sosiale midafieku istifade kardeninin.
26-00	Madde 26
26-01	Har qile shexsi tehsil sey hexish heste. Kami ibtidai iyen umumiye tehsil bepul benine. Ibtidaiye tehsil icbari benine. Har kesi bo texnikiye iyen pishe tehsili seyo imkanish benine. Ali tehsilen de har kesi gabiliyyeti be hemmey i cure derecede miyesser benine.
26-02	Tehsil - bo insoni shexsiyeti tam inkishafiyo iyen be insoni hexon iyen be esasine ozodetion hurmeti zyod kardeyo sebero karde benine. Tehsil xelgon irqi iyen diniye qrupon arede, iyendi deresemon, durumineti iyen dusteti mehkem kardeyo iyen Ibie Milleton sulhi ogete sahede fealiyet nisho doyo komeq kardenine.
26-03	Valideynon boshte hirdesinine egilon tehsili novi sesin kardeede serbestin.
27-00	Madde 27
27-01	Har qile shexsi cemiyeti medeniye jimonede ishtirok karde, hinesenetiku hezz sey, elmiye tereggiyede ishtirak karde iyen sey foydeku istifade karde hexish heste.
27-02	Har qile shexsi miellif be elmiye, edebiye iyen hinesenete eseron sekishtede be meydon beshe maddiye iyen meneviye menafeyon nogo doy hexish heste.
28-00	Madde 28
28-01	Har qile shexsi bin Beyonnomede eks bie hex iyen ozodetion tam teminbie sosiale iyen beynelxelge resini hexish heste.
29-00	Madde 29
29-01	Har qile shexsi encex sey ozod iyen tam inkishafish mimkunbie cemiyeti vede vezifonish heste.
29-02	Ishte hex iyen ozodetion be emel vardeede har qile shexs ancex be jelevone mehdudiyeton meruz mande bezine ki, evon si ganuni terefiku si co keson hex iyen ozodetion zine iyen bevon hurmet be teminatiku, iyen demokratike cemiyeti exlaqiye, ictimaiye, asayishe iyen umumiye rifahe telebon be vire rosne megsedi temin kardeyku be nav bo.
29-03	In hex iyen ozodetion be emel varde be IMT megsed iyen prinsipon zidd nibenine.
30-00	Madde 30
30-01	In Beyonnomede hissi be konse qile devleti, be shexson qrupi, iyen be co-co shexson Beyonnomede elanbie hex iyen ozodetion mehv kardeyo seberobie de har qile fealiyyeti dastko be, ya konse qile jogo hereketi be emel varde hex doy tekine tefsir karde ebini.
