00-00	Xipfumelelanu xa nthlanganu wa matiku ya misava mayelanu ni timhaka ta tinfanelo ta xumunhu
00-01	Hi ku xixima le svaku a ku hlonipha ka lisima ni tinfanelo leti ti lumbaka a lixaka la ximunhu y ndlela yo sungula leyi yi fanelaka ku landziwa a ku kota ku a vanhu va hanya e nkhululekeni, hi kurhula ni ku fana a misaveni;
00-02	Hi ku tiva le svaku a ku kala ku tiva ni ku xixima a tinfanelo ta wumunhu ku bzalile nsele leyi yi nga hombolokisa mahanyele ni mapimisele ya ximunhu, ni ku tiva le svaku a ku navela kukulu ka vanhu va misava y ku hanya e kurhuleni, na va nga thxaviseliwi kumbe ku hanya hi wusiwana, na va nga thxavi ku khuluma, ku veka mavonele kumbe ku kholwa;
00-03	Hi ku xixima le svaku y sva lisima a ku vikela ta tinfanelo ta ximunhu hi ku bzala mafumele lawa ma hloniphaka tinfanelo leti, svanga ndlela ya ku heta wupfukeli leli vanhu va liyendlaka hi kola ka kutwa tixanisa ni wukhinyavezi;
00-04	Hi ku xixima le svaku y sva lisima a ku seketela ni kuyandzisa a wunghani xikarhi ka matiku hin'kwawu ya misava;
00-05	Hi ku xixima le svaku a svithsungu sva matiku ya misava svi haxile, hi kola ka papela, a ku thsembha ni ku seketela ka svona ka timhaka ta lisima ni tinfanelo ta ximunhu ni mahanyele yo kala wuyavanyisi mayelanu ni tinfanelo ta wanuna kumbe wansati, ni ku tiboha ka nthlanganu lowu a ku pfunisela ku lwa ni mahanyele ya usiwana ndzeni ka utomi la nkhululeko lowu wu yandzike;
00-06	Hi ku xixima le svaku, a minfumo ya matiko lawa, ma tibohile a ku hlohlotela, hi ku pfunisana ni Nthlanganu wa Matiku ya Misava, a xihlonipho xa tinfanelo ni wukhululeki lela ntsindza la ximunhu;
00-07	Hi ku tiva le svaku a ku pfumela ni ku landza ka svileleto lesvi hi matiku hin'kwawu y masungulu lawa malavekaka a ku kota ku landza xiboho lexi;
00-08	A huvu ya Nthlanganu wa Matiku ya Misava
00-09	Yi haxa a Xipfumelelanu xa Nthlanganu wa Matiku ya Misava mayelanu ni timhaka ta tinfanelo ta ximunhu, na ku naveliwa le svaku, hi ku pfumela ni ku hlonipha svi leleto lesvi, a vanhu ni svighava hin'kwasvu sva mahanyele ya matiku svi tihinta a ku bzala moya wa mahanyele lawa hi ku haxa, ku djondzisa ni ku laya, svanga ndlela le yinene ya ku nghenisa xihlonipho xa tinfanelo ni wuthlathleki la munhu ni munhu. Hi ku yengeta, ku naveliwa le svaku a nawu wa tiku ni tiku ni wa nthlanganu wa matiku, wu svikota ku yendla lesvaku a svileleto lesvi svi xiximiwa hi vana ni minfumo ya matiku lawa, ndzeni ni handle ka wona, loko malumba nthlanganu lowu.
01-00	ARTIGO 1
01-01	Vanhu hin'kwavu va psaliwili na va khululekile, funthsi va fana hi lisima ni tinfaneno. Va psaliwili ni nyiko ya ku pimisa ni ku yehleketa; hi kolahu, va fanela ku hanya hi moya wa umbilu ni unghani.
02-00	ARTIGO 2
02-01	Wihi na wihi a ni nfanele ya ku khala, mayelanu ni xipfumelelani lexi, na ku nga na xikheto xa nhlonge, muhlovo, wununa kumbe wusati, lirimi, ndhawu ya ku psaliwa, kereke, ku landza ta politica kumbe ka svin'wani, tiku la mapsaliwa kumbe mathsamele ya wutomi, wupfundzi, kumbe xihi na xihi.
02-02	Handle ka lesvo, a ku faneli ku hambanisiwa hi kola ka xithsamu a ndzeni ka timhaka ta politica, ta ku fambisa nawu, ku fambisa ta le handle ka tiku, kumbe hi kola ka tiku leli munhu a humaka kalona, y nga va tiku la ku thxuseka, la ku fumiwa hi lin'wanyani kumbe matifumi, nhambi loko tiku leli li tsemeliwi ndzelekani e ka mafumele ya lona.
03-00	ARTIGO 3
03-01	Munhu ni munhu a ni nfanelo ya wutomi, nkhululeko ni usirheleli.
04-00	ARTIGO 4
04-01	A hava lweyi a fanelaka ku hanya hi wukarawa kumbe utirheli; a wukarawa ni wuxavisi la svikarawa, hi mukhuva wihi na wihi, sva tsimbisiwa.
05-00	ARTIGO 5
05-01	A hava lweyi a fanelaka ku xanisiwa miri, ku tsemeliwa khotso kumbe svikhatiso sva tixanisa ta ku hambana ni makhatisele ya ximunhu kumbe ya ku muhohlota.
06-00	ARTIGO 6
06-01	Wihi na wihi a ni nfanelo ya kuhloniphiwa svanga munhu phambheni ka nawu.
07-00	ARTIGO 7
07-01	Phambheni ka nawu hin'kwavu vanhu va fana, futhsi va fanela ku sirheliwa hi nawu hi ndlela ya ku fana. Va fanela ku vikeliwa hi ku fana mayelanu ni hin'kwaxu xihlawuhlawu kumbe wuhlohloteli lihi na lihi la xihlawuhlawu lexi xi kongometaka ku hambanyisaka xipfumelelanu lexi.
08-00	ARTIGO 8
08-01	Wihi na wihi a ni nfanelo ya ku yamukeliwa e ka xighaha xihi na xihi xa ku tendera timhaka ta nawu ndzeni ka tiku , kuve a ya mangala lesvi a svi xandzaka mayelano ni ku djikisiwa ka tinfanelo ta ntsindza le ti tsaliweke e mabukwini ya nawu wa tiku.
09-00	ARTIGO 9
09-01	A hava lweyi a fanelaka ku khomiwa, ku nghenisiwa e khotsoeni kumbe ku khatisiwa hi ku rhumeliwa e matikwene ya vambe na svi nga na masungulo.
10-00	ARTIGO 10
10-01	Munhu ni munhu a ni nfanelo ya ku, hi kufana ni hin'kwavu vanhu, a timhaka takwe ti xuxiwa e gdekeni hi b'andhla lo thsembheka, leli lifanelaka ku nyika tinfanelo kumbe nandzu mayelanu ni mhaka.
11-00	ARTIGO 11
11-00	Wihi na wihi lweyi a lumbetiwaka nandzu wo karhi a thxiwa n'kala nandzu loko mhaka yakwe yi nga se sentchiwa hi nawu ni ku tikomba svaku hakunene a nandzu wa mulumba, na a vikeliwa hi gdwetha.
11-01	A hava lweyi a fanelaka ku tsemeliwa khotso hi kola ka sviyendlo lesvi, e ka n'kama a sviyendleke, a svi nga thxiwi xiwonho mayelanu ni nawu wa tiku ni wa nthlanganu wa matiku. Hi ku fana, loko y li xiwonho, a svi faneli ku tsemeliwa khotso la ku tika kutlula leli a li tsemeliwa xiwonho lexi a n'kama xi nga yendleka hi wona.
12-00	ARTIGO 12
12-01	A svi faneli ku munhu a ngheneliwa ka ta wutomi lakwe, la munti kumbe nghamu na svi nga na masungulo, nhambi ku yendleliwa xihi na xihi lexi y nga xirhuku e ka wumunhu lakwe. Mayelanu ni hin'kwasvu lesvi, a munhu a fanela ku vikeliwa hi nawu.
13-00	ARTIGO 13
13-00	Munhu wihi na wihi a ni nfanelo ya ku kandziha kwihi na kwihi lomu a ku rhandzaka ndzeni ka ti ndzelekani ta tiku lakwe ni ku yaka lomu ku xuviwaka hi mbilu yakwe.
13-01	Wihi na wihi a ni nfanelo yaku, loko a svinavela, a rhurha a ya yaka matikweni man'wani, ni ku thlelela a tikweni lakwe.
14-00	ARTIGO 14
14-00	Wihi na wihi lweyi a ti twaka na a landzeleliwa a tikweni, a ni nfanelo ya ku kombela ni ku thxusiwa ku khoza e matikweni ya vambe.
14-01	Kambe a nfanelo leyi a yi tirhi loko, ha kunene, a munhu lweyi a landzeleliwa hi mhaka ya ku hoxela nawu, kumbe hi ku yendla mintirhu leyi yi hambaneke ni nkongometo wa nthlanganu wa matuku.
15-00	ARTIGO 15
15-00	Munhu ni munhu a ni nfanele ya ku lumba tiku.
15-01	A hava lweyi a fanelaka ku suseliwa nfanelo leyi na svi nga na nthlamuxelo nhambi ku suseliwa a nfanelo ya ku txintxa tiku.
16-00	ARTIGO 16
16-00	Loko a fikeliwa hi ntaga, a wanuna kumbe wansati, a ni nfanelo ya ku thxada ni ku yaka munti, na ku nga vekeliwi svi hingakanyu mayelanu ni nhlonge, tiku la mapsaliwa kumbe kereke. Loko wukati la ha tiyili ni loko li thsika li hela, ha vambirhi ka vona va ni tinfanelo tin'we.
16-01	A svi faneli ku a muthxadu y li wa nsindzisa.
16-02	A ndjangu wu fanela ku vikeliwa hi nawu wa tiku hi kusa wu ni lisima likulo a mahanyeleni ya tiku.
17-00	ARTIGO 17
17-00	Hin'kwavu vanhu, nthlanganu kumbe nkoponi, va ni nfanelo ya ku lumbiwa hi svilo.
17-01	A hava lweyi a fanelaka ku tekeliwa svilo svakwe na svi nga na masungulo.
18-00	ARTIGO 18
18-01	Wihi na wihi a ni nfanelo ya ku pimisa ni ku yehleketa e ku khululekeni ni ku kheta kereke tani hi kurhandza kayena; a lesvi svi lava ku hlaia ku a munhu a thxusekili kambe a ku txintxa kereke kumbe ku kholwa; hi ku fana, a svi tsimbisiwi ku munhu a paluxa kereke yakwe kumbe lesvi a kholwaka ka svona, kumbe yexe kumbe hi nthlanganu, kumbe a gdekeni kumbe a xihundleni, hi ku djondzisa, ku yendla, kumbe ku thxumayela.
19-00	ARTIGO 19
19-01	Wini na wihi a thxusekili ku khuluma kumbe ku veka mavonele; hi kolaho a svi faneli ku miyetiwa. Hi ku yengeta , a thxusekile a ku yamukeka ni ku haxa, na a nga tchuvuki ndzelekani, a tindzava ni mapimo hi ma mayendlele lawa a ma lavaka.
20-00	ARTIGO 20
20-00	Wihi na wihi a khululekile a ku rhamba nhlengeletanu kumbe ku kumeka e ka yona nhambe e ka tinthlanganu ta ku kongoma timhaka to kala ti nga yelani ni madzolonga.
20-01	A svi faneli ku munhu a sindzisiwa ku lumba nthlanganu wihi na wihi.
21-00	ARTIGO 21
21-00	Munhu ni munhu a ni nfanelo ya ku kuma xithsamu e ka urhangeli la timhaka ta tiku lakwe, yena hayexe kumbe hi ku rhumisa vanhu lava a nga va kheta ha yexe.
21-01	Wihi na wihi, hi kufana ni hin'kwavu vanhu, a ni nfanelo ya ku kuma ntirhu e ka mintirhu ya nfumu wa tikweni kakwe.
21-02	A kurhandza ka xithsungu y nthxumu wa ku sungula lowu tiyisaka a uhosi a tikweni; hi kolahu, a urhangeli lifanela ku gdoviwa hi hlaulamani hi ku famba ni ku famba ka nkarhi, na xi yendliwa hi voto ya xihundla, kumbe hi mahayele man'wani ya ku tiyisa ku vota a ku khululekeni.
22-00	ARTIGO 22
