00-00	dunya kashalak hwquqa khatabnamasa
00-01	yeansanlar yeayealasanang barlaq yeaezalarnang yeoezagae khas yeazzaet-hoermatana shunangdaek yeularnang baravaer vae taevraenmaes hwquqana yeaetrap qalashnang dunyava yeaerkanlak, haeqqanayaet vae tantchlaqnang yeasasa yeakaenlaka,
00-02	kashalak hwquqagha yeetabarsaz qarash vae haqaraet kaeltyuryush yeaevj yeelap kashalaernang vajdanana bwlghaydaghan yavuz zwravanlaqqa yeaylanghanlaqa, haemmae yeadaem soez yeaerkanlaka vae yeetaqad yeaerkanlakadan baehramaen bwladaghan haemdae vaehamae vae namratlaqtan khalay bwladaghan dunyanang yetap kelasha yeadday khaelqnang yealay yearzusa daep yeelan qalanghanlaqa,
00-03	yeansanlanang yealajasazlaqtan zwravanlaq vae zulum yeyustadae yeasyan koetyuramaz daep taevaekkulagae haerakaet qalap yurmaeslaka yeyutchyun, kashalak hwquqana qanun yearqalaq yeadarae qalash ywla balaen qwghdash zoeryur bwlghanlaqa,
00-04	doelaetlaer yeara dwstluq myunasavatanang taeraeqqayatana yealgha syurush zoeryurluka,
00-05	barlaeshkaen doelaetlaer taeshkalartagha yeaeza doelaetlaer khaelqanang barlaeshkaen doelaetlaer khartayasadae yeoezlanang yeasasy kashalak hwquqa, yeasanay yeazzaet-hoermata vae qaedar-qammata shunangdaek yeaer-yeayallarnang baravaerlak hwquqa twghrasadaka yeaerqadasana qayta taekaltagaenlaka haemdae bar qaedaer tchwng yeaerkanlak yeasasada jaemyeayaetnang yuksalasha vae turmush daerajasanang yakhsalanashana yealgha syuryushkae bael baghlaghanlaqa.
00-06	yeaeza doelaetlaernang barlaeshkaen doelaetlaer taeshkalata balaen haemkarlashap, kashalak hwquqa vae yeasasay yeaerkanlaknang yewmumyuzluk hoermaetlanasha vae yeaemaelgae qwyulushana yealgha syuryush ywlada qaetyeay yearadagae kaelgaenlaka,
00-07	yeashu hwquq vae yeaerkanlakna yewmumyuzluk tchushanashnang shu qaetyeay yearadanang twluq yeaemaelgae yeashurulushagha muham taesar koersatadaghanlaqa,
00-08	koezdae tutulghatchqa, hazar
00-09	yaghan,
00-10	barlaq khaelq vae barlaq doelaet tarashap yeaemaelgae yeashuradaghan yewrtaq yeoeltchaem syupatadae mushu dunya kashalak hwquqa khatabnamasana yeelan qaladu. haer bar yeadaem vae yeajtamayeay yeapparatnang mushu khatabnamana haer dayeam yeaestae tchang saqlap, taelam vae taerbayae yearqalaq hwquq vae yeaerkanlaknang hoermaetlanashna tarashap algha syuryusha haemdae doelaetlaernang vae khaelqyearanang taedrajay yealgaralaesh taedbarlara yearqalaq yeashu hwquq vae yeaerkanlaknang yeaeza doelaetlaernang yeoezadaka khaelq yearasada shunangdaek shu doelaetlaernang bashqurush taevaelakadaka zemanada yashaydaghan khaelq yearasada yewmumyyuzlyuk vae yeunumluk yeaetarap qalanasha vae yeaemaelgae qwyulushana yeumad qaladu:
01-00	1 madda
01-01	haemmae yeadaem zanadanla yeaerkan, yeazzaet-hoermaet vae hwquqta bapbaravaer bwlup tughulghan. yeular yeaeqalghae vae vajdangha yeagae haemdae bar-baragae qerandashlaq munasavatagae khas rwh balaen mwyeamalae qalasha keraek.
02-00	2 madda
02-01	haemmae yeadaem  mushu khatabnamadae qaeyt qalanghan barlaq hwquq vae yeaerkanlaktan baehramaen bwlush salahayatagae yeagae. yeular yearqa, raengga, jansa, tala, dana, sayasay qarasha yaka bashqa qarasha, doelaet taevaelaka yaka yeajtamayeay kelap tchaqasha, myulka, tughulusha yaka bashqa salahayata jaehaettan qaltchae paerqlaenmaeydu.
02-02	yeunang yeustagae haemmae yeadaem yewza taevae doelaet yaka zemannang syasay, maemuray laka khaelqyeara yewrnanang yewkhshash bwlmaslaqa balaen paerqlaenmaeydu. bu zemannang mustaeqal zeman, vakalataen bashquruluvatqan zeman, yeaptwnwmayasaz zeman yaka bashqa haerqandaq agalak hwquqagha tchaek qwyulghan halaettaka zeman bwlushadan qaetyeaynaezaer.
03-00	3 madda
03-01	haemmae yeadaem hayatlaqtan, yeaerkanlaktan vae jasmanay bakhaetaerlaktan baehramaen bwlushqa hwquqluq.
04-00	4 madda
04-01	haerqandaq yeadaemna qul qalashqa yaka qul qatarada yeashlatashkae bwlmaydu. haerqandqaq shaekaldaka qulluq twzumnamu, qullarna yeelap-setashnamu maenyea qalash keraek.
05-00	5 madda
05-01	haerqandaq yeadamna raehamsazlak balaen qaynashqa yaka vaehshay, yeansanayaetsaz yaka jaqaraet kharakterlak muyeamalagae yaka jazagha dutchar qalashqa bwlmaydu.
06-00	6 madda
06-01	haemmae yeadaem haerqandaq jayda qanun yealdadaka kashalak yeazzatana yeetarap qaldurushqa hwquqluq.
07-00	7 madda
07-01	haemmae yeadaem qanun yealdada babbaravaer haemdae qaltchae kaemsatalmaey, qanunnang baravaer qwghdashadan baehramaen bwlushqa hwquqluq. haemmae yeadaem mushu khatabnamagae khalap haerqandaq kaemsatashtan vae mushundaq kaemsatashkae turtkae bwladaghan qalmashnang zayankaeshlakdan saqlanash yutchyun, baravaer qwghdashtan baehramaen bwlushqa hwquqluq.
08-00	8 madda
