00-00	UNKANDA WOLWALI WOMOKO YOMUNU
00-01	Okukolela ukulihiso ekalo lityamela kovimata mata vyepata lyomanu kwenda omoko yasoka kwavosi. Kwenda yesunga yilinga ombembwa yimwe yapana yesunga kwenda yombembwa v’olwali.
00-02	Okukolela eci kacakulihiwile kwenda esepwiso lyomoko yomunu, lyatwala kokuponda, okungwalisa olondunge vyowingi kwenda ekalu lyolwali lumwe muna vakwamwenyo vakaliyela okuvangula kwenda okulitava, vayovoka kusumba kwenda kusuka , yalombolwiwa ndeyi yavelapo hayo yalelapo vali keswimo liwa lyomunu.
00-03	Okukolela okuti cavelapo okweca ulongo kokwamako okulyeca kukamba wolofeka.
00-04	Olukolela okuti vukanda owingi wofokeka vyalikongela, wasapula onjanja yokaliye etavo lyawo komoko yavelapo yomunu, kekalo kwenda esilivilo lyomwenyo womunu, okulisoka komoko yalume kwenda yakayi kwenda yilombolola utoyi wokweca okwamako kwowingi kwenda okweca ekalo lyaposoka lyomwenyo v’eyovo limwe lyavelapo.
00-05	Okukolela okuti olofeka vyalityamela vyatyamela okukwata, okulikwatisako l’elisokiyo lyolofeka vilikwete omunga, esumbilo lyolwali kwenda owingi womoko yulume kwenda ayovo avelapo.
00-06	Okukolela okuti omunga yimwe yolomoko evi kwenda ayovo lyavelapo vali kesilivilo kokusumbila etyamelo eli.
00-07	Onjango yowingi yalombolola ukanda ovu wolwali womoko yomunu l’esokolwilo lyavosi okulipitilisa kawingi osi kwenda olofeka vyosi, oco okuti omanu vosi kwenda okuti avimatamata vyosi vyowingi, okukwata ukanda owu olonjanja vyosi vesokolwilo, vakwata ongusu yaco, okupisa kelilongiso kwenda kepindiso, lyokwamisako esumbilo lyolomoko evi kwenda ombembwa, kwenda okukwata okupisa kovikele vyamako vyeci citumila ofeka kwenda colwali, okukulihisa kwenda okucilinga volwali kwenda ava vaci kasi, ndango kowingi wolofeka vyatyamelako ndeci kwevi vyolofeka vikasi kovaso yavyo :
01-00	OCIHASU CATETE
01-01	Omanu vosi vacitiwa valipwa kwenda valisoka kovina vyosikwenda komoko. Ovo vakwete esunga kwenda, kwenda olondunge kwenje ovo vatela okuliteywila kuvamwe kwenda vakwavo vesokolwilo lyocisola.
02-00	OCIHASU CAVALI
