00-00	INSON HUQUQLARI UMUMJAHON DEKLARATSIYASI
00-01	Inson oilasi barcha a'zolariga hos bo'lgan qadr-qimmat hamda ularning teng va ajralmas huquqlarini tan olish erkinlik, adolat va yalpi tinchlikning asosi bo'lishini e'tiborga olib,
00-02	Inson huquqlarini mensimaslik va oyoq-osti qilish odamzod vijdonini o'rtayotgan vahshiylarcha qilmishlarga olib kelganini hamda kishilar so'z va maslak erkinligi sohibi bo'lib, qo'rquv va muhtojlikdan holi bo'lib yashaydigan dunyoni bunyod etish odamlarning nufuzli intilishi, deb e'lon qilinganligini e'tiborga olib,
00-03	Inson so'nggi chora sifatida zulm va istibdodga qarshi isyon qilib bosh ko'tarishga majbur bo'lmasligining oldini olish maqsadida inson huquqlarni qonun izmi bilan muhofaza etilishi zarurligini e'tiborga olib,
00-04	Xalqlar o'rtasida do'stona munosabatlarni rivojlantirishga ko'maklashish zarurligini e'tiborga olib,
00-05	Birlashgan Millatlarning xalqlari Ustavda insonning asosiy huquqlarni, qadr-qimmati va inson shaxsning benazirligiga hamda erkaklar va ayollarning teng huquqligiga o'z ishonchlarini tasdiqlaganliklarni hamda katta huquq bilan ijtimoiy taraqqiyot va turmush sharoitini yaxshilashga yordam berishga qaror qilganliklarni e'tiborga olib,
00-06	A'zo bo'lgan davlatlar Birlashgan Millatlar Tashkiloti bilan hamkorlikda inson huquqlari va asosiy erkinliklarni yalpi hurmat qilish va rioya etishga yordamlashish majburiyatini olganliklarni e'tiborga olib,
00-07	Ushbu huquqlar va erkinliklar tusini yalpisiga tushunib olish mazkur majburiyatni to'la-to'kis bajarilishi uchun juda katta ahamiyatga ega bo'ladi.
00-08	Bosh Assambleya
00-09	Inson huquqlari mazkur umumjahon deklaratsiyasini barcha xalqlar va barcha davlatlar bajarishiga intilishi lozim bo'lgan vazifa sifatida e'lon qilar ekan, bundan muddao shuki, har bir inson va jamiyatning har bir tashkiloti hamisha ana shu deklaratsiyani nazarda tutib ma'rifat va ilm yo'li bilan ushbu huquqlar va erkinliklarning hurmat qilinishiga yordam berishga intilishlari hamda milliy va xalqaro taraqqiyparvar tadbirla yo'li bilan ham, ushbu huquqlar va erkinliklarning Tashkilotga a'zo bo'lgan davlatlar xalqlari o'rtasida va mazkur davlatlarning yurisdiksiyasidagi hududlarda yashayotgan xalqlar o'rtasida yalpisiga va samarali tan olinishiga kerak.
01-00	1-modda
01-01	Barcha odamlar erkin, qadr-qimmat va huquqlarda teng bo'lib tug'iladilar. Ular aql va vijdon sohibidirlar va bir-birlariga birodarlarcha muomala qilishlari zarur.
02-00	2-modda
02-01	Har bir inson, biror bir ayirmachiliksiz, irqi, terisining rangi, jinsi, tili, dini, siyosiy e'tiqodi yoki boshqa e'tiqodlaridan, milliy yoki ijtimoiy kelib chiqishidan, mulkiy ahvoli, qaysi tabaqaga mansubligi va boshqa holatlaridan qat'i nazar, mazkur Deklaratsiyada e'lon qilingan barcha huquqlar va erkinliklar sohibi bo'lishi kerak.
02-02	Bundan tashqari, inson mansub bo'lgan mamlakat yoki hududning siyosiy, huquqiy yoki xalqaro maqomidan qat'i nazar, ushbu hudud mustaqilmi, vasiylikdami, o'zini o'zi boshqaradimi, yoki mustaqilligi biror bir tarzda cheklanganmi, bundan qat'i nazar sira ayirmachilik bo'lmasligi kerak.
03-00	3-modda
03-01	Har bir inson yashash, erkinlik va shaxsiy daxlsizlik huquqiga egadir.
04-00	4-modda
04-01	Hech kim qullikda yoki qaramlikda saqlanishi mumkin emas; qullik va qul savdosining barcha turlari taqiqlanadi.
05-00	5-modda
05-01	Hech kim azob-uqubatga yoki vahshiylarcha, insonlikka isnod bo'lgan yoki qadr-qimmatni xo'rlaydigan muomala va jazoga mustahiq bo'lmasligi kerak.
06-00	6-modda
06-01	Har bir inson, qayerda bo'lishidan qat'i nazar, o'zining huquq subyekti sifatida tan olinishi huquqiga egadir.
07-00	7-modda
07-01	Barcha odamlar qonun oldida tengdir va, sira ayirmachiliksiz, qonun tomonidan babbaravar muhofaza etilishi huquqiga egadir. Barcha odamlar mazkur Deklaratsiyani buzadigan har qanday kamsitishidan teng muhofaza qilinish huquqiga va ana shunday kamsitishga gij-gijlashdan teng muhofaza qilinish huquqiga egadirlar.
08-00	8-modda
08-01	Har bir inson, mabodo uning konstitutsiya yoki qonun berib qo'ygan asosiy huquqlari buzilgudek bo'lsa, nufuzli milliy sud tomonidan o'z huquqlarining samarali tarzda tiklanishi huquqiga egadir.
09-00	9-modda
09-01	Hech kim o'zboshimchalik bilan qamalishi, ushlanishi yoki quvg'in qilinishi mumkin emas.
10-00	10-modda
10-01	Har bir inson, uning huquqlari va burchlarini belgilash va unga qo'yilgan jinoiy aybning nechog'ligi asoslanganligini aniqlash uchun, batamom tenglik asosida, o'z ishi oshkora, adolatning barcha talablariga rioya etilib, mustaqil va xolis sud tomonidan ko'rib chiqilishi huquqiga egadir.
11-00	11-modda
11-00	Jinoyat sodir etishda ayblanayotgan har bir insonga himoya uchun barcha imkoniyatlar yaratib berilib, sud majlisida oshkora tartibda qonuniy yo'l bilan uning aybdorligi aniqlanmaguncha, beayb deb hisoblanish huquqiga egadir.
11-01	Hech kim, biror bir xatti-harakat  yoki faoliyatsizlik sodir etilgan vaqtda, bular milliy qonunlar yoki xalqaro huquqqa ko'ra o'sha paytda jinoyat deb topilmagan bo'lsa, shu jinoyatni sodir etganliklari asosida hukm qilinishlari mumkin emas. Shuningdek, jinoyat sodir etilgan vaqtda qo'llanishi mumkin bo'lgan jazoga nisbatan og'irroq bir jazo qo'llanishi ham mumkin emas.
12-00	12-modda
12-01	Hech kim insonning shaxsiy yoki oilaviy hayotiga o'zboshimchalik bilan aralashishi, insonning uy-joyi daxlsizligiga, uning xatlaridagi sirlarga yoki or-nomusi va sha'niga o'zboshimchalik bilan tajovuz qilishi mumkin emas. Har bir inson ana shunday aralashish yoki ana shunday tajovuzdan qonun yo'li bilan himoya huquqiga egadir.
13-00	13-modda
13-00	Har bir inson har bir davlat hududida erkin yurish va o'ziga istiqomat joyi tanlash huquqiga egadir.
13-01	Har bir inson har qanday mamlakatdan, shu jumladan o'z mamlakatidan chiqib ketish va o'z mamlakatiga qaytib kelish huquqiga egadir.
14-00	14-modda
14-00	Har bir inson ta'qibdan boshqa mamlakatlarda boshpana izlash va bu boshpanadan foydalanish huquqiga egadir.
14-01	Mabodo, aslida siyosatga daxldor bo'lmagan jinoyat yoki Birlashgan Millatlar Tashkiloti maqsadlari va prinsiplariga zid bo'lgan xatti-harakat sodir etilishi asosida jinoyat yuzaga kelsa bu huquqdan foydalanish mumkin emas.
15-00	15-modda
15-00	Har bir insonning fuqarolik huquqi bor.
15-01	Hech kim o'zboshimchalik bilan o'z fuqaroligini o'zgartirish huquqidan mahrum etilishi mumkin emas.
16-00	16-modda
16-00	Balog'atga yetgan erkaklar va ayollar, irqi, millati yoki diniga qarab biror bir cheklashsiz nikohdan o'tish va oila qurish huquqiga egadirlar. Ular nikohdan o'tayotganida ham, nikohda bo'lgan vaqtida ham va nikoh bekor qilinayotganida ham bir huquqlardan foydalanadilar.
16-01	Nikoh, nikohdan o'tayotgan ikkala tomonning xohishi va batamom roziligi bilangina tuzilishi mumkin.
16-02	Oila jamiyatning tabiiy va asosiy hujayrasidir va u jamiyat, davlat tomonidan muhofaza etilishi huquqiga egadir.
17-00	17-modda
17-00	Har bir inson yakka o'zi yoki boshqalar bilan birgalikda mulkka egalik qilish huquqi sohibidir.
17-01	Hech kim o'zboshimchalik bilan o'z mulkidan mahrum qilinishi mumkin emas.
18-00	18-modda
18-01	Har bir inson fikr, vijdon va din erkinligi huquqiga egadir; bu huquq o'z dini yoki maslagini o'zgartirish erkini, o'z dini yoki maslagiga yakka tartibda yoki boshqalar bilan birgalikda, ta'limot, toat-ibodatda hamda diniy rasm-rusumlar va boshqa shunga o'xshash marosimlarni ado etishda xaloyiq bilan birgalikda yoki xususiy tarzda e'tiqod erkinligini qamrab oladi.
19-00	19-modda
19-01	Har bir inson maslak erkinligiga va bularni erkin ifodalash huquqiga egadir; ushbu huquq hech bir xalalsiz o'z maslaklariga rioya etish erkinligini va axborot va g'oyalarni har qanday vositalar bilan hamda davlat chegaralaridan mustaqil tarzda qidirish, olish va tarqatish erkini qamrab oladi.
20-00	20-modda
20-00	Har bir inson osoyishta yig'ilishlar va uyushmalar o'tkazish (tuzish) huquqiga egadir.
20-01	Hech kim biror bir uyushmaga majburan kiritilish mumkin emas.
21-00	21-modda
21-00	Har bir inson bevosita yoki erkinlik bilan saylangan vakillari vositada o'z mamlakatini boshqarishda ishtirok etish huquqiga egadir.
21-01	Har bir inson o'z mamlakatida davlat xizmatiga kirishda teng huquqiga egadir.
21-02	Xalq irodasi hukumat hokimiyatining negizi bo'lmog'i lozim; bu iroda vaqti-vaqti bilan bo'ladigan va soxtalashtirilmagan saylovda o'z aksini topishi, ushbu saylov yalpi va teng saylov huquqiga ko'ra, yashirin ovoz berish yo'li bilan yoki ovoz berish erkinligi ta'minlaydigan boshqa tengma-teng shakllar vositasida o'tkazilish kerak.
22-00	22-modda
22-01	Jamiyat a'zosi sifatida har bir inson milliy kuch-g'ayratlar sarflash va xalqaro hamkorlik vositasida hamda har bir davlatning tuzimi va resurslariga binoan ijtimoiy ta'minot huquqiga, uning qadr-qimmatini saqlab turish va shaxsini erkin kamolga yetkazish huquqiga egadir.
23-00	23-modda
23-00	Har bir inson mehnat qilish, ishni o'z erki bilan tanlab olish, mehnatning adolatli va qulay sharoitlari bo'lishi va ishsizlikdan muhofaza etilish huquqiga egadir.
23-01	Har bir inson, biror bir kamsitishsiz teng mehnatga teng haq olish huquqiga egadir.
23-02	Har bir ishlayotgan odam, uning o'zi va oilasi uchun munosib yashashni ta'minlaydigan adolatli va qoniqarli daromad olish, zarur bo'lgan hollarda ijtimoiy ta'minotning boshqa vositalari bilan to'ldiriladigan daromad olish huquqiga egadir.
23-03	Har bir inson, kasb ittifoqlari tuzish va o'z manfaatlarini himoya qilish uchun kasb ittifoqlariga kirish huquqiga egadir.
24-00	24-modda
24-01	Har bir inson dam olish va bo'sh vaqt huquqiga, jumladan ish vaqtini oqilona qisqartirish hamda haq to'lanadigan davriy ta'til olish huquqiga egadir.
25-00	25-modda
25-00	Har bir inson o'zi va oilasining sihat-salomatligini va farovonligini asrash uchun zarur bo'lgan turmush darajasiga, shu jumladan oziq-ovqat, libos, uy-joy, tibbiy qarov va zarur ijtimoiy xizmat huquqiga hamda ishsiz qolganida, betobligida, nogironligida, beva bo'lib qolganida, qariganida yoki o'ziga bog'lik bo'lmagan holatlarga ko'ra tirikchilik uchun mablag'i bo'lmay qolganida ta'minlanish huquqiga egadir.
25-01	Onalik va bolalik alohida vasiylik va yordam huquqini beradi. Nikohda turib tug'ilgan va nikohsiz tug'ilgan barcha bolalar bir xil ijtimoiy muhofazadan bahramand bo'lishlari kerak.
26-00	26-modda
26-00	Har bir inson bilim olish huquqiga egadir. Ta'lim kam deganda boshlang'ich va umumiy ta'lim tekin bo'lishi kerak. Boshlang'ich ta'lim majburiy bo'lishi lozim. Texnikaviy va hunar ta'limi barchaga muhayyo etilishi, oliy ta'lim esa har bir odamning qobiliyati asosida barcha uchun bir xil muhayyo etilishi kerak.
26-01	Ta'lim inson shaxsining barkamolligiga hamda inson huquqlari va asosiy erkinliklariga hurmatning ortib boraverishiga qaratilishi lozim. Ta'lim barcha xalqlar, irqiy va diniy guruhlar o'rtasidagi hamjihatlikka, sabr-bardoshga va do'stlikka ko'maklashishi hamda Birlashgan Millatlar Tashkilotning tinchlikni saqlash borasidagi faoliyatiga yordamlashishi kerak.
26-02	Ota-onalar yosh bolalari uchun ta'lim turini tanlab olishda nufuzli huquqqa egadirlar.
27-00	27-modda
27-00	Har bir inson jamiyatning madaniy hayotida erkin ishtirok etish, san'atdan bahramand bo'lish, ilmiy taraqqiyotda qatnashish va uning ne'matlaridan bahramand bo'lish huquqiga egadir.
27-01	Har bir inson o'zi muallifi bo'lgan ilmiy, adabiy yoki badiiy asarlar yuzasidan ma'naviy va moddiy manfaatlari himoya qilinishi huquqiga egadir.
28-00	28-modda
28-01	Har bir inson Mazkur Deklaratsiyada bayon etilgan huquqlar va erkinliklar to'la-to'kis ro'yobga chiqadigan ijtimoiy va xalqaro tartib bo'lishi huquqiga egadir.
29-00	29-modda
29-00	Har bir inson jamiyat oldida majburiyat olgan, faqat shu taxlitdagina inson shaxsi erkin va to'la-to'kis kamol topishi mumkin.
29-01	Har bir inson o'z huquq va erkinliklarining ro'yobga chiqishda shunday cheklashlarga mubtalo bo'lishi mumkinki, bular qonun tomonidan belgilab qo'yilishi hamda bundan muddao – boshqalarning huquqlari va erkinliklari zarur darajada tan olinish va hurmat qilinishi hamda axloq-odobning adolatli talablari ijtimoiy tartib hamda demokratik jamiyatdagi bugungi farovonlikning adolatli talablari qondirilgan bo'lsin.
29-02	Ana shu huquq va erkinliklarning amalga oshirilishi Birlashgan Millatlar Tashkiloti maqsadlari va prinsiplariga sira zid bo'lmasligi kerak.
30-00	30-modda
30-01	Ushbu Deklaratsiyasining butun ruhi biror bir davlatga, shaxslar guruhiga yoki alohida shaxslarga mazkur Deklaratsiyada bayon etilgan huquqlar va erkinliklarning yo'q qilinishiga qaratilgan biror bir faoliyat bilan shug'ullanish yoki xatti-harakatlar sodir etishga yo'l qo'yib beradi, deb talqin etilishi mumkin emas.
