00-00	Declarasion univarsale de i deriti umani
00-01	Considara che el reconosimento de la dinjita inerente a tuti i menbri de la fameja umana e de i so deriti, conpanji e inalienabili, el costituise el fondamento de la libarta, de la justisia e de la paze inte’l mondo;
00-02	Considara che el desconosimento e el despreso de i deriti umani i ga porta a ati de barbarita che i ofende la cosiensa de l’umanita, e che el rivar de un mondo ndove che i esari umani i gode de la libarta de parola e de credo e de la libarta da la paura e da’l bezonjo el ze sta proclama cofa la pi alta aspirasion de l’omo;
00-03	Considara ch’A ze indespensabile che i deriti umani i sie protezesti da norme zurideghe, se A se vole evitar che l’omo el sie costreto a recorar, cofa ultima istansa, a la rebelion contro de la tirania e l’opresion;
00-04	Considara ch’A ze indespensabile promovar el dezvilupo de raporti da amighi intra Nasion;
00-05	Considara che i popoli de le Nasion Unie i ga reaferma inte la Carta la so fede inte i deriti umani fondamentali, inte la dinjita e inte’l valor de la parsona umana, inte l’eguajansa de i deriti de l’omo e de la dona, e i ga desizo de promovar el progreso sosiale e un mejo tenor de vita in na pi granda libarta;
00-06	Considara che i Stati menbri i se ga inpenja a parseguir, in cooparasion co le Nasion Unie, el respeto e l’osarvansa univarsale de i deriti umani e de le libarta fondamentale;
00-07	Considara che na consesion comun de ’sti deriti e de ’ste libarta la ze de la masima inportansa par la piena realizasion de ’sti inpenji;
00-08	L’asenblea zenarale
00-09	la proclama
00-10	’sta declarasion cofa ideale comun par tuti i popoli e le nasion, a’l fin che onji parsona e onji partision de la sosieta le gapie da mirar, tenjendo ’sta Declarasion senpre inamente, a promovar co l’insenjamento e l’educasion a’l respeto de ’sti deriti e de ’ste libarta e traverso de mezure progresive, nasionale e intarnasionale, par segurarghene reconosimento e osarvansa efetive, tanto par i popoli de i Stati Menbri par primi, che par i popoli che i ze soto so jurizdision.
01-00	Artigolo 1
01-01	Tuti i esari umani i nase libari e conpanji par dinjita e deriti. I ze dotai de rajon e de cosiensa e i ga da conportarse intra de lori co spirito de fradeli.
02-00	Artigolo 2
02-01	A onjun A ghe speta tuti i deriti e tute le libarta prezentai inte ’sta Declarasion, sensa nesuna distinsion, cofa de rasa, de color, de seso, de lengua, de relijon, de opinion politega o de altra sorte, de orizene nasionale o sosiale, de richesa, de nasita o de altra condision.
02-02	Oltratuto, nesuna distinsion la sara fata drio el status politego, zuridego o intarnasionale de’l paeze o de’l teritorio da ndo’ che na parsona la vien, che’l sia independente, o soto aministrasion delega, o mia autonomo, o sojeto a limitasion de sovranita, cuala che la sipie.
03-00	Artigolo 3
03-01	Onjun el ga el derito a la vita, a la libarta e a la segurita de la so parsona.
04-00	Artigolo 4
04-01	Nesun el podara esar tenju da sciavo o da servo; la sciavitu e el marca de sciavi i sara proibii in tute le maniere.
05-00	Artigolo 5
05-01	Nesun el podara esar meso soto tortura o a tratamenti o punision crudele, dezumane o dezgradante.
06-00	Artigolo 6
