00-00	MBUMBANO YA DZITSHAKA DZA LIFHASI LOTHE
00-01	Sa izwo u divhea ha u dzhiela ntha lwa mvele ya tshirunzi tsha muthu na ndingano na pfanelo dza vhathu vhothe zwi murango wa mbofholowo, vhulamukanyi na mulalo lifhasini,
00-02	Sa izwo u dzhielwa fhasi na u tsikeledzwa ha pfanelo dza vhathu ho bveledza zwiito zwa vhuveveru vhu fhandulaho luvalo lwa muthu, na u da ha shango line khalo vhathu vha do diphina nga mbofholowo ya u amba na u tenda kha zwine vha funa, na u vhofholowa kha nyofho na zwo dzhiiwa sa dzangalelo lihulwane la vhathu zwavho,
00-03	Sa izwo zwi zwa ndeme, arali muthu a sa do kombetshedzwa nga u shaya inwe ndila, u vutshela vhutambudzi na vhutsikeledzi, uri pfanelo dza vhuthu dzi tsireledzwe nga u shumisa mulayo,
00-04	Sa izwo zwi zwa ndeme u tutuwedza mvelaphanda ya vhukonani havhudi vhukati ha dzitshaka,
00-05	Sa izwo vhathu vha Mbumbano ya Dzitshaka vho khwathisedza kha Tshata lutendo lwavho kha pfanelo dza vhathu dza ndeme, kha tshirunzi na ndeme ya vhuvha ha muthu na kha ndingano ya pfanelo dza vhanna na vhafumakadzi na uri vho diimisela u tutuwedza mvelaphanda ya zwa matshilisano na tshiimo tsha khwine tsha vhutshilo kha mbofholowo khulwane,
00-06	Sa izwo Mashango ane a vha Mirado o divhofha u swikelela u bveledza thuthuwedzo ya thonifho na u tevhedzwa ha pfanelo dza vhathu na mbofholowo dza vhuthogwa a tshi shumisana na Dzangano la Mbumbano ya Dzitshaka,
00-07	Sa izwo u pfeseswa ha pfanelo idzi na mbofholowo zwi zwa ndeme khulwane kha uri mbofho iyi i bveledzwe nga vhudalo,
00-08	Zwino, Zworalo,
00-09	Buthanonyangaredzi la Mbumbano ya Lifhasi Lothe
00-10	li khou rwela tari Mbofho ya zwa Pfanelo dza Vhathu Lifhasi Lothe
00-11	sa tshone tshikalo tshine tsha nga shumiswa nga nnyi na nnyi tshine tsha tea u swikelelwa nga vhathu vhothe na tshaka dzothe, kha u vhona uri muthu munwe na munwe na murado munwe na munwe wa tshitshavha, e na Mbofho iyi ngelekanyoni yawe, u do lusa nga u tou funza na u shumisa pfunzo u bveledza phanda thonifho ya pfanelo idzi na mbofholowo a tshi shumisa maga o bvelaho phanda, kha vhuimo ha lushaka na ha tshaka dzo fhambanaho, u vhona uri izwi zwi dzhielwa ntha na u tevhedzwa vhukati ha vhathu vha Mashango ane a vha Mirado na vhathu vhane vha vha kha vhupo vhu re fhasi ha ndaulo ya mashango ayo.
01-00	Tshitenwa 1
01-01	Vhathu vhothe vha bebwa vhe na mbofholowo nahone vha tshi lingana siani la tshirunzi na pfanelo. Vhathu vhothe vho newa mihumbulo na mvalo ngauralo vha tea u konou farana sa vhathu vhathihi.
02-00	Tshitenwa 2
02-01	Muthu munwe na munwe u na pfanelo na mbofholowo dzo bulwaho kha Mbofho uyu, hu si na u khethululwa hufhio sa kha murafho, muvhala, mbeu, luambo, vhurereli, polotiki kana muhumbulo munwe-vho, vhubvo ha tshitshavha kana u tshilisana, ndaka, mabebo kana tshiimo tshinwe-vho.
02-02	Nga ntha ha izwi, a hu na khethululo ine ya do itelwa muthu hu tshi tevhelwa tshiimo tsha zwa polotiki, mulayo kana tshiimo tsha shango kha dzitshakatshaka kana vhupo vhune muthu a bva khaho, hu nga vha hu re na vhudilangi, hu ha fulufhelo, hu sa divhusi kana hu re kha vhuimo ho pimiwaho nga vhudivhusi.
03-00	Tshitenwa 3
03-01	Muthu munwe na munwe u na pfanelo ya vhutshilo, mbofholowo na tsireledzo yawe sa muthu.
04-00	Tshitenwa 4
04-01	A hu na muthu ane a do dzheniswa kha zwa vhuphuli kana vhushumeli; zwa vhuphuli na mbambadzo ya dziphuli zwi do iledzwa nga ndila dzothe.
05-00	Tshitenwa 5
05-01	A hu na muthu ane a do tambudzwa kana u farwa nga ndila ya tshituhu, i songo teaho muthu kana u farwa kana u tarafiwa nga ndila i tsitsaho tshirunzi.
06-00	Tshitenwa 6
06-01	Muthu munwe na munwe u na pfanelo dza u dzhiiwa sa muthu fhethu hunwe na hunwe phanda ha mulayo.
07-00	Tshitenwa 7
07-01	Vhathu vhothe vha a lingana phanda ha mulayo nahone vho tewa nga tsireledzo ya mulayo i edanaho, hu si na khethululo. Vhathu vhothe vha na pfanelo ya tsireledzo i edanaho kha khethululwo i pfukaho Mbofho uyu na kha thuthuwedzo inwe na inwe malugana na khethululo yo raloho.
08-00	Tshitenwa 8
08-01	Muthu munwe na munwe u na pfanelo ya ndamulelo ya khoro dza lushaka dzi re na vhukoni kha vhukando vhu pfukaho pfanelo dze a newa nga ndayotewa kana mulayo.
09-00	Tshitenwa 9
09-01	A hu na muthu ane a do farwa, u valelwa kana u shakuliswa hu si na tshiitisi.
10-00	Tshitenwa 10
10-01	Muthu munwe na munwe o fanelwa, nga u edana ho fhelelaho, u thetsheleswa lwo teaho nga dzulo la nnyi na nnyi na hone lo diimisaho nga lothe li sa dzhiiho sia, musi hu tshi khou tiwa pfanelo dzawe na mbofho dzawe na mulandu munwe na munwe wa vhugevhenga une a hweswa.
11-00	Tshitenwa 11
11-01	Muthu munwe na munwe o hweswaho mulandu wa vhugevhenga u na pfanelo ya u dzhiwa a si na mulandu u swika zwenezwo o no wanwa mulandu zwi tshi ya nga mulayo tsengoni ya tshitshavha, he a wana thodea dzothe dza u dipilela malugana na mulandu wonoyo.
11-02	A hu na muthu ane a do wanwa mulandu nga nthani ha nyito kana u sa ita nyito, zwe zwa vha zwi si mulandu nga fhasi ha mulayo wa lushaka kana wa dzitshakhatshaka nga tshifhinga tshe mulandu wa itea ngatsho. Ha ngo tewa na u latiswa lwo kalulaho u fhirisa ndatiso ye ya vha yo tiwa nga tshifhinga tshe mulandu wa itea ngatsho.
12-00	Tshitenwa 12
12-01	A hu na muthu ane a do dzhenelelwa kha zwa ene mune, muta wawe, haya kana vhudavhidzani, kana u thaselwa ha thompho na tshirunzi tshawe, zwo sokou itwa kana hu si na tshiitisi tshi no pfesesea. Muthu munwe na munwe u na pfanelo ya tsireledzo ya mulayo malugana na u dzhenelelwa honoho kana u thaselwa.
13-00	Tshitenwa 13
13-01	Muthu munwe na munwe u na pfanelo ya mbofholowo ya u tshimbila na vhudzulapo nga ngomu mikanoni ya shango linwe na linwe.
13-02	Muthu munwe na munwe u na pfanelo ya u bva shangoni linwe na linwe, ho katelwa na lawe, na u humela kha shango lawe.
14-00	Tshitenwa 14
14-01	Muthu munwe na munwe u na pfanelo ya u toda na u diphina nga pfanelo dza vhafhalali kha manwe mashango malugana na u tsireledzwa kha u tovholwa.
14-02	Pfanelo iyi i nga si shumiswe hune u hweswa mulandu ha vha hu si ha vhugevhenga ha politiki, kana zwiito zwi fhambanaho na ndivho na mirando ya Dzangano la Mbumbano ya Dzitshaka.
15-00	Tshitenwa 15
15-01	Muthu munwe na munwe u na pfanelo ya u vha na lushaka lune a wela khalwo.
15-02	A hu na muthu ane a do thivhelwa u vha wa lushaka lune a wela khalwo kana a hanelwa pfanelo ya u shandukisa lushaka lune a wela khalwo.
16-00	Tshitenwa 16
16-01	Vhanna na vhafumakadzi vha minwaha yo vhinaho vha na pfanelo ya u dzhena kha zwa mbingano na u vha na muta hu si na u thivhelwa nga zwa murafho, lushaka kana vhurereli. Vhothe vha na pfanelo dzi linganaho siani la mbingano, vha kha mbingano na musi i tshi fhela.
16-02	Mbingano i do dzhenelwa fhedzi nga vhathu vhane vha khou malana vho vhofholowa nahone hu na thendelano yo fhelelaho.
16-03	Muta ndi tshipida tsha tsiko nahone tsha ndeme kha tshitshavha ngauralo wo tea u tsireledzwa nga tshitshavha na Muvhuso.
17-00	Tshitenwa 17
17-01	Muthu munwe na munwe u na pfanelo ya u vha na ndaka o diimisa nga ethe kana o tangana na vhanwe.
17-02	A hu na muthu ane a do dzhielwa ndaka hu si na tshiitisi tshi no pfesesea.
18-00	Tshitenwa 18
18-01	Muthu munwe na munwe u na pfanelo ya mbofholowo ya muhumbulo, luvalo na vhurereli; pfanelo heyi i katela mbofholowo ya u shandula vhurereli hawe kana zwine a tenda khazwo, na mbofholowo a ethe kana e na vhanwe na musi e khagala kana fhethu ho dzumbamaho, u sumbedzisa vhurereli hawe kana zwine a tenda nga u funza, nyito, u rerela na u tevhedza.
19-00	Tshitenwa 19
19-01	Muthu munwe na munwe u na pfanelo ya u vha na mihumbulo yawe na u amba; pfanelo heyi i katela mbofholowo ya u vha na mihumbulo hu si na u dzhenelelwa, na u kona u toda kana u wana mafhungo na u phadaladza mafhungo na mihumbulo hu tshi shumiswa nyandadzamafhungo hu sa sedzwi mikano.
20-00	Tshitenwa 20
20-01	Muthu munwe na munwe u na pfanelo ya mbofholowo ya u kuvhangana nga mulalo na nyandano.
20-02	A hu na ane a do kombetshedzwa u vha murado wa nyandano.
21-00	Tshitenwa 21
21-01	Muthu munwe na munwe u na pfanelo ya u shela mulenzhe kha muvhuso wa shango lawe, nga ene mune kana nga vhaimeleli vhe a dikhethela o vhofholowa.
21-02	Muthu munwe na munwe u na pfanelo ya u kona u wana tshumelo ya vhathu i no lingana kha shango lawe.
21-03	Lufuno lwa vhathu lu do vha lwone murango wa maandalanga a muvhuso, hezwi zwi do bveledzwa nga khetho dza vhukuma dzine dza do vha hone nga zwifhinga zwo tiwaho, nahone khetho idzi dzi do vha dza vhathu vhothe nga u lingana nahone u khetha hu do vha ha tshidzumbe kana ha shumiswa manwe maga a u khetha nga mbofholowo.
22-00	Tshitenwa 22
22-01	Muthu munwe na munwe, sa murado wa tshitshavha, u na pfanelo ya u wana tshumelo ya tsireledzo ya zwa u tshilisana, nahone u na pfanelo ya u konou swikelela pfanelo dza ikonomi, u tshilisana na mvelele zwine zwa todea kha tshirunzi tshawe na u bveledza vhuvha hawe a tshi tikedzwa nga nungo dza lushaka na tshumisano ya dzitshakatshaka zwi tshi ya nga nzudzanyo na zwiko zwa Muvhuso munwe na munwe.
23-00	Tshitenwa 23
23-01	Muthu munwe na munwe u na pfanelo ya u shuma, mbofholowo ya u khetha mushumo, nyimele ya mushumo yo teaho nahone i tanganedzeaho khathihi na u tsireledzwa kha vhushayamushumo.
23-02	Muthu munwe na munwe u na pfanelo, hu si na khethululo, ya u wana malamba ane a lingana na a vhanwe kha mushumo une wa fana.
23-03	Muthu munwe na munwe ane a shuma u na pfanelo ya u wana malamba o teaho nahone ane a tanganedzea u itela uri ene na muta wawe vha konou tshila vhutshilo vhu re na tshirunzi, na u dovha u dadziswa, arali zwo tea, nga dzinwe tsireledzo dza zwa u tshilisana.
23-04	Muthu munwe na munwe u na pfanelo ya u vhumba kana u vha murado wa madzangano a vhashumi hu u itela tsireledzo ya madzangalelo awe.
24-00	Tshitenwa 24
24-01	Muthu munwe na munwe u na pfanelo ya u awela na u digeda, hu tshi katelwa awara dzo pimiwaho dza u shuma na u awela ho tiwaho hu re na muholo.
25-00	Tshitenwa 25
