00-00	Mehen oiktuziden uhthine deklaracii
00-01	Ottes homaitusehe, mise mez’kundan kaikiden uhtnikoiden arvokahuden i uhthiziden oiktuziden tundustamine oma valdan, oiktuden, mirun alandusen; i
00-02	ottes homaitusehe, mise hondostamine i kacmatomuz’ mehen oiktuzihe tob varvaroiden tegoid, kudambad kaeregoitas mez’kundan mel’tundod, i mehiden suren tahton i takaindan om mugoman mirun tegend, kudambas mehil linneb sanavald, kacmusiden vald, ei linne varaidust i mairist; i
00-03	ottes homaitusehe, mise tarbiz mehiden oiktuded kaita zakonan valdal, sen taeht, mise mehele ei pidaizi lopuks libuda tiranijan i ahthistusen vasthapaei; i
00-04	ottes homaitusehe, mise tarbiz abutada sebrmeliziden kosketusiden kehitoitusele rahvahiden keskes; i
00-05	ottes homaitusehe, mise Uehthizrahvahize mulujad rahvahad vahvistoitiba kaeskkirjas iceze uskondan mehiden paeoiktuzihe, mehen personan arvokahudehe i muzikoiden da naiziden tazooiktudehe i paetiba abutada socializele progressale i elon oloiden paremboitusele oldes surembas valdas; i
00-06	ottes homaitusehe, mise valdkundad-uhtnikad toivotiba abutada uhtes Uehthizrahvazkundanke uhthizes arvostandas i mehen oiktuziden i paevaldoiden kaicendas, tegendas; i
00-07	ottes homaitusehe, mise neniden oiktuziden uhthine el’genduz om lujas taerged niid taeudes pidaemizes,
00-08	Sur’ Assamblei,
00-09	ezitab necen mehen oiktuziden uhthizen deklaracijan kut tegend, kaikile rahvahile i valdkundoile, mise kaikutte mez’ i kaikutte uhthizkundan azjmehist, kaiken pidaedes meles necen deklaracijan, abutaiziba tedotelendal i opendusel arvostada nenid oiktuzid i valdoid i tegiziba rahvahalizil i keskrahvahalizil progressivizil tegoil uhthist i effektivist arvostust i pidaeiziba kut Uehthizrahvazkundan valdoiden-uhtnikoiden, muga i toiziden tahoiden rahvahiden keskes, kudambad oma niiden jurisdikcijan al.
01-00	1. kirjutez
01-01	Kaik mehed sunduba joudajin i kohtaizin, uhtejiccin iceze arvokahudes i oiktusis. Heile om anttud mel’ i huiktusentund i heile tariz kozuda toine toizenke kut vel’l’kundad.
02-00	2. kirjutez
02-01	Tariz, mise jogahizel mehel oliziba kaik oiktuded i valdad, micced oma nimitadud necis deklaracijas, kacmata sihe mitte om mehen rass, hibjan muju, pol’, kel’, uskond, micced oma politized vai toized kacmused, mitte om rahvahuz’ vai socialine sundund, mitte om elomiston, soslovijan vai toized olod.
02-02	Paici sidae, ei sa tehta nimittust erod man vai sijan politizen, oiktuden vai rahvazkeskeizen statusan pohjal, kuna mez’ mulub, ripmata sispaei om-ik nece sija ripmatoi, pidetas-ik hol’t sis, ei icenaine vai se kut-se toizin om vaehetud icenaizudes.
03-00	3. kirjutez
03-01	Jogahizel mehel om oiktuz’ eloho, valdaha i personalizehe koskmatomudehe.
04-00	4. kirjutez
04-01	Nikeda ei sa pidaeda orjan vai valdmatomas olos, orjanpidaend i orjanmoend om kel’tud kaikis formis.
05-00	5. kirjutez
05-01	Nikeda ei sa kovasudaimelisesti mokita, kovin ustavzoitta, tehta mugomid tegoid, kudambad alenzoitaiziba haenen arvokahuden.
06-00	6. kirjutez
06-01	Jogahizel mehel om kaikjal oiktuz’ sihe, mise haendast pidaeizihe personan arvostuses.
07-00	7. kirjutez
07-01	Kaik mehed oma uhtenarvoized zakonan edes i heil om oiktuz’ eroita zakonan kaicendaha. Kaikil mehil om oiktuz’ uhtejiccehe kaicendaha miccen taht diskriminacijaspaei, kudamb keskustab necile Deklaracijale, miccen taht rehkandaspaei diskriminacijaha.
08-00	8. kirjutez
08-01	Jogahizel mehel om oiktuz’ effektivizehe huvaestamizehe haendast oiktuzis kompetentiziden rahvahaliziden sudiden paetusel siloi, konz haenen konstitucijal vai zakonal anttud paeoiktuded om keskustadud.
09-00	9. kirjutez
