00-00	DECLARAaCION UNIVERSELE DES DREUTS D'L'OME
00-01	Il a stu ad'metu 'ne feye po totes
00-02	Qui l'fondemint de-l'libete, de-l djustice et de-l'paaye tot-avaa l'monde, c'est l'rik'nohnance de-l'dignite qu'est l'prope di tos les-omes et des dreuts egals qu'ils ont et qu'on n'elzi pout meskeure;
00-03	Qui l'fet' de n'in rik'nohe ou de foler aas pids les dreuts d'l'ome ont k'du sacwants a rabahi et brutaalizer l's-otes d'ine tele manire qui l'consyince di l'umanite enn'a stu revolteye;
00-04	Qui l'pus grand espwer des djins, c'est l'aven'mint d'on monde wice qui les-omes seront libes de djaaser et de creure, tot-z-estant d'hales de-l'sogne et de-l'mizere;
00-05	Qui les dreuts d'l'ome divet-esse ptotejes d'on redjime di dreut di tele dort qui l'ome enn'arive nin a l'revole disconte l'abus de pouvwer et l'asservih'mint, faate d'aveur situ aconte et apres aveur tot fet po-z-esse rik'nohou;
00-06	Qu'i faat mete en-avant, aa-d'-dizeur di tot, l'amitie inte les peupes et les naacions;
00-07	Qui les peupes des Naacions-Unies ont volou r'dire chal leu fwe divins les dreuts naturels di l'ome, divins l'dignite et l'valeur des djins, divins l'egaalite des dreuts inte les-omes et les feumes, et qu'il ont dit leu vol'te de fe tot po mete en-aledje li progres sociaal et po mete e plece des todi meyeuzes condicions de viker divins 'ne liberte todi plus grande;
00-08	Qui les-Etats Mambes s'ont-st-egadji a mete en-ouve po d'bon li respet des dreuts d'l'ome et d'ses vreyes libertes tot-avaa l'monde, avou on cop di spale di l'Organizaacion des Naacions-Unies;
00-09	Qu'ine minme ideye di ces dreuts et d'ces libertes-chal est de-l'pus hote importance po poleur tini vremint ciste egadj'mint-la.
00-10	L'ASSIMBLEYE GENERAaLE proclame li prezinte
00-11	DECLARAaCION UNIVERSELE DES DREUTS D'L'OME come estant les valeurs qui tos les peupes et totes les naations divrit mete en-ouve. Qui les cis qui t'net l'vierna des societes tot comme chaskeun' aa res, avou djourmay cisse Declaraacion e l'tiesse, sayesse de mete en-avant li respet d'ces dreuts et libertes-chal, divins les scoles et l'educaacion po nn'ariver, pitchote a midjote, graace a des mezeures nacionaales et internacionaales, a 'ne rik'nohance di ces dreuts et d'ces libertes-la, po qu'i seyesse metous en-aledje po d'bon tot avaa l'monde, ot'tant po les populaacions des-Etats Mambes zels minmes qui po les cisses des teres qui sont d'zos leu k'duhance.
01-00	Artike prumi (1)
01-01	Tos les-omes vinet-st-aa monde libes, et so-l'minme pid po sou qu'enn'est d'leu dignite et d'leus dreuts. I n'sont nin fou rezon et-z-ont-i leu consyince po zels, sou qu'elzes deut miner a s'kidure onk' po l'ote tot come des fres.
02-00	Artike deuzinme (2)
02-01	Chaskeun', seuy-t-i ome ou feume, pout fe valeur tos les dreuts et totes les libertes qui nous sont rachou d'vins l'prezinte Declaraacion, et n'poret-on prinde nouk' po mons qu'i n'est a caase di s'race, de-l'coleur di s'pe, di s'lingadje, di sou qu'i creut, di ses-ideyes so-l'politique ou so tot ote tchwes, di que payis qu'i provint, di s'condicion d'ritche ou d'pove, de-l'contreye wice qu'il a veyou l'djou ou bin d'tot minme qwe qui s'seuye.
02-02	Di pus' nolu n'deut paati de-l'condicion di s'patreye raport aas-otes payis, qui l'contreye ou l'payis di d'wice qu'i provint seyesse indepandants, nin messes di zels po d'bon ou bin rastrindou d'vins leus dreuts, et maagre tot sou qu'on poreut tuzer di leu gouvernumint.
03-00	Artike treuzinme (3)
03-01	Chaskeun' a dreut a-l'vicaareye, a-l'iberte et a-l'surete po lu minme.
04-00	Article qwatrinme (4)
04-01	Nolu n'sere t'nou come esclaave ou ovri sins salere, l'eclavadje di tote sort, tot come de fe martichi des-esclaaves di tot l'minme quele manire sont disfindous.
05-00	Artike cinquinme (5)
05-01	Nolu n'poret-esse maa treti, metou a-l'torteure, ou rabahi avou des cruweles ponnes nin degnes d'in-ome.
06-00	Artike sihinme (6)
06-01	Chaskeun' a l'dreut d'esse rik'nohou tot-avaa po sou qu'il est sorlon si lwe tot come ses dreuts.
07-00	Artike setinme (7)
07-01	Turtos sont so-l'minme pid po d'vant li lwe et turtos ont dreut d'esse protejes d'-l'minme manire pa li lwe. Turtos ont dreut a 'ne minme protecsion po n'nin esse metous so-l'coste d'ine manire qu'ireut disconte li prezinte Declaraacion, mins ossu disconte to sou qu'poreut miner a garanti onk et nin l'ote ou a tote sort di preferince.
08-00	Artike utinme (8)
08-01	Chaskeun' a l'dreut d's'aler plinde et d'esse etindou po d'bon de-l'justice competinte di s'payis, di tot sou qu'sereut fet po mete a maa les messes dreuts qu'li sont rik'nohous de-l'constitucion ou bin des lwes.
09-00	Artike nouvinme (9)
09-01	Nolu n'pout-esse sins rezon tchouki e-l'pote, tinou eprih'ne ou tchessi fou di s'payis.
10-00	Artike dihinme (10)
10-01	Chaskeun' a l'dreut d'esse etindou d'ine minme manire, divant tot l'monde et sins totes fetes-ideyes, divant on tribunaal independant et djusse qui decid're d'ses dreuts ou bin d'ses d'vwers, tot come li r'vint l'dreut di s'disfinde di sou qu'on li r'proche ou bin d'sou qu'on l'acuse.
11-00	Artike onzinme (11)
11-01	Tot qui e-st-acuse d'ine maacule deut-esse tinou po enocint d'sou qu'on li r'proche disqu'a tant qu'i seuye rik'nohou coupaabe, eco faat-i qui s-proces seuye public, qui totes les regues seyesse respecteyes et qu'il aaye avou l'dreut di s'disfinde po d'bon.
11-02	Nolu n'pout-esse condaane po 'ne sacwe qu'il a fet ou qu'i n'a nin volou fe a on moumint wice qui, sorlon les lwes di s'payis ou de monde, souchal n'esteut nin co 'ne faate. De-l'minme manire, on n'e-l'pore puni pus fwert qu'i n'l'aareut stu aa moumint wice qui l'afere s'a passe.
12-00	Artike dozinme (12)
12-01	Nouk ni pore aler herer s'narene divins l'vicaareye, li famile d'in-ote, broki e s'mohone ou bin nahi d'vins ses letes et ses papis, ni l'ac'sure divins si-oneur ou s'reputaacion. Chaskeun'a l'dreut d'esse proteje des lwes disconte des s'fetes manires.
13-00	Artike trazinme (13)
13-01	Chaskeun' a l'dreut d'aler tot wice qu'i vout d'vins 'n-Etat et d'i tchuzi come i vout l'plece la qu'i vout d'mani.
13-02	Chaskeun' a l'dreut de qwiter tot l'minme due payis, minme li sonk, et de raler e s'payis qwand i li plet.
14-00	Artike catwazinme (14)
14-01	S'il est k'tchessi, chaque ome a l'dreut de cweri a s'ahouter et de trover on ratret divins des-otes payis.
14-02	On n'si pout nin chervi di s'dreut la s'on-z-est porsuvou po 'ne maacule qui li lwe reprouve ou po des keures qui vont disconte sou qu'les Naacion-Unies volet mete en-avant.
15-00	Artike qwinzinme (15)
15-01	Chaskeun' a l'dreut a 'ne nacionaalite.
15-02	On n'pout r'prinde a nolu, et sins rezon, si nacionaalite, tot comme si dreut d'enne candji.
16-00	Artike sazinme (16)
16-01	Si vite qu'enn'ont l'adje, ome et feume, di tot l'minme quele race, nacionaalite ou r'lidjon, ont l'dreut di s'marier et de fonder 'ne famile. Il ont les minmes dreuts po sou qu'enn'est de mariedje, tant qu'i sont maries ou s'i m'net a d'vorcer.
16-02	Li mariedje ni s'pout fe qui de-l'plinne vol'te et de-l'tchuze des cis qu's'ont prometou les-acwerdances.
16-03	Li famile c'est l'vreye fondemint de-l'societe, li r'vint l'dreut d'ine protecsion de-l'societe et d'l'Etat.
17-00	Artike disetinme (17)
17-01	Tot l'monde, seuye-t-i a lu tot seu ou bin avou des-otes, a l'dreut d'aveur des bins.
17-02	On n'pout r'prinde ses bins a nolu, sins bone rezon.
18-00	Artike dihutinme (18)
18-01	Chaskeun' a l'dreut de tuzer sou qu'i vout, d'aveur si consyince por lu et de priyi tot l'minme que Bon Diu, soula vout dire ossu qu'i pout candji di r'lidjon ou bin candji d'ideye. Tot seu ou bin avou des k'pagnons, e s'mohone to come aa d'fou, i pout dire tot hot sou qu'i creut, l'aprinde aas-efants, tot come enne fe-aaremus ou les ceremon'reyes.
19-00	Artike di-nouvinme (19)
19-01	Chaskeun' a l'dreut d'ses-opinions et l'liberte d'elzes d'ner a k'nohe, sou qui vout dire qu'on ne-l'pore tourmeter po sou qu'i tuze et qu'i pout cweri sins rat'na les informaacions come les ideyes, enne r'sure et 'nne ripaade laadje et lon, minme fou payis, et di tot l'minme quele manire.
20-00	Artike vintinme (20)
20-01	Chaskeun' a l'dreut di s'rapouler ou d's'acoleber po 'ne bone caase.
20-02	Nolu n'pout-esse fwerci de fe paarteye d'ine associaacion.
21-00	Artike vint-euninme (21)
21-01	I r'vint a chaskeun' li dreut de prinde si paart po sou qu'enn'est de tinre li vierna di s'payis, seuye-t-i directemint, ou bin tot tchuzihant libremint des r'pruzintants.
21-02	2.Chaskeun' a l'minme dreut de prinde on posse divins l'administraacion dis s'payis.
21-03	Li vol'te de peupe c'est l'fondemint de pouvwer d'on gouvernumint; cisse vol'te-la si deut d'ner a k'nohe divins des-elec'cions qui suvet l'dreut de djeu, qu'on deut adjerci a tchoke, avou l'sufradje universel : in-ome ine vwe, et aa vote secret, ou di tot l'minme quele ote manire qui respeceye li liberte de ci qui deut d'ner s'vwes.
22-00	Artike vint'deuzinme (22)
22-01	Chaskeun' come mambe de-l'societe, a dreut a-l'securite sociale; elle est fondeye po qu'l'ome aaye sou qu'a dandji po s'dignite come po frudji d'cwer et aame. Chaque payis deut fe sou qu'i pout sorlon ses ritchesses et si-organisaacion, mins s'deut-i poleur compter ossu so on cop di spale des-otes naacions.
23-00	Artike vint'treuzinme (23)
23-01	Chaskeun' a l'dreut d'ovrer, de tchuzi l'mesti qu'li plet, de-l'fe divins des bones condicions et d'esse aasure disconte li chomedje.
23-02	2.Turtos on dreut, sins nole diferince, a on minme salere po on minme ovredje.
23-03	Tos les cis qu'ovret on l'dreut d'esse payis d'tele sort qu'il aayesse assez po viker et po fe viker leu famile, sins qwe elzi r'vinre de toucherd'ine manire ou d'ine ote, ine sacwe d'pus' qui sou qu'gagnet.
23-04	Chaskeun' a l'dreut d'emantchi avou des-otes des sindicats et d'fe paarteye d'on sindicat po disfinde ses-interets.
24-00	Artike vint'cwatrinme (24)
24-01	Chaskeun' a l'dreut di s'ripwezer et de prinde de bon tins. Insi n'deut-on nin l'oblidji d'ovrer a fwece sins r'las et fou mezeure et li r'vint-i des condjis payis aa bout d'on tins.
25-00	Artike vint'cinquinme (25)
25-01	Chaskeun' a l'dreut de gaagni assez po s'poleur sogni et-z-aveur bon, por lu-minme et s'famile, insi po sou qu'enn'est de magni, di s'moussi, di s'lodji, de payi l'docteur et l'apoticaare ou bin les chervices qu'enn'a dandji. Chaskeun' a l'dreut a-l'securite s'il est sins-ovredje, malaade, invalide, vef, qwand i d'vint vi ou qwand i n'a pus nole rintreye di sans' la qu'ci n'est nin di s'faate.
25-02	Les mames et les-efants ont por li dreut d'esse edis. Tos les-efants, qu'i seyesse vinous aa monde di djins maries ou fou de sacrumint divet-esse protejes de-l'minme manire.
26-00	Article vint'sihinme (26)
26-01	Chaskeun' a l'dreut d'aler e scole. Li scole ni deut rin coster, de mons po sou qu'enn'est des p'tites scoles la qu'tot l'monde deut-esse oblidji d'aler. On deut trover tot-avaa des scoles tecniques et professioneles ; tot l'monde so-l'minme pid deu poleur fe des hotes-etudes sorlon ses merites et ses quaalites.
26-02	L'educaacion deut permete a chaskeun' de fe frudji ses capaacites et deut rinde pus fwert li respet des dreuts d'l'ome et des prumires libertes. Ele deut aminer les djins di tot l'minme quele race ou r'lidjon, les peupes et les naacions, a s'mi comprinde et s'supwerter, tot fant hot avou les Naacions-Unies po sou qu'est de garanti l'paye.
26-03	C'e-st-aa prumi rang aas parints qu'i r'vint de tchuzi l'meyeuse sicole po leus-efants.
27-00	Artike vint'setinme (27)
27-01	Chaskeun' a l'dreut de prinde libremint paart a sou qui fet l'veye culturele de-l'comunote, de profiter des-aarts et de prinde paart aas progres de-l'syince et tot sou qu'aminet d'bon.
27-02	Chaskeun' a l'dreut de veuy garanti ses-interets po des-ouves di syince, di scriyedje ou d'aartisse, qu'enne l'oteur.
28-00	Artike vint'utinme (28)
28-01	C'e-st-on dreut po chaskeun' qui l'monde rote di tele manire qui, po 'ne classe ou l'ote de-l'societe come d'on payis a l'ote, les dreuts et les libertes qui s'trovet chal rachous si polesse mete en-aledje.
29-00	Artike vint'nouvinme (29)
29-01	L'ome a des dvwers po l'communote wice qu'i pout degn'mint crehe et viker.
29-02	Po sou qu'enn'est d'ses dreuts et d'ses libertes, chaskeun' divret d'morer d'vins les-aroyes qui li lwe a metou djusse po garanti li rik'nohance et l'respet des libertes des-otes, de-l'moraale, de-l'tranquilite et de-l'binaahiste d'turtos divins 'ne societe d'democraates.
