00-00	BATAAXAL GU MAG GI EMB SAN-SANI DOOMI AADAMA
00-01	Nu japp te nangu ne sagu doomi aadama ak san-sanam yepp-danu yam te kenn menukoo jalgati, te lu lepp nekk na ces laay ci taxufeex ci mbirum atte ak jamm ci biir adduna.
00-02	Nu japp ne nakk xam ak soofantal san-sani doomi aadama indi na aymusiba yu tar tax kepp kuy dund fippu. Temano egsi na ba mu nekk ci doomi aadama nu men a wax, xalaat, ci seen coobare, bundxatal, nakk deddu leen.
00-03	Nu japp ne am na solo lool nu aar san-sani doomu aadama ak ay matukaay ci wallu yoon; ngir doomu aadama moomu kenn du ko sonal, muy fippu ci nootaange ak lu koy bunduxatal.
00-04	Nu japp ne am na solo lool nu goor-goorlu ba gen a rataxal jokkalante gi diggante xeet yi.
00-05	Nu japp ne ci bataaxal boobule mbootaayu xeet yi yeesalaat na ay pas-pasam jeme ko ci san-sani doomi aadama yu tolloo, ci sag, ci bir lepp lu aju ci dundin diggante goor ak jigeen, ci biir tawfeex gu yaa.
00-06	Nu japp ne reew yi ci bokk jel nanu ay matukaay ngir degeral jokkalante gi ak mbootaayu xeet yi, nu naw it bu baax sann-sani doomi aadama ak tawfeex yu woor ci biir adduna yepp.
00-07	Nu japp ne and taxawal san-san yeek tawfeex yi nekk na lu am solo lool ngir, darajaal matukaay yooyu.
00-08	Ndaje mu mag mi biral na ci bataaxal bii ne xeet yepp, reew yepp ak kurel yepp nu japp li ci nekk, ci seen xel, te nu goor-goorlu, nu jaarale lii lepp ci njang mi ak yar gi.
00-09	Nu lawal san-san yeek taawfeex yi jel aymatukaay ci biirak bitim reew.
00-10	Nu nangu te di doxal fepp ci anam gu wer ci biir xeet yi sosoo ci reew i bokk ci mbootaay gi ak gox yi bootu ci noom.
01-00	1. Matukaay bu jekk bi
01-01	Doomi aadama yepp danuy juddu, yam ci tawfeex ci sag ak san-san. Nekk na it ku xam degg te and na ak xelam, te war naa jeflante ak nawleen, te teg ko ci wallu mbokk.
02-00	2. Naareelu matukaay
02-01	Ku ne men naa wax ne am na ay san-san ak ay tawfeex yu sosoo ci bataaxal bii te amul xeej ak seen, rawatina ci wallu xeet, melo, awra, lakk, diine, peete ci wallu politig, xalaat, reew mbaa askan woo men ti sosoo, ci it wallu juddu alal ak lu mu men ti doon.
02-02	Rax sa dolli amul xeej ak seen ci politig, yoon, mbaa doxalin wu aju ci bitim reew mbaa suuf soo xamne nit ki fa la cosaanoo; reew moomu mbaa suuf soosu moom na boppam walla deet, mbaa nu yamale yengu-yengoom.
03-00	3. Natteelu matukaay
03-01	Nit kune war naa dund ci tawfeex ak kaaraange.
04-00	4. Neenteelu matukaay
04-01	Warunoo def kenn jaam mbaa mbindaan. Njaam ak njaayum jaam nanguwunu ko ci anam gu mu men ti doon.
05-00	5. Juroomeelu matukaay
05-01	Warunoo mbugal, tutal, mbaa teg kenn lu metti lool lu yelloo wul ak doomu aadama.
06-00	6. Juroom benneeli matukaay
