00-00	Yirisaro fooku consiroma aduriya mii
00-01	Ti ka coote maa yissaro Fooku mii da ta neki sa o i se o yon; o i Fo da i o daari;
00-02	Ti ka coote maa noore yirisaro ta yaate kpeemma boma mii, da neki-di panto o se o yon o i Fo da i o daari;
00-03	Tika coote maa yirisaro Fooku ta wiri, da neki-di nee yiro ta bo, o nukpiikiba n yi o tetin-na;
00-04	Ti ka turi ti coote maa kpeeto tokitibu ta daari tinkpanne na de tore;
00-05	Ti kanka coote maa pe na do ba ta da i biinni Fooku n sooki ku yi ba daari-na;
00-06	Ti ka coote maa anduriya kaatooya, yaa ta yau na yirisaro Fooku darima yaama ya ta yembiri da seena ya n kaate ya n yiirun sabare-de ta yau-na maa yirisaro Fooku daari-ma yaama ya te de:
01-00	Popooma (1)
01-01	Yiriba na ba sikindo dare ba meeri, da seena yirimma mii ba ta da i neki ba tooba.
02-00	Yennema (2)
02-01	Yirisaro ba o wan, nee o ta bo, da nekidi o i yinri maa o ta da i Fo da sooki da i o daarina.
03-00	Taremma (3)
03-01	Yirisaro Fooku na ku consiroma yi yonda poopora-di boma-mii.
04-00	Naasemma (4)
04-01	Yirisaro o ba da i Fo sa yombitu.
05-00	Nuutemma (5)
05-01	Da ba tiri sa yiro n yi Fo pontu na yaroobu-mii yangisi tori.
06-00	Kparitemma (6)
06-01	Yirisaro ne o ta Fo o i tem o yirimma tori.
07-00	Berentemma (7)
07-01	Yiraba me-di ba maasi booti yaama consiroma mii, batisima paa.
08-00	Neitemma (8)
08-01	Yirisaro ba o wan n boti sa o bibi o n yirimma booti dannamii, o ka meende sa ba neki ba o di weenu yangisi tori.
09-00	Weitemma (9)
09-01	Da ba tiri sa ba finni yirisaro, karan o yeri o tingu yangisi tori.
10-00	Piika (10)
10-01	Yirisaro ba o wan ba ka o pee yaama sa o maa ba weenu; bootidamu teera yeembe ba o n yire ma mii.
11-00	Piika na ma yon (11)
11-01	Yirisaro ba wan ba ka o pee yaama, sa booti-dana teera maa coote ba meende sa o daari-di da meena-di o n yirimma maa o ta mu n boti ba o ma kpinsire yiri kutire nunga.
12-00	Piika na ma yenni (12)
12-01	Yirisaro ba o wan, o n yeete mii, to deeyongo ka n o yasire-ti yangisi tori, o da sooki-di o wo bo bootu.
13-00	Piika na ma taari (13)
13-01	Yirisaro ba o wan, o n yeete mii, to deeyongo ka n o yasire-ti yangisi tori, o da sooki-di o wo bo bootu.
14-00	Piika na ma naasi (14)
14-01	Yirisaro ba ka o tonge o n tinkpaanne, o da sooki-di o kori tinkpaandeende.
15-00	Piika na ma nun (15)
15-01	Da neki-di sa yiro ba o wan, o i boti tinkpaanyeetande.
16-00	Piika na ma kparun (16)
16-01	Yirisaro, ti yon-di; do ba o wan na pe ba o wan ba da sooki-di ba mansa. Sa ba yeema yi ba daari-na, da i ba yeetitooba na ba tinkpaanne nukpiikkiba da i ba tetirina.
17-00	Piika na ma beren (17)
17-01	Yirisaro o ka bo o yon, ya na tooba kari; da neki sa o i boti o n yongandenda.
18-00	Piika na ma nei (18)
18-01	Yirisaro ba o wan o tan da sooki-di o yori maa ota bansiti yirikutire-mii, yi yeema sooki ma i daari-na.
19-00	Piika na ma wei (19)
19-01	Yirisaro tan ba da i doosi-ti sa o toke tooba dabaru wo o ta yindi wo ka pori.
20-00	Piisu yenni (20)
20-01	Yirisaro ba o wan o n banga ka o pe, o da sooki-di o yungi kaatorede mii o ta neki.
21-00	Piisu yenni na ma yon (21)
21-01	Yirisaro, da neki o i yinri maa o n tinkpaande yaama ta coonni, o i pukiri yerisu su den noore de tan tara o peeke. Da tori mari ba saba dosibu ka bo, o tara taka o ne doo na o n banga ka yon sabare-de o ta neki.
22-00	Piisu yenni na ma yenni (22)
22-01	Yirisaro yon weerun ba o n seku boma mii, da seena yiriba ta da i tetina ba tooba Fooku sooki ku yi ba daari-na.
23-00	Piisu yenni na ma taari (23)
23-01	Yirisaro ne o ta Fo, da neki o tondi yerika ka o ta da i pukiri sootima.
23-02	Na tooba kari yi ta ka pukiri, yi contu i mee, yi nooya i mee, yi yeringa sooki ka i coonna tirima.
24-00	Piisu yenni na ma naasi (24)
24-01	Yerento ba o wan da neki-di o n yerika yuure ce ba ta o pe Foosima, o sooki o fakina tinkpaantoya toya o tose na o yon mangima na simma.
25-00	Piisu yenni na ma nun (25)
25-01	Yirisaro boma ka o n yeri-na, da neki-di sa o n simma mii, tooba no teete-na; maa o n Fooku ta da turi ku o daariki-na.
25-02	Bisu, da kpa na su dorima sari su nkutina, da sooti-di sa yirikuriba yii su tetiri-na.
26-00	Piisu yenni na ma kparun (26)
26-01	Yirisaro ba o wan, da neki o taka koorima.
26-02	Kooribi muyi demma i tirasi-di. Koori kpeena tookima maa, da bo yiro yimma na o n weerun yin-di.
26-03	Koorima takoma-di da seke yiro n tana simma, o sooki o Fetima o n yon o neke na yirisari to, Fooku sooki ku i daari-na aduriya mii.
27-00	Piisu yenni na ma beren (27)
27-01	Yiro ba o wan da sooki-di o tonni o n borika basima dendan o da sesesi, da ba peena.
28-00	Piisu yenni na ma nei (28)
28-01	Ba wan da yeembe-di o so o n yirimma, maa den tori yaama den noore sabare-de ta tuuri maa, da sooki da i na yonda munda.
29-00	Piisu yenni na ma wei (29)
29-01	Yiro o ka bo tooba mii, o nonge o n yeemboma toose ba demma maa yi Fooku ta da i coonna sootima, ku daarima tori ma-di ba wan ta da i yinri o to parade, sa maa aduriya kaatookpeende de ta yauna yirisaro Fooku yaama ta maa neki.
30-00	Piisu taari (30)
30-01	Da paa sa yongo ya tin tinkpaanyonde noo yaama n ciisi ya de peti sabare-de den yaama; ma den tori da ta i aduriya kaatookpeende noo Fonne.
