00-00	INKCAZO-JIKELELE NGEEMFANELO ZOLUNTU
00-01	Njengoko iimfanelo zesidima soluntu semvelo kunye neemfanelo zoluntu-jikelele olungenakunikelwa olusisisekelo senkululeko, ubulungisa noxolo emhlabeni.
00-02	Njengoko ukungananzi nokudelelwa kweemfanelo zoluntu ezingunobangela weziphumo zobukrwada ezithi zibangele ingcwangu kwisazela soluntu, kunye nesiqalo nokufika kwelizwe apho uluntu luza kuxhamla ukuthetha ngokukhululekileyo, inkolo nenkululeko engenaloyiko kunye neemfuno ezazisiweyo njengeminqweno yoluntu-jikelele.
00-03	Kwananjalo kubalulekile ke ngoko, ukuba umntu anganyanzeliswa ukufumana uncedo, okwetyeli lokugqibela, ukuchasa ubundlobongela nengcindezelo, kuba iimfanelo zesidima sobuntu mazikhuselwe ngolawulo lomthetho.
00-04	Njengokuba kubalulekile ukukhuthaza kokwandiswa kobuhlobo nemvisiswano phakathi kwezizwe.
00-05	Njengoko uluntu Lwezizwe Ezimanyeneyo luthe lwaqinisekisa kukubaluleka kweemfanelo zesidima soluntu, oku kuxabiseka kwesidima nokuxabiseka koluntu nakwiimfanelo zamadoda namakhosikazi, bathe bazimisela ukukhuthaza inkqubela yezentlalo nomgangatho obhetele kwimpilo yoluntu ekhululekileyo.
00-06	Njengoko amalungu obuRhulumente kunye nawezizwe ezimanyeneyo azimisele ukukhuthaza intlonipho yoluntu-jikelele nokuqatshelwa kweemfanelo zoluntu nokubaluleka kwenkululeko.
00-07	Njengoko iimvisiswano zesidima soluntu nenkululeko yoluntu zibalulekile ukuze kuzuzwe esi sithembiso,
00-08	NGOKU-KE NGENXA YOKO,
00-09	Intlanganiso-jikelele
00-10	Yazisa ngale nkcazo-jikelele engeemfanelo zoluntu ezikumgangatho oqhelekileyo wokuphumeza abantu bonke kunye nezizwe zonke, kude kube sekugqibeleni nokuba wonke ubani nakunye nemibutho yoluntu, ekufuneka igcine le nkcazelo, izame ukufundisa nokuqeqesha ukukhuthaza intlonipho yezomfanelo zoluntu nenkululeko, neendlela zenkqubela phambili, kwisizwe sonke nakumazwe angaphesheya ukuze kukhuseleke ummiselo-jikelele nokuqapheleka, uqwalaselo, phakathi koluntu lwamalungu oburhulumente ngokwawo, kunye nabantu bezizwe ezibaphetheyo.
01-00	Inqaku loku-1
01-01	Bonke abantu bazalwa bekhululekile belingana ngesidima nangokweemfanelo. Bonke abantu banesiphiwo sesazela nesizathu sokwenza isenzo ongathanda ukuba senziwe kumzalwane wakho.
02-00	Inqaku lesi-2
02-01	Wonke umntu unamalungelo kwiimfanelo nenkululeko eziqulathwe kule nkcazelo, ngaphandle kokwahlulwa ngobuhlanga, ibala, ubuni, ulwimi, inkolo, ezopolitiko nezinye izimvo, ezesizwe okanye ezentlalo, ezokuzalwa okanye namanye amawonga.
02-02	Ngaphezu koko, akukho mahluko unokwenziwa usekelwe kwezopolitiko, ulawulo lwezobulungisa okanye amawonga ezizwe nezizwana okanye ummandla apho umntu akhoyo, nokuba uzimele, ukuthembeka, urhulumente ongazimelanga okanye nokuba zeziphi indlela zokunciphisa ulawulo lobukumkani.
03-00	Inqaku lesi-3
03-01	Wonke umntu unelungelo lokuphila, inkululeko kunye nokhuseleko.
04-00	Inqaku lesi-4
04-01	Akukho namnye oya kugcinwa ebukhobokeni nakukhuselo lomnye umntu, kanti urhwebo ngamakhoboka aluvumelekanga nangayiphina indlela.
05-00	Inqaku lesi-5
05-01	Akukho namnye oyakuphathwa gadalala, ngenkohlakalo, ngokungenabuntu okanye ngempatho eluhlazo okanye isohlwayo.
06-00	Inqaku lesi-6
06-01	Wonke umntu unelungelo lokwamkelwa yonke indawo njengomntu phambi komthetho.
07-00	Inqaku lesi-7
07-01	Bonke abantu bayalingana phambi komthetho kwaye benamalungelo ngaphandle kocalu-calulo ngokulinganayo kukhuseleko lomthetho. Bonke abantu banelungelo lokhuselo olulinganayo oluchasene naluphina ucalu-calulo olwaphula le nkcazelo, nangokuchasene neendlela zothelekiso kucalu-calulo.
08-00	Inqaku lesi-8
08-01	Wonke umntu unelungelo loncedo lwesiphumo sobuchule benkundla yamatyala esizwe ngokomthetho owaphula iimfanelo ezibalulekileyo ezinikelwa ngumthetho wolawulo.
09-00	Inqaku le-9
09-01	Akukho namnye oza kubanjwa ngendlela engaqondakaliyo, abe libanjwa okanye abe selubhacweni.
10-00	Inqaku le-10
10-01	Wonke umntu unelungelo elipheleleyo elilinganayo nelilungileyo nokuxoxwa kwetyala esidlangalaleni yinkundla ezimeleyo okanye inkundla zamatyala ezingakhethi cala ekumisweni kwamalungelo nemfanelo zoluntu kunye naluphi na ulwaphulo mthetho amangalelwe ngalo.
11-00	Inqaku le-11
11-01	Wonke umntu omangalelwe kuba enetyala, unelungelo lokubonwa engenatyala ade abe ufunyenwe enetyala ngokwasemthethweni kwinkundla yamatyala apho ebe nesiqiniseko esifanelekileyo sokhuseleko.
11-02	Akukho namnye oya kufunyanwa enesohlwayo setyala ngenxa yomthetho okanye ukushiya isenzo esingamisa isohlwayo setyala, ngaphantsi kwamatyala esizwe nawezizwe-jikelele, nangexesha lokwenzeka kwetyala. Nakuba kubekwe isigwebo esinzima kunesiya esasisetyenziswa ngexesha lokwenzeka kwetyala.
12-00	Inqaku le-12
12-01	Akukho namnye oya kuphazanyiswa kubomi obubobakhe, kusapho lwakhe, kwikhaya lakhe okanye ngokwembalelwano, nokuba kukuhlaselwa okuhlisa isidima nodumo lomntu. Wonke umntu kufanelekile ukuba akhuselwe ngumthetho ekuphazanyisweni okanye kuhlaselo.
13-00	Inqaku le-13
13-01	Wonke umntu unelungelo lokuhamba nokuhlala phakathi kwemida yasebuRhulumenteni.
13-02	Wonke umntu unelungelo lokushiya nokuba leliphi ilizwe nelakhe ngokunjalo kwaye aphinde abuyele kwelakhe ilizwe.
14-00	Inqaku le-14
14-01	Wonke umntu unelungelo lokucela aze axhamle indawo yokhuseleko elubhacweni kwamanye amazwe.
14-02	Eli lungelo alinakukhuselwa wakumangalelwa ngenyaniso engenamvelaphi, ulwaphulo-mthetho olungenazipolitiki okanye kumthetho ochasene neenjongo zomthetho-siseko zeZizwe ezimanyeneyo.
15-00	Inqaku-15
15-01	Wonke umntu unelungelo lobuhlanga.
15-02	Akukho namnye oya kuhluthwa ubuhlanga bakhe okanye ahluthwe ilungelo lokutshintsha ubuzwe bakhe.
16-00	Inqaku le-16
16-01	Amadoda namakhosikazi aselekhulile, ngaphandle kokuthintelwa ngenxa yobuhlanga, ubuzwe okanye inkolo, banelungelo lokutshata babe nosapho. Banamalungelo alinganayo emtshatweni naxa sewuqhawukile.
16-02	Kuya kutshatwa ngokukhululekileyo nangokupheleleyo ngemvume yabo baza kuba ngumyeni nenkosikazi.
16-03	Usapho lusisisekelo esibalulekileyo sendalo kuluntu kwaye lunelungelo lokhuseleko oluvela kuluntu nakuRhulumente.
17-00	Inqaku le-17
17-01	Wonke umntu unelungelo lokuba nezinto ezizezakhe yedwa kunye nezo azidibanele nabanye.
17-02	Akukho namnye oyakuhluthwa athathelwe izinto zakhe.
18-00	Inqaku le-18
