00-00	LOGO BANGA TIGISIM NABIINA NGWE-LAO WADE
00-01	De na se we nabiina ngwea de logo banga chega chwonga wade maama kugu zege logo maama wopwolo, de chega de yezura banga ne.
00-02	De na se we de na ba toge chega chwonga to mo jaane nikantogo de tigura de popora ko twi nabiina langa ne, ye nabiina maama yaa lage se wopwolo de yezura yaa taa wora.
00-03	De na se we noono maama taa tei o tete se tigura de popora ye taa wora, fefeo de peenem ngwaane, se wade sem ja kuri.
00-04	De na se we teene maama taa jege wolim, de ni seem de mimoro.
00-05	De na se we "UN Charter" tono kom pange ko se wade sem ngwea wolim ngwaane se baara de kaana taa ye bedwe logo ywonni de wopwolo de yezura ngwaane.
00-06	De na se we UN Tigisim teene dem maama ke nimoro se chega chwonga wade sem ja kuri nabiina zula de wopwolo ngwaane.
00-07	De ta na se we ko yaa lamma lanyerane se de ni wade sento kuri se ko ja wopwolo de yezura ko ba logo banga.
00-08	De Laam wo se we
00-09	"General Assembly" dem pe
00-10	Logo Banga Tigisim Wade sem se ko taa ye wong-kolo kodoo na wo woli ko ja wopwolo de logo fogem de yezura na wo pa nabiina ngwea taa jege kuri logo banga maama ne to.
01-00	Wadaa 1
01-01	Ba loge noona maama se ba taa ye bedwe mo ba ngwea de ba chega seini, ye fefeo teira kotaa. We pe ba swa de bobonga mo se ba taa ye nubiu daane ye ba jege da ngwanga.
02-00	Wadaa 2
02-01	Logo banga tigisim wade sem pe chwonga se noono maama taa jege chega chwonga na wo pa ba ngwea taa jege zula to. Wade sem ta we ba ba fee nabiinu o chega chwonga ne naa ba cheese o dwi o yetana, o logo lane, o we joono naa o bobonga ngwaane. Wade sem ta we ba ba jege se ba taa cheese noono we o ye baaro naa kaane, kwoo o jejegero naa ba na loge o me to ngwaane.
02-02	Wade sem ta tage se woli da we popora ba jege se ka taa wora nabiina langa ne ba teo politiksi naa ko wade naa ko na ye kolo to ngwaane. Naa ba poore noono we o nwongi teo kolo ta na wo vere ko tete to ngwaane.
03-00	Wadaa 3
03-01	Ko ye noono maama chega chwonga mo se o taa ngwe ye fefeo naa foonee teira.
04-00	Wadaa 4
04-01	Wadaa kam we nabiin-yeiku naa kabe totonga naa kabe pipio daa ye taa wora logo banga ne.
05-00	Wadaa 5
05-01	Ba ba jege chwonga se ba pa noono yaare cham yerane ko na wo mange se nabiinu yaare tei to.
06-00	Wadaa 6
06-01	Noono maama ye nabiinu mo o ze pang o wo me maama logo banga yoba. Logo banga wade sem maama yiga ne, wadaa teira na wo ta we o dae nabiinu.
07-00	Wadaa 7
07-01	Nabiina maama ye bedwe mo wadaa yiga ne. Wadaa choo noono maama mo; ka ba poore nooona ka yaga. Ka kwoli nabiina maama mo se wolo wolo ye cheese o dwong.
08-00	Wadaa 8
08-01	Noono maama wae o sang noono o dwong koote delo maama wone neneene ko tu na ke o choge teo kom wade selo na pa noono wom ngwea ywona to.
09-00	Wadaa 9
09-01	Ba baa wane ba ja noono yoo yerane ba gare ba ke o peena diga naa ba zeili o o teo ne pa o vo zoora te-gaa ne.
10-00	Wadaa 10
10-01	Ba na jaane noono fee wora se ba di o sareya koote ne lanyerane ko mang de teo kom wade na tingi tei to ba ni o seene o choge naa o wo choge.
11-00	Wadaa 11
11-00	Ba na jaane noono we o choge o mange waarem ba na wo di o bora tata ba ba jege chwonga ba te we choge fee wora se ba pa ko tu chwonga se o ja loya de sareya tiina se ba woli o se ba di taane dem koote ne.
11-01	Ba baa wane ba ta we noono yaa ke o choge naa ba ta we o ve se o yaa ke kolo na mange keim chega chwonga ne to, ye ka manga ne wadaa yaa teira ko ngwaane. Ko kwaga ne tata ba baa wane ba pa noono waarem na dage de dwoi waarem delo dwi o deim yaa na wo jwong o na choge manga kalo to.
12-00	Wadaa 12
