00-00	MATT'AWEN GUBIN E GIDII NI NGAN NANG
00-01	Bochan ni ngan nang ni gubine gidii mabee mabay matt'awen, meere nge taareb matt'aw dad ngemang lik'ikane puf rogon, nga gazon taab motochiyel nge gapas u faileng,
00-02	Bochan ni yara n'ag modgun nge pimatt'awene gidii e firr'e beawe tazil nge cham rii' nga lani yanne gidii ni gubin, ere chiney iyan eke taw nga napan e faileng ninge gubine gidii make puf-puf rograd ko namon, memich mange siye modgudag u lan gum'irachaen gubine gidii ma nga'un adag nimod nikan dugliy ni aram fal'ngin lan yanne gidii,
00-03	Bochan ni batt'uf maba gaafan ni faanra dab ni motogel ngak'bee ngesul nga tomur ara ziliyeg laniyan' ni gomanga dakriy rebo kanowa ngabang, me pigichel ngecham ko am ara pitoogor, mabay matt'awen gidii ni gubin nibe kele motochiyel gafalngin,
00-04	Bochan ni batt'uf maba gaafan ni ngan obneg ziline pinam ni gubin ngara tafafel e gidii u lan mepar zilirad nib taareb,
00-05	Bochan ni pigidien fare United Nations e bayu lane Charter rorad makuba yuu' laniyan' rad nga kik'ikaen matt'awene gidii, u fane t'uf bee nge fane bagaa fan ni gidii nge fame taareb matt'awene pumoon nge ppin, mere kara dugliyed ni ngefel' kanowaene par niba matt'aw nga fizike puf rogon,
00-06	Bochan ni ke-og nage gidii ko pinam ni yad ni ngara ngongliyed ngefel', nge pez e zil ayuw rorad ngak'e United Nations, nigge mangil muun madnom nag matt' awen e gidii yange yog ninge puf rogon e par ko gidii nibfel',
00-07	Bochan ni bagaa fan nge angin ni nge gubin e gidii menang fan nge morngaagen e tin matt'awey nge tin bapuf rogoy ngay,
00-08	Aram Fane Chiney Ni,
00-09	FARE GENERAL ASSEMBLY
00-10	eke garcheg
00-11	NI NGI MARNGAAGEN NI GARCHEG MATT'AWEN GUBIN E GIDII NEY E fir'e nge bung nag rogon e gidii o pinam yange ni tomur make gubine gidii ko pinam ni dab kimaz ko lem rorad, ngebung rogon ni kuura grereged ara skul nag morngaagen nge ob nag i tay matt'awen e ngi matt'awene gidii ney, mepuf rogoy u rebo nam ngoreb ni bochane ngauda ted suwdad ni gadad gubin e gidii nu faileng, niku ba'un e pichongin e pi United Nations ngay nge kugidii ko nochi nam ni paachig nge tin gagang nge kugade gidii ni gad bay nga tan paa rebo nam.
01-00	Yang ni 1.
01-01	Gubine gidii mani gargeleg nga faileng nibapuf matt'awen nge rogon. Bay laniyan nipii e nam, ere ngauda ted matt'aawen e chaa niba chugur ngoded nimod walag dad.
02-00	Yang ni 2.
02-01	Gubine gidii maba puf matt'awen nimod nibayu lan gazon ere ngi Garcheg ney, madariy rogon nga ramaen douey, miti gidii, ppin fa pumoon, zin, taliw, am, gyog, nam, ara lik'egal kubee, ngin gargeleg bee rii', fa yuguboch ban'en.
02-02	Makueritay ni dab ni page mazil nga zilin barbaa e am nge barbaa, ggangin ara mazil u gibine nam nitin baachig nge tin gagang' ni ngin bee fachaa riy, mademutrug fare nam ko fire bamil suwon ir ngak, ara bamil suwon ngak' rebo nam fa gaangin e mti motochiyel ko fare nam.
03-00	Yang ni 3.
03-01	Gubine gidii mabay matt'awen ko birok'e pagofan, talin, nge kanowaen i ayuweg fir.
04-00	Yang ni 4.
04-01	Dab nikel bee' ngantay nimod e sib, mange maze folchuway ko gidii ni gubin.
05-00	Yang ni 5.
05-01	Dab ni gafgou nege lem ara doungin bee, fani gechig neg ni gazi miti gechig ni yama pii ko gidii.
06-00	Yang ni 6.
06-01	Gubine gidii mabay matt'awen ni ngan nang gidii u bang u mon'utan e motochiyel.
07-00	Yang ni 7.
07-01	Gubin e gidii mada taareb matt'awen lane motochiyel makueritay ni dezilzil e ayuw ko motochiyel kubee nge bee. Magubin e gidii makueritay nibay matt'awen ni tab ayuw e yaratay ngak' u lane motochiyel, makuran gechig neg ni ku taareb rogon ni gomanga kepig chel bee kepilyeg bayang ko ngi Garcheg ney ara marwee ngadaken ngawuruu' e kanowa'.
08-00	Yang ni 8.
08-01	Gubine gidii mabay matta'wen ninge papey nni pizig fapaa i oloboch rok' u lane motochiyel ni ba matt'aw nge kanowaen ni bamatt'aw u lane motochiye kofare nam.
09-00	Yani ni 9.
09-01	Dab nipos mini tay liben bee' nganin ni m'ag ara ni kalbus neg, ara ni tuluf ngemil' yade matt'aw ko motochiyel.
10-00	Yang ni 10.
10-01	Gubine gidii maba matt'aw ni yara pizig e loboch rok' rok' u mite yoor u mit rebo tapuf oloboch nge dugil fapaa i oloboch rok'ay ngabang.
11-00	Yang ni 11.
11-00	Gubine gidii ni kani eg neg u bapaa e oloboch mamon' ma bay matt'awen fachaa ni dawori buche rok' ko fapaa i oloboch nge miti oloboch makemus ni fin yara pizig fapaa i oloboch rok' u mite tapuf oloboch nge yoor nge mich ni k'ab fachaa bapaa e oloboch, mafachaa e kubay matt'awen ni yara ayuweg u lane puf oloboch.
11-01	Dab ni m'ag ara nitay niba buche rok' beeu bapaa e oloboch fa ban'en ni bochan bapaa e oloboch nike maz-nibochan e motochiyel ko nam ara faileng ko ngiyal' ni z'ab fachaa fapaa i oloboch. Fa ni gechig nag ngepag tolngin kobin baaray ni bamatt'aw ko ngilan' ni z'ab fachaa fapaa i oloboch.
12-00	Yang ni 12.
12-01	Dab nog ni nge pigichel bee kotirok' ban'em, ni ere tabinaw, tafen, babiyor fe cham nga morngaagen ara zin. Gubine gidii mabay matt'awen u lane motochiyel ko ayuw u ban'en ni pigi cham bee ko fachaa ara wagegey ngak'.
13-00	Yang ni 13.
13-00	Gubine gidii mabay matt'awen maba puf rogon ko yan nge par u lane mazil ko fare nam rok'.
13-01	Gubine gidii mabay matt'awen nira chuw u rebo nam fa birok'e nam, nge sul ko birok'e nam.
14-00	Yang ni 14.
14-00	Gubine gidii mabay matt'awen ni nge gawag rebo nam nge mil ngay ni bochan rin lii ngem fa yuguni gafgow nag ni yugu dariy fan.
14-01	Yira chuweg e biney e matawen rok'e ani mil nga rebe nam ni bochane z'ab rebe motochiel ni bagel e gechig riy fa yam e gechig riy ma kuba togopuluw ko gomeyngin nge motochiel ko United Nations.
15-00	Yang ni 15.
15-00	Gubine gidii mabay matt'awen ni ngeyog taffen.
15-01	Dab ni siyeg i pii bang u rebo nam ni ngemang taffen bee ni bening, ara nidigey ara siyeg ni dabi ziliyeg bee taffen.
16-00	Yang ni 16.
16-00	Ma ppin nge pumu-on nike taw ngaduan, made mutrug rama-en dow, nge ngin'en ni bee fachaa riy, titaliw nibfol ngaa, e bay matt'awen ni ramabgol nge gaweg e tabinaw ngak'. Ma galichaa nikara mabgol rorow ngenitawko ngiyal' ni kara dar ara kem' bagyow.
16-01	Ma mabgol e zingari lee l'agruw nii nibapuf rogorow mayou baadagew yow.
16-02	Ma fare ppin nge fare pumu-on nikaramabgol gowe yowe m'ag ko binaw rorow makueritay gubin e ayuw ko fangin you bee riy ni ngeyuu' ngorou.
17-00	Yang ni 17.
17-00	Gubine gidii mabay matt'awen ninge taliy e machaf ara binaw ni goofir rok' ara bachagil ngak' rebo ulung fa boche gidii.
17-01	Dab ni ziribog bee u taffen ara nifek talin fachaa.
18-00	Yang ni 18.
18-01	Gubine gidii mabay matt'awen ni ngepuf e lem, yaa nge taliw, makuba un ngalan matt'awen nira ziliyege rabaa rok'e taliw nge'un nga barbaa, fe chagil nga boche gidii u yurbaa e taliw, maba puf rogon ko tin nge skul neg ko gidii ara yibilay ara i madnom nag.
19-00	Yang ni 19.
