00-00	alghu amaddlan n izrfan n ufgan
00-01	lligh tga tukza n ullalu n kaygat yan gh tawzha tanafgant d umgiddi n izrfan nnsn tirsal n tdrfit d tzrft d ufra gh umaddal.
00-02	tg tamttawt n izrfan n ufgan ad ittawin tugtt n mad ihrshn ar isfafa afrak n ufgan, afad ad yili yan umaddal nna gh ttili dar ufgan tadrfit n wawal d usgd, yanf i asdidi d tammara.
00-03	d lligh iga ufrag n izrfann n umdan yan ufggag n yan ungraw n izrfann afad afgan ad ur isti, g tyira, aghwwgh mgal n tdnka d uzzlag; d lligh iqqan ad tdus tmrniwt n tuqqniwin n tiddukla ngr n tmtta,
00-04	d lligh illa g tnttamt id igdudn n tmtta imunn nnan digh taflst nnsn g izrfann ifggagn n ufgan, d tizi d watig n wudm anfgan, d umgiddi n izrfann n irgazn d twtmin, rnun nnan is ran ad smghurn alay anamun d tfadiwin ighudan n tudrt g tlla tdrfit imqqurn,
00-05	d lligh msushkan iwankn igmamn, s twsin n tmaddast n tmtta imunn, afad ad yili wzrak amaddlan amskar n tdrfiyin d izrfan ifggagn n ufgan,
00-06	d lligh iga ufrak s izrfan d tdrfit askkin akswat fadd ad ittug usughn ad,
00-07	issafgh d ugraw amatay alghu amaddlan n izrfan n ufgan ad, fad ayg yan uswir nna s ilaq ad nn awddn ak igdudn d tmtta fadd ak middn d ifrdisn n wamun, ikttin
00-08	alghu ad, ad dusn, s usslmd d usgmi, sbughlun d uzrak n izrfann d tdrfiyin, afad, s tghtasin izdin tinamurin d timaddlanin, ad ttyakzn gin imskarn imaddlann, ngr n imzdagh n iwankn igmamn ngh ngr ikalln nna illan ddaw n tnaddt nnsn.
01-00	amagrad 1
01-01	ar d ttlalan middn gan ilellitn mgaddan gh waddur d izrfan, yili ak darsn unlli d ufrak, illa flla sn ad ttmyawasn ngratsn s tagmat.
02-00	amagrad 2
02-01	ku yan izzddarr ad ittttf kullu izrfan d tdrfiyin lli illan gh ulghu ad, ad ur yili usnuhhyu, zund win uzzurr, ngh aklu, ngh anaw, ngh tutlayt, ngh asgd, ngh tannayt tasrtant ngh tannayt yaddn, ngh mad izzlin s asurs amadan, ngh win ayda ngh win tlalit ngh asurs yaddn. amr asnuhhyu ngr irgazn  timgharin.
02-02	ur d iqqan ad yili usnuhhyu ittttfn s waddad asrtan, ngh azrfan ngh amaddlan n tamurt ngh akal gh iddr ufgan, ad tg tmurt ad ngh akal ad adrfi, ngh amsnal ngh warasiman ngh as ittuga kra n uwttu.
03-00	amagrad 3
03-01	ku yan illa dars uzrf gh tudrt d tdrfit d tnfrut tanimant.
04-00	amagrad 4
04-01	awd yan ur izddar ad dars ilin ismagn , ula ad izznza ar issagh afgan.
05-00	amagrad 5
05-01	ur d iqqan ad yili asrfufn n awd yan, ula timskrt ikhshnn lli issmzzzziyn addur n ufgan.
06-00	amagrad 6
06-01	ku yan illa dars uzrf n tukza n iman ns azrfan gh kaygat adghar.
07-00	amagrad 7
07-01	mgaddan ak middn mnid n ulugn yili darsn uzrf n uhhttttu n ulugn amr asnuhhyu, ghiklli darsn illa uzrf gh uhhttttu imgaddan mnid n asnuhhyu nna d ur imshushkin d ulghu yad.
08-00	amagrad 8
08-01	ku yan illa dars uzrf ad iftu s tinfgarin tinamurin igh illa kra uzggal gh izrfan nns lli yas ifka ulugn.
09-00	amagrad 9
09-01	ittukkas ad ittyimizz ufgan ngh ad ittukraf ngh ad tizzug yan amr alug.
10-00	amagrad 10
10-01	gaddan ak middn gh uzrf, n adzrin gh umnid n tanfgart tasimant tarawsant, nna ittggan taghtast, izzlin s izrfan nns ngh izushshln nns, ngh tilawt n uynna as ittusbabban g igr n izggaln izrfann.
11-00	amagrad 11
11-01	urittili ubkkidd khf kra n yan ard ibayn gh mnid n tdabut ilint gis tnfrutin n umzagh.
11-02	ur ittili ittyamzz kra n yan khf twuri nghd igh ur iri ad iskr tawuri ghas igh iga mayan ubkkidd g mnid n ulugn anamur nghd agraghlan gh tizi nns, d ur fllas ttili kra n tmmara abla tin tizi ann lligh ittuskar ubkkidd.
12-00	amagrad 12
12-01	ur ikhssssa ad yili kra ukshshm ikhshshn gh tudrt izzlin s kra n yan nghd tin twzha nns nghd azddugh nns nghd imyawaddn nns ghd addur nns. yili dar ku yan uzrf n uhhttttu n ulugn gh zund akshshum ad.
13-00	amagrad 13
13-01	ku yan dars tadrfitn usikl d ad isti adghar n uzddugh nns gh iwutta n uwank.
13-02	ku yan dars tadrfitn ad iffgh tamurt, tinns ngh tiyyadd, nns yili dars uzrf ad dis yurri.
14-00	amagrad 14
14-01	ku yan dars azrf ad immuddu s tmazirt yaddn nghd ad dis irwl igh illa ma ikhshshn.
14-02	ur ittufka uzrf ad i wanna immuddan afad ad isdabu khf ubkkidd isrtan nghd tighawsiwin lli ur issushkan d iwttasn d imnzayn n tmtta imunn.
15-00	amagrad 15
15-01	ku yan illa dars uzrf n tnamunt nns.
15-02	ur ikhssssa ad ittwakkas uzrf n tnamunt nghd wanna iran a ts isnfl.
16-00	amagrad 16
16-01	illa uzrf dar urgaz d tmghart, g uzmz d yussan, ad ttihln skrn tawzha nns bla illa kra n usskrf izzlin s tnamunt, ngh anaw nghd asgd. mgaddan awd gh izrfan suln mun ngh g bttttu nnsn
16-02	ur ittili littihal ghas igh ira urgaz d tmghart d ur igi fllasn bzziz.
16-03	iwl ad iskarn g twzha ad tg tulgint, nntan ad igan tasila n wamun.
17-00	amagrad 17
17-01	ku yan illa dars uzrf n tilit ad yili i wul nns ngh d wiyyadd.
17-02	ur ikhassssa ad ttukas tilit n awd yan.
