00-00	MASH AINTSTI IWIAKMAU AYAMPRUMATI
00-01	Juu nunkanam aintsti ankant nuya mai metekrak warasar penker pujustin awai nuka iniuiti mash aisttiniununa yasha atantin jeatsuái.
00-02	Penker inintimsamka aintsti nekàchmaujai nuya timianchau inintimtakur aintsu penkeri nuya mai metekrak warasar pujutin emesmaji, tu asamti seamji ankant umasmau áarat pasenumia, turakur ankant warasar pujúsarmi ii nekamujai tusar.
00-03	Aintsti inui penkeri aneakur chicham juukmakar kirak najanar ayamprumakur, aintsnaun kajerin ainiaush nepekatatji turakur kakaram wajastatji.
00-04	Penkerka juu nunkanam warasar nuya metekrak aujmatsar pujakur eemtikji iniau nuya mash aintsti takakmau.
00-05	Aintsti iwiakmauri nuya penkeri inintimtusar yajaa nunkanmaya aints iruntraru juu takatan najanawaruiti, nuwasha aishmanjai mai metek arat tusar nuya aintsan chichaman jusaruiti ikiakartai turam maimetek ankan suritkachmau emkarat juu iwiakmaunum tusar.
00-06	Mash nunkanam chichamant sumamsaruiti iruntrar aints iruntraru nuya mash nunkanmaya aintsnau ayampruktai tusar chicham jusamuiti.
00-07	Inintimsar chicham sumamasar aintsnau nuya aintsti akan pujustin chichamramka penke shirmaiti.
00-08	JUNT IRUNTRAMU
00-09	MASH NEKAMTIKMAU AINTSU IWIAKMAURI AYAMPRUMATIRI
00-10	Mashti inintimmau jusamuka, aintsti iwiakmauri mash nunkanam pant awajjsamu ati tamawiti tu asamti ii aintsti iruntrautikia ikiakartiniutji, unuimiatiniam páant jintiamu ati tiri turakur aintstiniau. nuya itiur ankan pujustiniuit nusha mash nekamu nuya arantukmau juaktatui.ii pujamunmasha nuya yaja nunkanam.
01-00	Umiktiniun iniakmauri kichik (Artículo 1)
01-01	Penker inintimsamka mash aintsti ankan, metekrin nuya nii penkerin takakui nii akiniamunmaya tu ausamti arantukmau atinuitji mai metekrak.
02-00	Umiktiniun iniakmauri jimiar (Artículo 2)
02-01	Juu chithamnumka mash aintnau ayamprumaktin takakji warinmaksha pase inintimtunitsuk, jirkauri, niniu unuimiarmaurijaish nuya kich chichamjaish, mai metek armi tamawiti.
