00-00	Цlыху Хуэфащэхэм Теухуа Дунейпсо Джэпсалъэ
00-01	Дунэепстэу Къэрал Зэгохьэныгъэм (ДКъЗ) и Зэфэсым егъэIу;
00-02	Дунэепстэу цIыфыгъэм къыхиубытэрэ хэтрэ зы цIыфи зэгохьэныгъи;
00-03	мы джэпсалъэр сыдигъуи янэгу кIагъэтызэ, мыщ къыщыхэщырэ цIыф фэшъуашэхэмрэ фитыныгъэхэмрэ янэIэ зэрэтырагъэтырэм, фашIырэ лъытэныгъэм егъэджэныгъэ-гъэсэныгъэ гъогукIэ зырагъэужьынэу;
00-04	хэгъэгу кIоцIхэми дунэепстэуми кIо къэсми нахьы зыщызыужьырэ амалхэр зыфагъэшъхьэпэзэ мы зэгохьэныгъэм хэт къэралхэм ежьымэ ялъэпкъхэри, яунашъо кIагъэтырэ нэмыкIрэ къэралмэ ялъэпкъхэри къызэкIиубытэу, дунэепстэум и тэдэрэ чIапIи мы цIыф фэшъуашэхэмрэ фитыныгъэхэмрэ къыщащтэным, лъэшэу щызэрагъэкIоным, щагъэцэкIэным фэкъудыинхэу,
00-05	цIыф фэшъуашэхэм афэгъэхьыгъэу цIыф жъугъэхэми лъэпкъхэми язэфэдэ идеал
00-06	шапхъэхэр къэзыгъэуцурэ мы дунэепстэу джэпсалъэр.
01-00	1-нэрэ пычыгъу
01-01	ЦIыф пстэури шъхьэфитэу, ялъытэныгъэрэ яфэшъуашэхэмрэкIэ зэфэдэу къалъфы. Акъылрэ зэхэшIыкI гъуазэрэ яIэшъы, зыр зым зэкъош зэхашІэ азфагу дэлъэу зэфыщытынхэ фае.
02-00	2-нэрэ пычыгъу
02-01	Хэтрэ цIыфи зэфэдэу фит мы джэпсалъэм хэт цІыф фэшъуашэхэмрэ фитыныгъэхэмрэ зыфигъэшъхьэпэнэу, зыщыщ расэм, ышъо, бзылъфыгъэ-хъулъфыгъэу зэрэщытым, ыбзэ, ыIыгъ диным, политичнэ е нэмыкIрэ еплъыкIэу иIэм, лъэпкъэу е цIыф купэу къызыхэкIыгъэм, мылъкоу иIэм, къызыщалъфыгъэм емылъытыгъэу зэхэдзынчъэу, фэгъэкIотэныгъэнчъэу.
02-02	Ащ нэмыкIэу, къэрал шъхьэфити, нэмыкIым иунашъо кIэти, зышъхьэфитыжьныгъэ (автономие) зимыIи, нэмыкIрэу зы шъхьэфитыныгъэ лъахъэ зытелъи, сыд фэдэрэ къэралым ицIыфэу щытми хэтрэ цIыфи зэхэдзыныгъэ фашIы хъущтэп зыщыщ къэралым иполитичнэ е юридическэ системэ е дунэепстэу къэралхэм азфагу щыриIэ статусым къыхэкIэу.
03-00	3-нэрэ пычыгъу
03-01	Псэуныр, шъхьэфитыныр, щынэгъончъагъэр хэти ифэшъуаш.
04-00	4-нэрэ пычыгъу
04-01	Хэти пщылIэу плъытэ е пщIылIыпIэ ибгъэты хъущтэп, сыд фэдэ шIыкIэуи пщылIыгъэр, пщылI щэн-къэщэфыныр зыми фэбдэ мыхъунэу къоды.
05-00	5-нэрэ пычыгъу
05-01	Хэти лъэшыгъэ епхьэлIэ хъущтэп, жъалымыгъэкIэ, цIыфыгъэм къемызэгъэу е инапэ зыгъэулъиин фэдэкIэ удэзекIо, ащ фэдэ тазыр теплъхьэ хъущтэп.
06-00	6-нэрэ пычыгъу
06-01	Хэти фэшъуаш тэдэрэ чIапIи цIыфэу, юридическэ лицоу къыщалъытэнэу.
07-00	7-нэрэ пычыгъу
07-01	Хэтрэ цIыфи къэрал хабзэм ипашъхьэ щызэфэд ыкIи къэрал хабзэм  къэухъумэныгъэхэр зэхэдзынчъэу, язэфэдэу зыфагъэшъхьэпэнэу фит. Хэти зэхэдзынчъэу, зэфэдэу фэшъуаш мы джэпсалъэм къемызэгъэу, зэхэдз зыхэлъ ІофшІашъохэми, ащ фэдэ ІофшІашъомэ сыд фэдэуи атегъэгушхонми къыщаухъумэнэу.
08-00	8-нэрэ пычыгъу
08-01	Хэтрэ цIыфи фитыныгъэ иІ хабзэ шъхьэІэм е къэрал хабзэм къырипэсырэ цІыф фэшъуашэхэр зыукъорэ ІофшІашъо къызехъулІэкІэ фитыныгъэ зиІэ ухыякІохэм зафигъэзэнэу, зыкъаригъэухъумэнэу.
09-00	9-нэрэ пычыгъу
09-01	Хэтрэ цIыфи лажьэ имыІэу аубыти, агъэтІыси, егъэзыгъэкІэ нэмыкІрэ чІапІэ афи хъущтэп.
10-00	10-нэрэ пычыгъу
10-01	Хэтрэ цIыфи фитыныгъэ иІ ифэшъуашэхэмрэ ипшъэрылъхэмрэ аухэсы ыкІи ежьым зы лажьэ къытыралъхьэ зыхъукІэ зыми шІомылІыкІэу, зыми иунашъо кІэмытэу, зыми имытелъхьэу щыт ухыякІо шъхьэфит псэфитыр зэфагъэкІэ ыкІи нафэу иІоф ригъэплъынэу фэенэу.
11-00	11-нэрэ пычыгъу
11-00	Зы лажьэ/шІэпхъэджагъэ зытыралъхьэрэ хэтрэ цІыфи зиухыижьыным пае зыфэныкъощт щынэгъончъагъэхэр зыщигъотынэу щыт ухыигъо нафэм икІэухэу, къэрал хабзэм тетэу агъэкъончафэкІэ хыеу къалъытэ, мыхыяшъо къыраплъырэп.
11-01	Хэти агъэкъуанчэ хъущтэп, зешІэ лъэхъаным къэрал хабзэкІэ е дунэепстэу хабзэкІэ шІэпхъэджагъэу амылъытэщтыгъэ зы Іоф зэришІагъэм е ышІапхъэу къащыхъу горэ зэримышІагъэм къыхэкIыкІэ. Хэти шІэпхъэджагъэ зешІэм фэгъэуцугъэу щытыгъэ тазырым нахьыбэ тыралъхьэ хъущтэп.
12-00	12-нэрэ пычыгъу
12-01	Хэтрэ цIыфи и гъэшІэ унае, иунагъо, иунэ е зэрэзэрашІэхэрэ шІыкІэхэм шъхьэусыгъончъэу зыри къыхэІэбэ хъущтэп, инапэ, ыцІэ къеІусэ хъущтэп. Хэти фитыныгъэ иІ мыщ фэдэ къыхэІэбэныгъэхэм къэрал хабзэкІэ зыкъащаригъэухъумэнэу.
13-00	13-нэрэ пычыгъу
13-00	Хэтрэ цIыфи фитыныгъэ иІ зы хэтрэ зы къэрали ичІыналъэ шъхьэфитэу щызекІонэу, щыпсэунэу.
13-01	Хэтрэ цIыфи фитыныгъэ иІ ежьы икъэрали ахэтэу тэдэрэ къэрали икощыкІынэу ыкІи икІэрыкІэу къыгъэзэжьынэу.
14-00	14-нэрэ пычыгъу
14-00	Хэтрэ цIыфи фитыныгъэ иІ жъалымыгъэ/лые къырахынэу зыхъурэм, нэмыкІрэ къэрал ышъхьэ ригъэзынэу, шъхьэегъэзныгъэ амалхэр зыфигъэшъхьэпэнэу.
14-01	Ау ишъыпкъапIэкIэ политичнэу щымыт шІэпхъэджагъэхэм е дунэепстэу къэрал зэгохьэныгъэм имурад, ибзыпхъэхэм къемызэгърэ ІофшІашъохэм къахэкІырэ дэодапшъэхэмкIэ мы фитыныгъэр зыфэбгъэшъхьэпэ хъущтэп.
15-00	15-нэрэ пычыгъу
15-00	Хэтрэ цIыфи фитыныгъэ иІ зы къэралым ицІыфэу щытынэу.
15-01	Хэтрэ цIыфи зицІыфэу щыт къэралым шъхьэусыгъончъэу хэбгъэкІы е нэмыкІрэ къэралым ицІыф хъунэу иІэ фитыныгъэм хэбгъэны хъущтэп.
16-00	16-нэрэ пычыгъу
16-00	Зыныбжь икъугъэ хэтрэ бзылъфыгъи хъулъфыгъи фитыныгъэ иІ къызыхэкІыгъэ лъэпкъым, зицІыфэу щыт къэралым е динэу ыІыгъым къыхэкІэу зы пэрыогъуи къыфэмыуцоу, фитэу къыщэнэу, дэкІонэу, унагъо ышIэнэу.
16-01	Зэрэщэн-зэдэкІоным фэгъэхьыгъэ зэзэгъныгъэр (нэчыхьэр), зэрэщэщт-зэдэкІощтхэм ежьмэ я шъхьэфитыныгъэ шъыпкъэрэ яшІоигъоныгъэ икъурэкІэ агъэпсы.
16-02	Унагъуэр, цІыфыбэ-лъэпкъ псэукІэм и лъэбжъэ шъхьаIэшъы, ар цІыф жъугъэми къэралыми къеухъумэ.
17-00	17-нэрэ пычыгъу
17-00	Хэтрэ цIыфи фитыныгъэ иІ ежьым иунаеу е нэмыкІрэхэр иІэхьэгъоу мылъку зригъэІэнэу.
17-01	Хэтрэ цІыфи шъхьэусыгъончъэу имылъку къыIыпхы е хэбгъэны хъущтэп.
18-00	18-нэрэ пычыгъу
18-01	Хэтрэ цIыфи гупшысэ, зэхашІэ ыкІи дин фитыныгъэ иІ. Мы фитыныгъэм къызэкІеубытэ изакъоу е купэу, нафэу е унаеу (шъэфэу) итхьафэІорышІэнхэр, идинкІэ шІапхъэхэр нэрылъэгъоу аригъэшІэн, ыгъэзэкІэн фитыныгъэри.
19-00	19-нэрэ пычыгъу
19-01	Хэтрэ цIыфи фитыныгъэ иІ зэрэфаеу гупшысэнэу, игупшысэхэр къыІотэнэу. Мы фитыныгъэм къыхеубытэ цІыфыр игупшысэхэм фэшІыкІэ зыми къымыгъэгумэкІынэу, къэралыгъо гъунапкъэхэм ямылъытыгъэу шІэныгъэхэр, гупшысэхэр сыд фэдэрэ гъогукІи къылъыхъон, къыгъотын, зыIэрыгъэхьэн фитыныгъэри.
20-00	20-нэрэ пычыгъу
20-00	Хэти фитыныгъэ иІ Іэшэнчъэу, зэо-бэнэнчъэу зэфэсынэу, хасэ зэхищэнэу, зэхэщэгъэ хасэм хэхьэнэу.
20-01	Хэти зы хасэ хэхьэнэу ебгъэзы хъущтэп.
21-00	21-нэрэ пычыгъу
21-00	Хэтрэ цIыфи фитыныгъэ иІ занкІэу ежьым е фитэу къыхихыгъэ лІыкІомэ яІэкІэ къэралым изегъэкІон Іофхэм ахэхьэнэу, ахэлэжьэнэу.
21-01	Хэтрэ цIыфи фитыныгъэ иI икъэрали цIыф жъугъэми Къыфызэригъэпэшрэ амалхэр зэхэдзынчъэу, пстэуми афэдэу зыфигъэшъхьэпэнэу.
21-02	Хьыкумэт Iэшъхьэтетныгъэм илъабжъэр къэралым и цIыф жъугъэм ишІоигъоныгъ ары. А шІоигъоныгъэр къэнафэ шъэф шIыкIэм тет хэхыныгъэ фит зафэхэу е цIыфмэ яшIоигъоныгъэхэр шъхьэфит-псэфитэу къызэрэгъэлъэгъошъущт нэмыкIрэ шIыкIэхэу, зыныбжь икъугъэ цIыф пстэуми афызэIухыгъэу, яIэIэтхэми зэфэдэ кIуачIэ яIэу, пIэлъэ гъэнэфагъэкIэ къытырагъэзэжьырэхэмкIэ.
22-00	22-нэрэ пычыгъу
22-01	ЦIыф жъугъэм зэрэщыщым елъытыгъэу хэтрэ цIыфи социалнэ къэухъумэныгъэ фэшъуаш. Къэрал кIуачIэкIэ е къэралыгъомэ язэдэIэпыIэкIэ ыкIи хэтрэ къэрали ежьым игъэпсыкIэрэ иамалхэмрэ ялъытыгъэу хэтрэ цIыфи фитыныгъэ иI инапэрэ ицIыфыгъэрэкIэ гупсэфэу зэрэзиужьын ылъэкIыщт экономикэ, социалнэ ыкIи шIэнхабзэ IофкIэ зыфэныкъощт амалхэр рагъэгъотынэу.
23-00	23-нэрэ пычыгъу
23-00	Хэтрэ цIыфи фитыныгъэ иІ лэжьэнэу, фитэу иIоф къыхихынэу, зэфагъэкIэ ыкIи фэшIу амалхэмкIэ лэжьэнэу ыкIи Iофынчъагъэм къыщаухъумэнэу.
23-01	Хэтрэ цIыфи фитыныгъэ иI зэхэдзынчъэу зэфэдэ Iоф фэшI зэфэдэ уасэ къыратынэу.
23-02	Хэтрэ цIыфи фитыныгъэ иI ежьыри иунагъуи цIыфым фэшъошэн псэукIэ иIэу зыгъэпсэун, ищыкIагъэ хъумэ зылыIэсышъунэу щыт сыд Фэдэр социалнэ къэухъумэныгъэхэмкIэ кIэгъэпытагъэу зы псэукIэ амал къезытын зылъэкIынэу зы лэжьэпкIэ фэшIу къыIэрыхьэнэу.
23-03	Хэтрэ цIыфи фитыныгъэ иI ежьы ишIуагъэ пае хасэ (профсоюз, сендикэ) зэхищэнэу, ащ фэдэ зэхэщагъэм хэхьэнэу, хэтынэу.
24-00	24-нэрэ пычыгъу
24-01	Хэтрэ цIыфи фитыныгъэ иІ зигъэпэсэфынэу, ынэгу зыригъэужынэу, пстэуми афэмыдэу илэжьэгъу пIалъэ цIыф фэшъуашэ шапхъэм итэу къыфагъэпсынэу, пIэлъэ гъэнэфагъэкIэ илэжьапкIи къыратызэ гъэпсэфакIо дэкIынэу.
25-00	25-нэрэ пычыгъу
25-00	Хэтрэ цIыфи фитыныгъэ иІ ежьыри иунагъуи узынчъэн, тхъэгъо фэшъуашэ иIэу псэун пае шхыныгъо, шъуашэ, унэ ыкIи медицинскэ IэпыIэгъу ыгъотынэу. Хэти фитыныгъэ иI, Iофынчъагъэ, сымэджагъэ, фыкъуагъэ, лIыгъобагъэ, шъузэбагъэ, жъыгъэ ыкIи ежьым имыIэшIагъэ Iофыгъомэ къахэкIэу амалынчъагъэ, тхьэмыкIагъэ къылъысэу щытмэ къаухъумэнэу.
25-01	Ныхэмрэ сабийхэмрэ фитыныгъэ яI ялыеу къыкIэлъыплъынхэу, къыдэIэпыIэнхэу. Зэрэщэгъэ зэлI-зэшъуз ибынэуи зэмышъхьэгъусэмэ къалъфыгъэуи щэрэт, сабий пстэуми а зы социалнэ къэухъумэныгъэ амалхэр язэфэдэу афагъэшъхьапэ.
26-00	26-нэрэ пычыгъу
26-00	Хэтрэ цIыфи фит гъэсэныгъэ зэригъэгъотынэу. Анахь макIэмэ пэублэ ыкIи лъэбжъэ гъэсэныгъэр ахъщэнчъэу арагъэгъоты. Пэублэ гъэсэныгъэр уимыIэнкІэ амал имыІэу, егъэзыгъоу щыт. Техникэ ыкIи IэшIагъэ гъэсэныгъэр хэти фызэIухыгъэщт. Апшъэрэ гъэсэныгъэр зэхэдзынчъэу хэти фызэIухыгъэу щытын фае ежьым исэнауш (талант) елъытыгъэу.
26-01	Гъэсэныгъэр цIыфым ицIыфыгъэм икъоу зыригъэужьыным фэшIоу гъэпсыгъэу ыкIи цIыф фэшъуашэхэмрэ фитыныгъэ шъхьаIэхэмрэ афашIырэ уасэр, лъытэныгъэр ыгъэлъэшыным, кIигъэпытэным фэунэтIыгъэу щытын фае. Гъэсэныгъэм цIыфхэр ригъэгушIун фае расэ пстэуми, лъэпкъ пстэуми, дин куп пстэуми азфагу гулъытэ, зэгурыIо, зэфэшIуныгъэ, зэныбджэгъугъэ дэлъынэу ыкIи мамырныгъэр къыухъумэным пае Дунэепстэу Къэрал Зэгохьэныгъэм ригъэкIокIырэ лъэжьыгъэм зыригъэужьэу щытын фае.
26-02	Сабиймэ арагъэгъотыщт гъэсэныгъэр зыфэдэщтыр къыхэзыхынэу фитыр, пстэуми апэрэу янэрэ-ятэрэ ары.
27-00	27-нэрэ пычыгъу
27-00	Хэти фитыныгъэ иІ цІыф жъугъэ шIэнхабзэ псэукIэм фитэу хэхьэнэу, хэлэжьэнэу, гъуазджэр зыфигъэшъхьэпэнэу, шIэныгъэ зыужьыныгъэм хэлэжьэнэу ыкIи ар зыфигъэшъхьэпэнэу.
27-01	Хэти фитыныгъэ иI ежьым къыгъэшIыгъэ шIэныгъэ, жабзэ (литературэ), гъуазджэ IэшIагъэхэм мылъкоу, пкIэу, уасэу, лъытэныгъэу къапакIорэр къыфаухъумэнэу.
28-00	28-нэрэ пычыгъу
28-01	Хэти фэшъуаш мы джэпсалъэм къыщыхэщырэ цIыф фэшъуашэхэмрэ фитыныгъэхэмрэ зэрагъэцэкIэшъунэу зы социалнэ ыкIи дунэепстэу гъэпсыкIэ системэ щыIэнэу.
29-00	29-нэрэ пычыгъу
29-00	Хэти ежьы ицIыфыгъэ фитэу ыкIи икъоу зыригъэужьынэу амал къезытырэ цIыф жъугъэми къэралми фишIэжьын фаеу пшъэрылъхэр иIэх.
29-01	Хэти ифэшъуашэхэр зыфигъэшъхьапэ ыкIи ифитыныгъэхэр зэрихьэ зыхъукIэ, нэмыкIми яфэшъуашэхэмрэ яфитыныгъэхэмрэ афадэн, ахэмэ лъытэныгъэ къафегъэшIыгъэн ыкIи демократичэскэ цIыф жъугъэм зэдыриIэ шэнхабзэр (этикэр), цIыф жъугъэ гъэпсыкIэр, щыIакIэр егъэшIокIоным иамалхэр къэухъумагъэ хъуным пае фэшIэу къэрал хабзэкIэ агъэнэфагъэ гъунапкъэмэ япхыгъэу щытыщт.
29-02	Сыдэущтэуи орэхъу, мы цIыф фэшъуашэхэмрэ фитыныгъэхэмрэ зыфэбгъэшъхьэпэ, зепхьэ хъущтэп Дунэепстэу Къэрал Зэгохьагъэм и гурылъ-гурышIэхэмрэ ибзыпхъэхэмрэ (принципхэмрэ) адимыштэу, апэшIуекIоу.
30-00	30-нэрэ пычыгъу
30-01	Мы джэпсалъэм къыхиубытэрэ зы хэбзэ гъэуцугъи зыгурыбгъаIо хъущтэп мыщ къыщиIотыкIыгъэ хэбзэ гъэуцугъэмэ ащыщ горэр ыIэтынэу, иукъонэу хэтрэ зы къэрали, купи, нэбгыри фитыныгъэ риты фэдэу.
