00-00	ܒܘܕܩܐ ܬܝܒ݂ܠܝܐ ܠܦܘܬ ܙܕܩܐ ܐܢܫܝܐ
00-01	ܡܢ ܣܒܒ ܡܘܕܝܬܐ ܒܐܝܩܪܐ ܫܪܫܢܝܐ ܠܟܠܗ ܗܕܡܐ ܕܟܠܦܬ ܕܒܪܢܫܘܬܐ ܘܒܙܕܩܐ ܠܐ ܡܬܝܗܒ݂ܢܐ ܐܝܢܐ ܐܣܟܝܡܐ ܕܚܐܪܘܬܐ ܘܟܝܢܘܬܐ ܘܫܠܡܐ ܓܘ ܬܝܒ݂ܠ.
00-02	ܡܢ ܣܒܒ ܦܠܛܐ ܕܠܐ ܡܝܩܪܬܐ ܘܡܣܠܝܬܐ ܕܙܕܩܐ ܐܢܫܝܐ ܝܒ݂ܕܥܢܐ ܠܥܒ݂ܕܘܝܬܐ ܒܪܒܪܝܐ ܘܥܓܙܢܐ ܠܐܢܝܬ ܕܒܪܢܫܘܬܐ. ܘܐܬܵܝܬܵܐ ܚܕ ܕܘܢܝܐ ܐܝܟܐ ܕܒܪܢܫܐ ܒܕ ܦܨܚ ܒܚܐܪܘܬܐ ܕܗܡܙܡܬܐ ܘܗܝܡܢܘܬܐ ܘܚܐܪܘܬܐ ܡܢ ܙܕܪܘܥܬܐ ܘܣܢܝܩܘܬܐ ܦܝܫܝ ܡܘܪܒ݂ܚܐ ܐܝܟ ܐܢܝ ܢܝܼܫܐ ܒܘܫ ܥܠܝܐ ܕܐܢܫܐ ܥܝܕܝܐ.
00-03	ܡܢ ܣܒܒ ܐܢܢܩܝܬܐܝܠܗ ܩܐ ܩܢܘܢ ܫܐܩܠ ܫܘܦܐ ܠܢܛܪܬܐ ܙܕܩܐ ܕܒܪܢܫܐ ܩܐ ܠܐ ܥܒ݂ܕ ܡܪܘܕܘܬܐ ܕܪܩܒܠ ܕܛܪܘܢܐ ܘܙܠܘܡܝܐ.
00-04	ܡܢ ܣܒܒ ܥܡܹܐ ܕܐܡܘܬܐ ܡܚܝܕܐ ܡܫܪܘܪܢܐ ܓܘ ܥܘܬܕܐ ܗܝܡܢܘܬܝ ܓܘ ܙܕܩܐ ܐܢܫܝܐ ܘܓܘ ܐܝܩܪܐ ܦܪܨܘܦܝܐ ܘܒܪܒܪܘܬܐ ܓܘ ܙܕܩܐ ܘܫܘܝܐ ܕܢܫܐ ܘܕܟ݂ܪܐ. ܘܩܒ݂ܘܠܢܐ ܠܬܡܘܡܐ ܠܡܛܘܪܬܐ ܫܘܫܛܐ ܫܘܬܦܝܐ ܘܡܪܡܬܐ ܕܚܝܐ ܥܠ ܚܕ ܕܪܓ݂ܐ ܒܘܫ ܥܠܝܐ ܓܘ ܚܕ ܐܐܪ ܕܚܐܪܘܬܐ ܒܘܫ ܪܘܚܬܐ.
00-05	ܘܡܢ ܣܒܒ ܕܐܬܪܘܬܐ ܗܕܡܐ ܩܒ݂ܘܠܢܐ ܕܗܝܪܐ ܥܡ ܐܡܘܬܐ ܡܚܝܕܐ ܠܡܪܘܚܬܐ ܕܙܕܩܐ ܐܢܫܝܐ ܘܢܛܪܬܐ ܚܐܪܘܬܐ ܫܪܫܢܝܬܐ.
00-06	ܐܝܟܐ ܦܪܡܝܬܐ ܟܠܢܝܬܐ ܠܐܢܐ ܙܕܩܐ ܘܚܐܪܘܝܬܐ ܐܝܢܐ ܐܢܢܩܝܐ ܠܬܡܡܬܐ ܐܗܐ ܩܘܠܐ.
00-07	ܒܘܕ ܐܗܐ ܟܢܘܫܝܐ ܓܘܢܝܐ܆
00-08	ܡܘܕܘܝܠܗ ܕܐܗܐ ܒܘܕܩܐ ܬܝܒ݂ܠܝܐ ܕܙܕܩܐ ܐܢܫܝܐ ܐܝܠܐ ܚܕ ܡܟܡܠܬܐ ܓܘܢܝܬܐ ܩܐ ܟܠܗ ܐܢܫܐ ܘܐܬܪܘܬܐ ܠܦܘܬ ܢܝܫܐ ܕܟܠ ܦܪܣܘܦܐ ܘܟܠ ܓܘܫܡܐ ܕܫܘܬܦܘܬܐ ܕܬܚܪܐ ܗܡܫܐ ܠܐܗܐ ܥܘܬܕܐ ܘܓ̰ܪܒܝ ܠܡܩܪܝܬܐ ܘܡܠܦܬܐ ܘܠܡܪܘܚܬܐ ܐܝܩܪܐ ܩܐ ܐܢܐ ܙܕܩܐ ܘܚܐܪܘܬܐ ܒܝܕ ܐܘܪܚܬܐ ܡܬܩܕܡܢܐ ܐܬܪܢܝܐ ܘܬܝܒ݂ܠܝܐ ܠܢܛܪܬܐ ܠܐܢܐ ܦܣܘܠܝܬܐ ܡܬܩܕܡܢܐ.
01-00	ܡܠܘܐܐ 1
01-01	ܟܠ ܒܪܢܫܐ ܒܪܝܠܗ ܚܐܪܐ ܘܒܪܒܪ ܓܘ ܐܝܩܪܐ ܘܙܕܩܐ. ܘܦܝܫܝܠܗ ܝܗܒܐ ܗܘܢܐ ܘܐܢܝܬ. ܒܘܕ ܕܐܗܐ ܓܫܩܬܝ ܥܠ ܐܚܪܢܐ ܓܪܓ ܗܘܝܐ ܒܚܕ ܪܘܚܐ ܕܐܚܢܘܬܐ.
02-00	ܡܠܘܐܐ 2
02-01	ܟܠ ܚܕ ܐܝܬܠܗ ܗܩܘܬܐ ܠܙܕܩܐ ܘܚܐܪܘܬܐ ܕܦܝܫܢܐ ܪܫܝܡܐ ܓܘ ܕܐܗܐ ܒܘܕܩܐ ܕܠܐ ܗܟ̰ ܦܘܪܫܘܢܝܐ ܒܝܠ ܬܗܪ ܐܝܟ ܓܢܣܐ ܘܪܢܓܐ ܘܢܫܐ ܘܕܟ݂ܪܐ ܘܠܫܢܐ ܘܬܘܕܝܬܐ. ܘܦܘܠܝܛܝܩܝ ܝܢ ܪܥܝܢܐ ܐܚܪܢܐ. ܐܘܦܙܐ ܦܘܪܫܘܢܝܐ ܓܪܓ ܠܐ ܦܐܥܫ ܡܘܬܒܐ ܒܣܒܒ ܐܟܢܝܘܬܐ ܦܘܠܝܛܝܩܝܬܐ ܝܢ ܬܒ݂ܠܝܬܐ ܕܚܕ ܐܬܪܐ ܝܢ ܐܪܥܐ ܕܚܕ ܦܪܣܘܦܐ ܕܣܝܪܝܠܗ ܒܝܗ.
03-00	ܡܠܘܐܐ 3
03-01	ܟܠ ܚܕ ܐܝܬܠܗ ܗܩܘܬܐ ܠܚܝܐ ܘܚܐܪܘܬܐ ܘܫܝܢܐ ܦܪܣܘܦܝܐ.
04-00	ܡܠܘܐܐ 4
04-01	ܗܟ̰ ܚܕ ܓܪܓ ܠܐ ܦܐܫ ܕܒ݂ܝܩܕܐ ܓܘ ܩܘܠܘܬܐ ܝܢ ܚܠܡܬܘܬܐ ܝܢ ܬܘܓܪܘܬܐ ܕܩܠܘܬܐ ܘܚܠܡܬܘܬܐ.
05-00	ܡܠܘܐܐ 5
05-01	ܗܟ̰ ܚܕ ܦܪܣܘܦܐ ܓܪܓ ܠܐ ܦܐܫ ܥܘܓܙܐ ܝܢ ܐܝܩܪܐ ܫܩܝܠܐ ܝܢ ܙܠܝܡܐ ܝܢ ܬܢܒܐ ܝܗܒܐ.
06-00	ܡܠܘܐܐ 6
06-01	ܟܠ ܚܕ ܐܢܫܐ ܓܪܓ ܦܐܫ ܡܘܕܝܐ ܒܝܗ ܐܝܟ ܚܕ ܦܪܣܘܦܐ ܩܡ ܩܐܢܘܢ.
07-00	ܡܠܘܐܐ 7
07-01	ܟܠ ܐܢܫܐ ܝܠܗ ܒܪܒܪ ܩܡ ܩܐܢܘܢ ܘܓܪܓ ܦܐܫ ܢܛܝܪܐ ܒܝܕ ܩܐܢܘܢ ܕܠܐ ܡܬܘܬܐ ܕܦܘܪܫܘܢܝܐ ܒܠܝܗܝ. ܘܟܠ ܐܢܫܐ ܓܪܓ ܦܝܫܝ ܢܛܝܪܐ ܒܪܒܪ ܩܡ ܟܠ ܦܘܪܫܘܢܝܐ ܕܫܡܛܬܐ ܕܫܪܥܬ ܕܐܗܐ ܒܘܕܩܐ.
08-00	ܡܠܘܐܐ 8
