00-00	Кижиниҥ тап‐эриктериниҥ Текши  Декларациязы
00-01	Кижилик билезиниҥ  ончо турчыларыныҥ јарамыкту, јакшы јанын, онойдо ок теҥ‐тай ла туура салбас тап‐эриктерин ајаруга алганы олордыҥ јайымыныҥ, ак‐чегиниҥ ле текшилей амыр‐энчӱниҥ тӧзӧгӧзи болот; кижиниҥ тап‐эригин керекке албай, кыйа кӧргӧни шок‐табаруларга экелгенин ајаруга алып, оноҥ улам кижиликтиҥ агару кӱӱн‐табын ачындырат.  Улуста ачык сӧстиҥ  јайымы болотон ло једикпес‐тутактаҥ ла коркорынаҥ јайым јадынјӱрӱмди тӧзӧгӧни улустыҥ ичкери јӱткимели деп јарлалган; кижиниҥ тапэриги  јасактыҥ јаҥыла кыйалтазы јогынаҥ корулалары  ајаруга алылар учурлу. Чокымдап айтса, кижи кӧмӧ базышка удура туруп чыгарыныҥ эпаргазыла тузаланбазын; албатылар ортодогы најылык колбулардыҥ ӧзӱмин јӧмӧӧрин ајаруга алып; онойдо ок Бириктирилген Нациялардыҥ калыктары бойыныҥ Уставында кижиниҥ тӧс тап‐эригине  бӱдӱмјизин јӧмӧгӧнин ајаруга алып, ӱзеери кажы ла кижиниҥ кижилик кӱӱндӱ байлыгын ла эр ле эпши кижиниҥ  теҥ‐тай тап‐эриктӱ болорын ајаруга  алып, јайым айалгада социальный ичкери ӧзӱмди ле јадын‐јӱрӱмниҥ айалгазын оҥдолторын јӧмӧӧр деп шӱӱлтеге келген; турчы‐ороондор Бириктирилген Нациялардыҥ Организациязыла ӧмӧ‐јӧмӧ иштеери деп молјонгонын ајаруга алып, јӧмӧлтӧболуш ажыра текши тоомјыга ла кижиниҥ тап‐эриктерин ле тӧс јайымын буспас деп айдар керек; бу тап‐эриктердиҥ ле јайымныҥ  текши учурын оҥдоорын ајаруга алганы, бу молјуны јӱрӱмде толо бӱдӱреринде сӱрекей јаан учурлу болгонын база ајаруга алып, Генеральный Ассамблея кижиниҥ тапэриктериниҥ чындык Текши Декларациязын јӱрӱмге кийдиретен каруулу иш деп јарлап јат. Каруулу ишти бӱдӱрерге текши калыктар, ороондор јилбиркеп јӱткиир учурлу. Кажы ла кижи, онойдо ок обществоныҥ кажы ла органы чындык, јӱрӱмдик Декларацияны ајаруга алып, ӱредӱниҥ ле билгирдиҥ шылтузында бу тап‐эриктерди ле јайымды тоорына, јеткилдеерине болужып‐јӧмӧжӧрине  амадазын. Онойдо ок калыктар ла ороондор ортодо иш ажыра  озочыл амадулу, текшилей јарамыкту једимге једер. Ол каруулу ишти Бириктирилген Нациялардыҥ Организациязыныҥ турчы‐ороондорыныҥ калыктары ортодо, онойдо ок олордыҥ юрисдикциязындагы јерлердеги јуртап јаткан калыктары ортодо текшилей  тооп, јӱрӱмде кийдирерин јеткилдеер.
01-00	1‐кы тизим
01-01	Ончо улус ак‐јарыкка јайым ла теҥ‐тай тап‐эриктӱ туулат. Олор санааукаалу ла чек кӱӱн‐тапту болуп бӱткен ле бой‐бойын карындаш кирези кӧрӧр лӧ јӱрер учурлу.
02-00	2‐чи тизим
02-01	Кажы ла кижиде чындык Декларацияла јарадылган ончо тап‐эриктер ле јайым болор учурлу. Мында угы, бӱдӱминиҥ ӧҥи, бӱдӱми, тили, јаҥдаган јаҥы, политикалык эмезе ӧскӧ кӧрӱми, угы‐тӧзи, социальный айалгазы, аргазы аайынча бир де  аҥылаш‐ылгамал јок болор учурлу.
02-02	Ого ӱзеери кижиниҥ јуртап јаткан јеринеҥ камааны јогынаҥ политикалык тап‐эрик аайынча эмезе калыктар ортодогы учуры аайынча бир де аҥыланыш‐башкаланыш болбос учурлу. Кижиниҥ јаткан јери кемнеҥ де камаанду, кемниҥ де корулында, бойын бойы башкарынбай да турган болзо эмезе бойыныҥ (јеринде)  суверенитединде кандый бир тудулу да болгонынаҥ камаанду болбос учурлу.
03-00	3‐чи тизим
03-01	Кажы ла кижи јадын‐јӱрӱмге, јайымга ла таҥынаҥ бойына тийерге јарабас тап‐эриктӱ.
04-00	4‐чи тизим
04-01	Кем де јалчы эмезе албанду базынчык айалгада болбос учурлу; јалчыларды садарыныҥ эмезе јалчыланарыныҥ, базынарыныҥ ончо бӱдӱми јарадылбай јат.
05-00	5‐чи тизим
05-01	Кем де кандый да кыйынга эмезе оныҥ учурын, тоомјызын тӱжӱрип турган кижи  кӱӱни јок базынышка алдыртпас учурлу.
06-00	6‐чы тизим
06-01	Кажы ла кижи, кайда да јӱрзе, оныҥ правосубъектозын тоорына тап‐эриктӱ.
07-00	7‐чи тизим
07-01	Ончо улус јасактыҥ  алдында теп‐теҥ, кандый ла ылгаш јогынаҥ јасактыҥ теҥ‐тай корулына тап‐эриктӱ. Ончо улус чындык Декларацияны бузуп турган кыйыкташтаҥ теҥ‐тай корулга тап‐эриктӱ. Онойдо ок ондый кыйыкташка  тектериштеҥ база тап‐эриктӱ.
08-00	8‐чи тизим
08-01	Кажы ла кижи ого Конституцияла эмезе јасакла берилген тӧс тап‐эриктери бузулган тужында ийделӱ, тоомјылу эл јаргыларда  тап‐эриктерин једимдӱ орныктырарга тап‐эриктӱ.
09-00	9‐чы тизим
09-01	Кемди де тууразынаҥ олјолоорго, тударга эмезе сӱрерге јарабас.
10-00	10‐чы тизим
10-01	Кажы ла кижи оныҥ тап‐эриктерин ле молјуларын чокымдаарга, онойдо ок ого эдилген уголовный бурулаштыҥ тӧзӧгӧзин чокымдаарга толо теҥ‐тайга тайанып, оныҥ кереги ачык‐јарык айалгада кӧрӱлзин ле јаргы ак‐чек, кемнеҥ де камаанду эмес чындык болзын деп тап‐эриктӱ.
11-00	11‐чи тизим
11-01	Кажы ла кижи шок‐керек эткен деп бурулатса, оныҥ бурузы јок деп ачык јаргыда јасактыҥ ээжизиле јарталбаганча, ол ӧйдиҥ туркунына коруланарына керектӱ ончо аргаларла јеткилделер  деп тап‐эриктӱ.
11-02	Кем де кандый бир керекти эткен эмезе нени де этпеген деп шылтакка тайанып, шок‐керек эткен деп јаргылатпас учурлу. Шок‐керекти эдер тужында национальный јасак эмезе калыктар ортодогы  тап‐эриктер аайынча шок керек деп чотолбогон болзо. Онойдо ок шок‐керек эдилген ӧйдӧ, болгодый кезедӱге кӧрӧ, кату кезедӱ  эдилбес.
12-00	12‐чи тизим
12-01	Оныҥ таҥынаҥ ла билелик јӱрӱмине тууразынаҥ кем де киришпес учурлу. Онойдо ок кем де оныҥ айыл‐јуртына, корреспонденциязыныҥ  јажыдына эмезе оныҥ ады‐јолына, јӱрӱмине тууразынаҥ кирижер учуры јок. Кажы ла кижи ондый табарудаҥ, кирижеринеҥ коруланар јасакка тап‐эриктӱ.
13-00	13‐чи тизим
13-01	Кажы ла кижи кажы ла ороон кеминде јайым јӱрер ле јуртап јадарга јерди талдап алар аргалу.
13-02	Кажы ла кижи кандый ла ороонноҥ јӱре берер, ол тоодо бойыныҥ, онойдо ок бойыныҥ ороонына бурылар тап‐эриктӱ.
14-00	14‐чи тизим
14-01	Кажы ла кижи истежӱдеҥ улам ӧскӧ ороондо коруланар јерди бедиреер ле коруланар јерле тузаланар аргалу.
14-02	Бу тап‐эрикле кандый истежӱ тужында тузаланарга јарабас. Качан чын ла политикалык эмес шок‐кылык эмезе керектер Бириктирилген Нациялардыҥ Организациязыныҥ  амадуларына ла ээжилерине келишпей турза.
15-00	15‐чи тизим
15-01	Кажы ла кижи гражданство алар тап‐эриктӱ.
15-02	Кандый да кижиниҥ гражданствозын эмезе гражданствозын кубултар тап‐эригин ала‐ кӧнчӧ айрыырга јарабас.
16-00	16‐чы тизим
16-01	Эр кемине јеткен эр ле эпши улус угы‐тӧзинеҥ эмезе јаҥдаган јаҥынаҥ камааны јогынаҥ айыл‐јурт тудуп, билелӱ болор тап‐эриктӱ. Олор айылјуртты тӧзӧӧр, јуртаар ла айрылыжар тужында теҥ‐тай тап‐эрикле тузаланат.
16-02	Айыл‐јурт тӧзӧп јаткан эки јаны экӱлези јайым ла эптӱ‐јӧптӱ сӧслӧ, кӱӱнле биригер аргалу.
16-03	Биле обществонныҥ тӧзи, тӧзӧгӧзи, ол обществоныҥ ла государствоныҥ јанынаҥ корулашка тап‐эриктӱ.
17-00	17‐чи тизим
17-01	Кажы ла кижи алкы‐јӧӧжӧ таҥынаҥ ээленер, эмезе ӧскӧлӧриле де кожо ээленер тап‐эриктӱ.
17-02	Кемниҥ де алкы‐јӧӧжӧзин тууразынаҥ келип айрыырга јарабас.
18-00	18‐чи тизим
18-01	Кажы ла кижи јайым кӱӱн‐санаага, ак‐чекке ле кудай јаҥына тап‐эриктӱ; бу тап‐эрикке бойыныҥ кудай јаҥын эмезе кӧрӱмин солыыры кирет, бойыныҥ јаҥын јайым јаҥдаары эмезе кӧрӱмин таҥынаҥ бойы, эмезе ӧскӧ улусла кожо јаҥдаары база кирет. Кудайлык чӱм‐јаҥ јаҥжыгуларды ӧткӱреринде тапэриктӱ.
19-00	19‐чы тизим
19-01	Кажы ла кижи бойында јайым кӧрӱмдӱ ле оны јайым чыгара айдар тапэриктӱ. Ол тап‐эрик аайынча бойыныҥ кӧрӱминеҥ јайым тудунар ла государствоныҥ гран‐кыйузынаҥ  камааны јогынаҥ  јетирӱлерди ле кӧрӱмсанааларды кандый ла эп‐сӱмелерле бедиреер, алар ла таркадар тап‐эриктӱ.
20-00	20‐чи тизим
20-01	Кажы ла кижи амыр‐энчӱ јуундарга ла ассоциацияларга кирер јайым тап‐эриктӱ.
20-02	Кемди де кандый бир ассоциацияга албан кӱчле кийдирилер аргазы јок.
21-00	21‐чи  тизим
21-01	Кажы ла кижи ороонды башкарарында чике эмезе јайым талдап алган чыгартулу улус ажыра туружар тап‐эриктӱ.
21-02	Кажы ла кижи бойыныҥ ороонында госслужбага теҥ‐тай кирер  тапэриктӱ.
21-03	Башкаруныҥ јаҥыныҥ тӧзӧгӧзинде эл‐јонныҥ кӱӱн‐табы болор учурлу; ол кӱӱн‐тап аҥылу ӧйдиҥ бажында ӧдӱп турган ак‐чек талдаштарда кӧрӱлер учурлу. Ол талдаштар текши ле теҥ‐тай талдаачы тап‐эрикле ӧдӧр учурлу. Јажытту ӱнберишле эмезе јайым ӱнберишти јеткилдеечи ӧскӧ дӧ бӱдӱмле ӧткӱрилзин.
22-00	22‐чи тизим
22-01	Кажы ла кижи обществоныҥ турчызы, айдарда, ол социальный јеткилдешке, јайым ӧзӱмге тап‐эриктӱ. Ол экономикалык, социальный ла культурный бӧлӱктерде национальный эп‐аргалар ла калыктар ортодо ӧмӧ‐јӧмӧ иш, онойдо ок кажы ла ороонныҥ  сайламазы ла аргалары ажыра ичкери ӧзӧр тап‐эриктӱ.
23-00	23‐чи тизим
23-01	Кажы ла кижи ишке, ишти јайым талдаарына, иште ак‐чек ле јарамыкту айалгага, иштеер јери јок айалгадаҥ корулалар тап‐эриктӱ.
23-02	Кажы ла кижи кандый да  кыйыкташ јогынаҥ теҥ‐тай иш учун  теҥ‐тай ишјалду болор тап‐эриктӱ.
23-03	Кажы ла кижи јолду кайралга тап‐эриктӱ. Онызы кижиге керектӱ јадын‐јӱрӱмге ле билезине јарамыкту јадынды јеткилдеер учурлу. Керек тужында, ӧскӧ дӧ социальный јеткилдешле ӱзеери  јеткилделер.
23-04	Кажы ла кижи профсоюзный биригӱни тӧзӧӧр лӧ профсоюзтарга бойыныҥ јилбӱлерин корыыр амадула кирер тап‐эриктӱ.
24-00	24‐чи тизим
24-01	Кажы ла кижи амыраарга ла бош ӧйгӧ тап‐эриктӱ. Онойдо ок иштеер кӱнди керектӱ кеминде тузаланары ла тӧлӧлип турган јаҥжыккан  амыралта (отпуск) керегинде тап‐эрик база кирет.
25-00	25‐чи тизим
25-01	Кажы ла кижи јӱрӱмдик кеми бийик болорына тап‐эриктӱ. Курсактамагы, кийим‐тудумы, айыл‐јурты, медициналык јеткидежи, керектӱ соцјеткилдеш су‐кадыкты, јадын‐јӱрӱмди керектӱ кеминде, некелтелерге келиштире болор учурлу. Иш јок артса, оору‐јобол болзо, кенек артса, јаҥыскан артса, карыыр јажы јетсе эмезе оныҥ бойынаҥ  камааны јок кӱч айалга боло берзе, кажы ла кижи тап‐эриктӱ.
25-02	Энелик ле оогош балдар аҥылу болушта ла кичеемелге тап‐эрик берет. Ончо балдар биледе, онойдо ок биледе эмес те айалгада чыккан болзо, ончозы теҥ‐тай социальный корулашла тузаланар учурлу.
26-00	26‐чы тизим
26-01	Кажы ла кижи ӱредӱге тап‐эриктӱ. Ӱредӱлик акча тӧлӧбӧзинеҥ болор учурлу. Анчада ла баштамы ла текши ӱредӱлик. Баштамы ӱредӱлик кыйалтазы јогынаҥ  болор учурлу. Технический ле профессиональный ӱредӱ ончозына јарамыкту болор учурлу. Кажы ла кижиниҥ аргаларына тайанып, бийик ӱредӱ  база ончозына јолду болор керек.
26-02	Ӱредӱлик кижиниҥ ичкери ӧзӱмине ууламјылу болор учурлу. Кижиниҥ тап‐эриктерине ле јайымыныҥ тӧс ууламјыларын элбедерине ууландырылар учурлу. Ӱредӱни калыктар ортодо тоомјыга, најылыкка, текши тил табарына јолду болор учурлу.  Угы‐тӧзи ле јаҥдаган јаҥдары аайынча бӧлӱктер ортодо оҥдомолды јӧмӧӧр. Амыр‐энчӱни  јӧмӧӧри аайынча Бириктирилген Нациялардыҥ Биригӱзиниҥ ӧткӱрип турган ижин  јӧмӧӧр учурлу.
26-03	Ада‐энелер оогош балдарына ӱредӱликтиҥ бӱдӱмин талдаарында тапэриктӱ.
27-00	27‐чи  тизим
27-01	Кажы ла кижи обществоныҥ культурный јӱрӱминде эрчимдӱ туружар тап‐эриктӱ. Кеендикле таныжар, билим ӧзӱмде туружар, турулталарыла тузаланар аргалу.
27-02	Кажы ла кижи оныҥ кӧгӱс байлыгын, ар‐јӧӧжӧлик јилбӱлерин корыыр тап‐эриктӱ. Билим, литературалык эмезе художественный иштиҥ авторы болзо, ол тап‐эриктӱ болор учурлу.
28-00	28‐чи тизим
28-01	Кажы лакижи социальный ла калык ортодогы ээжи‐аайга тап‐эриктӱ. Мында чындык Декларацияда јарадылган тап‐эриктер ле јайым  бӱткӱлинче бӱдер аргалу.
29-00	29‐чы тизим
29-01	Кажы ла кижи обществоныҥ алдында молјлу. Шак ла мында кижиниҥ толо ло јайым ичкери ӧзӱми болор аргалу.
29-02	Кажы ла кижи бойыныҥ тап‐эриктерин ле јайымын јӱрӱмде кийдирип тура, јасакла јарадылган тудуларды буспас учурлу.Ӧскӧ улустыҥ тап‐эриктерин, јайымын тооп, баалап, демократиялык обществоныҥ текши некелтезин, ээжизин буспас учурлу.
29-03	Бу тап‐эриктерди ле јайымды кийдирип, ол онойдо ок Бириктирилген Нациялардыҥ Биригӱзиниҥ ээжилерине, некелтелерине ол удура болбос учурлу.
30-00	30‐чы тизим
30-01	Чындык Декларацияда  јарадылганын кандый бир ороонго, бир бӧлӱк улуска эмезе таҥынаҥ улуска кандый бир иш эдерге эмезе кандый бир керекти эдерге, чындык Декларацияда јарадылган тап‐эрикти ле јайымды јоголторго ууландырылган деп оҥдоорго јарабас.
