00-00	ስለሰብአዊ፡መብቶች፡ለማስተማር፡ የሚረዱ፡አንዳንድ፡ዘዴዎች።
01-00	አንቀጽ፡፩፤
01-01	የሰው፡ልጅ፡ሁሉ፡ሲወለድ፡ነጻና፡በክብርና፡በመብትም፡እኩልነት፡ያለው፡ነው።፡የተፈጥሮ፡ማስተዋልና፡ሕሊና፡ስላለው፡አንዱ፡ሌላውን፡በወንድማማችነት፡መንፈስ፡መመልከት፡ይገባዋል።
02-00	አንቀጽ፡፪፤
02-01	እያንዳንዱ፡ሰው፡የዘር፡የቀለም፡የጾታ፡የቋንቋ፡የሃይማኖት፡የፖለቲካ፡ወይም፡የሌላ፡ዓይነት፡አስተሳሰብ፡የብሔራዊ፡ወይም፡የኀብረተሰብ፡ታሪክ፡የሀብት፡የትውልድ፡ወይም፡የሌላ፡ደረጃ፡ልዩነት፡ሳይኖሩ፡በዚሁ፡ውሳኔ፡የተዘረዘሩት፡መብቶችንና፡ነጻነቶች፡ሁሉ፡እንዲከበሩለት፡ይገባል።
02-02	ከዚህም፡በተቀረ፡አንድ፡ሰው፡ከሚኖርበት፡አገር፡ወይም፡ግዛት፡የፖለቲካ፡የአገዛዝ፡ወይም፡የኢንተርናሽናል፡አቋም፡የተነሳ፡አገሩ፡ነጻም፡ሆነ፡በሞግዚትነት፡አስተዳደር፡ወይም፡እራሱን፡ችሎ፡የማይተዳደር፡አገር፡ተወላጅ፡ቢሆንም፡በማንኛውም፡ዓይነት፡ገደብ፡ያለው፡አገዛዝ፡ሥር፡ቢሆንም፡ልዩነት፡አይፈጸምበትም።
03-00	አንቀጽ፡፫፤
03-01	እያንዳንዱ፡ሰው፡የመኖር፣፡በነጻነትና፡በሰላም፡የመኖሩ፡መጠበቅ፡መብት፡አለው።
04-00	አንቀጽ፡፬፤
04-01	ማንም፡ሰው፡ቢሆን፡በባርነት፡አይገዛም።፡ባርነትና፡የባሪያ፡ንግድም፡በማንኛውም፡ዓይነት፡ክልክል፡ነው።
05-00	አንቀጽ፡፭፤
05-01	ማንም፡ሰው፡ቢሆን፡የጭካኔ፡ስቃይ፡እንዳይደርስበት፡ወይም፡ከሰብዓዊ፡አፈጻጸም፡ውጭ፡የሆነ፡የተዋረድ፡ተግባር፡ወይም፡ቅጣት፡አይፈጸምበትም።
06-00	አንቀጽ፡፮፤
06-01	እያንዳንዱ፡ሰው፡በሕግ፡ፊት፡በሰው፡ዘርነቱ፡የመታወቅ፡መብት፡አለው።
07-00	አንቀጽ፡፯፤
07-01	ሰው፡ሁሉ፡በሕግ፡ፊት፡እኩል፡ነው።፡ያለአንዳች፡ልዩነትም፡ሕጉ፡ደህንነቱን፡እንዲጠበቅለት፡እኩል፡የሆነ፡መብት፡አለው።፡ይህንን፡ውሳኔ፡በመጣስ፡ከሚደረግ፡ልዩነት፡ለማድረግ፡ከሚነሳሳ፡እንዲጠበቅ፡ሁሉም፡የእኩል፡መብት፡አለው።፡
08-00	አንቀጽ፡፰፤
08-01	እያንዳንዱ፡ሰው፡በሕገ፡መንግስቱ፡ወይም፡በሕግ፡የተሰጡትን፡መሠረታዊ፡መብቶች፡ከሚጥሱ፡ድርጊቶች፡ከፍተኛ፡በሆኑ፡ብሔራዊ፡የፍርድ፡ባለስልጣኖች፡ፍጹም፡በሆነ፡መንገድ፡እንዲወገድለት፡መብት፡አለው።
09-00	አንቀጽ፡፱፤
09-01	ማንም፡ሰው፡ያለፍርድ፡ተይዞ፡እንዲታሰር፡ወይም፡በግዛት፡እንዲኖር፡አይደረግም።
10-00	አንቀጽ፡፲፤
10-01	እያንዳንዱ፡ሰው፡በመብቶቹና፡በግዴታዎቹ፡አፈጻጸም፡እንዲሁም፡በሚከሰስበት፡ማንኛውም፡ዓይነት፡የወንጀል፡ክስ፡ነጻ፡በሆነና፡በማያዳላ፡የፍርድ፡ሸንጎ፡በትክክለኛና፡በይፋ፡ጉዳዩ፡እንዲሰማለት፡የሙሉ፡እኩልነት፡መብት፡አለው።
11-00	አንቀጽ፡፲፩፤
11-01	በወንጀል፡ክስ፡የተከሰሰ፡ማንኛውም፡ሰው፡ለመከላከያው፡አስፈላጊዎች፡የሆኑትን፡ሁሉ፡አቅርቦ፡በሚከራከርበት፡የይፋ፡ፍርድ፡ቤት፡በሕግ፡መሠረት፡ወንጀለኛ፡መሆኑ፡እስቲረጋገጥበት፡ድረስ፡ከወንጀል፡ነጻ፡እንደሆነ፡የመቆጠር፡መብት፡አለው።
11-02	ማንም፡ሰው፡በብሔራዊ፡ወይም፡በኢንተርናሽናል፡ሕግ፡አንድ፡ነገር፡ወንጀል፡ሆኖ፡ባልተደነገገበት፡ጊዜ፡በፈጸመው፡ወይም፡ባልፈጸመው፡ማንኛውም፡ሥራ፡ወንጀለኛ፡ሆኖ፡አይከሰስም።፡ወይም፡ወንጀሉ፡በተፈጸመበት፡ጊዜ፡ከተደነገገው፡ቅጣት፡ይበልጥ፡አይፈረድበትም።
12-00	አንቀጽ፡፲፪፤
