00-00	AKŌK MEMVENDE ENYIŃ A MENGAN BOD
00-01	Eyóñ bia noñ na fili, sosoo ai mvoe bia so bia olugu biave ekokom mod.
00-02	Eyóñ bia noñ na fili ya nyol ai a nsisim ene dzom ya mod ose ayi, adzeñe fe, ai na ndimi, tege yene, ebiandi y'akar so e minsingi ai minyanda a minnam.
00-03	Eyóñ bia noñ na ngomena ayian kala enyiñ asu e na bod be za bam nge batibili bo.
00-04	Eyóñ bia noñ na fulu mbga etam, fulu anyañ, fulu ediñ ndzo ene mfi asu mie bod ya minnam.
00-05	Eyóñ bia noñ na Akōk Memvende Ekuan Elad Meyoñ amem na aluman asu na enyiñ bod bese etebe etu dzia.
00-06	Eyóñ bia noñ na abui minnam mbamena ai Ekuan Elad meyoñ mo yebe ovañ ye na si ese ebaala memvende m'enyiñ ma.
00-07	ai na ovañ te otôbo mbog vom ose.
00-08	Binga yen hne na Ekuan Elad meyoñ y'anoñ Akōk Memvende ya Mengan bod ane zen, ane ndzoñ bia yian wulu asu etie fili dzaan. Antoa na a zen te, a ndzoñ te nnam ose obele nkil woe, ve da, ntsogan one mbog: olugu etie mod.
01-00	Atiñ 1
01-01	Abiali bod bese, tege ai sesala, bene etie dzia a mis memvende y'enyiñ, dzom dzia etu fili nkóbó, fili ntsogan, fili mboan. Ve abiali te, mod ose ayem dze ene abe, dze ene mbeñ asu e mod mbog antoa ai mfi na enyiñ ewulu mezen mene sosoo.
02-00	Atiñ 2
02-01	Akōk Memvende Enyiń ane asu mod ose sesala ase ki. Fam, mininga, mbubua, ebig, Evindi, Ntañan mod ose tege ai sesala.
02-02	Mfa mbóg Akōk Memevende Enyiń atele nnam ose etu dzia.
03-00	Atiñ 3
03-01	Mod ose ayian ai enyiñ ai e dzom y'akala enyiñ dzie. Mod ose akiebe ai etoa fili.
04-00	Atiñ 4
04-01	Mod ose ane mod. Ebi ai etibili bene eki.
05-00	Atiñ 5
05-01	Mod ayian ki ai tun nged.
06-00	Atiñ 6
06-01	Mod ose ane mod e Vom se y'ane, e vom se akwi.
07-00	Atiñ 7
07-01	Mvende ya bi mod ose akyae da. Mvende Y'akala fe bod bese akyae deda.
08-00	Atiñ 8
08-01	Mod ose abele ngul n'ake etsig ntol ya nnam woe nge adañ fe kwi nala n'abe e endegele mezen ya Akōk Memvende ya nnam voe l'akaman ai nye.
09-00	Atiñ 9
09-01	Mbolé, Mekaban, ebi a fuan bine eki.
10-00	Atiñ 10
10-01	Mod ose ane fili, abele fe ngul asili dzós asu medzó y'enyiñ dzie, amu nda medzo ene engeggama.
11-00	Atiñ 11
11-01	Dzos ya nda medzo etam ave boban a mis mebod tege dañ mvende ndo alede na mod abó evus.
11-02	Mod ziñ ayian ki ai endegele ntie mvende ya nnam y'ayem ki evus dzie. Ve da, ane evus ane mvende.
12-00	Atiñ 12
12-01	Mod abele ki na abebe enyiñ e mod mbog adañ dañ mam ya metii ai atii die. Nge mod abebe e ze enyiñ mvende y'abi nye.
13-00	Atiñ 13
13-01	A si ndon, mod ose ane ngul y'awulu mbol y'adiñ. Sem fe ane mod ose abele ngul atobo e vom ayi.
13-02	Mod ose abele ngul y'abole a nnam abiali woe ake tobo mfa se y'adiñ. Nge ki akodo e za nnam asu na adugan a nnam abiale woe.
14-00	Atiñ 14
14-01	Nnam eñeñam ene, mod ose ane ngul y'akodo ake dzeñ mvoe nnam mfe.
14-02	Sesala nge e mod y'akodo abele Medzo ai nnam woe nge ki na akódó mvende.
15-00	Atiñ 15
15-01	Mod ose abele nnam abiali abe si dzam suñ ai nye.
15-02	Ve da, mod ose ane ngul ya fol nnam abiali woe.
16-00	Atiñ 16
16-01	A si fam ai mninga abog bekui ya bod, bebele ngul y'atindi metiñ m'alug ai abonde nda bod tege ai sesala - Akyae ane osusua ai amos alug, fam ai minnga bene etie dzia dzia a mis me mvende abog beman y'alug.
16-02	Metiñ m'alug matinban ve ai nyian fam ai minnga ya badzo na balug.
16-03	Nda bod ene tin enyiñ asu te memvende me nnane mebele na mekalaga dzó.
17-00	Atiñ 17
17-01	Mod ose ane ngul y'afug akuma yane endie, tó ane etam to ki ane a nkunda.
17-02	Mod ziñ abele ki ngul y'afadi akuma mod mbog a fuan.
18-00	Atiñ 18
18-01	Mod ose ane ngul y'atsog ai ayebe aktae die a nnem etere nge ki a nkunda. Afol nyebe osi ki eki.
19-00	Atiñ 19
19-01	Mod ose abele fili ntsogan ai fili nkobo. Asu te mod ziñ ayian ki bi endegele asu mintsogan nge kik, mbidan mam etie dzie.
20-00	Atiñ 20
20-01	Mod ose abele ngul y'alad ai nkunda mise ma sie asu elad minnem, mi saala eñeñam azañ menda me bod.
20-02	Ene eki na benod mōd na anyian ekuan ziñ.
21-00	Atiñ 21
21-01	Moan nnam ose abele ngul y'anóñ ngab e mam ya mabebe nnam woe. Etere hm, nge si ti emen, ane dzam tob bod be fe asu na betobo mis, añu ai meló moe.
21-02	Mod ose abele ngul na sie ngomena a nnam woe.
21-03	Edzoe betebe b'osu y'a nnam etii ai nyian e boan be nnam bese bewóg. Edzoe y'atoban a sosoo, a zen be obene-bene ya bebele na beboban akyae nnam watele.
22-00	Atiñ 22
22-01	Mod ose etie dzie abele ngab akuma, a mebugban ya nnam woe, endegeben ane nyiñ tege tobo engogól.
23-00	Atiñ 23
23-01	Mod ose abele ngul asie e vom adiñ, e vom ayen mfi. Ve da Mvemde nnam yayian Kaman ai bebo bisye asui na bod be bi esie kom ese.
23-02	Mod ose, to fam to mininga, akiebe ai máan asu esie dzie.
23-03	Maan bave mode mayian bo na anyiñ, atoñ fe nda bod.
23-04	Mbo bisye ose ane ngul y'abonde, nge ki, a tiliban ekuan y'akaman a esie dzie.
24-00	Atiñ 24
24-01	Mod ose abele na abii nguma abog y'asie, abog y'asamba, abog y'awae. Ve da, bayian ki vuan moni mewae.
25-00	Atiñ 25
25-01	Enyiñ, mod ose abele ngul y'adzeñ na atobo mvoe, atoñ emien a nda bod dzie; ayian fe ai evoli abog okoan, akus, ayom nge ki abog ane ntet.
25-02	Memvende me nnam mayian kala benyia be boan ai boan beben. A mis me mvende moan ane ve moan: nyo abiali a nda alug ane etii dzia ane e nyo abiale a nseñ.
26-00	Atiñ 26
26-01	Akomondo ya nnam ai a be sikulu, ayege ntóg bine fili asu mod ose, etie dzia ane ayege nen.
26-02	Akomondo ya nnam ai ayege sikulu bene asui na bod beyem baala memvende y'enyiñ a ntilan ekuan elad meyoñ: anyiñ fufulu, atobo mbga, anyiñ mvoe.
26-03	Be bonde bebele ngul y'atob zen ayege, zen akomondo asu boan baban.
27-00	Atiñ 27
27-01	Mod ose ane ngul y'anonñ ngab ekpee mekeñ ya nnam, a dzeñ me zen ya make ai nnam osu, amu mebugban yete mene fe e woe.
27-02	Mod ose abele na akaman ai e dzom se abonde akeñ die ayób.
28-00	Atiñ 28
28-01	Mod ose abele na ayidan na Akōk Memvende y'ave mod fili di ayaman si ese.
29-00	Atiñ 29
29-01	Mod ane enodi na adzala mam ya nnam nge ayen na nnam one dzam kom enyiñ dzie.
29-02	Fili ene asu mod ose. Ve da Mvende y'akar bia biki bine asu oluga ebod bewog ai asu nnan asui na enyiñ etoba oveves.
29-03	Ebelan Akōk Memvende di y'ayian toban ai ntsogan ai nyian Ekuan Elad Meyoń.
30-00	Atiñ 30
30-01	To mod mbog, to nkunda, to nnam ziñ obele ki na obó mam me fe m'atoban ki ai Akōk Memvende di.
