00-00	TAFASWIRI AN-KIƁUSHI NIM-MATEKELEZO KI DUNIA NIN-HAKI-L-ADAMÌ
00-01	An-fahitaŋa amba, fikuɓaliaŋa amba ɓinadamu djabi nitirahinyi ndreka usheu ndreka haki meraŋa nandzari ro musingi nin-nafasi, nin-haki ndreka usalama duniani ;
00-02	An-fahitaŋa amba, tsifahizaŋa ndreka fipuzisaŋa haki-l-adamì ro mikutsonga faŋanovaŋa shitrendro ki katili maneitri rohu nin-umati djabi, amin’ni zenyi, fitunga nin-ulemengu mbu kuruhusu ɓinadamu ivulaŋa ndreka ikwamini aminnafasi, ɓilà tahutru wala taãɓu nin-ufukara, ro nikutekelezaŋa kirasimi, ustaãraɓu beheben-djabi ninhulumbelu ;
00-03	An-An- fahitaŋa amba, aŋatin’ni sharia-musingi nin-ndreu, zanatani nin-Uvumoja nin-Twaifa (Shama nin-Daula nin-Ulemengu) nikutekeleza mara hafa uaminifu nin-ndreu amin’ni haki musingi nim-ɓinadamu ; amin’ni usheu ndreka kima ninhulu an-rohuni, amin’ni fihiraŋa nin-haki nin-lalahi ndreka viavi, amin’zenyi, reu nampahei amba reu nangala ãzima ampadeha aluha faŋadzarisaŋa maisha nimɓinadamu ndreka ampiditri an-lalaŋa raha mbu andei tanafu tsara am-maisha nin-nafasi nankitinyi nimɓinadamu ;ahitaŋa amba, nikulazimu natou nguvu fihavaŋana ɓainan’ni tani ndreka tani ;
00-04	An- fahitaŋa amba, Daula Aŋatin-shama itì ndreka shama nin-Uvumoja nin-Twaifa (Shama nin-Daula nin-Ulemengu) nangala wahadi an-ndreu aŋaraka kaɓaru retu atà haki-ladamì ndreka nafasi musingi ikustehinyi nankitinyi amin’ni dunia mafia ;
00-05	An- fahitaŋa amba, fikutrugaŋa djumla nin-sharia ndreka nafasi retu nandzari muhimu swafi an-fikustehiaŋa namuna kulazimu, wahadi itì ;
00-06	Trengwe djumla nampahei amba Matekelezo ki Dunia nin-Haki-l-Adamì itì
00-07	ro daradja aŋabuŋabun-djabi nin-ustaãraɓu nikulazimu nahazu nin-kula karazaŋa zanatani ndreka nishani, anga ɓinadamu djabi ndreka kula karazaŋa ninfikueshiŋandreu, ihisi Matekelezo itì daima amin’ni luhan-ndreu, aŋanu djitihadi amin’ni fampidzuruaŋa ndreka fitarimiaŋa, ampiasa masitaha nin-sharia ndreka nafasi retu ; amin’ni zenyi, aŋanu modeli ata, amin’ndreu maŋapiditri an-lalaŋa moramora-moramora satua mifotutru tani ou mifotutru dunia, reu ikutsonga ata fikuɓaliaŋa ndreka fikurumiaŋa reu itì, ike nin-ankitinyi amin’ni dunia mafiha ; rangu amin’ni zanatani nin-Daula aŋatin’ni Uvumoja nin-Twaifa (Shama nin-Daula nin-Ulemengu) ata an-tani amin’ni hifadhwi ni sharian-ndreu.
01-00	Kanuni aluha
01-01	Ɓinadamu djabi nitirahinyi an-nafasi, reu bokeu miraŋa amin’ni usheu ndreka haki. Reu teraka ndreka ãkili ndreka hikima, amin’ni zenyi, reu nikulazimu nisi tweraŋa nin-fihavaŋa reu sambi reu.
02-00	Kanuni faha aroini :
02-01	Kula huluŋu meti mikudai fikurumianaŋa amin’nazi ninsharia ndreka nafasi retu djabi, nivulaŋana amin’ni Matekelezo itì, wala tsisi fifidanaŋa tsokao yotsi, mfano mifotutru kaɓila, range (nin-nenyi), lalahi au viavi, fivulaŋana, dini, fikira ki siasa au fikira hafa tu, tani nibwahaŋa au daradjan-huluŋu, mali, teraka au kabaru hafa tu.
02-02	Boka eu, tsi uhisi fifidanaŋa tsokao yotsi mbu atou hatasiɓaɓun’ ni daradja nin-siasa, nim-mahakama au hatasiɓaɓun’ni abezan-tani au gitro nin-tani nibwaha ninhuluŋu ; neka tani iu au gitro nin-tani iu huru, nikutawalan’ni tani hafa, tsi mahaleu teŋa au nikupunguzaŋa yezi.
03-00	Kanuni faha teluni :
03-01	Kula shumbe-ɓinadamu misi haki an-fikueshiaŋa, annafasi ndreka an-hifadhwi nin-nafusini.
04-00	Kanuni faha efatrani :
04-01	Tsisi huluŋu mbu atou andevu au andivuzaŋa : fandivuzaŋa ndreka kula kalite nin-fanyiraha ki andevu, tsi kuruhusuŋu.
05-00	Kanuni faha dimini :
05-01	Tsisi huluŋu mbu atou matriko, wala fihezinyi ou kudilinyi kara raha tsisi manani ou atou raha mikulanisa izi.
06-00	Kanuni faha tshutani :
06-01	Kula huluŋu misi haki an-fikuɓaliaŋa haki nazi kula mahala misi izi.
07-00	Kanuni faha fituni :
07-01	Huluŋu djabi miraŋa an-lalaŋa ki sharia ndreka misi haki djabi ɓilà fifidanaŋa, an-hifadhwi miraŋa nin-sharia. Huluŋu djabi misi haki miraŋa an-sharia mikuhifadhwi huluŋu ndreka kula uɓanguzi mandeha kinyume ndreka Matekelezo itì, ndreka kula fikutsotsaŋa uɓanguzi itì.
08-00	Kanuni faha valuni :
08-01	Kula huluŋu misi haki an-fandihanaŋa mikushitaki ammahakama nin-tani misi maãrifa amin’ni kabaru nazi, neka haki-musingi nazi, boka eu nikuɓalin’ni sharia be musingi ou sharia tu, tsi nikusutehinyi.
09-00	Kanuni faha sivini :
09-01	Tsisi huluŋu mbu heti tanin-sirikali ou gadrani lajoli ou atuwatanini ɓilà siɓaɓu.
10-00	Kanuni faha fuluni :
10-01	Kula huluŋu misi haki, an-fihiraŋa swafi, an-faŋanovani modeli atà hadja nazi urenyim-mahakama tsi kisirikali, tsi mampinonu hila, an-lalaŋa nin-haki ndreka anyivunntrengwe. Mahakama itì ro mbu ahei neka huluŋu itì amin’ni haki nazi ndreka farudhwi nazi au mashitaka natoŋa izi itì maŋaraka lalaŋa.
11-00	Kanuni faha fulu areki ambini :
11-00	Kula huluŋu nikuhutumuŋu ndreka taɓia ratsi, kaza taninyi ndreka halathwi paka izi kuhukumuŋu kirasimi am-mahakama mbiaŋa an-trengwe, amin’izi eu, kula kabaru miditri amin’ni difãi nazi djabi nikurumianaŋa.
11-01	Tsisi huluŋu mbu vangoŋa kubei hatasiɓaɓun’ni ãmali au raha tsi nishugulinyi, ndreka wakati naŋanovaŋa reu itì, reu tsi nalaŋa amba taɓia ratsi amin’ni sharia nin-tani au nin-ulemengu. Boka eu kua, tsisi raha rati mandiltra inyi fa vua huluŋu lera naŋanovaŋa taɓia rati retu, mbu vua huluŋu kua.
12-00	Kanuni faha fulu aroi ambini :
12-01	Tsisi huluŋu mbu hidiraŋa ɓila siɓaɓu, am-maisha ninantanana nazi, amin’ni havaŋa nazi, amin’ni traŋu nazi au amin’ni ɓarua nazi ; wala tsisi huluŋu mbu hiditri amin’ni kabaru mbu ikupua huluŋu usheu, mbu andatsaka izi. Kula huluŋu misi haki an-hifadhwi ninsharia mamahaŋa fidiraŋa an-huluŋu ndreka fikufutsuhaŋa maisha nin-huluŋu.
13-00	Kanuni faha fulu telu ambini :
13-00	Kula huluŋu misi haki an-fidiraŋa ndreka fibwahaŋa an-nafasi ndreka an-fifidanaŋa mahala ipitrahani aŋatin’ni Daula .
13-01	Kula huluŋu misi haki an-fibwahani an-nakwakila tani, ata an-tani nazi, ndreka an-fipudiani an-tani nazi.
14-00	Kanuni faha fulu efatra ambini :
