00-00	Adamuridagunt to Tagumairagüdaru Garada to Ayanuhabaun luagu le yubat haun gürigia ubauwagu
00-01	Subúsewati ubauwagu, dan lan ligirún gürigia lun ladúgüni le ligundan, ibihalai le yubai lun lidan deregüdaguaü, ligia lan lagüchabai gudúmei hadan sun idúheñu.
00-02	Subúsewatiluagu, dan lan meferen lan luma mabahüdüniwa lan le yubai lun gürigia, ru lan ubafu lun afásihani, mañuragunti giñe saminaü ubauwagu. Ligia lichigunbai subudi lun giarabailan liñúragun gürigia lidangien anúfudei labu yumúraü le gadanbalin, lun lubá gia láwagachun lau le aubai magundan lan, ariñegalai me le uáguti lafiñera;
00-03	Subúsewatiluagu megeiwa tan aban lúrudu lun taunigiruni sun le yubai haun gürigia, lun lubá gia úalá afosuruti lun ladügüni le mabusienru lubai tanágangien lúrudu;
00-04	Subúsewati giñe luagu megeiwa lan lahimeidun umádaguaü lidan sun ubau;
00-05	Subúsewati luagu, sun lan fulasu le áundarubai tidaun Ubau Uarati rúhamali hafiñe tuagu Garada to, mamai tichiga inébehabu hawagu idúheñu fulásurugu, ayánuha luagu le yubai lun gürigia, ru tugia me úarani lun wügüritabu würi ubauwagu; afiñewati luagu lawánsera lan me sun ubau lugundu hawiwanda me gürigia lidan ibágari richati;
00-06	Subúsewati luagu, sun lan ubau le áundarubai tidaun Adámuri Lani Ubau Uarati ariñegaña luagu ñeibai lan inébehabu luagu le yubai lun gürigia adügalai me ligúndan:
00-07	Subúsewati luagu, dan úara lan saminaü sigénewali, lagúnfuliruba daradu:
00-08	adamuridagunt to
00-09	Tagumairagüdaru
00-10	garada to ayanuhabaun luagu le
00-11	yubathaun gürigia ubauwagu
00-12	Lun lubá gia hasubudiragüdüni tila lun sun ubau, haun sun gürigia. Aban gárada íchigutu adundehaní haun sun mutu lun lubá gia inebe lan sun saminaü le tídanbai, haucha wagia me lun taraudún tidan luban furendei, haun furumieguarügü dandu lidan hagaira ha asibihabalún kaisi lidan sun fulasu le aubai teréreha.
01-00	Saminaü 1
01-01	Sun gürigia nasíruati yuti lun, lidan úarani, lawiwanduní libágari kai le aubai labúsienra, gatu giñe lanagun lungua buidu hadan líbegu.
02-00	Saminaü 2
02-01	Ka gürigia, würi, wügüri, yuti lun libíhini sun buidu le tídanbai Gárada to, katai yebe, linásinñu, lewegerún, lagücha, lafiñe, liñeñe, lisáminan luagu gumadi, lúyeri libágari, lagüriahaun odi le auti lanagua lungua.
02-02	Siñabai giñe, ñei lan díseguaü luagu ligáburi saminaü anügüti ubafu bagaira ni luagu tigáburi lúrudu to agumairutu ñei, siñá memebai giñe ñei lan díseguaü luagu lúyeri aruwaihaní arainiruti bagaira, dipeni yebe ligia luaigien amu.
03-00	Saminaü 3
03-01	Ka gürigia yuti lun labágaridun kai le aubai labúsienra, lun lasáriñahan, adügalai me le ligundan inébewa ligia me.
04-00	Saminaü 4
04-01	Uati lunti lamuridún ni lun lamúdihan, lubá amúdihani luma lalugurún gürigia kai idámuni, faini lumuti lúrudu.
05-00	Saminaü 5
05-01	Siñati basufuriragüdün gürigia, barügüda, busíganu, anáneiha lun ñeigien bachúraguai.
06-00	Saminaü 6
06-01	Ka gürigia yuti lun, le ñei lumuti, lun inébewa lan lau lumágagun, lugundgu ka mutu amu lináhuri luai amu.
07-00	Saminaü 7
07-01	Sun mutu aban habu tigíbugien lúrudu, ani yuti giñe tun lúrudu taríhin hau. Yuti giñe tun lúrudu, lidan úarani, tererehan hau gürigia ligibugien furumieguarügü lúyeri nabahüdüni.
08-00	Saminaü 8
08-01	Yuti tun lúrudu taríhin lau gürigia dan lérereguní likésin, gounigitai me hawai láganigu.
09-00	Saminaü 9
09-01	Tanágangien lúrudu, siñati lasiadirún gürigia, siñati lebélurun furísun, siñá labugún lagairagien.
10-00	Saminaü 10
10-01	Ka gürigia yuti lun, lidan úarani, lagambúniwa ligíbugien gumadi lun lubá gia lasubudiragun lungua, kalan yubai lun, luma le lunbail ladüuguüni tagánagua lúrudu.
11-00	Saminaü 11
11-01	Yuti tun lúrudu tíchigun ubafu lun fulédeiwati lun layánuhan luaugua lidan agúseruni.
11-02	Siñabai ladaünragüdünibu gumadi anhain úa lubai bidúrun tidan lúrudu. Siñabai giñe badaürün luagu saragu dan luai le tídanbai lúrudu.
12-00	Saminaü 12
12-01	Uati lunti láchachan liuma lidaun libágari amu ni lanáneihan haun lidúheñu, madárahan ligia me hagáradan amu, ua meáuseraguti. Yuti giñe tun lúrudu terèérehan laugien furumieguarügü anhain asúsereda aban lídangien lamíselu le.
13-00	Saminaü 13
13-01	Ka gürigia yuti lun lasáriñahan le ñeihin lumuti labúsienra, wiwan ligia me lidan furumieguarügü fulasu le auti lagúndara.
13-02	Ka gürigia yuti lun láfuridun lidangien furumieguarügü fulasu, íbini lagairagien, giríbuya ligia me lagairaun.
14-00	Saminaü 14
14-01	Dan lasigirún odi láibahaun furumieguarügü gürigia, yuti lun laríahan múñansu lidan furumieguarügü ubau ani gatu giñe lamuñadún.
