00-00	Ꮒꭼꮎꮫ Ꮧꭶꮓꮳꮃꮕꭲ Ꭰꮒᏼꮻ Ꭴꮒꮂ Ꭲᏻꮎꮫꮧꭲ
00-01	Ꭼꮒᏻꮙ ꮧꮣꮒꮈꮸ ꮎꮝꭹ ꭰꮰꮿꮝꮧꮝꭹ ꭰꮲꮙꮩꮧ ꭰꮄ ꮎꮝꭹꮓ ꭲꭶꮨ ꭰꮄ ꭴꮩꭿᏻꭿꮿ ꭴꮒꮂ ꭲᏻꮎꮫꮧ ꮎꮝꭹꮓ ꮒꭶꮣ ꭰꮒꮃ ꮎꮝꭹ ꭰꮒᏼꮻ ꮟꮣꮑꮈ ꭰꮎꮑꮈ ꮎꮎꭲ ꮧꭶꭻꮝꮣꭲ ꮩꭿ ꭰꮥꮧꭲ, ꮪᏻꭺꮫ ꭴꮝꮣᏺꭿꮝꮧ ꭰꮄ ꮕꮹꮩꭿꮿꮫ ꮎꮏ ꮎꮝꭹ ꭱꮆꭿ,
00-02	Ꭼꭼꮒᏻꮙ ꭰꭶꮞꮝꮤꮕꮎ ꭰꮄ ꮒꭶꮈꮙꮫꮎ ꮎꮝꭹꮎ ꭰꮒᏼꮻ ꭴꮒꮂ ꭲᏻꮎꮫꮧꭲ
00-03	Ꭴꮒꮂꭲ ꮻꮒꮪꮅꮝꮤꮕꭹ ꮎ ꭴꮒꮝꭶꮞꮨ ꮎꮎꮫꮑꮕ ꮎꮝꭹꮎꮓ ꭴꮒꮂ ꭶꮆꮢꮝꮤꮕ ꭰꮤꮃꮼꭿꮝꮧ ꮎꮝꭹ ꮷꮔꭺꮩꮧᏹ ꭴꮎꮥꮧᏹ ᏼꮻ, ꭰꮄ ꮎꮝꭹ ꭱꮆꭿ ꭴꮇꮴ ꮎꮏꭲ ꮎꮝꭹꮎꮓ ꭰꮒᏼꮻ ꭰꮞ ꭰꮅꭾꮅꮝꮧ ꮩꭿ ꭶꮼꮒꭿꮝꮧ ꭰꮄ ꭴꮓꭿᏻꮢ ꭰꮄ ꮩꭿ ꭰꮥꮧꭲ ꮎꮝꭹꮎ ꮒꭶꮎᏸꭿꮝꮫꮎ ꭰꮄ ꭷꮑꮸꭹ ꭴꮎꮪꮈꮣ ꮕꮅꮝꮤꮕꭹ ꮎꮝꭹ ꮹꭶꮈꮃꮧᏼ ꭰꮎꮪꮈꮤꮕ ꮎꮝꭹ ꮎꮒꭶꭵꮚ ᏼꮻ,
00-04	Ꭼꮒᏻꮙ ꮎꭲ ꭴꮅꮝꭸꮫ, ꮎꮝꭹꮎ ꭰꮝꭶꮿ ꭼꮝꮧᏸꮩꮧ ꮒꭸꮢꮎ ᏹꭹ ꮎꮝꭹ ꭺꮁꮝꮧ ꮔꮣꮑꮲꮎ, ꭳꮒ ꭴꮣꮇꮈ ꭴꮣꮑꮯᏼꮣ, ᏻꮣᏹꮈ ꭴꮼꭿᏻꮧ ꮎꮝꭹ ꮷꭶꮨꮈꮝꮧ ꮒꮣꮴꮲꮎꮙ ꮎꮎꮫꮑꮂꭹ ꭰꮄ ꭴᏺ ꭲꮿꮣꮫꮑꭿ, ꮎꮝꭹ ꭰꮒᏼꮻ ꭴꮒꮂ ᏻꮎꮫꮑꮧꭲ ꭱꮅꮝꮧ ꭰꮅꮟꮕꮩꮧ ᏹꭹ ꮎꭵꭲ ꮎꮝꭹ ꮷꮒꭷꮎꮹꮫꮝꮩꮧ ꮧꭷꮏꮹꮫꮝꮧ,
00-05	Ꭼꮒᏻꮙ ꮎꮝꭹ ꭴꮅꮝꭸꮫ ꮎꭲ ꭼꮒꭸꮢ ꮎꮕꮑꮂ ꮎꮝꭹ ꭴꮣꮕꮨ ꭴꮺꮃꮧꮝꮫ ꮪꮩꮇꮹꮫꮂ ꭴꮩꮳꮲꭹ ꭰᏸꮅ ꮪꮎꮩꮲꮢꭲ,
00-06	Ꭼꭼꮒᏻꮙ ꮎꮝꭹ ꭰꮒᏼꮻ ꮎꮝꭹꮓ ꭴꮎꮣꮪꮥꮻꮫ ꭰᏸꮅ ꮪꮎꮩꮲꮢ ꮔꮕꮏꮕ ꮎꮏ
00-07	Ꭰꭰꮣꮅꮝꭺꮈꮣꮑꭿ ꮧꮃꮟꮩꮧ ꮣꮝꮣᏹꮫꭲ ꮎꮝꭹꮎꮓ ꭴꮓꭿᏻꮤꮕ ꮪꮎꮃꮟꮫ ꭰꮒᏼꮻ ꭴꮒꮂ ᏻꮎꮫꮧꭲ, ꮎꭲ ꮎꮝꭹ ꭰꮲꮙꮩꮣ ꭰꮄ ꮷꭼꮹꮆꮧ ꮎꮝꭹꮓ ꭰꮒᏼꮻ ꭰꮒꮟᏼꮻꭽ ꭰꮄ ꮎꭲ ꭱꮷꮃꭽꮙ ꭴꮒꮂ ꭲᏻꮎꮫꮑꮧ ꮎꭲ ꭰꮒꮝꭶꮿ ꭰꮄ ꭰꮒꭸᏼ ꭰꮄ ꮪꮔꭺꮤꮕꭹ ꭼꮒꭸꮢ ꮎꮕꮑꮂ ꭴꮎꮩꮲꭿ ꭰꮅᏹꮅꮢ ꭰꮄ ꮣꮴꮲ ꭲꭶꮨꭽꮚ ꮎ ꭵꮄꮒꮩꮂꭹ ꮎꮏ ꭱꮙꭿꭸꮝꮧ ꮩꭿ ꭰꮥꮧꭲ,
00-08	Ꭼꭼꮒᏻꮙ ꭰꮑꮃ ꮝꭶꮪꭹ ꭴꮪꮣꮈꮕꭿ ꮎꭲ ꭴꮕꮜ ꭴꮎꮯꮒꭼꮑꮧꭲ, ꮎꭲ ꭴꮎꮅꭺꮢ-ꭴꮅꭺꭿ ꮎꮝꭹ ꭴꮎꮣꮪꮥꮻꮫ ꭰᏸꮅ ꮪꮎꮩꮲꮢ, ꮎꮝꭹ ꭼꮒꭸꮢ ꮎꮕꮑꮂꭹ ꮒꭼꮎꮥꮎ ꭺꭿᏻꭿ ꮎꮝꭹꮎ ꭰꮄ ꭰꭶꮞꮝꮤꮕꭹ ꮎ ꭰꮒᏼꮻ ꭴꮒꮂ ᏻꮎꮫꮑꮧꭲ ꭰꮄ ꮪꮎꮃꮟꮫ ꮩꭿ ꮷꮎꮥꮧꭲ, ꭼꮒᏻꮙ ꭴꮰꮿꮙ ꭴꮓꮅꮸꭹ ꮎꮝꭹ ꭴꮒꮂ ꭲᏻꮎꮫꮧꭲ ꭰꮄ ꮩꭿ ꭰꮥꮧꭲ ꮎꮝꭹ ꮺꮖ ꭴꮅꮝꭸꮧ ꮎꮝꭹꮎ ꭷꮅꭲ ꭰꮥꮃꮀꮢꭿ ꭿꭰ ꭰꮪꮣꮈꮧ, ꮓꮙꮓ, ꮎꮝꭹ ꭲᏻꮝꮧ, ꮎꮝꭹ ꮒꭶꮣꮚ ꮣꮒꮃꮻꭵ ꮧꮃꮟꮤꮕꭿ ꭿꭰ ꮒꭼꮎꮫ ꮧꭶꮓꮳꮃꮕꭲ ꭰꮒᏼꮻ ꭴꮒꮂ ꭲᏻꮎꮫꮑꮧꭲ ꮎꮝꭹ ꭴꮰꮿꮙ ꭲꭶꮨꭽꮚ ꭰꮅꮒꭼꮑꮈꭹ ꮎꮝꭹꮎ ꮒꭶꮣ ꭰꮒᏼꮻ ꭰꮄ ꮒꭶꮣ ꭴꮎꮣꮪꮥꮻꮫ ꭰᏸꮅ ꮪꮎꮩꮲꮢ, ꮎꭲ ꮎꮝꭹ ꭰꮝꮖꮫꭿ ꮎꮝꭹꮎꮓ ꮒꭶꮧᏻ ꭰꮟᏼꮻ ꭰꮄ ꮒꭶꮧᏻ ꭰᏸꮈ ꮎꮝꭹ ᏼꮻ, ꭴꮒꮝꮖꮒꭺꮩꮧ ꭿꭰ ꮧꭶꮓꮳꮃꮕ ꮒꭺꭿꮈꭲ ꭰꮎꮣꮕꮦꮝꭺꭲ, ꭰꮞꮓ ꭰꮑꮈꮩꮧ ꮎꮝꭹ ꮣꮎꮥᏺꮂꮝꭼꭹ ꭰꮄ ꮷꮎꮥꮆꮖꮝꮧꭲ ꮎꭲ ꭼꮒꭸꮢ ꮎꮕꮑꮂ ꭺꭿᏻꭿ ꮎꮝꭹꮎ ꭿꭰ ꭴꮒꮂ ꭲᏻꮎꮫꮑꮧꭲ ꭰꮄ ꮩꭿ ꮷꮎꮥꮧꭲ ꮎꭵꭲ ꭰꮅᏹꮅꮢꭹ ꮹꮯꮆꭿꭿ, ꭰᏸꮅ ꭰꮄ ꭰᏸꮅ ꮪꮎꮩꮲꮢ, ꮔꮎᏸꭿꮝꮫꮎꮙ ꮎꮝꭹ ꮒꭼꮎꮥꮎ ꭰꮄ ꭲᏻꮅꮝꮩꮧᏹ ꮧꭸꭶꮣꮒꮈꮸꭹ ꭰꮄ ꭰꭶꮞꮝꮤꮕꭹ, ꭲꮷꮃꮓ ꮔꮎꮫꮕ ꮎꮝꭹ ꭰꮒᏼꮻ ꮎ ꭰꮑꮃ ꮝꭶꮪꭹ ꭴꮕꮜ ꭰꮄ ꮔꮎꮫꮕ ꮎꮝꭹ ꭰꮒᏼꮻ ꮎꮎꭲ ꮧꮝꭶꮪꭹ ꭽꮻꮒꮧꮲ ꭲᏻꮎꮫꮑꮅꮣꮝꮧ ꭴꮒꮂꭲ.
01-00	Ꭰꮿꮩꮈ 1
01-01	Ꮒꭶꮣ ꭰꮒᏼꮻ ꭴꮎꮥꮕꭲ ꭴꮎꮪꮣꮄꮣ ꭰꮄ ꭱꮷꮃꭽꮙ ꮎꭲ ꭰꮲꮙꮩꮧ ꭰꮄ ꭴꮒꮂ ꭲᏻꮎꮫꮧꭲ. Ꮎꮝꭹꮎꮓ ꭴꮅꮝꭺꮈꮤꮕꭹ ꭴꮰꮿꮝꮧ ꮕᏸꮅꮫꭹ ꭰꮄ ꭰꮣꮕꮦꮯꮣꮝꮧ ꭰꮄ ꭱꮅꮝꮧ ꮟᏼꮻꭽ ꮒꮪꮎꮣꮫꮎꮥꭼꭹ ꮎ ꮧꮎꮣꮕꮯ ꭰꮣꮕꮩ ꭼꮧ.
