00-00	ᏂᎬᎾᏛ ᏗᎦᏃᏣᎳᏅᎢ ᎠᏂᏴᏫ ᎤᏂᎲ ᎢᏳᎾᏛᏗᎢ
00-01	ᎬᏂᏳᏉ ᏗᏓᏂᎸᏨ ᎾᏍᎩ ᎠᏠᏯᏍᏗᏍᎩ ᎠᏢᏉᏙᏗ ᎠᎴ ᎾᏍᎩᏃ ᎢᎦᏘ ᎠᎴ ᎤᏙᎯᏳᎯᏯ ᎤᏂᎲ ᎢᏳᎾᏛᏗ ᎾᏍᎩᏃ ᏂᎦᏓ ᎠᏂᎳ ᎾᏍᎩ ᎠᏂᏴᏫ ᏏᏓᏁᎸ ᎠᎾᏁᎸ ᎾᎾᎢ ᏗᎦᎫᏍᏓᎢ ᏙᎯ ᎠᏕᏗᎢ, ᏚᏳᎪᏛ ᎤᏍᏓᏲᎯᏍᏗ ᎠᎴ ᏅᏩᏙᎯᏯᏛ ᎾᎿ ᎾᏍᎩ ᎡᎶᎯ,
00-02	ᎬᏂᏳᏉ ᎠᎦᏎᏍᏔᏅᎾ ᎠᎴ ᏂᎦᎸᏉᏛᎾ ᎾᏍᎩᎾ ᎠᏂᏴᏫ ᎤᏂᎲ ᎢᏳᎾᏛᏗᎢ ᎤᏂᎲᎢ ᏫᏂᏚᎵᏍᏔᏅᎩ Ꮎ ᎤᏂᏍᎦᏎᏘ ᎾᎾᏛᏁᏅ ᎾᏍᎩᎾᏃ ᎤᏂᎲ ᎦᎶᏒᏍᏔᏅ ᎠᏔᎳᏬᎯᏍᏗ ᎾᏍᎩ ᏧᏄᎪᏙᏗᏱ ᎤᎾᏕᏗᏱ ᏴᏫ, ᎠᎴ ᎾᏍᎩ ᎡᎶᎯ ᎤᎷᏤ ᎾᎿᎢ ᎾᏍᎩᎾᏃ ᎠᏂᏴᏫ ᎠᏎ ᎠᎵᎮᎵᏍᏗ ᏙᎯ ᎦᏬᏂᎯᏍᏗ ᎠᎴ ᎤᏃᎯᏳᏒ ᎠᎴ ᏙᎯ ᎠᏕᏗᎢ ᎾᏍᎩᎾ ᏂᎦᎾᏰᎯᏍᏛᎾ ᎠᎴ ᎧᏁᏨᎩ ᎤᎾᏚᎸᏓ ᏅᎵᏍᏔᏅᎩ ᎾᏍᎩ ᏩᎦᎸᎳᏗᏴ ᎠᎾᏚᎸᏔᏅ ᎾᏍᎩ ᎾᏂᎦᎥᏊ ᏴᏫ,
00-03	ᎬᏂᏳᏉ ᎾᎢ ᎤᎵᏍᎨᏛ, ᎾᏍᎩᎾ ᎠᏍᎦᏯ ᎬᏍᏗᏰᏙᏗ ᏂᎨᏒᎾ ᏱᎩ ᎾᏍᎩ ᎪᎱᏍᏗ ᏄᏓᏁᏢᎾ, ᎣᏂ ᎤᏓᎷᎸ ᎤᏓᏁᏟᏴᏓ, ᏳᏓᏱᎸ ᎤᏬᎯᏳᏗ ᎾᏍᎩ ᏧᎦᏘᎸᏍᏗ ᏂᏓᏤᏢᎾᏉ ᎾᎾᏛᏁᎲᎩ ᎠᎴ ᎤᏲ ᎢᏯᏓᏛᏁᎯ, ᎾᏍᎩ ᎠᏂᏴᏫ ᎤᏂᎲ ᏳᎾᏛᏁᏗᎢ ᎡᎵᏍᏗ ᎠᎵᏏᏅᏙᏗ ᏱᎩ ᎾᎥᎢ ᎾᏍᎩ ᏧᏂᎧᎾᏩᏛᏍᏙᏗ ᏗᎧᎿᏩᏛᏍᏗ,
00-04	ᎬᏂᏳᏉ ᎾᏍᎩ ᎤᎵᏍᎨᏛ ᎾᎢ ᎬᏂᎨᏒ ᎾᏅᏁᎲ ᎾᏍᎩ ᎤᏓᏅᏘ ᎤᏪᎳᏗᏍᏛ ᏚᏙᎷᏩᏛᎲ ᎤᏙᏣᏢᎩ ᎠᏰᎵ ᏚᎾᏙᏢᏒᎢ,
00-05	ᎬᏂᏳᏉ ᎾᏍᎩ ᎠᏂᏴᏫ ᎾᏍᎩᏃ ᎤᎾᏓᏚᏕᏫᏛ ᎠᏰᎵ ᏚᎾᏙᏢᏒ ᏄᏅᎿᏅ ᎾᎿ ᎠᏓᎵᏍᎪᎸᏓᏁᎯ ᏗᎳᏏᏙᏗ ᏓᏍᏓᏱᏛᎢ ᎾᏍᎩᎾᏃ ᎤᏃᎯᏳᏔᏅ ᏚᎾᎳᏏᏛ ᎠᏂᏴᏫ ᎤᏂᎲ ᏳᎾᏛᏗᎢ, ᎾᎢ ᎾᏍᎩ ᎠᏢᏉᏙᏓ ᎠᎴ ᏧᎬᏩᎶᏗ ᎾᏍᎩᏃ ᎠᏂᏴᏫ ᎠᏂᏏᏴᏫᎭ ᎠᎴ ᎾᎢ ᎡᏧᎳᎭᏉ ᎤᏂᎲ ᎢᏳᎾᏛᏁᏗ ᎾᎢ ᎠᏂᏍᎦᏯ ᎠᎴ ᎠᏂᎨᏴ ᎠᎴ ᏚᏄᎪᏔᏅᎩ ᎬᏂᎨᏒ ᎾᏅᏁᎲ ᎤᎾᏙᏢᎯ ᎠᎵᏱᎵᏒ ᎠᎴ ᏓᏤᏢ ᎢᎦᏘᎭᏊ Ꮎ ᎥᎴᏂᏙᎲᎩ ᎾᎿ ᎡᏉᎯᎨᏍᏗ ᏙᎯ ᎠᏕᏗᎢ,
00-06	ᎬᏂᏳᏉ ᎠᏁᎳ ᏍᎦᏚᎩ ᎤᏚᏓᎸᏅᎯ ᎾᎢ ᎤᏅᏌ ᎤᎾᏟᏂᎬᏁᏗᎢ, ᎾᎢ ᎤᎾᎵᎪᏒ-ᎤᎵᎪᎯ ᎾᏍᎩ ᎤᎾᏓᏚᏕᏫᏛ ᎠᏰᎵ ᏚᎾᏙᏢᏒ, ᎾᏍᎩ ᎬᏂᎨᏒ ᎾᏅᏁᎲᎩ ᏂᎬᎾᏕᎾ ᎪᎯᏳᎯ ᎾᏍᎩᎾ ᎠᎴ ᎠᎦᏎᏍᏔᏅᎩ Ꮎ ᎠᏂᏴᏫ ᎤᏂᎲ ᏳᎾᏛᏁᏗᎢ ᎠᎴ ᏚᎾᎳᏏᏛ ᏙᎯ ᏧᎾᏕᏗᎢ, ᎬᏂᏳᏉ ᎤᏠᏯᏉ ᎤᏃᎵᏨᎩ ᎾᏍᎩ ᎤᏂᎲ ᎢᏳᎾᏛᏗᎢ ᎠᎴ ᏙᎯ ᎠᏕᏗᎢ ᎾᏍᎩ ᏪᏆ ᎤᎵᏍᎨᏗ ᎾᏍᎩᎾ ᎧᎵᎢ ᎠᏕᎳᎰᏒᎯ ᎯᎠ ᎠᏚᏓᎸᏗ,
00-07	ᏃᏉᏃ, ᎾᏍᎩ ᎢᏳᏍᏗ, ᎾᏍᎩ ᏂᎦᏓᏊ ᏓᏂᎳᏫᎥ
00-08	ᏗᎳᏏᏔᏅᎯ ᎯᎠ ᏂᎬᎾᏛ ᏗᎦᏃᏣᎳᏅᎢ ᎠᏂᏴᏫ ᎤᏂᎲ ᎢᏳᎾᏛᏁᏗᎢ ᎾᏍᎩ ᎤᏠᏯᏉ ᎢᎦᏘᎭᏊ ᎠᎵᏂᎬᏁᎸᎩ ᎾᏍᎩᎾ ᏂᎦᏓ ᎠᏂᏴᏫ ᎠᎴ ᏂᎦᏓ ᎤᎾᏓᏚᏕᏫᏛ ᎠᏰᎵ ᏚᎾᏙᏢᏒ, ᎾᎢ ᎾᏍᎩ ᎠᏍᏆᏛᎯ ᎾᏍᎩᎾᏃ ᏂᎦᏗᏳ ᎠᏏᏴᏫ ᎠᎴ ᏂᎦᏗᏳ ᎠᏰᎸ ᎾᏍᎩ ᏴᏫ, ᎤᏂᏍᏆᏂᎪᏙᏗ ᎯᎠ ᏗᎦᏃᏣᎳᏅ ᏂᎪᎯᎸᎢ ᎠᎾᏓᏅᏖᏍᎪᎢ, ᎠᏎᏃ ᎠᏁᎸᏙᏗ ᎾᏍᎩ ᏓᎾᏕᏲᎲᏍᎬᎩ ᎠᎴ ᏧᎾᏕᎶᏆᏍᏗᎢ ᎾᎢ ᎬᏂᎨᏒ ᎾᏅᏁᎲ ᎪᎯᏳᎯ ᎾᏍᎩᎾ ᎯᎠ ᎤᏂᎲ ᎢᏳᎾᏛᏁᏗᎢ ᎠᎴ ᏙᎯ ᏧᎾᏕᏗᎢ ᎾᎥᎢ ᎠᎵᏱᎵᏒᎩ ᏩᏟᎶᎯᎯ, ᎠᏰᎵ ᎠᎴ ᎠᏰᎵ ᏚᎾᏙᏢᏒ, ᏄᎾᏰᎯᏍᏛᎾᏉ ᎾᏍᎩ ᏂᎬᎾᏕᎾ ᎠᎴ ᎢᏳᎵᏍᏙᏗᏱ ᏗᎨᎦᏓᏂᎸᏨᎩ ᎠᎴ ᎠᎦᏎᏍᏔᏅᎩ, ᎢᏧᎳᏃ ᏄᎾᏛᏅ ᎾᏍᎩ ᎠᏂᏴᏫ Ꮎ ᎠᏁᎳ ᏍᎦᏚᎩ ᎤᏅᏌ ᎠᎴ ᏄᎾᏛᏅ ᎾᏍᎩ ᎠᏂᏴᏫ ᎾᎾᎢ ᏗᏍᎦᏚᎩ ᎭᏫᏂᏗᏢ ᎢᏳᎾᏛᏁᎵᏓᏍᏗ ᎤᏂᎲᎢ.
01-00	ᎠᏯᏙᎸ 1
01-01	ᏂᎦᏓ ᎠᏂᏴᏫ ᎤᎾᏕᏅᎢ ᎤᎾᏚᏓᎴᏓ ᎠᎴ ᎡᏧᎳᎭᏉ ᎾᎢ ᎠᏢᏉᏙᏗ ᎠᎴ ᎤᏂᎲ ᎢᏳᎾᏛᏗᎢ. ᎾᏍᎩᎾᏃ ᎤᎵᏍᎪᎸᏔᏅᎩ ᎤᏠᏯᏍᏗ ᏅᏰᎵᏛᎩ ᎠᎴ ᎠᏓᏅᏖᏟᏓᏍᏗ ᎠᎴ ᎡᎵᏍᏗ ᏏᏴᏫᎭ ᏂᏚᎾᏓᏛᎾᏕᎬᎩ Ꮎ ᏗᎾᏓᏅᏟ ᎠᏓᏅᏙ ᎬᏗ.
