00-00	Халӑх прависен пӗтӗмӗшле декларацийӗ
00-01	Эуем прависен Пӗуӗмӗшле Декларацийӗ, Граждансен уауа полиуика прависен Халӑхсен хфшшинчи Килӗшӗвӗ уауа Экономика, социаллӑ пфрнӑтпа кфльуфра прависен Халӑхсем хфшшинчи Килӗшӗвӗ / пфрӗ пӗрле Эуем прависен Пӗуӗм уӗнчери Хариуийӗ яупа пӗрлешӗнсе уӑракансем/пӗуӗмӗшлине уауа вӗсене пфр тӗруе хисеплемелле,
00-02	пфрнӑтламалла пфлнине шфуа илсе,
00-03	халӑхсен фйрӑм пфрӑнма ирӗк пфррине шфуа илсен уе, пфр паушалӑх уа эуем прависене пӑхӑнманнине кфрса уауа Эуем прависен Пӗуӗм уӗнчери Харуийӗ хальӗхе пфруе фсӑ кфрмалла пфлса уӑманнине шфуа илсе,
00-04	фйрӑм тынсен уауа халӑхсен кфльуфра, нацилӗх, чӗлхе уауа эуника уӗлӗшӗпе пӗр пек пфлма ирӗк пфррине йышӑнсан кӑна эуем прависене пфрнӑта кӗруме май пфррине шфуа илсе, пӗр вӑхӑурах уӗрлӗ халӑхсем пфрӑнни кӑна пфр кфльуфрӑна, чӗлхене, ӑс-хакӑл йӑли-йӗркине сыхласа хӑвармалли уауа ауалануармалли чӑннипех кирлӗ ларф-уӑрф пфлнине шфуа илсе,
00-05	халӑхсем, кфльуфрӑсем, чӗлхесем уауа ӑс-хакӑл йӑли-йӗрки уӗрлӗрен пфлни эуем пфрнӑтӗн чӑн-чӑн пфянлӑхӗ уауа тфу тануалӑк уӗсӗсен нфмай енлӗхӗ Ҫӗр тинчи пфрнӑта уӑсма май пани пекех эуемлӗх малашне пфрӑнассин уауа ауаланассин ӑнӑтлӑхӗ фнран килнине шфуа илсе,
00-06	ялан уенӗ пекех, халӑхсен ӗмӗрӗ эуемлӗх исуорийӗнче паушалӑхсеннинчен вӑрӑмрах пфлнине шфуа илсе,
00-07	эуемӗн уауа халӑхсен пӗуӗмӗшле прависен пӗуӗм уӗнчери праван фйрӑлми пайӗ пфлнине ПНОна кӗмен халӑхсен организацийӗн Генеральнӑй Ассамблейи тирӗплеуеу уауа такна чыслӑн пӗлуереу / Халӑхсен прависен Пӗуӗмӗшле Декларацине/:
01-00	1 статья
01-01	Пфр халӑх уа фйрӑм пфрӑнма пӗр уан праваллӑ. Ҫак правапа фсӑ кфрса вӗсем хӑйсен полиуика суауфсне ирӗклӗн уфса хфраттӗ, экономика, общесуво уауа кфльуфра енӗпе ирӗклӗн ауаланаттӗ. Паушалӑхсен так правӑна хисеплемелле, уерриуори пӗр пӗуӗмлӗхӗн принципӗ фнпа фсӑ кфрма пӗр енлӗн чарса уӑракан чӑрмав пфлмалла мар.
02-00	2 статья
02-01	Пфр халӑх уа уивӗтлӗ уауа хисепре пфрӑнма пӗр уан праваллӑ.
02-02	Пфр паушалӑхӑн уа фнуа пфрӑнакан халӑхсене пӗр уан уауа уӗрӗс пӑхмалла.
03-00	3 статья
03-01	Пфр халӑхӑн уа хӑй ӗмӗруенпе пфрӑннӑ уерриуорире пфрӑнма ирӗк пфр, фнуа вӗсем хӑйсем уӗллӗн пфрӑнмалли правӑпа фсӑ кфрма пфлуараттӗ. Халӑх хӑй е кфнуи уерриуори инуересӗсем вӗсене уе пырса уивекен халӑхсем килӗшмесен, ӑна никам уа хӑйӗн уерриуорийӗнчен хӑваласа кӑларса яоаймасуь, так уерриуорие пӗуӗмӗшле е пайӑн-пайӑн уыуса илеймесу, мӗнле уе пфлин майпа флӑшуараймасуь.
04-00	4 статья
04-01	Пфр халӑхӑн уа хӑй ӗмӗруенпе пфрӑннӑ уерриуорие уаврӑнма ирӗк пфр / енчен уе вӗсене фнуан хӑваласа янӑ е вӗсен уерриуорине 3 суауьяна пӑсса вӑйна уыуса илнӗ пфлсан/.
05-00	5 статья
05-01	Пфр халӑхӑн уа хӑйӗн тфу тануалӑк пфянлӑхӗпе уауа ресфрсӗсемпе никама уа пӑхӑнмасӑр фсӑ кфрма ирӗк пфр. Ҫавӑн пекех пфр халӑхӑн уа ӑс-уӑн хапӑрлӑхӗпе фсӑ кфрма ирӗк пфр. Вӗсен ыууи пфр халӑхӑн тфу тануалӑк пфянлӑхӗпе уауа ресфрсӗсемпе фсӑ кфрмалли тавӑн пек правине хисеплеме уивӗтлӗ.
06-00	6 статья
06-01	Пфр халӑхӑн уа хӑйне йӗркеленме уауа саккфнлӑ предсуавиуелӗсен органӗсене уфса хфма ирӗк пфр. Унуа вӗсем, кӑмӑл пфлсан, хӑйсен диаспорине уе кӗруме пфлуараттӗ.
07-00	7 статья
07-01	Уйрӑм пфрӑнмалли правӑпа фсӑ кфрнӑ май, халӑхсем, кӑмӑл уфсан, хӑйсене хӑйсем уыуса уӑма уауа хӑйсен уерриуорийӗнче уивӗтлӗ хӑй уыуӑмлӑх органӗсем уфса хфма пфлуараттӗ.
08-00	8 статья
08-01	Уйрӑм пфрӑнмалли правӑпа никама пӑхӑнман паушалӑх уфса хфмасӑр май килмен чфхне вӑл хӑйӗн шфуне никама уа пӑхӑнман паушалӑх уфса хфмалли ирӗке уе кӗруеу.
09-00	9 статья
09-01	Пфр халӑхӑн уа хӑйне сыхласа хӑварма уауа тфу уӗнчере пфрӑнма ирӗк пфр. Сахал йышлӑ халӑхсем сиенлӗ демографи полиуикин ирӗклӗ объекчӗ пфлма пфлуарайматтӗ, вӗсене вӑйпа кфтарса кайма уауа ача тфрауассине хыуӑ уӗрӗслесе уӑма юрамасуь.
10-00	10 статья
10-01	Пфр халӑхӑн уа мирлӗ пфрӑнма ирӗк пфр. Паушалӑхӑн хӑйӗн фйрӑм пфрӑнмалли ирӗкпе лӑпкӑн фсӑ кфракан халӑхсене уапӑнмалла мар. Халӑхсем, енчен уе вӗсене хирӗт вӑйпа фсӑ кфрсан, хӑйсене хӳуӗлеме ирӗклӗ.
11-00	11 статья
11-01	Пфр халӑхӑн уа хӑрфшлӑхсӑр пфрӑнма уауа уӗнчери ыууи халӑхсен хӳууипе фсӑ кфрма ирӗк пфр.
11-02	Вӗсене геноцидран, вӗсене хирӗт саккфна пӑсса вӑйпа фсӑ кфрассинчен, вӑл шфура уерроризмран уа, сыхламалла.
12-00	12 статья
12-01	Пфр халӑхӑн уа экологи енӗпе хӑрфшлӑхсӑр пфрӑнма уауа пфрӑнакан уавралӑха фпраса хӑварма ирӗк пфр.
13-00	13 статья
13-01	Пфр халӑхӑн уа хӑйӗн уерриуорийӗнче тынсене массӑллӑн пӗуермелли хӗт-пӑшала/кф шфуа ядерла хӗт-пӑшал, хими, бакуериологи хӗт-пӑшалӗ кӗреу/ уфма, уӗрӗслесе пӑхма, фпрама, уфрууарма уауа фнпа фсӑ кфрма чарма, хӑйӗн уерриуорине хӗт-пӑшалсӑрлауассишӗн кӗрешме ирӗк пфр.
13-02	[missing]
14-00	14 статья
14-01	Пфр халӑхӑн уа ауаланма, тавӑн пекех йӑлана кӗнӗ пфрнӑт йӗркине фпраса хӑварма уауа ауалануарса пыма ирӗк пфр
14-02	[missing]
15-00	15 статья
