00-00	Hattak Mó̱ma I̱holisso
00-01	Hattakat yaakni' áyya'shakat mó̱makat ittíllawwi bíyyi'ka. Naalhpisa'at hattak mó̱makat immi'. A̱lhínchikma̱ hattak mó̱makat ishtayoppa'ni.
00-02	Hookya nannalhpisa' ihíngbittooka̱ ittimi̱lat taha. Himmaka̱ hattakat aa-áyya'shahookano ilaapo' nanna anokfillikakoot nannikchokmoho̱ anokfillihootokoot yammako̱ yahmichi bannahoot áyya'sha.
00-03	Nannalhpisa' ihíngbittookookano kaniya'chi ki'yo. Immoot mahá̱a'chi hattakat áyya'sha aalhlhika̱.
00-04	Nannalhpisa' ihíngbittooka̱ immoot mahá̱ahookya hattakat ikayoppa'chokmat ibaachaffa ikbannokmat ilaapo' nanna aanokfillikakoot yahmichi bannahoot áyya'sha.
00-05	Hattak mó̱makat nannaka̱ ittibaachaffa bíyyi'kakma̱ chokma'ni. Hattak yaakni' áyya'shakat nannalhpisa'a̱ naapiisa' alhihaat mó̱makat ittibaachaffa bíyyi'kakma̱ nanna mó̱makat alhpi'sa bíyyi'ka'ni.
00-06	Yaakni' hattak áyya'shakat mó̱makat nannaka̱ yahmi bannahoot áyya'shakat holisso holissochi: Chihoowaat hattak ikbikat ittiílawwi bíyyi'kaho̱ Chihoowaat naalhpisa' ikbittooka̱ yammako̱ hattakat kanihmihoot áyya'sha bannakat yámmohmihoot áyya'sha'chi.
00-07	Hattak yaakni' áyya'shakat mó̱makat yammookano ittibaachaffahookmaka'chi nannakat alhpi'sa bíyyi'ka'chika̱.
00-08	Hattak mó̱makat ithá̱nahookmaka'chi.
00-09	Himmaka' nittak áyya'shakat
00-10	General Assemblyat
00-11	Nanna mó̱maka̱ nannaka̱ ithá̱nacha ittibaachaffahookmakoot nannaka̱ a̱lhíncha'chikat holisso ikbi.
01-00	AnompaKanihmo'si1
01-01	Himmaka' nittakookano hattak yokasht toksalicha'nikat ki'yo. Hattak mó̱makat ittíllawwi bíyyi'kacha nanna mó̱maka̱ ittibaachaffa'hitok.
02-00	AnompaKanihmo'si2
02-01	Hattakat pisa ittimi̱layyokhacha kaniyaho̱ aamintihookya mó̱makat ittíllawwi bíyyi'ka.
02-02	Hattakat yaakni' kaniya'o̱ aamintihookya ittíllawwi bíyyi'ka.
03-00	AnompaKanihmo'si3
03-01	Hattakat hattak yoka'shcha aba'nikat imalhpi'sa ki'yo. Hattakat holiitopa bíyyi'ka.
04-00	AnompaKanihmo'si4
04-01	Hattak yoka'at ikshoka'ni.
05-00	AnompaKanihmo'si5
05-01	Hattakat hattakaakaynika̱ kalakshichit nanna impállammicha'nikat iksho nanna kanihmi ki'yoka̱.
06-00	AnompaKanihmo'si6
06-01	Hattakat mó̱makat hattak bíyyi'ka.
07-00	AnompaKanihmo'si7
07-01	Hattak naapiisa' alhihaat hattak mó̱maka̱ ittíllawwicha'nikat imalhpi'sa.
08-00	AnompaKanihmo'si8
08-01	Hattakat nannikchokmoho̱ hattak i̱yahmohmikma̱ naapiisa' alhihaakoot hattak yamma̱ apila'chi.
09-00	AnompaKanihmo'si9
09-01	Hattakat nanna̱ kanihmi ki'yoka̱ yokacha' ki'yo kanahoot nanna onhochika̱.
10-00	AnompaKanihmo'si10
10-01	Yokashtokookma̱ court ishtayyana i̱naapisa'akoot i̱naapisa'chi nannakat alhpi'sa bíyyi'ka'chiho̱.
11-00	AnompaKanihmo'si11
11-01	Kanahaat nanna ikchokmoho̱ yámmohmi imahoobakmat naapiisa' alhihaakoot nannakat alhpi'sa bíyyi'kaho̱ i̱naapiisa'chi, anompa loma' nannakya ikshoho̱.
