00-00	JERA TOTE PIYANLE TSA'CHILACHI MANTA
00-01	Ten ila inue, paka i'tuto nenanci, jera tote panshi jono, yari jeralela miranun joe, piyanle tsa'chilachi mantaka, monanti aratalu wini i'to, tsa'chi bolonlaka, yu'kapiyarechike tenfeno i'tonunka.
00-02	Ten ila inue, piyanle tsa'chilachi mantaka, mi i'toto, junshi mira'tonan kumana kurato, layan tsa'chilaka, layan se i'ton kilakenae, junto tsa'chila fe munaranunka, panshi junshi wepanatu'to, nena'sa, tsankenan tikati ya'chi tenka janunka pano pode i'sa joe.
00-03	Ten ila inue, piyanle tsa'chilachi mantaka, sonban manta shuwachun, yape tsa'chila, mantaminlaka be'ko pala ke'tusa.
00-04	Ten ila inue, piyanle payila sele sonrala'sa, a'ko kuwenta jonola jonunka.
00-05	Ten ila inue, tsa'chi bolonla, Man Junnín jominlachi, to tenpe chuminlari, yala tala, sen manta lare'to, sonala junshi unilala, man inin i'to, tikati se lare'to, panshi sonano junshi tileti nenano pode inolajo eke.
00-06	Ten ila inue, jera payila, yala tala pura ikala jonunka, in mantaka sele kirato, junshi merato, piyanlela sele sonrala'sa, shuwachun. Junshi
00-07	Ten ila inue, in mantaka, tenkachike shuwato, sejoe ti'to, layan fe sele kirala ke'chuna eke.
00-08	Wa sanbeleya
00-09	Larenae
00-10	Jera tote, piyanle tsa'chilachi manta
00-11	Yape, piyanle payila, tenkachikenan, kechike tenfela ke'sa, tsano pode i'chun, yalari, pila mi inaminlaka mikarenolajoe, yape, tenkachike shuwato, inte junshi orachinan, uyan payila, tsan joe ti'to, yalanan in mantaka, yalachi pe shuwalake'sa.
01-00	1. Manta
01-01	Piyanle tsa'chila, mankarijun, junshi manta tan, in tobi jaminlajoyoe, titi mi, tenka kano min, junshi, tsa'chila tala, sen jono min.
02-00	2. Manta
02-01	Jera Tsa'chila, in mantabiri, panshi junshi tileti nenano pode inojoe, kirano i'toe, ti fi'ki, nunchi nechi jonunka, ti kere imin jonunka, ti mi tanunka, na ika jonunka, o niyanti jonunka kirano i'toe
02-02	Tsankenan, kirano i'toe, ya chununte ti payi jonunka o mani man tsa'kumin shiri jonunka, weyanteri tenkachike tobi, junshi payi i'to chununka, tsanjominlabinan in manta kiranojoe.
03-00	3. Manta
03-01	Jera tsa'chila, panshi, tileti nenano junshi niyan nanti kela ke'tusa, manta taralae.
04-00	4. Manta
04-01	Monanti, peyon junshi, eskalabo ta'sa, junshi jo'sa, manta i'toe.
05-00	5. Manta
05-01	Mokananti, a'sota, padesa i'sakarin junshi pa i'to, ta'sa manta i'toe.
06-00	6. Manta
06-01	Piyanle tsa'chila, ya'chi jonunka, tileti, se tila ti'sa manta tae.
07-00	7. Manta
07-01	In mantabiri, piyanlela jun tsan nan jolajoe, junto panshile kiratu'to, niyaketi se i'ton kelake nanan, ti mantaminlabeti pano pode inolajoe.
08-00	8. Manta
08-01	Jara tsa'chila, panshile, yalachi manta jominka meratu'to, titi sa i'ton kela kenanan, yalachi tobi, mantamin chuminlabe pano pode inolajoe.
09-00	9. Manta
09-01	Mokananti, sele kiratuminan, dono jushi lare'to eresa manta i'toe.
10-00	10. Manta
10-01	Panshile tsa'chi mankaka, se i'ton joe ti'to, dochi tilatinanan, jera fetola kuwentanan, tenkachike i'sha ino, piyanle merala ke'sa, manta tae, tsankenan jun manta kiraminlaka, tuka keminlaka ta'sa, mantanan pe joe.
11-00	11. Manta
11-01	Panshile tsa'chi mankaka, se kiratuminan, se i'ton kurato dochila tinanan, yari, tuka juwishiyo ke'sa manta ta e. tsankenan, ka'sale tikati sele jera kirasa, pan ano manta tae, junka tulo'tunari, yari, panshinan tileti nenano pode inojoe.
11-02	Mokananti, ka'sale tsa nan, se i'ton kika jonunka sele mi i'tuminan, dobi eresa manta i'toe, tsankenan, panshile dono pa'tinari, nantanan, se i'tonke, dosa mantano i'toe.
12-00	12. Manta
12-01	Mokananti, ya sonanunka, pu'kaka, ya'chi nalaka junshi ya'chi yaka, yu'ka kurato, pa'to nena'sa, manta i'toe. Tsanke pa'sa ina'tori, in mantaka ka'to be'ko niyaketi pano pode inojoe.
13-00	13. Manta
13-01	Mo tsa'chiti, ya'chi payibi, panshi, junshi, monanti pa'tusa nenano, pode inojoe.
13-02	Mo tsa'chiti, ya'chi payibinechi lo'to ji'to, man Jano, pode inojoe.
14-00	14. Manta
14-01	Mo tsa'chiti, panshile, bene shu tanjala inanan, nun payibiti, ashilo pan a'to, chuno pode inojoe.
14-02	In mantari, payila, bolon i'to, kika jun joe, junto tsa'chi manka, junto se i'ton pa'tinari, in mantaka jamo jino pode inola i'toe.
15-00	15. Manta
15-01	Piyanle tsa'chila, nashiyonalida tano, manta taralae.
15-02	Mokananti, nashiyonalida i'tosa tino, junshi uyan nashiyonalidaka ka'sa, mantano pode inola i'toe.
16-00	16. Manta
16-01	Piyanle unilala junshi sonala, uwan i'tobi, mobe, niyan kiranbeti, junshi nunchi nechí jominka kiratu'to, ka'sala i'to, nalabe bolon i'to sona'sa manta joe, tsankenan panshile puraka i'tonan, panshi man nena'sa manta joe.
16-02	Ka'sala i'chunin, unilabe junshi sonabe shiri miranolajoe.
16-03	Bolonlari, manto tsanla, se lo'sa jolajoe, junto payila, layan se ti'to kiranolajoe.
17-00	17. Manta
17-01	Jera tsa'chila, mankari jono, o bolon i'to, sonano manta taralae.
17-02	Mokananti, ya'chi tobinechi, lare'to eresa manta i'toe.
18-00	18. Manta
18-01	Jera Tsa'chila, niyake tenka kano mo'kenan, Dioshika niyake kere ino mo'kinan, bolon i'to o mankari, tsankenan, tile Dioshika pa'to nenano mo'kenati, manta ta e.
19-00	19. Manta
19-01	Jera tsa'chila, yalachi tenka janunka, pano manta taralae, junka monanti pashuwano i'toe, tsankenan, tibiti junshi,ya'chi tenka janunka, pano pode inojoe.
20-00	20. Manta
20-01	Jera tsa'chila, tileti panshi nenano, junshi, bolon ino, manta tae.
20-02	Mokananti, pa i'to, man bolonbi pewi'sa mantanola i'toe.
21-00	21. Manta
21-01	Jera Tsa'chila, wentekajun o wini ino, ya'chi payi tenchi, mantamin ino, pode inojoe.
21-02	Jera tsa'chila, yachi payibi, tibiti titi kena'to weyanlaka kuwentanan, sele kirala ke'sa manta taralae.
21-03	Tsa'chi bolonla miranolajoe, niyake yalachi mantaminlaka mumun no, jun mumunchun, voto ke'to wenteno lajoe, jun wentena'sa monanti kirano i'to, ya voto kemin shiri miranojoe.
22-00	22. Manta
22-01	Jera tsa'chi, tsa'chi bolonbinechi jo'to, yaka se tilati'sa manta tae, ya chunun tobi junshi orachinan, tsankenan man payibi titi jomin, junbi chumin tsa'chilachi joe, yape titi ke'to kala kano, terano, mi jonunka kirawono junshi ya jonun se lo'sa.
23-00	23. Manta
23-01	Jera Tsa'chila, titi keno manta taralae, ya kiranojoe ti keno mo'kenati, aman yari, senbi jonojoe, jun titi kenan nunbinechi, lare'to eresa manta i'toe.
23-02	Jera Tsa'chila, titi kika tenchi, sele pakara kela ke'sa, manta taralae.
23-03	Jera tsa'chila, titi kenun tenchi, kala kano manta taralae, ya'chi sona junshi nalanan sekuro tanolajoe, aman panshile i'tonari, uyanchi nechi sekuro neyanojoe, yape ya'chi nalabe, sele chuno pode ila i'sa.
23-04	Jera tsa'chila, ya'chi se tenchi, tibiti bolon ino pode inolajoe.
24-00	24. Manta
24-01	Jera Tsa'chila, ja'sa ino, sen jonunbi titi keno, junshi pakara ke'to, nenabi erelake'sa manta taralae.
25-00	25. Manta
