00-00	TSICA INCANTYA IRAACAMEETHAYEETAIRI ATZIRIPAYEENI JACA QUIPATSIQUI
00-01	Ayotaiyini aaca, maaroni atziripayeeni icaratzi tzimatsiri quipatsiqui, te oncameethate iñaashitacaavaitaityaari iromperanataityaari iro covaperotachari iraacameethayeeteri, ocovatya isaicayetai cameetha eero itzimaventavacagaa. Oncantya iñaantyaarori iroca aacameethatavacaantsi, ontzimatyeetya iñaapincathatavacagaiya, tema te othañaaantsita tsicarica opaiyetari icoviri irantayete pashine atziri.
00-02	Ayotaiyini eejatzi tzimatsi aparopayeeni atziri caari anterone ocaratzi josanquinatayeetaqueri, irootaque jovasanquitaantayetacariri pashinepayeeni atziri. Tema jantaquerora iroca, te inimotacaayeteri pashinepayeeni atziri ocaratzi jantaqueri. Irojatzi ipampi thashiryaayetantanacari pashinepayeeni, ican taiyanaqueni: te oncameethate iroflaaca ivasanquitaavaitaiteri atziri romperanavaitaityaari, oshinetaantsite añaaventero tsicarica ompaitya ancoveri, tecatsi oocacagairone ocaratzi ametari oshireyetari, eej atzi oquemitari te oncameethate añaashivaityaa ocantacaantziro antharovacaavaitaro tsicarica ompai tya, o añaashineentavaitya ancocovate ontzimimoyetai tsicarica ompaiyetya acovityiiri.
00-03	Ayotaiyini eejatzi ocovatya ontzimayete osanquinarentsi icantacaantayetziri pincatharipayeeni iñaapincathayeeteri iro otzicaaventerine atziripayeeni, oncantya irantantayetyaarori ocaratzi cameethatatsiri icovayetziri. Ocovaperotya ontzimayete iroca icantacaantayetziri pincatharipayeeni oncantya eero tzimaventantaitari pincathari aririca incoshecavaitya irovasanquitaavaiteri atziripayeeni nampitarori aparoni nampitsi.
00-04	Ayotaiyini eejatzi, ocovaperotatyaa ayotaayetairi pashineyetatsiri atziri ocantavetaqya tsicarica inampitayetaro irirori, ari oncantya iraacameethatavacaantayetaiyaari irirori. Ayotaiyaqueni eejatzi ocanta ovaquera japatotantaiyacariniranqui jevayetzirori nampitsápayeeni, ipaitaqueriranqui "Aapatziyavacaa Poñaayetachari. Nampitsipayeeni", irojatzi josanquinatantacarori iñaapincathayeeteri, ipampithashiryaayetaca ari ocantaque irantayeetero ocaratzi cameethayetatsiri antero.
00-05	Opofla icantaiyaqueni eejatzi ocovaperotatya añaapincathatavacaayetaiya,tema omapero icovaperota maaroni atziripayeeni irirori, ocantavetaqya iriirica shirampari o iroorica cooya, ari ashiyavacaa maaroni. Ipampithashiretacotaquero eejatzi, tsicarica incantero irantavaitaiyeni oncantya iñaantyaarori iraacameethatavacagaiya atziripayeeni, iro iñaantaiyaarori iranintagaiyaaro isaicayetai cameetha; irantavaitaiyeni maaroni eero itzimanta aparoni tsicarica impaitya iflaashitacaavaitaitya iromperanavaitaityaari.
00-06	Ayotaiyini eej atzi, maaroni jevaripayeeni poñaayetanainchari pashinequi nampitsi icaratzi apatotainchari "Aapatziyavacaa Poñaayetachari Nampitsipayeeni" icantaiyaqueni: "Ontzimatye antavaitaiyeni maaroni, eero oocaventavacaa; ari oncantya eero jompetapithatantaitari atziripayeeni tsicarica ompaitya incoveri irantayeteri, iroj atzi iflaantayetaiyaarori eero jomperanavaitaitaari.
00-07	Ayotaiyeni eejatzi, ocovaperotatya inquemathayetairo maaroni atziri ocantacota ishinetaayeetziriri cameethatatsiri irantayeteri. Ocovaperotatya eej atzi inquemathatayetairo atziripayeeni tsica opaita cantacotachari isaicayetai cameetha eero iñaashitacaavaitayeetaari iromperanavaitaityaari. Omaperotatya ocovaperota anquemathayetairo iroca, ari oncantya imoncaraantyaarori cantayetaqueri jevayetzirori nampitsi japatotaiyacanira pairani.
00-08	Irootaque iroñaaca, iricapayeeni jevayetzirori nampitsi apatotainchari pairani, josanquinatayetaquero ocaratzi añeeri iroñaaca jaca ocantacota: "Tsica Incantya Iraacameethayeetairi Atziripayeeni Jaca Quipatsiqui", ari oncantya imoncaraayetantayetyaarori atzirira, ari oncantya iromoncaraantyaarori eejatzi icaratzi jevayetatsiri pashinequi nampitsipayeeniqui. Cantatsi iroflaaca, aparoni atziri o tsicarica inampitaro atziripayeeni, impampithashiryaacotero ocaratzi osanquinayetainchari jaca. Iriyotaayetairi pashinepayeeni oncantya iñaantayetaiyaarori irantayetairo ocaratzi cameethatatsiri ishinetaacayetaitziriri irantayetero.
00-09	Irojatzi iñaantayeetyaarori imoncarayetairo jevaripayeeni tsicarica ijevatzi, oinpofla iraacameethatavacaanaiya eej atzi iriroripayeeni icaratzi ijevayetzirora nampitsipayeeni. Ari oquemityaari maaroni nampitsipayeeni ocaratzi shenincatacarori "Aapatziyavacaa Poñaayetachari Nampitsipayeeni". Ari iquemitayetanaiyaari eejatzi icaratzi jevayetatzirori nampitsipayeeni opincathariventzirira pashine nampitsi.
00-10	Jiroca iroñaaca osanquinatacoyeta "Tsica Incantya Iraacameethayeetairi Atziripayeeni Jaca Quipatsiqui":
