00-00	İNSAN AQLARINIÑ UMUMİY BEYANNAMESİ
00-01	İnsan ailesiniñ cemi azalarına has olğan menlik duyğusı em de olarnıñ musaviy ve ayırılmaz aqlarınıñ tanılması adalet ve umumiy barışıqlıqnıñ temeli olğanını nazarğa alaraq; ve
00-02	insan aqlarına lâqaydlıq ve aqaret beşeriyetniñ vicdanını ğadaplandırğan vahşiy amellerge alıp kelgeni ve insanlarnıñ söz ve aqide serbestligine malik olacağı, qorqu ve muhtaclıqtan azat olacağı bir dünyanıñ yaratılması insanlarnıñ eñ büyük arzusı kibi beyan etilgenini nazarğa alaraq; ve
00-03	insannıñ istibdat ve basqığa qarşı eñ soñ çare olaraq baş kötermege mecbur qalmamasını temin etmek maqsadında insan aqlarınıñ uquq üstünligi ile qorulmasınıñ zarurlığını nazarğa alaraq; ve
00-04	milletler arasında dostluq munasebetleriniñ inkişafını desteklemekniñ zarur olğanını nazarğa alaraq; ve
00-05	Birleşken Milletler halqlarınıñ Nizamnamede insannıñ esas aqlarına, insan şahsınıñ degerligi ve qıymetine, erler ve qadınlarnıñ musaviyligine olğan işançlarını tasdiqlağanları, içtimaiy teraqqiyat ve yaşayış şaraitleriniñ daa ziyade serbestlik müitinde yahşılaştırılmasına qoltutmağa qarar bergenlerini nazarğa alaraq; ve
00-06	aza devletler Birleşken Milletler Teşkilâtı ile işbirlikte bulunıp, insan aqlarına ve temelli üriyetlerine bütün dünyanıñ kerçekten de sayğı köstermesi ve riayet etmesini teminlemek mecburiyetini alğanlarını nazarğa alaraq; ve
00-07	bu aqlar ve üriyetler er kes tarafından aynı şekilde añlaşılması yuqarıda qayd etilgen mecburiyetniñ tolusınen yerine ketirilmesi içün büyük emiyetke malik olğanını nazarğa alaraq,
00-08	Birleşken Milletlerniñ Baş Assambleyası
00-09	er kes ve cemiyetniñ er bir qurumı mezkür Beyannameni daima köz ögünde tutaraq, bu aqlarğa ve üriyetlerge, maarif ve tasil yolunen, terakqqiy milliy ve halqara tedbirler yolunen, olarnıñ em de Teşkilâtqa aza olğan devletlerniñ halqları, em de bu devletlerniñ idaresi altında olğan topraqlarda yaşağan milletler arasında bu aqlarnıñ dünyaca ve semereli şekilde tanılması ve tadbiq etilmesini teminlemege ğayret etmeleri içün mezkür İnsan Aqlarınıñ Umumiy Beyannamesini ilân ete.
01-00	1-nci madde
