00-00	E'E JNA JAU LA KIO LE KÖ MUKUU KIO NIA NE KIO TSA RÜJNIA
00-01	Kö.
00-02	Ejmo' chu e kio tsa makaloo̱ ne sia majmo'juis†̱̍kio mukuu sia maours e kio kalaküs ï sia juyi' tinei' kio jusó kia' kure ï tasia li ko' sasiá' kio lej†̍ tsa rü jnia tsa tio̱ jila suo.
00-03	Tü.
00-04	Ejmo' e sasno sia kalaküs ne sia i kï̱ ekio jusó e kio sou e kani malɇ ï mugu†̍ sia nioa e kio michii̱ kio mukuu ne e kio jua'ts ale kal†̱̍ jue'ga jmoo sañü' e ma kua kö mukuu e tiou jnia re lej†̍ tsa rüjnia, maka k†̍ y kö ne ekio tinï; Lii majï jau kiö ne jna l†̍ jäa soul li lijmo' jnia le nio jnia kio juisɇ kio.
00-05	Ne̱.
00-06	Ejmo' kio jna juso̱ kio̱jnia i jmo i tsa l†̱̎ ta jue'; mojoo tsa ñü' li lijmos ii jusó ijmoo tsa juë' ini e kio tsa ni kï jo̱ kaäs mugu†̍ ne ekio sia kues ijmonia lej†̍ ijnio jnia.
00-07	Kiü.
00-08	Ejmo' chu kio lej†̎ jnia jmo' tio̱ ilii ta ne ele' kiö ameï jö' kio le kö mukuu.
00-09	Ñaa.
00-10	Ejmo'kio lej†̎ tsa juu ne ekio le kö mukuu e makajmos tso̱ ni lii jmo' ï jau juso̱ kio sañü' jï roo juyi' ne ikï nü sou ne kuré jmo' jusó le sañü' ne tsam†̎ y makalɇs' makal†̍ ijmo̱s sou re kio lej†̎ lene soo ti sa†̍' kio tsa siä gï li jmos jue'ga kio lej†̎ tsaloo̱.
00-11	Jni.
00-12	Ejmo' re kio lej†̎ tsou tsa kua e'e jmos ilii re kio lej†̎ sou le kö mukuu, ne mako̱ mukuu ijmos kusoo̱ juso̱ kio tsa loo kati nei†̍ kio tsa ñu'; Ejmo' kö kio lej†̎ ilaa juso̱ ne saloo̱ i jue' ijmo̱' i kio ilii imakajua's.
00-13	Kió.
00-14	Jau kio lej†̎ ikajuats jï kalets kio mukuu kuo juso̱ kio tsou ijmos re kió lej†̎ juu ne mukuu jmo' kió, ne jmo rée kio tsou ne tsa kua nita tsos†̎ kio sane, jmos i li t†̎ e'e jau la̱ mako' yo̱ jusó i le' le no̱', ne iso̱ tös ta mojoo̱ lii re ni jmä̱ ne kio le kö mukuu, kalakü ne makachas kio mukuu ne jmo' isóo, kio leji juu leta̱ ue̱ mukuu kua tsa jmoo ai'.
01-00	Jau Kö (1).
01-01	Lej†̎ ni sou tsa lisia̱ ija̱a sia ikou' ne kojo̱ jï ne juso̱ ne jmo' re ju i s†̍' jmo' nö sala̱ ne sasno.
02-00	Jau Tü Ras† Kö (2).
02-01	Lej†̍ tsou sia juso̱o ne tsa makaloo jua'ts ne ila le' sia i sia lej†̎ tsa rü nia kö ini lejnia sam†̎ ne sañü' jumeï jau kio kua' ne sale' jau kio tsa soo ini ne lej†̎ tsou eta jmo', le kö ni jmä̱, le kö jisia kau' ne j lisia tsa tiñii.
