00-00	FAJUUMENUMI SIDRUWAAS SATI ANAU
00-01	Yíneni aat mati faŋaaf fati anau di sidruwaas soola, san umaje sirere di saasu ban poop sisofut di uceen soo silakom fujuumaf fati di malegenam, di kairaay di dúniaay búrom ;
00-02	Yíneni jaat anau nasonsoŋ mati kàmanjaataak di eñoosey sidruwaas sati anau soo siŋarulomi màkojiam, ban malegen munkul mujawulojaw di dúniaay man Anoosan muŋooleŋoolen usanken man súumimi nusof man súumimi, nupak di màkooleniam di bugaalab ;
00-03	Yíneni jaat mati sensen man aakemmi mofam apooy sidruwaas sati anau, takumŋarul anau tuuñool eri manakaan wajakut ;
00-04	Yíneni jaat mati kàliŋen bapaalaay bati sísukas jajak;
00-05	Yíneni jaat di kabaatak kati dúniaay búrom, bukanak kulanlaañ kúyiisen mankusofumi sidruwaas sati anau di faŋaaf fati anau di malegenaam mati anan di kare'enak búrom aniine di aseek ban poop kujunjuum burok man mati anau mujaw fáculey;
00-06	Yíneni jaat mati sísukas sàndomi soo di "Organisation des Nations Unies" sijunjuum ejuum yati sidruwaas sati anau di dúniaay búrom sikaani.
00-07	Yíneni jaat mati sidruwaas sati anau kankaan waaf wáamak wáriiŋe ejuum man wasankeniñaa ukaani.
00-08	Asambule Seneraal
00-09	Esosof mati furimaf ufe fujuumenumi sidruwaas sati anau kankaamn waaf wajake máamak bee bukanak búrom di sísukas búrom. Moo kaane jajak man bukanak di síkafaas kujuum mankuliŋenufo di kúyiisenufo kuñiilak ñatimkaraŋ mukaanaam moomu búrom eñesey maapi kaanimi man dúniaay búrom éyinen di ekaan siluwaas soosu nen mansiregumi eeno.
01-00	Fujuum 1
01-01	Bukanak búrom nan kuwolimi kurere kererer di waafaw búrom. Kubabaj poop búyejet di karampenoor.
02-00	Fujuum 2
02-01	Anoosan nababaj sidruwaas soosu búrom; bajut aseek bajut ániine, bajut an ati kansanken kúbúto, bajut an ati kapongol kúbuto, bajut paarti ébuto, bajut an abaji di muceen benen bajut ró kápajul kuceen kati pó1itik kati luwa mba kati ésuk, yabaje faŋaaf fooliyo mba ebajut.
03-00	Fujuum 3
03-01	Anoosan nababaj druwa ebaj fuyiifaf foola, ebaj kapooy kati faŋaaf fool a di kaano nen man amaŋumi eeno.
04-00	Fujuum 4
04-01	An letalako amiikeel ati akeen, letarok bee akeen; ban poop miikeliyaay di kanoomen kati kumiikeel fírenifiren.
05-00	Fujuum 5
05-01	Bajut katoorandiŋ an; an létassuutukeni.
06-00	Fujuum 6
06-01	Anoosan oomu di druwaay yoola banooban ban ammi.
07-00	Fujuum 7
07-01	Luwaay ere'en re'en bukanak búrom anoosan nababaj kapooyak kákonak kati luwaay. Anoosan nababaj kapooy mba mukaanaay máluse furimaf ufe.
08-00	Fujuum 8
08-01	Anoosan nuŋooleŋoolen ulamandi furim mba mukaanaay máluse sidruwaas soosuña san umanjumi luwaay eseneso.
09-00	Fujuum 9
09-01	An letuŋoolen ulaaf an manusofool, nukulool mba nukesoorool.
10-00	Fujuum 10
10-01	Anoosan nubabaj druwa káyiisen di bantabaay wabajimi tiribinaal yan umanje elaañut di anoosani yooyu eje'em bee efeley.
11-00	Fujuum 11
11-01	Luwaay yoone an anoosan kurege oo akaane mátaañiye kulaafoolaaf bee funakaf fati kíitiyey yíiseni jaat wakaanumi mankoone akila akaane oo babajerab kujuumak koola.
11-02	An leekukulool mati waaf wan umanje nan ukaanumi ulakout wátaañiye di luwaay di poop an letakaanool saariyoŋ yawuuje yawarin ekaani.
12-00	Fujuum 12
12-01	An uwarut unoken di mukaanaam mati an, síndaay yati an, mba tan tati an mba nuyenten faŋaaf foola mba nukajen kajamaak koola. Luwaay epoopooy anau di waafaw búirom.
13-00	Fujuum 13
13-01	An anoosan nababaj druwa ejaw ban súumoomi di ekin ban súumoomi di ésukey yoola.
13-02	Anoosan nababaj druwa épur mof haani moola di elaañul nan súumool.
14-00	Fujuum 14
14-01	Nan táañimi anoosan nuŋoolene ujaw úgongoto do mof múbuto.
14-02	Letuŋoolen ubaj kágongoto kukila lako jaat nububuj an.
15-00	Fujuum 15
15-01	Anoosan nubabaj druwa ebaj mof miiya.
15-02	An letaŋoolen áfiren an mée ebaj mof moola mba épur di moo.
16-00	Fujuum 16
16-01	Akambaani di ajaŋa káriiŋe búyebo Kuŋooleŋoolen kuyaboor mankubaj kuñiil bápajuloorut sisiiw mba sísuk mba buŋarab. Kurere di kayaboorak di búyebaab di ebaney yoolibo.
16-02	Búyebaab mambukaan, kuyabooraak kujamoor.
16-03	Bukanak kakinum di kaakemmi mofam kuwawar kupooy fiilaf falakomi fufaaraf fati kalakaak.
17-00	Fujuum 17
17-01	Anoosan, nababaj druwa ebaj waaf woola fúko'ol mba wan kunampoore di kupaalool.
17-02	An letuŋoolen ubot fubaj fati ata fo di mée.
18-00	Fujuum 18
18-01	Anoosan wuniwun, manubaj kawonoor kiiya, ejuk yiiya di buŋar biiya, súumi jaat nuŋoolene úruuŋ mba núje'etum buŋarab biiya tíyaŋaraay nen man bucceŋum eeno.
19-00	Fujuum 19
19-01	Anoosan nababaj druwa, ebaj kawonoor kiiya di káyiisen ko nen manumaŋumi eeno. Yoo elakomi an awarut ajaakali ebaj siwonoor soola. Naŋooleŋoolen ayab kurim mba siwonoor san aŋoolene afasiken dóo ésukool mba tíyaŋ.
20-00	Fujuum 20
20-01	Druwaas ewuwun anoosani manajuumen kámit mba káfa yati kásuumaay.
20-02	An letuŋoolen unoken an di káfa yanamaŋut.
21-00	Fujuum 21
21-01	Anoosan nuŋooleŋoolen ulako di fujuum fati mukaanaam mati mofam miiya mba nubaj kan úfojule kaje'e beet ejuumi.
21-02	Anoosan nuŋooleŋoolen ubaj fujuum di mukaanaam mati mofam miiya.
21-03	Kamaŋak kati bukanak koo kukiimi sembaay yati kaakemmi mofam. Kamaŋak kukila woteey éyiisenemi ko. Moo kaane woteey ekila ewawar ebaj waati di waati.
22-00	Fujuum 22
22-01	Anoosan tan ukinumi sensen manubajuto kayeraay yoola. Kayeraay yooyuña éjowumulojowum di sidruwaas sati fubajaf di sati tan akinumi di sati mukaanaam moola. Kayeraay yooyu an aŋoolent ábajaatiyo; moo kaane ésukoo ésuk enampoonampoor di sísuk saasu man kayeraay yooyu ekila ebajo.
23-00	Fujuum 23
23-01	Anoosan nababaj druwa ebaj burok básuumoo.
23-02	Bajut aseek bajut ániine anoosan aroke burok nababaj druwa mankucaamool bacaam bare'e nan burokab banakaanumi.
23-03	Anoosan ammi di burok kuwawar kucaamool yaj manaŋoolen acookoor síndaay yoola, naŋoolen abaj kayere di faŋaaf foola.
23-04	Anoosan nababaj druwa kajuumen fujum fati kurokaak, naŋooleŋoolen en poop ánokendo mankumak aajaay.
24-00	Fujuum 24
24-01	Anoosan nababaj druwa ebaj kunak kati kayoolo, kati fúraar. Waatay yati burokab ewawar erewoor ban di ebaj waati yati kayoolo ban pankucaam bukanak.
25-00	Fujuum 25
25-01	Anoosan nababaj druwa wákoyume bee akila, bukanak koola, furiaf wañaw di tan akinumi wawar jak. An másuumaati mubaje nen kásumut nen an ataool ájime mba an eluupool efumoe. Bukanak kuwawar kurampenool.
25-02	Mudeenanaam di kuñiilak kuwawar kubaj kákaanum di karampen káamak. Kuñiilak búrom "Kabaji di kayaboore mba kayaboorut" kure'e. Koo búrom kuwawar kubaj kacookoor kajake.
26-00	Fujuum 26
