00-00	Universala Deklaracio de Homaj Rajtoj
00-01	Pro tio, ke agnosko de la esenca digno kaj de la egalaj kaj nefordoneblaj rajtoj de ĉiuj membroj de la homara familio estas la fundamento de libero, justo kaj paco en la mondo,
00-02	Pro tio, ke malagnosko kaj malestimo de la homaj rajtoj rezultigis barbarajn agojn, kiuj forte ofendis la konsciencon de la homaro, kaj ke la efektiviĝo de tia mondo, en kiu la homoj ĝuos liberecon de parolo kaj de kredo kaj liberiĝon el timo kaj bezono, estas proklamita kiel la plej alta aspiro de ordinaraj homoj,
00-03	Pro tio, ke nepre necesas, se la homoj ne estu devigitaj, sen alia elektebla vojo, ribeli kontraŭ tiranismo kaj subpremo, ke la homaj rajtoj estu protektataj de la leĝo,
00-04	Pro tio, ke nepre necesas evoluigi amikajn rilatojn inter la nacioj,
00-05	Pro tio, ke la popoloj de Unuiĝintaj Nacioj en la Ĉarto reasertis sian firman kredon je la fundamentaj homaj rajtoj, je la digno kaj valoro de la homa personeco kaj je la egalaj rajtoj de viroj kaj virinoj, kaj firme decidis antaŭenigi socian progreson kaj pli altnivelan vivon en pli granda libereco,
00-06	Pro tio, ke la Ŝtatoj-Membroj sin devigis atingi, en kunlaboro kun Unuiĝintaj Nacioj, la antaŭenigon de universala respekto al kaj observado de la homaj rajtoj kaj fundamentaj liberecoj,
00-07	Pro tio, ke komuna kompreno pri tiuj ĉi rajtoj kaj liberecoj estas esence grava por plena realigo de tiu sindevigo,
00-08	Tial, nun,
00-09	La Ĝenerala Asembleo,
00-10	Proklamas tiun ĉi Universalan Deklaracion de Homaj Rajtoj kiel komunan celon de atingo por ĉiuj popoloj kaj ĉiuj nacioj, por tio, ke ĉiu individuo kaj ĉiu organo de la socio, konstante atentante ĉi tiun Deklaracion, per instruado kaj edukado strebu al respektigo de tiuj ĉi rajtoj kaj liberecoj, kaj per laŭgradaj paŝoj naciaj kaj internaciaj certigu ilian universalan kaj efektivan agnoskon kaj observadon, same tiel inter la popoloj de la Ŝtatoj-Membroj mem, kiel inter la popoloj de teritorioj sub ilia jurisdikcio.
01-00	Artikolo 1
01-01	Ĉiuj homoj estas denaske liberaj kaj egalaj laŭ digno kaj rajtoj. Ili posedas racion kaj konsciencon, kaj devus konduti unu al alia en spirito de frateco.
02-00	Artikolo 2
02-01	Ĉiuj rajtoj kaj liberecoj difinitaj en tiu ĉi Deklaracio validas same por ĉiuj homoj, sen kia ajn diferencigo, ĉu laŭ raso, haŭtkoloro, sekso, lingvo, religio, politika aŭ alia opinio, nacia aŭ socia deveno, posedaĵoj, naskiĝo aŭ alia stato.
02-02	Plie, nenia diferencigo estu farata surbaze de la politika, jurisdikcia aŭ internacia pozicio de la lando aŭ teritorio, al kiu apartenas la koncerna persono, senkonsidere ĉu ĝi estas sendependa, sub kuratoreco, ne-sinreganta aŭ sub kia ajn alia limigo de la suvereneco.
03-00	Artikolo 3
03-01	Ĉiu havas la rajtojn je vivo, libereco kaj persona sekureco.
04-00	Artikolo 4
04-01	Neniu estu tenata en sklaveco aŭ servuteco; sklaveco kaj sklavkomerco estu malpermesitaj en ĉiuj siaj formoj.
05-00	Artikolo 5
05-01	Neniu suferu torturon aŭ kruelan, nehoman aŭ sendignigan traktadon aŭ punon.
06-00	Artikolo 6
06-01	Ĉiu rajtas esti ĉie agnoskita jure kiel persono.
07-00	Artikolo 7
07-01	Ĉiuj homoj estas jure egalaj, kaj rajtas sen diskriminacio al egala jura protekto. Ĉiuj rajtas ricevi egalan protekton kontraŭ kia ajn diskriminacio, kiu kontraŭas tiun ĉi Deklaracion, kaj kontraŭ kia ajn instigo al tia diskriminacio.
08-00	Artikolo 8
08-01	Ĉiu rajtas ricevi de la kompetentaj naciaj tribunaloj efikan riparon pro agoj, kiuj kontraŭas la fundamentajn rajtojn, kiujn li havas laŭ la konstitucio aŭ la leĝoj.
09-00	Artikolo 9
09-01	Neniu suferu arbitrajn areston, malliberigon aŭ ekzilon.
10-00	Artikolo 10
10-01	Ĉiu en plena egaleco rajtas je justa kaj publika proceso antaŭ sendependa kaj senpartia tribunalo, por prijuĝo de liaj rajtoj kaj devoj kaj de kiu ajn kriminala akuzo kontraŭ li.
11-00	Artikolo 11
11-01	Ĉiu akuzita pro punebla faro rajtas, ke oni supozu lin senkulpa, ĝis oni pruvos laŭleĝe lian kulpon en publika proceso, en kiu li ricevis ĉiujn garantiojn necesajn por sia defendo.
11-02	Neniu estu konsiderata krimkulpa pro kia ajn ago aŭ neago, kiu ne konsistigis puneblan faron, laŭ nacia aŭ internacia juro, en la tempo, kiam ĝi estis farita. Same tiel, ne estu aljuĝita pli severa puno ol tiu, kiu estis aplikebla en la tempo, kiam la punebla faro estis plenumita.
12-00	Artikolo 12
12-01	Neniu suferu arbitrajn intervenojn en sian privatecon, familion, hejmon aŭ korespondadon, nek atakojn kontraŭ sia honoro aŭ reputacio. Ĉiu rajtas ricevi juran protekton kontraŭ tiaj intervenoj aŭ atakoj.
13-00	Artikolo 13
13-01	Ĉiu havas la rajton libere moviĝi kaj loĝi interne de la limoj de kiu ajn ŝtato.
13-02	Ĉiu rajtas eliri el kiu ajn lando, inkluzive la propran, kaj reveni en sian landon.
14-00	Artikolo 14
14-01	Ĉiu rajtas peti kaj ricevi en aliaj landoj azilon kontraŭ persekuto.
14-02	Tiu rajto ne estas alvokebla en kazoj de persekutaj akuzoj malfalse levitaj pro ne-politikaj krimoj aŭ pro agoj kontraŭaj al la celoj kaj principoj de Unuiĝintaj Nacioj.
15-00	Artikolo 15
15-01	Ĉiu rajtas havi ŝtatanecon.
15-02	Al neniu estu arbitre forprenita la ŝtataneco, nek rifuzita la rajto ŝanĝi sian ŝtatanecon.
16-00	Artikolo 16
16-01	Plenaĝaj viroj kaj virinoj, sen ia ajn limigo pro raso, nacieco aŭ religio, rajtas edziĝi kaj fondi familion. Iliaj rajtoj estas egalaj koncerne la geedziĝon, dum la geedzeco kaj koncerne eksedziĝon.
16-02	Geedziĝo okazu sole laŭ libera kaj plena konsento de la geedziĝontoj.
16-03	La familio estas la natura kaj fundamenta grupunuo de la socio, kaj ĝi rajtas ricevi protekton de la socio kaj de la Ŝtato.
17-00	Artikolo 17
17-01	Ĉiu rajtas proprieti havaĵon, kaj sola kaj en asociiĝo kun aliaj.
