00-00	Упкатңи  илэл  Буга̄ду бидерӣтын
00-01	Эрэвэр ичэтчэнэ,  упкатту илэлду са̄рӣча̄н бисин,  нуңарңитын тэгэ̄̄р ты нмукитын, тэдетын, аяра̄лдынтын;
00-02	эрэвэр ичэтчэнэ, сэлдэн, алтыссадян ичэтмэин илэ тэденду эмэврэ эрупчулвэ о̄ нилва, авгул упкатва илэлвэ, бидерӣлвэ Буга дуннэдут, тыкунңӣвкэ̄̄ндерэ, о̄ вканми аяра̄лды̄̄нма, эмаду илэл тэдевэ турэ̄̄нмэ, дялдалва, дёгордук, ңэ̄лэвсидук ты̄нмукит бидеңэ̄тын, тар илэл турэ̄нтын со̄ һэгды;
00-03	эрэвэр ичэтчэнэ, гэлэвкэ̄, илэ тэдевэтын законит дысутчэдэ̄̄н, илэ эдэ̄н илми һ уски болгӣчанду, кэсэгивунду;
00-04	эрэвэр ичэтчэнэ, Объединеннаил Нациял тэгэ̄лтын Уставду мэ̄нңи тэдедерӣвэт дукура, илэтыкин һэгдывэ̄н, со̄ткувэ̄н, бэел, асӣл-да урэ̄тывэ̄тын гӯнэ, илгэ̄рэ-дэ бэлэгэ̄ми социальнай прогрессту, аятмарит о̄ми илэл бидэ̄вэтын;
00-05	эрэвэр ичэтчэнэ, государствал – членил Объединеннай Нациял Органицациянун бэлэгэ̄р һавалилды̄дэ̄вэр, упкатту аявривэн, илэ тэдевэн, ты̄нмувэн гэлэ̄вдерэ;
00-06	эрэвэр ичэтчэнэ, упкат тэгэ̄л илэл тэдентын тылдеривэтэн эр ганава дярин  со̄ һ эгды бисин.
00-07	Генеральный Ассамблея эр упкатңи илэл Бугаду бидерӣтэн гундерэн о̄мачин дярин, экунтыки упкат государствал авадытыкин тэгэ̄л,  о̄дяңа̄ ңитын, авадытыкин илэ, авадытыкин общества органин, эр Декларациява дявучадяна, элэдэдэ̄тын аяврит, упкат илэл, упкат тэгэ̄л прогрессивнай һава дяритын.
01-00	Умукэ̄гӣ  статьян
01-01	Упкат илэл ты̄нмукирди, урэ̄лди мэ̄нңи са̄рича̄ди балдыдяра. Нуңартын дялитви, һалдяндыви биси, мэмэгӣлвэр аяралды̄дяна тэдет о̄мамачитын.
02-00	Ге̄ статьян
02-01	Илэтыкин упкачин тынмукитыт,  тэдери бисимэчин,  о̄н эр Декларацияду дукувча, гӯнмувча, эвунтыки-вэл, ңитки-вэл, эма дэрэн, һуңту итын, бэе-вэл, асӣ-вэл, турэ̄н-мэл, Бугатки ичэдэн, бай-вэл, дядаң-мэл, һэгдыкэ̄тчэрӣ-вэл  – упкат тар илэл урэ̄т биси.
02-02	Илэл урэ̄т-тэ упкат Бургадут, эмаду дуннэду-вэл бидерӣл, авады-вэл суверенитет бисиндун.
03-00	Илӣ статьян
03-01	Илэтыкин индэ̄ви, мэ̄нңи илэчэврэви тэдет бимэчин.
04-00	Дыгӣ статьян
04-01	Ңи-вэл болгичавдяна эден бидеми; болгичан, болгичан униекит-да̄ итымнадяран.
05-00	Тунңӣ статьян
05-01	Ңи-вэл кэсэгӣчивунду, са̄рича̄нинду эвки бидемэчин.
06-00	Нюңӣ статьян
06-01	Илэтыкин, иду-вэл нуңан биденэ, тэдет бидемэчин.
07-00	Нады̄ статьян
07-01	Упкат илэл иты дюлэдун урэ̄тчэрэ, умунтэгир дысучинди биси. Упкат илэл дысучинмэ, эр Декларация дукувнаду, дявучадяра, ңи-вэл супкумэчин эдан.
08-00	Дяпкӣ статьян
08-01	Илэтыкин һэгдыгу уңкилды̄мэткӣтылду тэдэт аюсмачин, о̄кин нуңанңи итылван сукчадяңа̄тын.
09-00	Егӣ статьян
09-01	Ңи-вэл дявамачин, турӣнмумачин, эрэ̄смэчин эсин о̄да.
10-00	Дягӣ статьян
10-01	Илэтыкин, о̄кин нуңанман сэлэ̄деңэ̄тын, тэдевэ гэлэ̄ктэлдеңэ̄н, нуңанңи о̄мачин тэдэмэт, тоңнот судту ичэвкэ̄нмэчин.
11-00	Дян умукэ̄гӣ статьян
11-00	Илэтыкин, эрӯ о̄мачинду сэлэ̄врэкин, эрӯн эвки гӯниврэ эрдэлэ̄н, о̄кин законит тэдевкэ̄ндеңэ̄н, тар-да дысучинма бӯдеңэ̄тын.
11-01	Ңи-вэл эрӯ о̄на дярин эден сот сэлэ̄мэчин биси, тар илэвэ эси  уңкилдырэ һ эгдытмэрит, суд дэсутчэңэн.
12-00	Дян ге̄ статьян
12-01	Ңи-вэл,  илэ индун,  нуңанңи дю̄ган бинидун эвки камнӣка̄тчэрэ,  дю̄лан, дукумачиндун, итыдун эвки ӣрэ, таңна. Тар эрӯдук илэтыкин дысумачин.
13-00	Дян илӣ статьян
13-00	Илэтыкин авадытыкин государстваду бимчэ̄, гиркумчэ̄.
13-01	Илэтыкин авадытыкин государстводук сурумчэ̄, тартыки эмэмчэ̄-дэ̄.
14-00	Дян дыгӣ статьян
14-00	Илэтыкин эрӯ асактандук мэ̄нду дю̄ви бакамачин ге̄л дуннэлду, таду-да бимчэ̄.
14-01	Эр илэ тэден эвки о̄мачин биси, о̄кин илэ тэдет эрӯе о̄ран. Илэ тэдет-та эруе о̄ ран, эма Объединеннай Нациял Организацияңитын принципил гуннэвэтын.
15-00	Дян тунңӣ статьян
15-00	Илэтыкин гражданствоват тэдет бимчэ̄.
15-01	Ңи-вэл мэ̄нңи гражданствови эсин а̄чин о̄ми, һуңтуңми-гу.
16-00	Дян нюңӣ статьян
