00-00	NANONDIRAL WINNDEREYANKEEWAL HAKKEEJE AADE
00-01	E tuugnaadeko wonde keftingal horma kala neɗɗo e nder ɓesngu aadee e hakkeeji potɗi woni dnaɗɗuudi ndimaague potal e jam e nder aduna,
00-02	E tuugnaade wonde ko baasgol heftinde kam e calogol tottude hakkeeji aade ngaddi barondiral e salaare sanndolin nde e nder aduna e kadihuccande adunam mo aade heɓi yamiroore haalde e miijiaa de no henanorii ɗum yontii ete kadi yimɓe poti jeyde koye mumen ceerta e kulol e baasal sabu aadee yiɗde ɗ um,
00-03	E tuugnaade wonde ina teeŋti yo hakkeeji aadee ndeenire yamiroore laawɗinaande mbele aadee waasaa tonngeede e gullitaagol dowrowol so tawii fawaama kalfaandi kiisndi walla waawnere ɓ urtunde,
00-04	E tuugnaade ina teeŋti nde ɓamtatoo ɓiyngu yummaagu hakkunde leyɗeele dimɗ uɗe,
00-05	E tuugnaade e nanondiral leyɗeele caaktangal woondoore leyɗeele jowitiiɗe e hakkeeji gadani aadee bayɗi no ndimaagu, teddungal e nder potal rewɓe e worɓe. Leyɗeele ɗee koddirii e daranaade ɓamtaare renndo e ñiɓgol fannuji nguurndam moƴƴam,
00-06	E tuugnaade e wonde leyɗeele dentuɗe jeytiiɗe ɗee, e ballondiral e fedde leyɗeele dentuɗe jeyɗe koye mumen pellitii ñiiɓnude horma hakkeeji aade kam e ndimaagu,
00-07	E tuugnaade e ɓulngo renndaande ngam tafde hakkeeji aadee kam e ndimaagu, leyɗeele ɗee teeŋtinii nafoore ɓurtunde wonde e pellitgol, ko ndeen batu nguu nanondiri, holliti:
00-08	Ngal-ɗoo nanondiral winndere yan keewal jowitiingal e hakkeeji aadee wayi ko no laawol gootol ñii ngam yettaade leyɗeete mbele yimɓe ɓee e renndooji ɗii mbaɗa ɗum e hakkillaaji mum e kala sahaa kadi et e jannginde e nehde mbele ɓamtoo horma hakkeelleji aadee e ndimaagukuule ƴettaama mbele saree e nder leyɗeele, ciynugol ngol ina foti feeñde, teskee e yimɓ e fof.
01-00	Kuulal gadanal
01-01	Innama aadeeji fof poti, ndimɗidi e jibinannde to bannge hakkeeji. Eɓe ngoodi miijo e hakkilantaagal ete eɓe poti huufo ndirde e nder ɓ iynguyummaagu.
02-00	Kuulal 2
02-01	Gooto kala ina waawi hokkunde hoore mum hakkeeji e ndima guuji kaalaaɗi e nanondiralngal tawa alaa paltagol nguru, mbaydi, leñol, ɗemngal, diine, iwdi leydi walla renndo, dañal, jibinande walla kala ngonka.
02-02	E ko fawtii heen hay paltoor gooto woodataa e dow yowitaade e dawrugol, ñaawoore hakkunde leyɗeele fawaade e neɗɗo ummiiɗo leydi walla neɗɗo mo yowitaaki maa woni pawiɗo yamiroore laawɗinaande waawnde wonde fof.
03-00	Kuulal 3
03-01	Innama aadee kala ina jogii hakke wuurde, e hakke ndimmagu kam e hakke ndeenka e kisal hoore mum.
04-00	Kuulal 4
04-01	Hay neɗɗo gooto fotaani tonngaade e maccungaa gu maccungaagu e njeeygu aadee ko ko harminaa e no waawi si foraade fof.
05-00	Kuulal 5
05-01	Hay neɗɗo gooto fotaani leepteede walla fiyeede piyle jaltuɗe neɗɗaagu walla koynooje.
06-00	Kuulal 6
06-01	Neɗɗo kala ina jogii hakke annditireede neɗɗaagu mum e kaayitaaji ñaawaaɗi.
07-00	Kuulal 7
07-01	Yimɓe fof poti e laamu ete poti fotde ndeendka e yeeso laamu. Yimɓe fof ina poti fotndeende e reeneede e heedi heedi baawɗo yaɓɓude kule ngal nanondiral yimɓe fofina poti reeneede e tooñannge tawa alaa paltoor.
08-00	Kuulal 8
08-01	Neɗɗo kala ina jogii hakke wullitaade ñaawoore e leydi mum so tawii o gañaama, o tooñaama walla so hakkeeji makko njoolaama. ɗiin hakkeeji ina ngannde e laamu e ñaawooje.
09-00	Kuulal 9
09-01	Hay gooto fotaani nanngeede sokee walla yaltinee leydi tawa ko e dow mbaawka e belaaɗe.
10-00	Kuulal 10
10-01	Neɗɗo ina jogii hakke e heɗeede e nder potal e sahaa ñaawoore nde yowitaaki, nde waɗataa heedi-heeda (jinngataa). ñaawooɓe ɓenguurotaako poti ñaawde hakkeji fotdeeji neɗɗo fof ko takkaa haa heɓ ni ɗum ñaawore.
11-00	Kuulal 11
11-01	Kala neɗɗo tuumaaɗo bonannde ina foti reweede haa ko fawaa e mum ko annde ina woodi walla alaa tawa ko ñaawoore laaɗinnaande nde suuɗaaka ñaawi e tawtingol ñaawoɓe luundiiɓe heedɓe bannge ñaaweteeɗo oo.
11-02	Hay gooto fawetaake bonnannde walla war ngo tawa nde waɗatee ndee waawa wonde ko teeŋti e mum e yowitaade e laawol leydi walla laawol hakkunde leyɗeele. Ko noon ne hay gooto fawetaake sariya baɗɗo huunde tawa nde waɗetee ndee o jotondiraani heen.
12-00	Kuulal 12
12-01	Hay gooto yaɓɓetaake, tooñee e nder nguurndam mum, e nder ɓesngu mum e nder jotondiral mum walla neɗɗaagu mum lesɗinee, naange hay gooto e dowlugol mum potaani ñifeede. Neɗɗo kala ina jogii hakke reenaneede ɗee geɗe teeŋtinooji ndimaagumum.
13-00	Kuulal 13
13-01	Neɗɗo ina jogii hakke yahde ɗo welaa fof e no weliraa fof kam suɓaade hoɗannde mum e nder leydi.
13-02	Neɗɗo ina jogii hakke yaltude leydi kala hay so tawii ko ndi makko kam e artude e leydi mum.
14-00	Kuulal 14
14-01	E sahaa kulol, neɗɗo kala ina jogii hakke ƴeewde moolaare e dañde leydi moolndi ɗum e goɗɗe ɗee.
14-02	Oo hakke noon waawaa fawaade e warde hoore doga ƴeewa moolɗo ɗum, o waawi fawaade tan ko e jamirooje fedde leyɗeele dentuɗe.
15-00	Kuulal 15
15-01	Neɗɗo kala ina jogii hakke jeyeede e leydi, woni jogaade ngenndi.
15-02	Hay gooto waawaa e dow belaaɗe haɗeede jogaade ngenndi walla waylude ngenn di.
16-00	Kuulal 16
16-01	Caggal nde neɗɗo dañii duuɓi kelliƭuya so ko o debbo, so ko o gorko faltaa ki leñol, nguru, leydi ono jogi hakke resde maa reseede, o darna fooyre. Ko kamɓe poti heen hakkeeji jowitiiɗi e dewgal so ina humee walla so ina ittee (goorko e dewbo).
16-02	Dewgal fawii ko e yiɗde resondireeɓo ɗiɗo ɓee wonaa ina fawee e waawnere.
16-03	ɓesngo ko kam woni tergal gadanal e nder rendo ɓesngu inajogii hakke ndeenka immoraade e renndo kam e laamu leydi ndii.
17-00	Kuulal 17
17-01	Kala neɗɗo walla dental yimɓ e ina jogii hakke e jeyal leydi.
17-02	Hay gooto fotaani e amdu e waawde haɗeede jeyi mum.
18-00	Kuulal 18
18-01	Kala neɗɗo ina jogii hakke ndimaagu miijo, hakkilantaagal kam e diine. Oon hakke ina roondii ndimaagu waylude diine kam e ndimaagu tabitinde diine mum walla yi yannde mum kañum gooto walla e wondude e woɗɓe. Ngaal tabitinal diine noon ina nona ko ɗuuɗii e ko feeñi fof tawa ko rewneede e dow jaŋde, walla dewal walla jamirooje diina oo.
19-00	Kuulal 19
19-01	Neɗɗo ina jogii hakke e ndimaagu jogaade miijo e saaktude miijo mum ɗum firti ko joom mum fotaami hulde feeñninde miijo mum walla wiɗtude, heɓde kam e sarde miijooji e kabavuuji tawa woƴaaki keeri hakkunde leyɗeele e no sardaa fof.
20-00	Kuulal 20
20-01	Neɗɗo kala ina jogii hakke e ndimaagu waɗde batu walla fedde nde wonaa fitina.
20-02	Hay gooto fotaani waawneede jeyeede e fedde alay sago.
21-00	Kuulal 21
21-01	Neɗɗo kala ina jogii hakke e jeyeede e terɗe gardiiɗe leydi mum. Tawa ko kañum e hoore mum walla tawa ko waabaade e ɓe yimɓe e cuɓii ina njooɗ añii leydi sabu joñeede geɗe mum.
21-02	Neɗɗo kala ina jogii hakke ardineede walla joñeede geɗe/golle leydi e dow potal.
21-03	Muuyaande leydi ndii ko ñiɓgol kalfaandi laamuuji ɗii. Ndiin kalfaandi ñiɓortoo tan sosde wooteeji cuɓoo suɓngo laaɓngo e leydi kala, tawa cuɓotoo ɗo kala ina tottee ndimaagu mum timmungu.
22-00	Kuulal 22
22-01	Neɗɗo kala e nder renndo ina jogii hakke e ndeen ka renndoyankeewo. ɗumko weltaare hakkeeji fagguduyankoj e renndoyan heeji e pina yankooji katojinaa ɗi e ndimaagu e ɓamtaare aade e dow tuugnaade e ngonka leydi fof.
23-00	Kuulal 23
23-01	Neɗɗo kala ina jogii hakke liggaade e dow potal hujjiaaji liggeey e ndeenka baasgol gollaade.
23-02	Yimɓe fof poti fotde njoɓdi so tawii ɓe potii liggeey.
23-03	Kala liggiɗo ina jogii hakke njoɓ di fotndi heen, njondi mbaawndi jogaade mo kaŋko e ɓesngu makko mbele njogoo ngonka moƴƴa tedduka. Njoɓdi ina haani timminireede catiiɗe renndoyankooje.
23-04	Neɗɗo kala liggotooɗo ina jogii laawol tafde fedde wullitaare hakkeji liggeey walla yantondirde fedde liggotooɓe mum e pedle goɗɗe liggotooɓe so tawi eɗe ndenndi ngoƴ aaji e anniya.
24-00	Kuulal 24
24-01	Neɗɗo kala ina jogi hakke e fooftere walla weltinde ɓernde num walla wooda ɗo haa’ɗni liggeey mum ete kala liggotooɗo ina jogii hakke e fooftere yoɓ eteende.
25-00	Kuulal 25
25-01	Neɗɗ kala ino foti jogaade hakke nguurndam cemorɗam haa waawaa toppitaade cellal mum, ngonka mum eka ɓesngu mum haa teeŋti e nguura, koɗlci, safaara e geɗe renndo; omo jogii hakke e ndeenka so tawii o liggaaki, walla o sellaani ma walla o jodtaa de e doole mum, walla kes jooɗiiɗo, naywuɗo walla kala geɗe baasooje wallitde nguura ɗe pawaaki e bellanteeje.
