00-00	Dá̱ldɨ́ŋáꞌŋ Toŋkuriꞌŋ Jansaꞌŋ Daara Dᵾldɨꞌŋkwěꞌŋ nisilaꞌŋ Janyal da̱ldɨ-lé
00-01	“Dá̱ldɨ̱́ŋáꞌŋ toŋkuriꞌŋ tógó̱loŋaꞌŋ jɨɨn dᵾldɨꞌŋ kwěꞌŋ ta̱gɨtꞌí̱ŋ ere, na nisilaꞌŋ arrá, yé-ii délliŋ dorá ɨt-ii áláŋ gîs baaj na murul na dóŋáꞌŋ janí–le péégél da ̱́ldɨꞌŋ dɨó, Ɨdɨ̂ɨ́ŋ nás kwa-sí dᵾldɨꞌŋ kwěꞌŋ nisilaꞌŋ ba̱gɨꞌŋ lóó yɨ̌e namá ilâíŋ ʉʉ́ŋ-ii, ná yé-ii ná ereŋa suŋŋá ɨŋɨ, namá yé-ii nás kwa-sí suŋŋâs jɨ́gé.
00-02	Na kwa nyét namá in kǒel áláŋ da̱ldɨ (dɨne) elaiŋ eeŋ ásáŋ dᵾó bi dᵾó baaj jírsíŋóꞌŋ na dééŋ tá̱á̱rɨ́ꞌŋ ta̱ɨma kee ná kin nîŋ ere ásáŋ ka̱lɨ á ta̱ɨmelba.
00-03	Ǎl in lóŋ beera-ii tɨ̌ɨ (kwa) dáálíkwaꞌŋ dʉldɨꞌŋkwě nisila jááno áláŋ dʉó-sí á jundíba kila áláŋ kánneŋ eeŋ wala kila jɨgéŋáꞌŋ sabba.
00-04	Na álá̱ŋ sǔrŋâŋ joiŋíŋá na jaiŋa ba̱rᵾŋaꞌŋ táas-lé ásáŋ kí jᵾtᵾ́mó tɨéle.
00-05	Dʉ́ldɨ́ŋá da̱ldɨꞌŋ dɨó nyéttiŋ in ka̱ssɨŋɨ áláŋ dʉ́ldɨꞌŋ kwěꞌŋ nisila dǔu-sí na ǎ̱y dᵾóꞌŋ ta̱gɨdɨŋ–sí áláŋ ba̱gɨ káal (káwal) na kééŋ kʉro-sí ba̱gɨ káal, na dog in ka̱ssɨŋɨ nɨw na dee ása nisila arrá ka̱ɨŋ; na in âl jundi áláŋ kwa ittíŋ kᵾtᵾmʉŋol ná ta̱bʉ́ŋ kɨal na ǎl jaiŋa-sí jʉ́ndɨ áláŋ lóó baajꞌíŋ páaj-lé ka̱ɨŋ.
00-06	Na bá̱rʉ́ŋá kila âl dá̱ldɨꞌŋ toŋkuri-lé tógóloŋa gé in ka̱ssɨŋɨ áláŋ táárí arrá káal áláŋ dʉ́ldɨꞌŋkwěꞌŋ nisila na baaja dǔu-sí ba̱gɨ káal.
00-07	Kin nisila na baajaꞌŋ jaluŋ, kwa nyét-le tullê-ii, Ɨdɨ̂ɨ́ŋ ná jʉ́ndɨ áláŋ kwa kin nisila na baaja–sí ba̱gɨ káal, ilâíŋ ᵾʉ́ŋ namá yé-ii ná gîs toŋkuriꞌŋ daara appâ kwaꞌŋ gî imiŋel áláŋ dᵾldɨꞌŋ kwěꞌŋ nisilaꞌŋ sabar da ldɨꞌŋ dɨó-le sa̱dɨ̂g-si kaŋ na áláŋ kwa nyét-le mééré ná dᵾó bi dᵾó-le páágó, na áláŋ in sabar-sí pʉ́ttôn kǎ̱ɨ. Ɨdɨ̂ɨ́ŋ ná bá yé-ii áláŋ gîs kin nisila na baaja ba̱gɨ-lé páágó kí gᵾᵾdɨꞌŋ na jʉrnyᵾ́ŋoóꞌŋ dorá na áláŋ bisara kerŋa káa ása̱ŋ in sabar kwa nyét-le kaagó wala gal ba̱rᵾŋa kila âl tógóloŋa gé wala kɨ́ɨ́ŋ kwa ǎl dɨ́ɨ́ŋ kuriꞌŋ dǔu ka̱ɨŋ”.
01-00	Baam 1
01-01	kwa-sí nyéttiŋ baajtólá kereli nás nisila na ta̱gɨdɨŋ arrá ka̱ɨŋ, Naŋ-sí ugola na kilmaŋá arrá ka̱ɨŋ namá in lóŋ áláŋ sǔrŋâ-sí kí jaiŋa in kéél ná sǔrŋâ suurꞌíŋ bârŋa.
02-00	Baam 2
02-01	Dᵾó bi dᵾó nisil-si kee áláŋ kin nisila nyéttiŋ âl in sabarꞌíŋ dɨó ka̱ɨŋ áláŋ nyéttiŋ bʉ́lóŋ na áláŋ dᵾó bára-sí as jáwŋelba péllétíŋ inná úluꞌŋ ere, dɨɨrɨ́eŋ ere, wala gal tá̱á̱rɨ́ŋ ere, wala beléꞌŋ ere, wala gal tirí̱jinnéŋ járriꞌŋ {ra̱yꞌíŋ} ere, wala dᵾóꞌŋ da̱a̱rɨŋꞌíŋ ere, wala ba̱rʉ ǎl yee ka̱rɨŋɨ, wala yé kaas kee, wala ba̱rʉ ǎl yé dée-lé êl, wala a̱rɨ keerí̱ŋ ere.
02-02	Inná ǎlbá ka̱rɨ́ŋ eréŋ kwa ásáŋ kwa-sí ás kǎwŋelba inná tiríjinníŋ jaiŋaꞌŋ ere, dáálíꞌŋ ere, da̱ldɨꞌŋ bá̱rʉ́ŋáꞌŋ ere, wala ba̱rᵾꞌŋ sabba ela–lé ǎl dᵾó dée-le kee ati in lóŋ ná térríŋ kɨrél wala gal nás ba̱rʉ keeríŋ-si domoŋaꞌŋ-si dǔu ka̱ɨ́ŋ wala gal ba̱rʉ nás ba̱rʉ keeríŋ taála-lé ka̱ɨ́ŋ nás kʉrɨŋ dééŋ ás keba namás jɨgéŋáꞌŋ-si dǔu ka̱ɨ́ŋ.
03-00	Baam 3
03-01	Dᵾó bi dᵾó nisil-si kee inná jaiŋaꞌŋ ere áláŋ kee kí baaj na suurꞌíŋ a ndɨŋ.
04-00	Baam 4
04-01	Dᵾó á keba áláŋ kooy-ii [koy]-ii káwa (kâlbá) pékkétíŋ na áláŋ kʉyɨŋ na kwǎꞌŋ julu-sí kí koraŋa nyét kaasi.
05-00	Baam 5
05-01	Dᵾldɨꞌŋkwě á keba ásáŋ kɨgɨ́al, wala ʉʉ ɨt ás káwalba áláŋ rágíseŋ wala bɨ́ɨ́leŋ eeŋ, namaŋ níŋ dééŋ ta̱gɨdɨŋ kúró wala ná jɨ́o.
06-00	Baam 6
06-01	Dᵾldɨꞌŋkwě lóó bi lóó ná kee ásáŋ dééŋ suurꞌíŋ dáálí-sí ba̱gɨ káwal wala nás kɨnal inná kʉrɨŋꞌíŋ sabba.
07-00	Baam 7
07-01	Kwa nyéttiŋ dáálíꞌŋ ta̱bʉ́ŋ arrá gé, naŋ-si nyéttiŋ nisil arrá ka̱ɨŋ ásáŋ á ka̱á̱ŋʉlba inná nimaꞌŋ jáaꞌŋ ere wala maméeŋ ere, naŋ-si dog nisil arrá ka̱ɨŋ. Atiŋ ja wnyɨŋ eŋa kila jaáŋoŋa ǎl in janyal (sabar) úríŋí wala a̱rɨ bi a̱rɨꞌŋ jaáŋoŋa–lé.
08-00	Baam 8
08-01	Dᵾó bi dᵾó nisil-si kee áláŋ ba̱rʉꞌŋ jánsá jee ná arrájaa kóíŋí abá in lóŋ nás kééŋ nisila-lé ka̱rɨ́e kila asá kʉrɨŋ jáá walas dáálí jáá.
09-00	Baam 9
09-01	Dʉó á keba áláŋ á kǐalba wala dɨ́mɨ́l á kayeba, wala kí durú á kʉ̌rralba.
10-00	Baam 10
10-01	Dʉó bi dᵾó nisil-si kee nyét-le kí kwaꞌŋ arrá ásáŋ dééŋ da̱lɨ́me jánsá ka̱gɨ́lal kí murulꞌíŋ dorá terere, ásáŋ nisila-sí na toósa-sís kerker káwal kí ja̱nɨ ɨt âl kíe kiímé.
11-00	Baam 11
11-01	Dᵾó bi dʉó ná kí ja̱nɨ kiímé ja̱nɨ́on ǎ-iiba namaŋ-síŋ jansɨŋ káwal nás kí dáálíꞌŋ koraŋa tɨe, in jansa áláŋ paál-lé-ii áláŋ kí bʉ̌tʉ ǎ-iiba na ásáŋ kɨ̌nal nás mamêŋa káwal.
11-02	Ásáŋ dʉó bi dᵾó-sí á kɨgɨ́alba dééŋ tááríꞌŋ ʉʉ́ŋ ǎl pii, wala táárí ǎl urel áláŋ piá, ila abá in lóŋ ná in táárí kí ba̱rʉꞌŋ dáálí-le ja nɨ-ii wala gal kí da̱ldɨꞌŋkuriꞌŋ dáálí-ii, maraŋ jɨgé ela-lé ás nyiíŋíba ǎl dáálíꞌŋ dɨó á keba, asá yé ila tin-lé ráwé kí ja nɨ.
12-00	Baam 12
12-01	Dᵾó togbɨ́r báraꞌŋ ʉ́tóŋá-lé kí durú a ká̱rɨba ati dééŋ suurꞌíŋ-le wala dééŋ toŋꞌíŋ kwaꞌŋ, wala oroŋaꞌŋ sǔbu na nyá̱lɨ́ŋɨ́ŋ, na dᵾó bi dᵾó nisil-si kee áláŋ-si dáálí mamêye piá kila ja̱a̱rɨ́ŋaꞌŋ ere.
13-00	Baam 13
13-01	Dᵾó bi dʉó baaj jɨloŋꞌíŋ-si kee na lóó ɨt ná yé kǒel áláŋ oóŋ dééŋ ba̱rʉꞌŋ dɨó.
13-02	Dᵾó bi dᵾó nisil-si kee áláŋ jee ba̱rʉŋa kerŋa-lé na dééŋ ba̱rʉ́, na áláŋ wá̱ɨ́ŋa tin ɨt-lé ná yé kǒel.
14-00	Baam 14
14-01	Dʉó bi dᵾó nisil-si kee áláŋ sa̱kkɨ́á na tusus ammí na jee ba̱rʉ keer-lé abás jɨgɨ́ŋá suŋŋá ɨŋɨ ba̱rʉ ela–lé âl yé kee.
14-02	In nisil-sí dᵾó ɨt-sí á kanníaba asá jansa kí da̱lɨme ɨt keéŋé nás kí tiríjinni ás tɨɨlɨba walá ʉ́tóŋá kɨt á geba âl kí dá̱ldɨ́ŋáꞌŋ ja nsɨŋꞌíŋ daara ká̱ldá̱bʉ kawe.
15-00	Baam 15
15-01	Dᵾó bi dᵾó nisil-si kee ásáŋ tirgeꞌŋ gǎar kee nás táárí pii.
15-02	Dᵾó-sí tirgeꞌŋ gǎar as ka̱wríŋíalba, na dééŋ nisil-sí ba̱gɨ káwal, na baaj ati in kwǎ ásáŋ já̱ɨ́ŋó dééŋ tirge-sí.
16-00	Baam 16
