00-00	Най правосални Всеобщай Декларацияни
00-01	Гэрэн гурун нуктэндуэчи балди най таони гэбуни, эмуту, уй-дэ чӣрэсини правосал – хэӈгэл, мирнэй биури основани. Чава тэдючими, гучи
00-02	са̄ори: най правосалбани бодоваси, чачи чиурисиури – тэй хэм най до̄вани тагдоандини. Най хэӈгэл, мэнэ мурумби уми мутэми, хайди-да эм ӈ л ми, эм хадиачиами бигуэни аӈго̄ри мир – тэй гэрэн гурун чу увуй мурундиэри отоличайчи, сайчайчи мир. Чава тэдючими, гучи
00-03	най, сиӈгэрэмбэ, эрумбэ ба̄ридои, чихаласи-да, мурумби ачапчи чу хаморой эрдэнчи – соринчи – илиаси осигоани, нёани правосалбани гиан кусундиэни кандёрива гэлэури. Чава тэдючими, гучи
00-04	гой-гой голо найсал кэвэли балдивачи масилтоми пикпӯри. Чава тэдючими, гучи
00-05	Объединённай Нациясал голосалчи найсал правосалбани, гэбувэни, ценностивэни, гучи хусэни, эктэни эмутуди правосалковачи Уставаду гучи модан уӈгухэчи, тотара социальнай прогресс, хэӈгэл биури бади улэн-улэн осигоачи пикпумэри дэрухэчи. Чава тэдючими, гучи
00-06	государствосал-членсэл, ООНди гэсэ, най правосалбани, свободасалбани гэбулэуривэ, дахалаорива пикпумэри хэсэвэ бӯхэмбэчи. Тэдючимэри, гучи
00-07	эй правосал, свободасал характербачи хэмту найсал отолиочиачи, нёанчи бухэмбэри хэсэвэри чопал тэде опогоандидоачи, отолихачи тэӈ да̄и значениеку осивани са̄ми. Чава тэдючими,
00-08	Генеральнай Ассамблея
00-09	эй най таони правосални Всеобщай Декларациява гэрэн гурун са̄гоачи гисурэйни. Тэй задачава тэде оповамборива хэмту голосал, государствосал тэдемэӈгилэйчи.
00-10	Най таони, общество органни таони, эй Декларациява тул-тул эдечимэри, гэрэн гурумбэ алосимари, тачиочимари, эй правосалба, свободасалба кидуривэ тэдемэӈгуэчи, всеобщай, эффективнэй признаниева мэнэ голои гучи гой-гой голосал дёбонсалдиани оповамборива, нёамбачи государствосал- членсэл голосалдоачи, тэй государствосал далачайчи на̄ду би голосалду тэде оповамборива обеспечивалаорива тэдемэндивэчи гэлэй.
01-00	Дюлуй статья
