00-00	TEKOVE YVYPORA KUERA MAYMAYVA DERECHO KUAAUKAHA
00-01	(preamble missing)
01-00	Art. 1
01-01	Mayma yvypóra ou ko yvy ári iñapytlʼyre ha eteĩcha dignidad ha derecho jeguerekópe; ha ikatu rupi oikuaa añetéva ha añeteʼyva, iporãva ha ivaíva, tekotevẽ pehenguéicha oiko oñondivekuéra.
02-00	Art. 2
02-01	Mayma yuypóra oguereko derecho ha libertad kuéra ko Declaraciónpe oĩva, oñemañaʼyre mbaʼeichaguapa i-ráza, ipire color; kiñápa terãpa kuimbaʼe, iñeʼẽ, i-religión, iñopinión política, hetã, haʼépa mbaʼ rerekoha, oĩpa yvate terãpa nahániri sociedad ryepype, hambaʼe.
02-02	Mbaʼeveichagua jeporavo avei ndoiók vaʼerã oñemañanguévo hetã situación rehe, legalmentepa mbaʼéicha oĩ, haʼépa isãsopyre, oguatáva ojeheguiete, térãpa oĩ ambue tetã ndiv térã ipoguype.
03-00	Art. 3
03-01	Mayma tapicha oguereko derecho oikovévo, piporúvo ilibertad ha ojerrespetávo ipersona.
04-00	Art. 4
04-01	Avavépe ndojeguerekói vaʼerã esclavo térã tembiguái ramo; mbaʼeveichagua esclavitud térã tapicha jejogua ha ñevende ndaikatúl oiko.
05-00	Art. 5
05-01	Avavére ndoikovaʼerãi ñembosarái vai térã ñambohasa asy, humano rekore ndojojáiva.
06-00	Art. 6
06-01	Mayma yvypóra oguereko derecho ojehechakuaávo ichupe opaite handárupi haʼeha peteĩ máva leiduéra renondépe.
07-00	Art. 7
07-01	Maymavaite: peteĩchante léi renondépe ha oguereko, mbaʼeveichagua jeporavoʼyre, derecho peteĩcha léi oñangarekóvo hese. Maymáva oguereko derecho peteĩcha oñeñangarekóvo hese. Maymáva oguereko derecho peteĩcha oñeñangarekóvo hese opaichagua jeporavo ohóvagui ko Declaración cóntrape, ha opa ñehaʼã oikóvagui jeporavorã.
08-00	Art. 8
08-01	Mayma yvypóra oguereko derecho oñangarekóvo hese hekoitépe tribunal kuéra oĩva hetãme, omoʼã haguáicha ichupe umi opyrũsévagui iderecho kuéra rehe oĨva constitución a léipe.
09-00	Art. 9
09-01	Avavépe ndaikatúi mbaretépe reínte oñedetene, ojegueraha preso terá oñemosẽ hetãgui.
10-00	Art. 10
