00-00	TOTIHITAWË THAMOTIMA THE Ã
00-01	Enaha thë puhi taeo kuaai, wã rëamai thë, peheti he usukuwë thë, wã toprao thë kãi, hei thë pë nohi taemopou piyëkou, ĩhĩ thë pë nohi ĩhĩpimopouha totihitawë thamotima thë hami he usukuwë thë pë nohi taeayou totihitaopë,
00-02	Enaha thë puhi taeo kuaai, totihitawë thamotima thëni thë taimi ha, thë pë kãi shomiaprai ha, hei wãrĩtiwë thamotima thë kipi thaprarema. Komi pëmaki rë kui pëmaki kiriihou mai, pëmaki kãi no preaai mai pëmaki përihou piyëkopë, pëmaki ã topraopë, pëhetiapramotima thë pë hami.
00-03	Enaha thë puhi taeo kuaai, totihitawë thamotima thë rë wã nosie huamotima thëni thë nohi thapopë, komi urihitheri thë pë no yuayou maõpë,
00-04	Enaha thë puhi taeo kuaai, thë pë përihiwë rë piyëkëi thë pë puhi taamayõpë thë pë rĩmimayõpë,
00-05	Enaha thë puhi taeo kuaai, komi urihitheri ONU thë ha thë pehetiapraihe, totihithawë thamotima thë hami, suwë wãro pei pëmaki no rẽ kui thë pë no ã hẽ usukuwë, kama pëni thë ã wawemarẽmahẽ thë pë puhi rë taamaĩwẽĩ,
00-06	Enaha thë puhi taeo kuaai, komi urihitheri pë rë kui ONU thë iha thë pë ã wawëtokema totihitawë thë ã nosi riã ha poheni,
00-07	Enaha thë puhi taeo kuaai, thë pë ã rẽ wawëtokenowẽĩ thë pëni thë ã hĩrĩapehe thë ã nosi kãi popehe
00-08	Ĩhĩ thë no ã ha TOTIHITAWË THAMOTIMA THË Ã wëyëi piyëkouhe.
01-00	Hetipëtëwë 1
01-01	Kõmi thë pë rë përiprawë rë piyëkëi, he usukuwë thë pë keprou ai thë ã rëamaihã no ã heparohowë, totihitawë thë pë riã rẽ thaiwehei hami, thë pë puhi tao kãi përihiwëha, thë pë puhi kãi katehewëha hawë kama thë pë mashi shĩro përihimopë.
02-00	Hetipëtëwë 2
