00-00	ANG KALIBUTANON NGA PAHAYAG SANG MGA KATARUNGANG PANGKATAOHAN
00-01	Tungod kay ang pagkilala sang duna nga dungog kag ang alalangay kag di madula nga mga katarungan sang tanan nga lahi sang tao amo ang pundasyon sang kahilwayan, katarungan kag kalinong sang kalibutan.
00-02	Tungod kay ang pagpabaya kag paghamak sa mga katarungang pangkataohan ngabunga sang mga kalapastangan nga labag sa konsyensya sang kataohan, kag ang pag-abot sang isa ka kalibutan nga maangkon sang mga tao ang kahilwayan sa paghambal kag pagsalig kag ang kaluwasan sa kahadlok kag kabudlayan nga ginpahayag ang pinakamataas nga handum sang kinaandan nga tao.
00-03	Tungod kay ini isa ka malahalon, agod ang tao indi mapilitan nga magpamatok tuhoy sa kalupitan kag pagpigos, nga ang mga katarungang pangkataohan dapat amligan paagi sa kasuguan.
00-04	Tungod kay pinakamalahalon nga pasanyugon ang paghanas sang malapit nga kaangtanan sang mga pungsod.
00-05	Tungod kay ang mga pumuluyo sang Mga Naghiliusa nga Pungsod nagapamatuod sa ilang Karta sang ila pagtuo sa nagapanguna nga mga katarungang pangkataohan, sa dungog kag kabilinggan sang pagkatao kag sa alalangay nga katarungan sang kalalakihan kag kababaihan kag ginpat-od nga pasanyugon ang kauswagan sang pangkatilingban kag ang maayo nga estandard sang pangabuhi nga lubos nga mahilway.
00-06	Tungod kay ang mga Miyembro nga Estado nangako nga magbinuligay sa Mga Naghiliusa nga Pungsod, nga tinguhaon nga maangkon ang pagpasanyog sa pagtahod kag pagtuman sang tanan nga mga katarungang pangkataohan kag sa nagapanguna nga kahilwayan.
00-07	Tungod kay malahalon nga mahangpan sang tanan nga ang katarungan kag kahilwayan nga ini agod lubos nga matuman ang pangako nga ini.
00-08	Tungod sini, Ginapahayag sang Bug-os nga Asemblea ining Kalibutanon nga Pahayag sang mga Katarungang Pangkataohan bilang isa ka bug-os nga pagsulondan sa kadalag-an para sa tanan nga tao kag sa tanan nga pungsod, sa katuyuan sang tanan nga tao kag sa tanan nga bahin sang katilingban, nga itanum sa ila hunahuna ang Pahayag nga ini, dapat magtinguha paagi sa pagtudlo kag pagtuon nga ipasanyog ang pagtahod sa mga katarungan kag kahilwayan nga ini kag paagi sa maayo nga tikang, pungsudnon kag pangkalibutanon man, dapat pat-uron ang kalibutanon kag mabungahon nga pagtamod kag pagtuman sa mga ini, sa mga pumuluyo nga mismo nga Miyembro sang Estado kag sa mga pumuluyo sang mga teritoryo nga ginasakupan nila.
01-00	Artikulo 1
01-01	Ang tanan nga tao ginbun-ag nga hilway kag may pag-alalangay sa dungog kag katarungan. Sila ginhatagan sang pagpamat-od kag konsensya kag nagakadapat nga magbinuligay sa kahulugan sang pag-inuturay.
02-00	Artikulo 2
02-01	Ang tagsa tagsa may ara nga katarungan sang tanan nga katarungan kag kahilwayan nga gintakda sa Pahayag nga ini, nga wala sing pagkaiba sa lahi, kolor, sari, hambal, relihiyon, pulitikal ukon iban pa nga opinyon, ginhalinan nga pungsod ukon katilingban, pagkabutang, ginnun-ag ukon iban pa nga kahimtangan.
02-02	Dugang pa diri, wala sing pagkaiba nga ipatuman tuhoy sa kahimtangang pulitikal, hurisdiksyunal ukon internasyonal nga pungsod ukon teritoryo nga ginasakupan sang isa ka tao, ini man nagakinaugalingon, nagasalig, wala nagakinaugalingon ukon sa idalom sang iban pa nga takda sang pagdumala.
03-00	Artikulo 3
03-01	Ang kada isa may katarungan nga mabuhi, mangin hilway kag seguridad bilang isa ka tao.
04-00	Artikulo 4
04-01	Wala sing sin-o man nga mangin ulipon ukon busabos; ginadumilian ang tanan nga klasi sang pagpaulipon kag pagpanguarta sa ulipon.
05-00	Artikulo 5
05-01	Wala sing sin-o man nga magpaidalom sa lubos nga pagsakit ukon pagpintas, di makatao ukon manubo nga pagtrato ukon pagsilot.
06-00	Artikulo 6
06-01	Sa tangsa ka tao may katarungan nga kilalahon sa bisan diin, bilang isa ka tao sa atubangan sang kasuguan.
07-00	Artikulo 7
07-01	Ang tanan may pag-alalangay sa atubangan sang kasuguan kag may katarungan sa pag-alalangay nga proteksyon sang kasuguan nga wala sing pagpasulabi. Ang tanan may katarungan sa pag-alalangay nga proteksyon batok sa ano man nga pagpasulabi nga labag sa Pahayag nga ini kag batok sa ano man nga pagsulsol sa sina nga pagpasulabi.
08-00	Artikulo 8
08-01	Ang tagsa tagsa may katarungan sa mabungahon nga paghusga sang Nagakaigo nga pungsudnon nga hukmanan tuhoy sa mga bulohaton nga nagalabag sa mga nahauna nga katarungan nga ginhatag sa iya sang konstitusyon ukon sang kasuguan.
09-00	Artikulo 9
09-01	Wala sing sin-o man nga magpaidalom sa di matarong nga pagdakop, pagkulong ukon pagpasaylo sa iban nga duog.
10-00	Artikulo 10
10-01	Ang tagsa tagsa may bug-os nga pag-alalangay nga katarungan sa matarong kag hayag nga pagbista sang isa ka hilway kag wala sing ginadampigan nga hukmanan, sa pagpat-od sang iya mga katarungan kag obligasyon kag sa ano man nga sumbong kriminal batok sa iya.
11-00	Artikulo 11
11-00	Ang tagsa tagsa nga akusado sang kasal-anan nga masilotan may katarungan nga kabigon nga wala sing kasal-anan tubtob nga indi mapamatud-an nga nagkasala suno sa kasuguan sa isa ka hayag nga pagbista nga angkon niya ang tanan nga garantiya nga kinahanglan sa iya nga pagpangapin.
11-01	Wala sing sin-o man nga hukman ang nagkasala sang ano man nga kasal-anan nga pagasilotan tungod sa ano man nga ginhimo ukon pagkulang nga indi ginakabig nga pagkasala nga masilotan, sa idalom sang kasuguang pungsudnon ukon pangkalibutan, sadtong ginhimo ina. Kag indi man dapat dugangan sing mas mabug-at nga silot sangsa ginadugang sadtong ginhimo ang pagkasala nga pagasilotan.
12-00	Artikulo 12
12-01	Wala sing sin-o man nga magpaidalom sa di matarong nga pagpasilabot sa iya kaugalingon, pamilya, puluy-an ukon mga sulat, ukon pagpahamak sa iya dungog kag ngalan. Ang tagsa tagsa may katarungan sa proteksyon sang kasuguan batok sa sina nga pagpasilabot ukon paghamak.
13-00	Artikulo 13
13-00	Ang tagsa tagsa may katarungan sa kahilwayan nga magsaylo kag magpuyo sa sulod sang nasakupan sa tagsa ka Estado.
13-01	Ang tagsa tagsa may katarungan nga maghalin sa bisan diin nga pungsod, mangin sa kaugalingon nga pungsod, kag magbalik sa iya pungsod.
14-00	Artikulo 14
14-00	Ang tagsa tagsa may katarungan nga mangayo kag magbaton sang asaylum sa iban nga pungsod tungod sa pag-api.
