00-00	OPĆA DEKLARACIJA O PRAVIMA ČOVJEKA
00-01	Budući da su priznavanje urođenog dostojanstva i jednakih i neotuđivih prava svih članova ljudske obitelji temelj slobode, pravde i mira u svijetu,
00-02	Budući da su nepoštovanje i preziranje prava čovjeka imali za posljedicu akte, koji su grubo vrijeđali savjest čovječanstva i budući da je stvaranje svijeta u kojem će ljudska bića uživati slobodu govora i vjerovanja i slobodu od straha i nestašice bilo proglašeno kao najviša težnja običnih ljudi,
00-03	Budući da je bitno da prava čovjeka budu zaštićena vladavinom prava, kako čovjek ne bi bio primoran da kao za posljednjim sredstvom posegne za pobunom protiv tiranije i ugnjetavanja,
00-04	Budući da je bitno da se unapređuje razvoj prijateljskih odnosa između naroda;
00-05	Budući da su narodi Ujedinjenih naroda ponovno potvrdili u Povelji svoju vjeru u osnovna prava čovjeka, u dostojanstvo i vrijednost čovjekove osobe i ravnopravnost muškaraca i žena i budući da su odlučili unapređivati društveni napredak i bolji životni standard u široj slobodi,
00-06	Budući da su se države članice obvezale da u suradnji s Ujedinjenim narodima postignu unapređenje općeg poštovanja čovjekovih prava i osnovnih sloboda i njihovo održavanje,
00-07	Budući da je zajedničko razumijevanje tih prava i sloboda od najveće važnosti za puno ostvarenje te obveze,
00-08	OPĆA SKUPŠTINA
00-09	proglašava
00-10	OVU OPĆU DEKLARACIJU O PRAVIMA ČOVJEKA kao zajedničko mjerilo postignuća za sve narode i sve države radi toga da bi svaki pojedinac i svaki organ društva, imajući Deklaraciju stalno na umu, težili da učenjem i odgojem pridonesu poštovanju tih prava i sloboda i da bi naprednim nacionalnim i međunarodnim mjerama osigurali njihovo opće i djelotvorno priznanje i održavanje, kako među narodima samih država članica, tako i među narodima onih područja koja su pod njihovom sudbenošću.
01-00	ČLANAK 1.
01-01	Sva ljudska bića rađaju se slobodna i jednaka u dostojanstvu i pravima. Ona su obdarena razumom i sviješću i treba da jedno prema drugome postupaju u duhu bratstva.
02-00	ČLANAK 2.
02-01	Svakome su dostupna sva prava i slobode navedene u ovoj Deklaraciji bez razlike bilo koje vrste, kao što su rasa, boja, spol, jezik, vjera, političko ili drugo mišljenje, nacionalno ili društveno porijeklo, imovina, rođenje ili drugi pravni položaj.
