00-00	JUNKUNAL BITSOWTSIK
00-01	Uludh abal wawaa' u chu'chuumte k'al an tsubaxtalaab uludh abal yab cho'oobte ani yab u t'ajnal ti k'ij an chu'uxtalaab abal wawaa', wa'chineek an odhnaxtalaab abal wawaa' ani uludh abal ja'ich xi alwa' abal wawaa' uludh abal techee' ti chabaal an kw'ajiiltsik yab xanti ka jik'ey ani kin ch'ejna' ani yajat ki le'na' an k'ak'naxtalanb.
00-02	Uludh abal an chu'uxtalaab abal wawaa' chu'udh k'al juun i chu'uxtalaab abal an kw'ajiiltsik yab ka pejeexin.
00-03	Uludh abal an bitsowtsik yajat ka k'ak'naaxin.
00-04	Uludh abal an bitsowtsik in kw'ajbaamal in tsubaxtal k'al an chu'u- uxtalaab abal wawaa' jeltik'ij an inik ani an uxum ani in uluumal abal yajat ku kw'ajay walkadh k'al an tsubaxtalaab.
00-05	Uludh abal an bitsowtsik in uluumal abal ne'ech ka tolmiixin abal kin chu'chuum an junkunal bitsowtsik abal ne'ech ku k'ak'naaxin, ani.
00-06	Uludh abal jee' an tsubaxtalaab yajat ki chu'chuum abal ka k'ak'naaj ani ka t'ajan ti k'ij.
00-07	AN JUNKUNTALAAB
00-08	IN ULUW JEE'
00-09	ANU UUW XI TU CHU'CHUUM WAWAA'.
00-10	An tsubaxtalaab xin chu'chuum an bitsowtsik, abal an kw'ajiiltsik in buk'wal k'al an ok'tsixtalaab ki k'anidha jee' an chu'uxtalaab ani ka chu'chuumte k'al an chu'uxtalaab xi techee' ti chabaal abal ka exlaaj ani ka eeynaaj k'al an bitsowtsik k'al xi taja' junkuneek.
01-00	Artículo 1
01-01	Ejtal an kw'ajiiltsik u wa'chinal kweteem ani chu'udh k'al an chu'uxtalaab ani yajat ka k'aak'naaxin juun ani juun.
02-00	Artículo 2
02-01	Ejtal an kw'ajiiltsik in ko'ol ejtal in chaap xi uludh techee' ban dhutslab, yab ch'ikat'ajadh nibal in kaawintal, nibal an uxum ani an inik nibal an bitsow xonti taal, wa'chin max in ko'ol ani max yab in ko'ol an chaplaab.
