00-00	Okpo bo kim’ owoumo tim’ egbei bara
00-01	Kim’ se keni bara kemi bara numudei serise, okpo bi, doo tim’ ngimi, enia kim’ owoumo dudu diseimo duo tolugho, kim’ tobou miebo sei-sei miedo, mani kim’ owoumo dou dengi yese bi, ikpo ine buu duonye ere, kimi kim’ agbagbamogha, mani mala fagha bara yeringi yoki, ebi dengiye. Enia kim’ tobou bi waina, ese miepa mo dougha seribi, kimse, dudu deingha bara korini ukie, eniki ibe mo ibe mo dudu tari yo kpo pado.eniko, kenisuomein do ibemo, kimi dudu agbagbamo yobi dougha, tuubi owei mo ere mo, keni bara ki emi bimeini, nda dudu tarida, okpo bi mie ni ebimo ki doumi. Eniko gbeleimein ibe mo, dudu nada, okpo bi dudu tari egberi gba wala mo emi, kimise keni bara kiemiyo bo. Enini bei ekpekpe bi dou dengi nimi ye se bi, kim’se dudu deingha bara nimi-eni bemeini, kpei ogbo tibi se, gbahamee, ibemo se, dudu deingha, mani kim’ owoumo kpo, nda bei egberi bi akina serimose kori ni ukiye yesuo da, dudu tolumo weri, amamo mo, ibe mo mo, mani okpose mo dudu tari yoki dou dengi, mani zini ibe ukukuruo emi ibe mo kpo, omo dii dubamo.
01-00	Atikulu Keni
01-01	Kim’ owoumo se, keni bara ki na, pa zimi, ose keni bara kemi. Kim’se ye iroro, mani ikiou nana, enini kim’se dudu tari teme nana weri iyenri.
02-00	Atikulu Mamu
02-01	Eni bemene, kim’se bei ekpekpe bi piri wonimi kuromo se nana wonimi, iduo payo, ere, owei, beli, kari buwo, kim’ seleye, enia kpo, ogbo gbelemein ye, la kurei weri ni I pumugha.
02-02	Bubara tibi nana nimi ibe, enia kpo, zini ibe ukukuru emi ibe kpo, dudu deingha.
03-00	Atikulu Taru
03-01	Kim’se undu nana, mani foon timi weni me egbei nimi.
04-00	Atikulu Nuwein
04-01	Kim zini bo omoni suagha, kimi aki omoni tua pamo se, buo mogha fangimi.
05-00	Atikulu Soron
05-01	Kimi zini bo aki sei bara uyamo dougha, enia kpo, kimi tobou uyamo ngimi ye se kpo dougha.
06-00	Atikulu Sondie
06-01	Imula yomose, oloko bi gbanimi bara bi, I dii dubamo mo egbei nimi.
07-00	Atikulu Sonoma
07-01	Kimi duba ni oloko deingha, oloko bi aki kim’se teri keni bara bo, bei ekpekpe bi dou nimi bara boo.
08-00	Atikulu Nigini
08-01	Kim’se kuro nana weri, oloko gba wari bo emene budonye mie wai ni ebimo ngimi.
09-00	Atikulu Ise
09-01	Kimi aki Labara Labara Kori, kai, eniakpo ibe duo kpotugha fangimi.
10-00	Atikulu Oi
