00-00	AENTSU NINIURIN CHICHAME MASHINIU AMIKTIN
00-01	Aents yajauch chichaman waintsuk ankán pénker pujustin aíniawai. Yajá nunkanam . aentsu chichame etsérkamu mashi paárlt ajástin aíniawai. Shuar chíkich aentsjaish nuamtak métekkrak iísma atin aíniawai.
00-02	Aentsu chichame pénker etsérkachma, nekáchma asamtai, shuar wishikkramu, asútiamu, eméskamu, awáttramu, yajaúch amákma aíniawai. Tuma asamtai yamaikia ukúnma aí aents nuámtak nunkanam pénker asutiachma, waíttcha pujúsat tamaiti.
00-03	Aents yajauch nétse aínis enentaimin, aentsu chichame mashiniu amiktin, kákaram papinium aárma arantukma tama awai.
00-04	Yajá nunka tepakmanumash ii shuarijiaish pénker nekaniar, arántunaikiar pujustin tamaiti.
00-05	Naciones Unidas-num aents anaikiamu ainia aú iruntrar, aents métekrak armí tusar papínium aárar útsukaruiti. Aentsan aishman, nuajaish métek emkiar, takakmakiar, weenak, ankan penker pujusarat pujusarti tiaruiti.
00-06	Yaja nunkania ainiana au, Naciones Unidas-num irunar chichaman juki wenana aú, yaintai tiaru ainiawai. Shuara chichame mashi nekáwar amikiarat tiaruiti.
00-07	Aentsu chichame mashiniu amiktin, papinium paánt kákaram aárma asamtai, mash nekawar amikiartitiaruiti.
00-08	MASH AENTS TUÁKAR AÚJMATISAMU
00-09	Júna étsereawai
00-10	Aentsu Niniurin Chichame Mashiniu Amiktin
00-11	Aentsu chichame mashiniu amíktin etsérkamu asamtai, Naciones Unidas-num aents irutkamunmania, mátsatkamunmania tuákar, jú chicham pénkér amikiarat tusaraujmatsar etsérkaru aíniawai. Ashi aents takakmainiana ausha ju chicnaman nekáwar unuiniaki, etsérkiar weénawai. Kákaram chicham aárman, ju nunkanam tura yajá nunkanmash arantukar amikiarat timiaiti.
01-00	TÁMA CHIKÍCHIK
01-01	Aents yajá nunkanam akínia asamtaish, metekrak ainiaji. Tumasha ni chichamenka tuke amiktin aíniawai. Ni iniakmamuri, ní chichamejaituke aniakmamsar chichakartin aíniawai. Tuma asamtai aents mash nekawar, penker metekrak, nuamtak wará warat shiir pujusarmi tusar aárma awai.
02-00	TÁMA JÍMIAR
02-01	Mash nunkanmania aents matsatka aínia aú,jú papi kákaram aarma, nii amikiartin tama etsérkamuiti. Tura nua, aishmankash, nii chíkich yuúsrin takakiatsha; yajá nunkanmania áchitkiaitiat, chikich aentsjaish apatkar iyamka metekrat ainiaji. Aents chíkich aentsjai páchitkiaitiat, niisha kuitia takakchaitiat, turuskesh takakuitiat, yajá nunkanam akiniaitkiusha chikich aetnsjaish métekrak aíniawai. Tuma asamtai aents nisha iirka akush juú nunkanam pujátikia, penker pujúsar, kákaram papí aárma ána aún tukeumiktiniaitji.
02-02	Nunisan aents mash nunkanam niisha pujuinia ausha, ni uúntrin umirin asar, maánitsuk, ankán penker pujusarat tusar jú papí aarman umikiartinaiti.
03-00	TÁMA MENAÍNT
03-01	Aents niisha yajania akusha tuke jú papinkia amiktin aíniawai. Tura pénker ankan pujustin, kajernaitsuk, awatnaitsuk pujusartin aíniawai.
04-00	TÁMA AÍNTIUK
04-01	Aents tí iniátai, waítkiatia, tií takákmaritiktai, aents surútai, aíniana aúka najashtin tama kákaram papi aárma awai. Tura aents niísha pénker puja anánkar, yajá nunkanam jukír surúkchatnuiti. Tura shuará muúke tsupikiar surukchatnuiti.
05-00	TÁMA EWEJ
05-01	Aents aínia au nánkamsar awattrashtiniaiti. Tura waítkiasar apújsashtiniaiti. Tura chíkich shuar tunamaru aínia ausha wishikrar, usúkiar, misú ukuinkiar natsánmai ekamsachminiaiti.
06-00	TÁMA UJÚK
06-01	Aents chíkich ainia au, waitmenmai amajainia wainkiurkia uunt ainia au wárik ujákartiniaitji. Kákaram chichamjai asutiawarat tusar, tura nuyá ayampruktin awai.
07-00	TÁMA TSÉNKENT
07-01	Kákaram chicha m juamunmaka, aents mash métek akiniawaru asamtai yaimkiartiniaiti. Aentsu awátin, waitmenmai amajainiakuinkia uúnt anaikiamu élinia aú, jú chichaman uminiachkui asútiamu aártiniaiti. Aents chíkich aentsun, kajéreak shainch iís ajakuinkia; wijiainkia metékchaitme takuish; aentstikia chíkich aentsjaish métek asar ayamrumaktiniaitji.
08-00	TÁMA YARÚSH
08-01	Mash aents amia aú, kákaram chicham .iwiartainiam, waúmak yaimiainiachkuinkia, aents kajértsuk, kakáram chichaman umikiarat tusar yainkiartiniaitji.
09-00	TÁMA USÚMTAI
09-01	Aents nánkamas weka wainkiursha, aántar achikiar sepunam enkeachminiaiti. Tura nánkamsar nií nunkénia, nií mátsatkamurinia yajá nunkanam jukishtiniaiti.
10-00	TÁMA NÁWE
10-01	Chíkich aents akuisha, kákaramchichamjainkia metékkrakainiawai. Tuma asamtai aents nankamsarkia sepunam enkeachminiaiti. Tura nankamsarkia ni matsatkamurinia, irutkamurinia enkémar yajá nunkanam jukichminiaiti.
11-00	TÁMA NÁWE CHIKÍCHIK
11-01	Aents chíkich aentsun antar kasámka wainkidchiat, waúrkir kasarrikayi tichatnuitji. Kasámka wainkia asarkia, aents uúnt anaikiamu ekétu ujaktiniaitji. Chíkich aents umitmakun, nií aentsri iniamrasha aminiaiti. Núna pénker nekamí tusar áya úntak unták iruntrar iwiaratin aíniawai. Tura nii shuari ii chichamejai chicharak ayamrakuinkia anturkatin aíniawai.
11-02	Ekuatura uuntri kákaram papi aárma iisar umikiartin aíniawai. Aents tunaku, nu papijiai sepunam urútma nantua pujustata, kuitniasha urútmana akikmaktinait tusar nu chicham pénker nekatin aín.iawai. Ekuatura uuntri kákaram papi aárma, aents umitsuk nankamas nukap tsawant .sepunam enkeachminiaiti, aentsank nánkamsar núkap kuit akikmakta tusarkia aents anankashtiniaiti.
12-00	TÁMA NÁWE JÍMIAR
12-01	Aents aántar, chikich shuaran jeén nankamas waniachminiaiti. Tura aentsan ántar níi jeén enkéma nií imiatkinrin takaschatnuiti, tura entrar waintiuar awatchatnuiti. Tura tsanumashtiniaiti. Aentsank waít chichamnasha etsérkenikia wekaishtinaiti. Nuna tura Ekuatura untri wainkiunka kákaram chichanijai jú aentsun asútiatnuiti.
13-00	TÁMA NÁWE MENAÍNT
13-01	Shuar nánkamas ni nunkenchu wekasashtiniaiti. Tura aents tui pujustiniait nunasha ninki wakeruk jui pujustatjai titiniaiti.
13-02	Aents ni nunkenia jinki, yaja nunkanam pachitsuk weminiaiti. Tura nú aents, ni nunke waketkitiaj takunka, uyumatsuk waketkitnuiti.
14-00	TÁMA NÁWE AÍNTlUK
14-01	Aents aínia au nankamas chíkich aents kajerkamka, ni nunkenia jinki chikich nunkanam pachitsuk weminiaiti. Jú aentska yajá nunkanam pujústaj takunka ni wakeramu tsawantin, uwitin pujusminiaiti.
14-02	Aents niísha yajá nunkanam wétasa puja, turuskesh weá, itiurchat chi.cham jurúkchamniaiti. Chicham Naciones Unidas-num ejéramu aá asamtai.
15-00	TÁMANÁWE EWÉJ
15-01	Aents ni nunké akinia asa, tuke nú nunkanam achitkia atiniaiti. Tumaasamtai Ekuatura untri tuké yainma atiniaiti.
15-02	Aents ni nunke akinia, chikich nunkanam wetaj tau itiurchat amasachminiaiti, tumaitkuish chikich nunkanam pujustaj tusa wakera suritkiashtiniaiti.
16-00	TÁMA NÁWE UJÚK
16-01	Aeshman natsa, nua natsa ainia aú, pachitsuk ni aents wakeramurijai nuatnaik turuskesh, nuatak pujusminiaiti. Inkish tura tarimiat aents akusha, chikich aents ARÚTMAM- (Dios) enentaimtin akusha, yajania. nunka pachikia akusha, pachitsuk nuatak, nuatnaik ni shuarijiainajánairar pujusminiaiti. Tura aentsank ajapnaiyataj takusha pachitsuk ajapnayaimnia aíniawai.
16-02	Aeshman, nuajai mae wakerunai ajasar nuatnaikiarmin aíniawai. Nua, aeshman imian nuátak, nuatnaik pujuschamnia enentaimkiunka turachminiaiti, áyatkish tsanink pujúsminiaiti.
16-03	Aents nuatnaik nuwen, uchirin takakuka, irutkamunam, matsatkamunam paan ajasar pujusartiniaiti, tuma asamtain Ekuatura untrinkia chicham yajauch akuish pachitsuk ayamrutináwai.
17-00	TÁMA NÁWE TSÉNKENT
17-01	Aents ni jeen sumáku asa, ni nérentin atiniaiti. Jeán, aján takakuinkia niniuk atiniaiti, tumaitkush matsatkamunmash, initkamunmash chikich aentsjai irunar takákmasaruitkuinkia niniu aíniawai.
17-02	Aentsu jeéncha, twra ajarincha, warín áchat mash niniu asarmatai, aántrar núnka atánkir aents jurúkchatnuiti tama aárma áwai.
