00-00	Ɩrʊ́-dɛ́ɛ yíkowá-ɖɔ́ feríi-dɛ́ɛ fatɩma lɩzɩ́ɩ
00-01	Á ɖɔ́ɔ́gbɔ́ɔ sɩsɩ ɩrʊ́-dɛ́ɛ kezéḿbiídi tɩjaarɛ́ɛ nɛ́ dɛ́ɛ tɩlɩ́ɩ tɩdamáána ɩráa na bɛdɛ́ɛ yíkowá ɖéyi-ɖéyi ńdɩ tɩdɛ́ndɛm nɛ́ kɛ́ɛ́na ɩrʊ́-dɛ́ɛ ɩdɩ yuú, na toovonúm, na fɛɛzɩrɛ ɖʊɖɔ dɛ́ɛ yuú,
00-02	Á ɖɔ́ɔ́gbɔ́ɔ sɩsɩ ɩrʊ́-dɛ́ɛ yíkowá-dɛ́ɛ sɔ́ɔ́náa na kpɛɛnáa weeyéle yóóni wɔɔgɔná ɩráa-dɛ́ɛ laakárɩ kʊsɩ́ bɩka ɖʊɖɔ iiyélé ɩráa-dɛ́ɛ lomaazɛ́ waabɩ́sɩ wenbí bɩtɛ́ bɩlá boyuú ɖúúlinya wenkí kɩdaá ɩráa wónÿuú ɖáámá báŋmátɩ káma balɩ́ɩ fitíína na kadambʊrʊ́tɩ-daá nɛ́,
00-03	Á ɖɔ́ɔ́gbɔ́ɔ sɩsɩ bɩgɛ́ɛ ɖóóle gɛ yíkowá-dɛ́ɛ kʊjʊʊ́ dɩnáa ifére ɩráa-dɛ́ɛ yíkowá káma bɩ́kábɩ́sɩ ɩrʊ́ ɖóóle ɩsɩ ɩkpɔɔná ɖóni iyooná ɩrʊ́-dɛ́ɛ imuuliɖé na ɩdɛ́ɛ yoḿti,
00-04	Á ɖɔ́ɔ́gbɔ́ɔ sɩsɩ bɩmɔɔ́na ɖɩsɩná wenbí bɩtɛ́ bɩlá tɛ́ɛ́dɩwá-dɛ́ɛ ɖɔ́ndɩ́rɛ-tám ɩtásɩ bɩnyɔ́ɔzɩ nɛ́,
00-05	Á ɖɔ́ɔ́gbɔ́ɔ sɩsɩ tɛ́ɛ́dɩwá-dɛ́ɛ mará baaŋmáa tákaraɖá balɩzɩ́ tɩ fatɩma sɩsɩ bánzɩnáa ɩráa-dɛ́ɛ yíkowá tɩjaarɛ́ɛ nɛ́, na ɩrʊ́-dɛ́ɛ kezéńbíídi, na ɩrʊ́-dɛ́ɛ gírímá, na aláa na abaaláa-dɛ́ɛ yíkowá-dɛ́ɛ ɖéyi-ɖéyi lám, bɩka ɖʊɖɔ bazɩŋɛ́ɛ sɩsɩ bánzɩnáa ɩráa-dɛ́ɛ bɩɩzán-daá boɖé na bɔnyɔ́ɔ́zɩ ɩráa-dɛ́ɛ cɔwʊrɛ fɛɛzɩrɛ-daá,
00-06	Á ɖɔ́ɔ́gbɔ́ɔ sɩsɩ tɛ́ɛ́dɩwá tɩɩŋmáa tákaraɖá kɩna ɖɔ́ nɛ́ na tɛ́ɛ́dɩwá-dɛ́ɛ bɔwʊ́ɖɛ bánÿaá ɖɛ sɩsɩ Nations Unies waazɩ́m sɩsɩ bánzɩnáa wenbí bɩtɛ́ bɩlá ɩráa ɖúúlinya rɩ́ŋa-daá ɩfa ɩráa-dɛ́ɛ yíkowá na bɛdɛ́ɛ fɛɛzɩrɛ gírímá,
00-07	Á ɖɔ́ɔ́gbɔ́ɔ sɩsɩ yíkowá tɩḿ na fɛɛzɩrɛ́ tɩḿ tɩdɛ́ɛ bala tɩ kʊ́ɖʊmʊ́ʊ kɛ́ɛ́na wenbí bɩ́tɛbɩlá báa weení ɩkpɔ́ɔ tɩ yíni nɛ́,
00-08	Wenbá rɩ́ŋa bɔɔjɔ́ɔ baŋmáa bɔwʊ́tɩ tɩna nɛ́
00-09	baazɩ́ɩ sɩsɩ: ɖúúlinya rɩ́ŋa bɔwʊ́tɩ tɩna tɩdamáána ɩráa-dɛ́ɛ yíkowá kɛ́ɛna kpɩ́ńɖɛ wenɖé ɩráa rɩ́ŋa na tɛ́ɛ́dɩwá rɩ́ŋa waalá tɩ́lasɩ ɩsɩ bofu nɛ́ káma ɩrʊ́ báa weení na zamɔ́ɔ báa wenkí baanɩ́ɩ bɔwʊ́tɩ tɩna nɛ́ bála konkárɩ́ basɩná balɩzɩ́ fatɩma yíkowá tɩḿ na fɛɛzɩrɛ na wɩlɩ́ɩ yáá bɛdɛ́ɛ bíya ketí-daá, bɩka bɩɩlá tɩ́lasɩ ɖʊɖɔ bacáárɩ badɩ ɖɛfɛɛ-ɖɛfɛɛ bɛdɛ́ɛ tɛ́ɛ́dɩ-daá yáá ɖúúlinya ríŋa-daá beyéle ɩráa ɩtɩlɩ́ bɩka bofu yɛ ɖéyi-ɖéyi-daá báa lénle, tɛ́ɛ́dɩwá wentí tɩɩva bɔwʊ́tɩwá tɩna toovonúm nɛ́ tɩdaá na tɛ́ɛ́dɩwá wentí tɩwɛ tɩdɛɛzɩ́ nɛ́.
01-00	Wɛ́ɖɛ kaɖaa-ńɖɛ
