00-00	ХҮНИЙ ЭРХИЙН ТҮГЭЭМЭЛ ТУНХАГЛАЛ
00-01	Хүн төрөлхтөний гэр бүлийн бүх гишүүнд угаас заяасан нэр төр болон тэдний тэгш, салшгүй эрхийг хүлээн зөвшөөрөх нь эрх чөлөө, шударга ёс, бүх нийтийн энх тайвны үндэс мөнийг иш үндэс болгон,
00-02	хүний эрхийг үл тоомсорлох, басамжлах нь зон олны жигшлийг төрүүлсэн балмад үлйдэлд хүргэж байсан бөгөөд хүмүүс үг хэл, итгэл үнэмшилтэй байх, эрх ёөлөөтэй, айх аюулгүй, гачигдал зовлонгүй дэлхий ертөнцийг бий болгох нь хүн ардын эрхэм дээд эрмэлзлэл мөн хэмээн үзэж,
00-03	хүмүүс эзэрхэг засаглал, дарлалын эсрэг өөрийн эрхгүй эцсийн арга болгон зэвсэглэн босоход хүргэхгүйн тулд хүний эрхийг хуулиар хамгаалах нь зайлшгүй чухал гэдгийг анхааран,
00-04	улс түмний хооронд нөхөрсөг харилцаа хөгжүүлэхэд тус дөхөм үзүүлэх шаардлагатайг харгалзан,
00-05	Нэгдсэн Үндэстний Байгууллагад нэгдсэн улс түмэн хүний үндсэн эрх, бие хүний нэр төр, үнэ хүндийг сахин хамгаалах, эрэгтэй, эмэгтэйчүүдийн тэгш эрхэд итгэл төгс байгаагаа Дүрэмдээ нотолж, улам өргөн эрх ёөлөөт нөхцөлд нийгмийн дэвшил, амьдралын нөхцлийг сайжруулахад дөхөм үзүүлэхээр шийдвэрлэснийг харгалзан,
00-06	Гишүүн улсууд Нэгдсэн Үндэстний Байгууллагатай хамтран хүний эрх, үндсэн эрх чөлөөг нийтээр хүндлэн сахиулахад тус дөхөм үзүүлэх үүрэг авсныг үндэслэн,
00-07	энэхүү үүргийг бүрэн биелүүлэхэд хүний эрх, эрх чөлөөний мөн чанарыг нэгэн мөр ойлгох явдал нэн их ач холбогдолтойг харгалзан,
00-08	Ерөнхий Ассамблей,
00-09	Хүний эрхийн энэхүү түгээмэл Тунхаглалыг дэлхийн бүх улс түмэн, бүх улс орон зорилтоо болгон дэвшүүлж, хүн бүр, нийгмийн нэгж байгууллага болгон энэхүү зорилтыг биелүүлэхийн тулд эл Тунхаглалын үзэл санааг түгээн дэлгэрүүлэх замаар эдгээр эрх, эрх чөлөөг хүндэтгэн мөрдөх явдалд дөхөм үзүүлэх, үндэсний болон олон улсын хэмжээний дэвшилтэт арга замаар хүний эрх, эрх чөлөөг Нэгдсэн Үндэстний Байгууллагын гишүүн улс орны ард түмэн, тэдгээр улсын эрх мэдэлд байгаа нутаг дэвсгэр дээр оршин суудаг ард олны аль алинаар нь зохих ёсоор зөвшөөрүүлэн хэрэгжүүлэхийг зарлан тунхаглаж байна
01-00	Нэгдүгээр зүйл
01-01	Хүн бүр төрж мэндлэхэд эрх чөлөөтэй, адилхан нэр төртэй, ижил эрхтэй байдаг. Оюун ухаан, нандин чанар заяасан хүн гэгч өөр хоорондоо ахан дүүгийн үзэл санаагаар харьцах учиртай.
02-00	Хоёрдугаар зүйл
02-01	Хүн бүр энэ Тунхаглалд заасан бүхий л эрх, эрх чөлөөг ямар ч ялгаваргүйгээр, яс үндэс, арьс өнгө, хүйс, хэл, шашин шүтлэг, улс төрийн болон бусад үзэл бодол, үндэсний буюу нийгмийн гарал, эд хөрөнгийн байдал, язгуур угсаа, бусад ялгааг эс харгалзан адилхан эдлэх ёстой. Мөн түүнчлэн тухайн хүний харъяалдаг улс орон буюу нутаг дэвсгэрийн улс төр, эрх зүйн буюу олон улсын статус ямар ч байлаа гэсэн, тэрхүү нутаг дэвсгэр нь тусгаар тогтносон, бусдын асрамжид байгаа, өөртөө захиргаагүй буюу бүрэн эрхт байдал нь өөр ямар ч байдлаар хязгаарлагдмал байсан, хүнийг ялгаварлаж үл болно.
03-00	Гуравдугаар зүйл
03-01	Хүн бүр амьд явах, эрх чөлөөтэй байх, халдашгүй дархан байх эрхтэй.
04-00	Дөрөвдүгээр зүйл
04-01	Хэнийг ч боолчлол буюу бусдын эрхшээлд байлгах ёсгүй, боолчлол болон боолын худалдааны бүх төрлийг хориглоно.
05-00	Тавдугаар зүйл
05-01	Хэнд ч эрүү шүүлт тулгах буюу хэрцгий, хүний ёсноос гадуур эсхүл нэр төрийг нь доромжлон харьцах, шийтгэхийг хориглоно.
06-00	Зургадугаар зүйл
06-01	Хүн бүр хаана ч байсан эрх зүйн этгээд байх эрхээ хүлээн зөвшөөрүүлэх эрхтэй.
07-00	Долдугаар зүйл
07-01	Хүн бүр хуулийн өмнө адил тэгш бөгөөд ямар ч ялгаваргүйгээр хуулиар адилхан хамгаалуулах эрхтэй. Хүн бүр энэхүү Тунхаглалд харшлах аливаа үйлдэл, ялгаварлан гадуурхах явдал, тэгэж ялгаварлан гадуурхах аливаа тухиралтаас адилхан хамгаалуулах эрхтэй.
08-00	Наймдугаар зүйл
08-01	Үндсэн хууль, бусад хуулиар олгосон эрх нь зөрчигдвөл хүн бүр эрх мэдэл бүхий үндэсний шүүхээр эрхээ бүрэн сэргээн тогтоолгох эрхтэй.
09-00	Есдүгээр зүйл
09-01	Хэнийг ч дур мэдэн баривчлах, саатуулах буюу хөөн зайлуулах ёсгүй.
10-00	Аравдугаар зүйл
10-01	Хүн бүр эрх, үүргээ тодорхойлуулах, эрүүгийн ял тулгавал тэр нь хир зэрэг үндэслэлтэй болохыг тогтоолгохын тулд тухайн хэргийг бүрн тэгш эрхийн үндсэн дээр, ил од байдлаар, шударга ёсны бүх шаардлагын дагуу бусдын нөлөөнд автагдаагүй, гагцхүү хуулинд захирагдах шүүхээр шийдвэрлүүлэх эрхтэй.
11-00	Арван нэгдүгээр зүйл
11-01	Гэмт хэрэгт яллагдаж буй хүн бүр өөрт нь тулгасан хэргийг өмгөөлүүлэх буюу өөрөө өмгөөлөх бүрэн боломжтойгоор шүүх хурлаар ил хэлэлцэн таслаж, хуулийн дагуу гэм буруутай нь тогтоогдох хүртэл гэм буруугүй гэж тооцогдох эрхтэй.
11-02	Тухайн үед үндэсний хууль тогтоомж буюу олон улсын эрх зүйн дагуу гэмт хэрэгт эс тооцож байсан аливаа үйлдэл хийсэн буюу хийгээгүйг үндэслэж хэнийг ч гэмт хэрэгт яллан шийтгэх ёсгүй. Түүнёлэн гэмт хэрэг гарсан тэр үед ногдуулж болох байснаас илүү хүнд ял тохоож болохгүй.
12-00	Арван хоёрдугаар зүйл
12-01	Хэний ч хувийн болон гэр бүлийн амьдралд хөндлөнгөөс дур мэдэн оролцох, орон байрны халдашгүй байдал, захидал харилцааны нь нууц, эсвэл нэр төр, алдар хүндэд нь дураар халдах ёсгүй. Тэгж оролцох, тийнхүү халдах гэвэл хэн ч бай хуулиар хамгаалуулах эрхтэй.
13-00	Арван гуравдугаар зүйл
13-01	Хэн ч бай улс орны дотор чөлөөтэй зорчих, оршин суух газраа чөлөөтэй сонгон авах эрхтэй.
13-02	Хэн ч бай аль ч улс орныг, түүний дотор эх орноо орхин явах, эх орондоо эргэж очих эрхтэй.
14-00	Арван дөрөвдүгээр зүйл
14-01	Хэн боловё мөрдөлт мөшгөлтөөс зугтаж өөр улс оронд орогнох боломжийг эрэлхийлэх, тийнхүү орогнох эрхтэй.
14-02	Улс төрийн бус гэмт хэрэг үйлдсэн, эсвэл Нэгдсэн Үндэстний Байгууллагын зорилго, зарчимд харш хэрэг үйлдсэний улмаас зайлшгүй мөрдөгдөж буй тохиолдолд дээрх эрхийг эдэлж үл болно.
15-00	Арван тавдугаар зүйл
15-01	Хүн бүр иргэний харъяалалтай байх эрхтэй.
15-02	Аль ч хүний иргэний харъяаллыг буюу харъяаллаа өөрчлөх эрхийг дур мэдэн хасах ёсгүй.
16-00	Арван зургадугаар зүйл
