00-00	ITANGAZO RYAMAMAZA HOSE AGACIRO K'UMUNTU
00-01	Ikoraniro rusange lilibutsa ko:
00-02	- Ugushyira ukizana, ituze n'ubutungane mu bihugu bishingiye ku karusho ka buli muntu, kadasibangana, gahamya icyubahiro akwiye n'agaciro twese duhulijeho,
00-03	- Gusuzugura no kwirengagiza ako gaciro n'icyubahiro bya buli muntu nibyo byateye bamwe imigenzereze isa n'iy'inyamaswa, umutima w'umuntu utakwihanganira. Nicyogituma twemeza ko icyo umuntu wese yimilije imbere y'ibindi al'ugushyira akizana, nta nkomyi mu mvugo no mu bitekerezo, akibera aho nta nduru nta butindi,
00-04	- Ali ngombwa ko hashingwa amategeko arengera ako gaciro ka buli muntu, akamulinda ubuja n'agahato,
00-05	- Ikindi ngombwa nu gukomeza umubano w'ibihugu,
00-06	- Ibihugu byunz'ubumwe byiyemeje muli Charte ya l'ONU kuzahora byubaha agaciro k'umuntu wese, yaba umugore yaba umugabo, bose niko bakwiye kwubahwa kimwe. Ibyo bihugu byiyemeje kandi kuzaharanira amajyambere mu mibanire m'imibereho y'abantu ku mudendezo,
00-07	- Ibihugu byose byunz'ubumwe byarahiliye gufasha umuryango wa l'ONU kwubahisha hose agaciro n'uburenganzira bishingiye kuli kamere ya buli muntu,
00-08	- Kugira ngo ibyo twarahiliye tubishyikire, tugomba no guhuza igitekerezo ku byerekeye ako gaciro n'uburenganzira bya buli muntu,
00-09	- Ikoraniro rusange ryamamaje ili Tangazo ryerekeye agaciro ka buli muntu, ligomba kuyobora abaturage b'ibihugu byose uburyo bwo kwitoza umuco wo kwubaha agaciro n'uburenganzira bw'umuntu. Uwo muco niwo amategeko agenga buli gihugu n'atunganya umubano w'igihugu agomba gushishikalira kwinjuza muli byose, ali nu nyigisho z'urubyiruko mu mashuli, ali no mu milirere yose y'abaturage, kugira ngo bose hamwe, ali abatuye mu bihugu muli l'ONU, ndetse n'abatarashyikira ubwigenge, uwo muco abe aliwo bimiliza imbere.
01-00	Article 1.
01-01	Abantu bose bavuka aliko bakwiye agaciro no kwubahwa kimwe. Bose bavukana ubwenge n'umutima, bagomba kugilirana kivandimwe.
02-00	Article 2.
02-01	Umuntu wese akwiye kwemererwa kwafite agaciro n'uburenganzira bwose bwahamijwe muli ili Tangazo. Nta muntu uzongera gucishwa ku wundi ku mpamvu gusa z'ubwoko, ibara ry'umubili, idini yemera cyanga se ibitekerezo afite muli politique no mu zindi ngingo, ntawe uzazira igihugu akomokamo, ubworo amavuka cyanga se indi mimerere yindi.
02-02	Kandi nta muntu uruta undi, ngo kuko baba bakomoka mu bihugu batareshya. Ali abaturage b'ibihugu byigenga cyanga se bigitwarwa, bikiyoborwa n'ibindi, bose ni abantu kimwe.
03-00	Article 3.
03-01	Umuntu wese agomba kubaho, gushyira akizana no kutarengana.
04-00	Article 4.
04-01	Nta muntu ukwiye guhinduka imbohe cyanga umuja. Kugira abantu abaja cyanga se kubacururuza biraciwe rwose.
05-00	Article 5.
05-01	Nta muntu ugomba kugilirwa urugomo, kuzira agashinyaguro, kwicwa urupfu rubi.
06-00	Article 6.
06-01	Aho umuntu ali hose agomba kurengerwa n'amategeko y'igihugu.
07-00	Article 7.
07-01	Abantu bose ni kimwe ku byerekeye amategeko, kandi bose niki agomba kubarengera kimwe, akabalinda akarengane gaciye ukubili n'ili Tangazo, akabalinda ndetse n'ibishobora byose gutera ako karengane.
08-00	Article 8.
08-01	Buli muntu afite ububasha bwo kuregera inkiko imigenzereze yose iciye ku burenganzira yahawe n'amategeko.
09-00	Article 9.
09-01	Ntawe ushobora gufunga umuntu ku karengane cyanga se kumuca mu gihugu.
10-00	Article 10.
10-01	Urubanza rw'umuntu wese, mbere yo gucibwa, rugomba kwumvikana ku mugaragaro, nta karengane, abacamanza bakabona kurukiranura batabera.
11-00	Article 11.
11-00	Umuntu wese urezwe igicumuro, mu gihe ataracirwa urubanza rukimuhamya, agomba gufatwa nk'intungane kugeza igihe ubugiranabi bwe bwemeza n'urukiko kumugaragaro, kandi bamaze kumuha uburyo bwose bwo kwiburanira.
11-01	Nta muntu ugomba guhanirwa amafuti yigeze gukora, niba mu gihe ayakoze nta tegeko ry'igihugu cyanga ryerekeye umubano w'igihugu, ryali libibujije. Kandi lero nta n'uzajya acibwa igihano kirenze icyali gitegetswe, igihe akoze akabi agomba guhanirwa.
12-00	Article 12.
12-01	Ntawe ugomba kwirohera nta mpamvu mu byerekeye imibereho y'umuntu n'iy'abe, mu rugo rwe no mu nzandiko ze, cyanga se ngo amusebye. Muli ibyo byose kandi amategeko y'igihugu agomba kulinda umuntu wese akarengane.
13-00	Article 13.
13-00	Umuntu wese agomba kugenda uko ashaka mu gihugu, no kwihitiramwo aho ashaka gutura.
13-01	Umuntu wese ashobora kuva mu gihugu abishatse, no kugaruka mu gihugu cye kavukire.
14-00	Article 14.
14-00	Umuntu wese, iyo atotejwe, ashobora guhungira mo kwakirwa mu bindi bihugu.
14-01	Ubwo burenganzira aliko ntibwarengera umuntu ukulikiranywe kubera ubugome busanzwe, cyangase imigenzereze ye inyuranye n'amaherezo l'ONU yimilije imbere.
15-00	Article 15.
15-00	Buli muntu agomba kwitilirwa igihugu cye kavukire.
15-01	Icyo kimenyetso cy'ubuturage ntawe ushobora kukinyagwa ku karengane, aliko umuntu ashobora kwiyakira ubuturage bw'aho yihitiyemo.
16-00	Article 16.
