00-00	Hakkiwa Adamganabe Dunya Ngaro Wowurtəgənama
00-01	Adəgaima tada adamganabebe nəmngalwonzə kambaata adə-a nəmnduaso kalkalnzə-a hakkiwanzə Alanjo-adə shima ferno nəmkambe-a jirebe-a nəlefabe-aro dunya ngason asutəna,
00-02	Adəgaima hakkiwa adamganabero cistəgə ba-a fallaktə-abe sawowuro kəndowa halye kurzənyi waazə hangal adamganabero karega rozəgəna, kuru dunya duwo suron adamganasoye tamtam hakkinza manabe-a nzasarabe-a kuru nambe duwo dalil baaro citə-a jero-abedə shima awo talaawaye təmazana woro warmowotə,
00-03	Adəgaima awo məradətənadə susu adamganaga dunon təkkə nəmzaləm-a njokuno-a kəriwutəbedəro howum maibeye hakkiwanzaga səliwodəma,
00-04	Adəgaima awo məradətənadə tawaa-a nəmkam-a indikate lardəwaben haptaadəma,
00-05	Adəgaima ummawa Lardəwa Tawakkata Dunyabeye suro Tawakamdəben kamburshenza kəla hakkiwa adamganaben nanazaana, kəla daraja-a nəmngalwo-a adamganabe-a kəla kamu-a kwa-a hakkinza kalkal-aben kasadə gozana tamtam-a kəndəga ngəla-a hapsaa nambe gayaga fandoro,
00-06	Adəgaima Lardəwa Memba Kaapkadəbe woso wadəga gozana, tawaa Lardəwa Tawakkata Dunybemben, daaraja ndubeso haptaa-a hakkiwa adamganabe-a nambe gaya lajiptə-a galtəro,
00-07	Adəgaima wadə adəga yitagatəgə nankaro hakkiwa-a nambe anyi-a asutadə awoye gaya linta,
00-08	Adə Nankaro
00-09	Samno Kura Dunyabedəye
00-10	Hakkiwa Adamganabe
00-11	Dunya Ngaro Wowurtəgəna Adəga
00-12	warmazəgə
00-13	shima mizan ummawa-a lardəwa-a duksoye yitagattəgəbe wo, daji daryenzədə ndu-a nduana-aso fellawan kunten, Wowur adəga karəgən roza, ndusoro yikkəlio-a ilmutəgə-an hakkiwa-a nambe anyi-abe nəmgayanza haptaaro, suro lardəbe-a indikate lardəwabe-ason ndusoye kalkalro asuzə lajipsə, suro ummawa Lardəwa Memba Karapkadəbe-a suro ummawa gade sədiyanzalan dawuna-ason.
01-00	Babu 1
01-01	Adamgana woso kambe katambo ye daraja-a hakkiwa-ason kalkalye. Hankal-a nazaru-asoro kəzəpkə ye suro hal nəmharamiben kamazasoga letaiyin ye.
02-00	Babu 2
02-01	Hakkiwa-a nambe a suro Wowur adəben dəganadə ndu-a nduana-aso kartaa, gayirtə futubibema baaro, gayirta alama jilibeso, kadigəbeso, alagəbeso, təlambeso, adinbeso, siyasabeso au rayiwu, lardə gade au kaduwu gade, kənganti, tambo au awowa laa gade anyiga samunzəna.
02-02	Anyibe ngawoman nduma kəla siyasaben kal, kəntəwoben kal au daraja dunyalabe sawawuro kal kərye au lardə kamdə dəganabe sawawuro gayirtinba. Lardə shi gultənama adə kərmai kəlanzəben karga, amanaro musko lardə gadeben karga, kəlanzəlangənyi karga au sədiya kaidawa kəntəwobe laan karga yaye kal.
03-00	Babu 3
03-01	Ndu yaye hakkinzə kəla ronzə-a nəmkambenzə-a nəlefa kəlanzə-aben mbeji.
04-00	Babu 4
04-01	Nduma kənji au kaliyaro təgandinba, nəmkənjiro gərtə-a kənji lado-aso awostə ye daptə ye.
05-00	Babu 5
05-01	Nduma njokunoso, nəmkəladoso, shimaso, azawaso, gənatəginba.
06-00	Babu 6
06-01	Ndu yaye hakkinzə ndaran yaye shiga kamro asutabe mbeji fuwu howumbelan.
07-00	Babu 7
07-01	Nduso fuwu howumben kalkal ye kuru gayirta baaro howumye sandiga səliwin ye. Nduso hakkinzə nzəliwobe mbeji gayirtalan fallaktə Wowur adəbe sawawuro-a kəla lan laa gade gayirtadə nankaro waazəna-alan.
08-00	Babu 8
08-01	Ndu yaye hakkinzə səlwu sandəna mataabe mbeji shara rakkata lardəbelan kəla hakkinzə gaya linta dusturye au howumye shiro cina namtənaben.
09-00	Babu 9
09-01	Nduma dalil baaro kəntaso, jeroso, lardən dutaso ba.
10-00	Babu 10
10-01	Ndu yaye hakkinzə futu məradəzənaro shiga shara naptə kəlanzəbe walama baa ye jirea yebe kərəntabe mbeji kəla hakkinzə-a kaidawanzə-a kuru awowa gade shara zəganyi-a tawattaaben.
11-00	Babu 11
11-01	Ndu yaye ngawo ayawu sədənaben angərdə hakkinzə kawu shiro fuwu sharaben ngawo səliwo məradətəna shiro sadənaben ayawunzəga tawatsaginro.
11-02	Nduma kəla awo abima gənyiben ayawuro tətainba futubin waano yaye ayawudə ayawuro walzənyiga, sədiya howum lardəben au indikate lardəwaben, sa ayawu adə tədənaladən. Biya gənatəginro walwono yaye ayawu sadən tədənadəga kozəna gənatəginba.
12-00	Babu 12
12-01	Ndu kəla baaro wujirwa kəlanzəbema, yalwanzəbema, au lamar lenəm-arenzəbemaro ci təkinba, biya kəla nəmkamnzə-a darajanzə-abe nankaro fitənatinba. Ndu yaye hakkinzə howumye shiga nzəlifobe mbeji kəla dalil baaro wujirwanzəro ci nzəkko-a fitənatə-aben.
13-00	Babu 13
13-01	Ndu yaye hakkinzə famno-a fato gar-abe mbeji suro dərinəmkəlle lardə ndasoben yaye.
13-02	Ndu yaye hakkinzə lardəbi yaye luwum koltəbe mbeji, lardə kaanzən kunten, kuru lardənzəro waltaabe ye mbeji.
14-00	Babu 14
14-01	Ndu yaye hakkinzə lardəwa gaden nafaka nzəliwo kəlanzəbe nankaro mata-a fando-abe mbeji.
14-02	Hakki adə ayawuwa gade siyasaa letanyi au bigəwa gade nya-a kasadə-a Lardəwa Tawakkata Dunyabea kəla kəlzanyiro faidatinba.
15-00	Babu 15
