00-00	MINMURUS WANTAAWARUSPA
00-01	Kunsiderakitpa chima lipertachan la justisiakaz y la pazkaz muntuz m+jan sun rekunusimientukaz an tiknitadkaz inteinsekakaz an nit +n kawuarus inalienaplekaz wantuzpa miemprokaz kualkaz humanakaz
00-02	Kunsiterakitpamakpaz an teskunucimientoksz menuspreciukaz sun nit +m+zna humanukaz an urijinakitpa acturuzkas ultrajantikaz sunkaz la kunsienciakaz humanitakaz que se han pruckamakitpa misha aspiraciukaz mamaz elepakitpa ampukaz apperimientune anña muntune suntuzne serekaz humanukaz lipertapkaz temurakaz miseriakaz tisfrutikitpa anlipertat· pitkaz lipertapkaz creensiakaz
00-03	Kunciderakitpa esencialkaz an nitchan wantuskasa sunkaz protekitpamakpaz mamaz rejimenkaz sun nitchan mamaztuzkaz ampukaz ishtawai kunpelitukaz supremukaz recursukaz repelionkaz kuntramakpaz tiraniakaz upresiunkaz
00-04	Kunciderakitpamakpaz mamaz esencialkaz prumuperkitpa an tesarruyakitpa relasiunkaz amistusurakaz uspëlruzpa nasiunkaz,
00-05	Kunciderakitpa an puepluskaz nasiuneskaz unitaskaz ankaz reafirmakitpa an kartara sun nitchanpamakpas wantuskasa fe m+jatpa an nitm+jatpa ampukaz ashampakaz kaiztamai teckaratukitmai resueltukitmai susialkaz pruperkitpa prukreso elepakitpa an nipelkaz tuamkaz ayukta maza kunceptukitpa akal lipertadkaz
00-06	Kunciterakitpa sun estatukaz miempruruzkaz an komprometikitpa asekurakitpa kuperasiunkaz sun la urkanizacionkaza naciponeskaz unidaskaz respetikitpa efectipukaz univer5alkaz derechokaz libertakaz fundarventaleska ampukaz,
00-07	Kusiderakitpamakpaz kuncepciónkitpa kumunkaz an nitchatpamai m+nkas kachapmuchimaimasain chatpa
01-00	[?]
01-01	[?]
02-00	Artikulu paz
02-01	Maza wantuz awa m+jan wuantuz nitchatpa karakas m+nkaskachapmuchi Mamaz kualtuz puchakas awapit relionkaz upini6nkaz politikakaz mamaztusne indulekaz nacionalkaz socialkaz posicionkaz pialkaz chikta mamaztuskaz kunticionkaz
02-02	paz. Suntakaz sarawai tisticionkaz chiwuasha kunticionkaz jurftika internacionalkaz paiskaz territuiukas mamaz kupairuwai p+na kaiztawuai intepetientene purai atministracionne autunumukaz napt+t chiwuashai limitaciónkaz superaniakaz
03-00	Artikulu kutña
