00-00	UNIVERSALIS DE JURE HOMINUM DECLARATIO
00-01	Cum dignitatis infixae omnibus humanae familiae partibus et eorum jurum aequalium, quae abalienari non possunt, agnitio constituat et in orbe terrarum libertatis et justitiae et pacis fundamentum,
00-02	Cum hominis jurum mala cognitio contemptioque barbariae facta, quae humanitatis conscientiam ad rebellionem incitant, adduxerint, cumque mundi initium in quo homines, liberati a terrore et miseria, loquendi credendique libertatem habebunt, renuntiatum sit ut hominis altissima affectatio,
00-03	Cum praecipuum sit hominum jura civitatis forma quae justa est tegi, ne homo cogatur, ultimo perfugio, ut rebellionem faciat in tyranniam oppressionemque,
00-04	Cum praecipuum sit progressionem amicitiarum inter nationes incitari,
00-05	Cum in Carta gentes Conjunctarum Nationum rursus pronuntiaverint suam fidem in juribus praecipuis hominum, in dignitate et virtute hominis, in aequabilitate jurum virorum et feminarum, et se dixerint prompti ad favendum progressui civili et ad gignendum meliores conditiones vitae in majore libertate,
00-06	Cum sociae civitates pollicitae sint se affirmaturas esse verecundiam universam veramque jurum hominis et libertatum praecipuarum, temperatione Nationum Conjunctarum adjuvante,
00-07	Cum quaedam communis conceptio horum jurum et libertatum gravissima sit, ut obligatio haec plane expleatur,
00-08	Communis Conventus jurum hominis praesentem universalem Declarationem pronuntiat ut communis perfectus qui petatur ab omnibus populis et omnibus nationibus, ut societatis singuli homines et omnes partes, habentes hanc declarationem constanter in mente, institutione et educatione conantur ut horum jurum libertatumque respectus evolvatur, et firmentur ordinis nationalis et internationalis consiliorum incessu gratia et universalis veraque admotio tam in ipsarum sociarum civitatum populationibus quam in finium populationibus quae eorum jurisdictioni subactae sunt.
00-09	Universalis de hominis juribus declaratio
01-00	I
01-01	Omnes homines liberi aequique dignitate atque juribus nascuntur. Ratione conscientiaque praediti sunt et alii erga alios cum fraternitate se gerere debent.
02-00	II
02-01	Quisque potest sibi assumere libertates omnes omnesque jures in hac declaratione pronuntiatos, sine ulla distinctione gentis, coloris, sexus, linguae, religionis, politicae sententiae aut omnis generis sententiae, nationis originis aut civitatis, divitiarum aut ortus aut omnis generis situs.
02-02	Praeterea fietur nulla distinctio condita in civili decreto, juridico aut internationali gentis aut finium cujus est aliquis, sive gens aut fines liberi sunt, sive sub tutella, sive non suae potestatis sive subacti termino aliquo sui imperii.
03-00	III
03-01	Quisque jus habet vivere, liber esse et in tuto vivere.
04-00	IV
04-01	Nemo servitudine tenebitur. Omnes servitudines omnibus modis prohibentur.
05-00	V
05-01	Nullus cruciabitur neque poenis nec tractationibus, quae humanae sunt, objicietur.
06-00	VI
06-01	Quisque jus habet suam juridicam personam in omnibus locis accipi.
07-00	VII
07-01	Omnes ante legem aequi sunt et sine ulla distinctione jus habent aequum praesidium legis habere. Omnes jus habent praesidio aequo contra omnem discrimen qui hanc Declarationem violet et contra omnem incitationem ad talem discrimen.
08-00	VIII
08-01	Omnis jus habet recurrere pro idoneo judice gentis contra facta violantia jures suffundatos quae sibi recognescuntur a constitutione aut lege.
09-00	IX
09-01	Nullus ex libidine apprehendi in vinculis esse, exsulari potest.
10-00	X
10-01	Omnes jus habent in tota aequitate suam causam recte et publice a judicibus liberis aequabilibusque audiri, qui statuunt vel de juribus obligationibusque, vel de veritate omnis criminis contra se.
11-00	XI
11-00	Quisquis accusatus delicto innocens est dum noxa sua jure statuata est publico judicio ubi obsides omnes necessariae ad se defendendum affirmatae erunt.
11-01	Nemo damnabitur propter acta vel praetermissiones quae, cum commitata sunt, non constituebant delictum ex jure suae gentis vel universarum gentium. Item nulla gravior culpa irrogabitur quam illa quae applicari potuit cum delictum factum est.
12-00	XII
12-01	Nemo patibitur intercessiones ab arbitrio in rebus privatis, in familia, domo aut in epistularum consuetudine, nec ictus contra honorem famamque. Omnis jus habet lege protegi contra tales intercessiones aut talia vulnera.
13-00	XIII
13-00	Quisque jus habet libenter iter facere et in civitate suam domum eligere.
13-01	Omnis jus habet ex omni et sua patria abire et in suam patriam redire.
14-00	XIV
14-00	In vexatione omnis jus habet perfugium quaerere et perfugium ab aliis regionibus impetrare.
14-01	Hoc jus non invocari potest in casu actionum vere constitutarum in communis juris scelere aut in factis adversus metas principiaque Conjunctarum Nationum.
15-00	XV
15-00	Omnis jus habet nationis esse.
15-01	Nemo ex libidine a sua gente privari potest neque gentis mutandae a jure privari.
16-00	XVI
16-00	Ex matrimonio se jugendi aetate, vir mulierque jus habent, nullo genere, nulla gente aut religione id nequaquam impediente, matrimonio se jungere et familiam constituere. Jura equalia habent pro matrimonio, per matrimonium et per divortium.
16-01	Matrimonium confici non potest sine conjugum pleno liberoque consensu.
16-02	Familia societatis naturale praecipuumque elementum est et jus habet a societate et rei publica muniri.
17-00	XVII
17-00	Omnis, vel solus vel conjucte, mancipii jus habet.
17-01	Nemo potest ab arbitrio a mancipio privatus esse.
18-00	XVIII
18-01	Omnis jus sentientae, conscientiae religionisque libertati habet. Hoc jus religionem aut conscientiam mutandi libertatem atque libertatem religionem aut fidem solam aut communem manifestam faciendi implicat, tam publice quam private, doctrina, religionibus, sacris ritorum effectuque.
19-00	XIX
19-01	Omnis jus opinionis et verba dicendi libertati habet; quod jus non ob opiniones suas inquietari implicat, atque jus petendi, recipiendi divulgandique sine finium considerationibus percontationes cogitationesque quacumque elocutione
20-00	XX
20-00	Omnis homo jus habet libertati pacificae consociationis conventusque
20-01	Nemo potest coagi ut consociationi intersit.
21-00	XXI
21-00	Omnis homo jus habet suae gentis rerum publicarum administrationi interesse, vel directo, vel per repraesentes libere lectos.
21-01	Omnis homo jus habet conditione aequa ad suae patriae officia publica accedere.
21-02	Populi voluntas publicorum imperiorum auctoritatis fundamentum est; illa voluntas creatione honesta exprimi debet, quae statis diebus fieri debent, universali aequo suffragio secretaque tabella vel secundum aequalem judiciorum formulam suffragii libertatem in tuto collocantem.
22-00	XXII
22-01	Omnis homo, ut rei publicae socius, sociali securitati jus habet; hic homo jus habet satisfactionem impetrare jurum publicorum, sociorum humanorumque quae necessaria ad suam dignitatem et progressum liberum sui est, per laborem suae patriae et operam aliarum gentium, pro temperatione et divitiis omnis gentis.
23-00	XXIII
23-00	Omnis homo, labori, liberae optioni laboris, conditionibus aequis idoneisque laboris et tutelae adversus inopiam laboris jus habet.
23-01	Universi, sine discrimine,aequo praemio aequo labore jus habent.
23-02	Quiscumque laborat, jus habet aequae remunerationi idoneaeque quae sibi familiaeque confirmat vitam consentaneam humanae dignitati et, si oportet, completae omnibus ceteribus rationibus sociae tutelae.
23-03	Omnis homo cum aliis hominibus consociationes condere et consociationibus socios sibi adjungere ad commoda defendenda jus habet.
24-00	XXIV
24-01	Omnes jus habent cum quieti et otiis tum circumscriptioni modicae temporis laboris et commeatibus statis quae pecunia soluuntur
25-00	XXV
25-00	Omnes jus habent satis altae vitae ut suam valetudinem et suae familiae et suam voluptatem confirmet, praesertim quod pertinet ad cibum, vestem, domum, medicinales curas et beneficia socialia quae necesseria sunt. Omnes jus habent securitati in penuria laboris aut in morbo aut in infirmitate aut in viduitate aut in senectute aut in aliis casibus in quibus copia vivendi esse non potest, temporibus voluntatem non sequentibus.
25-01	Mater et infans jus habent auxilio et praesentiae propriae. Omnes pueri, sive in matrmonio sive extra matrimonium nati sunt, eodem sociali praesidio fruuntur.
26-00	XXVI
26-00	Omnis jus habet educationi. Educatio debet gratuita esse, quod saltem pertinet ad primas praecipuasque litteras. Primae litterae sunt necessariae. Doctrinae ad scientiam et ad professionem pertinentes multis exponenda est; oportet aditum studiis superis in tota aequalitate omnibus secundum meritum patere.
26-01	Oportet educationem spectare ad totam hominum beatitudinem et ad respectus jurum hominis et libertatum primarum confirmationem.Oportet educationem favere cogitationi, patientiae amicitiaeque inter omnes gentes, omnia generum aut religionum globos; oportet educationem favere progressioni operarum nationum sociatarum ad pacis conservationem.
26-02	Parentes in primis jus habent eligere genus educationis quod interest dare liberis suis.
27-00	XXVII
27-00	Omnis homo jus habet libere interesse culturae societatis, et frui artibus, et interesse profectibus scientiae et beneficiis quae id sequuntur.
27-01	Omnis jus habet tutelae beneficiorum moralium et materialium generatorum omni procreatione scientiae, litterarum aut artium quorum auctor est.
28-00	XXVIII
28-01	Omnis jus habet in socialibus et externis rebus ordinem regnari, ut jura et libertates enuntiatae in hac Declaratione fieri possint.
29-00	XXIX
29-00	Cuique officia sunt erga societatem, in qua solum liberum plenumque incrementum ingenii fieri potest.
29-01	In usu jurium et fructu libertatum, quisque subjicitur solum finibus lege conditis, ut solum firmet gratiam et respectum jurium libertatumque alieni, et satisfaciat rectis expostulationibus honesti, reipublicae concordiae et universae in sociatate populari valetudinis.
29-02	Haec jura libertatesque nullo modo exerceri poterunt adversus proposita et principia Nationum Conjunctorum.
30-00	XXX
30-01	Nullum decretum hujus Declarationis interpretari potest quasi civitati, societati aut cuidam homini jus aliquid implicans se dedendi alicui facinori aut aliquid faciendi ad libertates et jura evertenda, quae hoc loco enuntiata sunt.
