00-00	VISPĀRĒJĀ CILVĒKA TIESĪBU DEKLARĀCIJA
00-01	Ievērojot, ka visiem cilvēku sabiedrības locekļiem piemītošās pašcieņas un viņu vienlīdzīgu un neatņemamu tiesību atzīšana ir brīvības, taisnīguma un vispārēja miera pamats, un
00-02	ievērojot, ka cilvēku tiesību necienīšana un nicināšana noved pie barbariskiem aktiem, kas izraisa sašutumu cilvēces apziņā, un ka tādas pasaules radīšana pasludināta kā cilvēku augstākie centieni, kurā cilvēkiem būs vārda un pārliecības brīvība un tie būs brīvi no bailēm un trūkuma, un
00-03	ievērojot, ka nepieciešams, lai cilvēka tiesības aizsargātu likuma spēks un cilvēks nebūtu spiests izmantot kā pēdējo līdzekli sacelšanos pret tirāniju un apspiestību, un
00-04	ievērojot, ka nepieciešams veicināt draudzīgu attiecību attīstību starp tautām, un
00-05	ievērojot, ka Apvienoto Nāciju tautas Statūtos apliecināja savu ticību cilvēka pamattiesībām, cilvēka personības pašcieņai un vērtībai un vīriešu un sieviešu līdztiesībai un apņēmās sekmēt sociālo progresu un labākus dzīves apstākļus vislielākās brīvības apstākļos, un
00-06	ievērojot, ka Dalībvalstis ir apņēmušās panākt, sadarbojoties ar Apvienoto Nāciju Organizāciju, sekmēt cilvēka tiesību un pamatbrīvību vispārēju cienīšanu un ievērošanu, un
00-07	ievērojot, ka šo tiesību un brīvību vispārējai izpratnei ir milzīga nozīme šīs apņemšanās pilnīgai īstenošanai,
00-08	tāpēc Ģenerālā Asambleja
00-09	pasludina šo Vispārējo cilvēka tiesību deklarāciju par visu tautu un nāciju sasniegumu kopējo standartu, lai katrs cilvēks un katra sabiedrības institūcija, pastāvīgi paturot prātā šo Deklarāciju, censtos ar apmācību un izglītošanu veicināt šo tiesību un brīvības respektēšanu un, īstenojot progresīvus nacionālos un starptautiskos pasākumus, nodrošinātu to vispārēju un efektīvu atzīšanu un ievērošanu kā pašu Organizācijas dalībvalstu starpā, tā arī to jurisdikcijā esošo teritoriju tautās.
01-00	1. pants
01-01	Visi cilvēki piedzimst brīvi un vienlīdzīgi savā pašcieņā un tiesībās. Viņi ir apveltīti ar saprātu un sirdsapziņu, un viņiem jāizturas citam pret citu brālības garā.
02-00	2. pants
02-01	Ikvienam ir tiesības uz visām šajā Deklarācijā pasludinātajām tiesībām un brīvībām, bez jebkāda veida atšķirības pēc rases, ādas krāsas, dzimuma, valodas, reliģijas, politiskās vai citas pārliecības, nacionālās vai sociālās izcelsmes, mantiskā stāvokļa, dzimšanas vai cita statusa.
