00-00	DICIARAÇION UNIVERSALE DI DRITI DE PERSONN-E
00-01	Conscideròu che o riconoscimento da pròpia dignitæ e di driti pægi e inalienabili de tutti i menbri da famiggia umann-a o l’é o fondamento da libertæ, da giustiçia e da paxe into mondo,
00-02	Conscideròu che a negaçion e o desprexo di driti de personn-e an acaxonòu di atti de barbaritæ che an ofeizo a coscensa de l’umanitæ; e che l’é stæto proclamòu comme ciù erta aspiraçion de l’òmmo l’arivo de ’n mondo into quæ tutti, liberæ da-a poia e da-a mizeia, gödian da libertæ de paròlla e de creddo,
00-03	Conscideròu che l’é esensiale che i driti de personn-e segian protezui da de lezze giuridiche perché l’òmmo o no s’atreuve costreito, in urtima istansa, a-a rebelion contra a tirania e l’òprescion,
00-04	Conscideròu che l’é esensiale promeuve o sviluppo de de relaçioin da amixi fra e naçioin,
00-05	Conscideròu che i pòpoli de Naçioin Unie an afermòu into seu Statuto a seu fede inti driti fondamentali de personn-e, inta dignitæ e into valô da personn-a umann-a e inti driti pægi d’òmmi e dònne, e an determinòu a promoçion do progresso sociale e de ’n megio livello de vitta inte ’n ciù erto graddo de libertæ,
00-06	Conscideròu che i Stati Menbri se son conpromissi a aseguâ, in cooperaçion co-e Naçioin Unie, a promoçion do rispetto universale e l’òservansa di driti de l’òmmo e de libertæ fondamentali,
00-07	Conscideròu che ’na conceçion comun de questi driti e libertæ a l’é da ciù grande inportansa pe l’intrega realizaçion de questi conpromissi, l’asenblea generale, aloa,
00-08	a proclamma a prezente Diciaraçion Universale di Driti de Personn-e, comme ideale comun pe-o quæ tutte e gente e e naçioin gh’an da sforsase, de mòddo che ògni individoo e ògni istituçion, into tegnila de longo a memöia, promeuvan, atraverso l’insegnamento e l’educaçion, o rispetto pe questi driti e libertæ, e con de mezue progrescive naçionali e internaçionali n’aseguen o riconoscimento e l’aplicaçion universali e efetivi, segge fra i pòpoli di Stati Menbri che fra quelli di teritöi sotta a seu giurisdiçion.
01-00	Articolo 1
01-01	Tutte e personn-e nascian libere e pæge in dignitæ e driti. Son dotæ de raxon e coscensa e gh’an da agî l’unn-a verso l’atra inte ’n spirito de fradelansa.
02-00	Articolo 2
02-01	Ògni personn-a a gh’à tutti i driti e e libertæ proclamæ inte questa Diciaraçion, sensa nisciunn-a distinçion de razza, cô, sesso, lengoa, religion, òpinion politica ò d’atro tipo, òrigine naçionale ò sociale, poxiçion econòmica, nascimento, ò quæ se segge atra condiçion.
02-02	Pe de ciù, no se faiâ nisciunn-a diferensa fondâ in sciâ condiçion politica, giuridica ò internaçionale do Paize ò do teritöio a-o quæ e personn-e apartegnan, segge pe-i Paixi indipendenti che pe-i teritöi sott’aministraçion fiduciaia, sens’outonomia, ò sotomissi a ògni atra limitaçion de sovranitæ.
03-00	Articolo 3
03-01	Tutti gh’an drito a-a vitta, a-a libertæ e a-a seguessa personale.
04-00	Articolo 4
04-01	Nisciun o saiâ sotomisso a scciavitù ni a servitù; a scciavitù e a træta de scciavi son proibie in tutte e forme.
05-00	Articolo 5
05-01	Nisciun o saiâ sotomisso a tortue ni a penn-e ò puniçioin crudeli, inumann-e ò degradanti.
06-00	Articolo 6
06-01	Tutti gh’an drito, in ògni pòsto, a-o riconoscimento da seu personalitæ giuridica.
07-00	Articolo 7
07-01	Tutte e personn-e son pæge davanti a-a lezze e gh’an drito, sensa distinçioin, a egoale proteçion da parte de quella. Tutti gh’an drito a-a mæxima proteçion contra ògni discriminaçion ch’a segge in violaçion da prezente Diciaraçion, comme contra tutto quello che pòsse açimentâ a tâ discriminaçion.
08-00	Articolo 8
08-01	Ògni personn-a a gh’à drito a l’efetiva poscibilitæ de ricorso a di tribunali naçionali conpetenti, pe difendise contra i atti che segian in violaçion di driti fondamentali a lê riconosciui da-a costituçion ò da-a lezze.
09-00	Articolo 9
09-01	Nisciun o poriâ ese arbitraiamente arestòu, detegnuo ò eziliòu.
10-00	Articolo 10
10-01	Ògni individoo o gh’à o drito, in condiçion de conpleta egoaliansa, d’ese sentio publicamente e con giustiçia da ’n tribunale indipendente e inparçiale, pe-a determinaçion di seu driti e de seu òbligaçioin ò de acuze penali contra lê.
11-00	Articolo 11
11-01	Tutte e personn-e acuzæ de ’n delitto gh’an o drito d’ese prezunte inocenti mentre a no segge provâ a seu corpa, in mòddo legale e in giudiçio publico, into quæ agen avuo tutte e garansie necesaie pe-a seu difeiza.
11-02	Nisciun o saiâ condanòu pe di atti ò de òmiscioin che a-o momento d’ese comissi no foisan delitti segondo o drito interno ò internaçionale. No s’inponiâ manco de penn-e ciù gravi che quelle aplicæ a-o momento into quæ o delitto o l’é stæto comisso.
12-00	Articolo 12
12-01	Nisciun o saiâ sotomisso a de interferense arbitraie inta seu vitta privâ, inta seu famiggia, abitaçion ò corispondensa, ni a di atacchi contra o seu önô e reputaçion. Ògni personn-a a gh’à drito a-a proteçion da lezze contra tæ interferense ò lexoin.
13-00	Articolo 13
13-01	Tutti gh’an drito a-a libertæ de movimento e rescidensa drento a-o teritöio de ’n Stato.
13-02	Tutti gh’an drito a sciortî da ’n Paize, incluzo o pròpio, e de ritornâ a-o seu Paize.
14-00	Articolo 14
14-01	In caxo de persecuçion, ògni personn-a a gh’à o drito de çercâ e de gödî d’azilo in atri Paixi.
14-02	Questo drito o no poriâ ese invocòu contra de açioin giudiçiali couzæ da di delitti no politichi ò da de açioin contraie a-i propòxiti e prinçippi de Naçioin Unie.
15-00	Articolo 15
15-01	Tutti gh’an drito a ’na çitadinansa.
15-02	A nisciun se ghe poriâ levâ a seu çitadinansa ò o drito de cangiâ çitadinansa.
16-00	Articolo 16
16-01	I òmmi e e dònne, a partî da l’etæ adegoâ, gh’an o drito de spozase e de formâ ’na famiggia, sensa nisciunn-a restriçion de razza, çitadinansa ò religion. Gh’an anche pægi driti rigoardo a-o maiezzo, durante o maiezzo e into caxo ch’o segge desfæto.
16-02	O spozaliçio o poriâ ese contræto solo co-o consenso pin e libero di futuri spozoei.
16-03	A famiggia a l’é l’elemento naturale e fondamentale da socjêtæ e a gh’à drito a-a proteçion da socjêtæ e do Stato.
17-00	Articolo 17
17-01	Ògni personn-a a gh’à drito a-a propiêtæ, segge personale ò in comun con atri.
17-02	Nisciun o saiâ arbitraiamente privòu da seu propiêtæ.
18-00	Articolo 18
18-01	Ògni personn-a a gh’à drito a-a libertæ de pensceo, de coscensa e de religion; quello drito o l’includde a libertæ de cangiâ religion ò creddo, e a libertæ de manifestali, individoalmente ò insemme a di atri, segge in publico che in privòu, atraverso l’insegnamento, a pratica, o culto e l’òservansa.
19-00	Articolo 19
19-01	Tutte e personn-e gh’an drito a-a libertæ d’òpinion e d’esprescion; quello drito o l’includde a libertæ de sostegnî de òpinioin sensa interferense e de çercâ, riçeive e inpartî informaçioin e idee atraverso ògni mezzo e sensa limitaçioin de confin.
20-00	Articolo 20
20-01	Tutti gh’an drito a-a libertæ de riunion e d’asociaçion paxifica.
20-02	Nisciun o poriâ ese costreito a apartegnî a ’n’asociaçion.
21-00	Articolo 21
21-01	Ògni personn-a a gh’à o drito de parteçipâ into governo do seu Paize, diretamente ò pe via de di raprezentanti liberamente çernui.
