00-00	?
00-01	Mihring nun zahawmna inhriatsak leh mi zawng zawngten kan pianpui dikna leh chanvote inangtlânga inngaihpawimawhsak tawnna hi zalênna, dikna leh khawvel pum pui remna leh muanna innghahna lungphûm a nih avang te,
00-02	Mihringte dikna chanvo (Human Rights)-in ngaihnêp leh ngaihthah a hlawh apianga khawvelah tawrhna nasa tak lo thleng thin a, chumi avanga mitinten kan thlâkhlelh leh kan vei zâwng sawi chhuah theihna tur leh hlauhna leh tlâkchhamna lak atanga kan fihlim theihna tur boruak te a tihchhiat thin avang te,
00-03	Tharum hmanga inawpbeh avanga loh theih lohva mipuiten an dikna leh chanvote tharum thawha an sual chhuah a ngaihlohna tura ram rorêl khawlin mihring dikna leh chanvo humhalhna dan a lekkawh reng a ngaih a vang te,
00-04	Ram hrang hrang leh hnam hrang hrangte inkara inunauna tha tak vawn nun reng hi thil pawimawh tak a nih avang te,
00-05	UN Dânpui (Charter) hnuaiah member ram zawng zawngten mihring dikna leh chanvo te humhalh tlat tul an tihzia an puanchhuah avang te leh mihring nun hlutna leh zahawmna te, mipa leh hmeichhe intluktlânna chungchâng te, hmasawnna leh zalênna zau zâwk neih zelna kawngah te zau zawka tanho zel an duh thu an puan chhuah avang te,
00-06	Mihring dikna leh zalênna vawng him zêl tura member ram ten UN thlazâr hnuaia thawkho zêl tura thu an tiam avang te leh,
00-07	Chu thutiam hlenchhuak tur chuan hêng mihring dikna leh chanvo te hriatfiah hi thil tul tak a nih avang tein,
00-08	Tunah hian, General Assembly chuan he Thupuanchhuah (Declaration) hi a puangzâr ta a ni. He MIHRING DIKNA CHANVO THUPUANCHHUAH (UNIVERSAL DELCARATION OF HUMAN RIGHTS) hi khawvela mi hnam tin leh chi tinte tan hmasawnna chhinchhiah tlâk a ni a, hei hian mitinte chu he Thupuanchhuah vawng reng chunga mimal dikna leh chanvote chawisân leh zirtîrna kawngah mawh min phurhtîr vek a, member ramte chuan an ram chhung leh ram dangte nena an inkarah leh an awp ram hrang hrangah pawh mi zawng zawng huap he mihring dikna leh chanvo chawisân leh inzah sak a, a taka hlenchhuahna kawngah mawh an phur vek a ni.
01-00	Article 1
01-01	Mi zawng zawng hi zalêna piang kan ni a, zahawmna leh dikna chanvoah intluk tlâng vek kan ni. Chhia leh tha hriatna fîm neia siam kan nih avangin kan mihring puite chungah inunauna thinlung kan pu tlat tur a ni.
02-00	Article 2
02-01	He Thupuanchhuah (Declaration)-in a tarlan mihring dikna leh zalênna hrang hrangte hi hnam hran avang te, vun rawng danglam avang te, mipa leh hmeichhia nih avang te, sakhua leh politics thila ngaihdan hran avang te, chi leh kuang thu emaw, neihsum hil emaw leh pian leh mûrna emaw leh dinhmun inthlauh thu emaw avang tea inthliar hranna awm miah lova mi tinten kan chanvo a ni a.
02-02	Chubâkah, mi tumah an thu kalpui dan avang emaw, an ram kalphung leh ram rorel dan danglam avang emaw leh ram zalên an ni emaw, mi awpbeh ram an nih avang emawin thliarhran leh thlauhthlâk a thiang lo bawk.
03-00	Article 3
03-01	Mitinte hian nung turin dikna kan nei vek a, zalênna leh mimal nun thlamuanna te hi kan chanvo a ni.
04-00	Article 4
04-01	Mi tumah chhiahhlawh leh sal anga chhawr luih phal a ni lova, sal neih leh mihringa sumdawnna lam chi reng reng khap tlat a ni.
05-00	Article 5
05-01	Mi tumah sawisak leh nghaisak phal a ni lova, mihring zahawmna ti bawrhbâng zâwng leh rãwng lutuka inhremna lam chi rêng rêng phei chu tu chungah mah lekkawh tur a ni lo.
06-00	Article 6
06-01	Mitinte hian khawi hmunah pawh dan hmaah chuan mi pangngai anga enkawlna dawn hi kan chanvo a ni.
07-00	Article 7
07-01	Dan hmaah chuan tute pawh kan intluk tlâng vek a, thleibîk awm miah lova dan humhimna hi kan zavaia chanvo a ni. He thuthlung palzût zawnga thliarhranna awm thei lak atanga danin intluktlânga a vênhimna hi kan chanvo theuh a ni.
08-00	Article 8
08-01	Ram danpuiin a pêk mimal dikna leh chanvo palzûtna avanga tawrhna chungchângah mi tupawh an ram rorelnaah an zualko thei a ni.
09-00	Article 9
09-01	Mi tumah apâwng ataka man emaw, hrên luih emaw leh hnawhchhuah emaw tur a ni lo.
10-00	Article 10
10-01	Mi tupawh thilsual tia puh a nihin a chungchang rel fel turin rorelna dik leh lai a chunga hlenchhuah a nih theih nan dik taka rorel saktu tur rorelna dawn chu a chanvo a ni.
11-00	Article 11
11-01	Mi tupawh sual lian tham khawiha puh an nihin an thil tih sual chu finfiah a nih hma chuan misual anga ngaih nghal ngawt tur a ni lova, a insawi fiah theihna hun remchang siam sak ngei chu a chanvo a ni.
11-02	Miin thilsual a tihin chu a thilsual tih chu a thilsual tih laia ram danpuiin hremna tham tlinga a lo puang tawh a nih si loh chuan chu a thil tihsual avang ngawt chuan a chungah hremna lian tham lekkawh ngawt tur a ni lo. A thil tihsual phû tâwka hremna lo awm sa bâk chu a hnu lamah a chungah hremna na zâwk lekkawh pawh a rem bawk hek lo.
12-00	Article 12
12-01	Apawng atakin tu chungah mah ama mimal nun tibawrhbâng zâwng leh an chhungkua, in chhung khawsak leh midangte nena an inbiakpawh danah leh ama mimal zahawmna leh hming mawinate tihliau zâwnga inrawlh a rem lova. Mitinte hian chutianga chêtna lam chi rêng rêng lak atanga danin venhimna a pek chu an chanvo a ni.
13-00	Article 13
13-01	Mi tu pawhin mahni ram chhungah chuan zalên taka chêttlat leh inbenbel theihna hi a chanvo a ni.
13-02	Mitinte hian an ram chhuahsan theihna emaw an rama kir leh theihna emaw hi an dikna leh chanvo a ni bawk.
14-00	Article 14
14-01	Mitinte hian sa himna atana raltlân theihna emaw inhumhimna zawn emaw hi an chanvo a ni.
14-02	UN thuthlung leh dinchhan pawhin a duhloh lam thil emaw politics thila inhriat thiamlohna mai piah lam thil avanga hremna lekkawhna tur thil anih si chuan mi tumahin heng dikna leh chanvote hi a chunga hremna pumpelh tum nan a hmang thei lo thung ang.
15-00	Article 15
15-01	Mi tinin a ram mi leh sa nih theihna chanvo an nei a ni.
15-02	Mi tumah hi ram khua leh tui a nihna apâwng ataka hlihsak ngawt theih an ni  ramdang mi leh sa nih an duh pawhin an kawng pawh dal sak ngawt theih a ni chuang lo.
16-00	Article 16
16-01	Hmeichhia leh mipa, mi puitling chin chuan, hnam hran vang emaw, khua leh tui nihna hran vang emaw leh sakhaw biak hrang nihna avang te emawa dâltu awm lovin nupui pasala inneih leh chhungkaw din theihna chanvo an nei vek a. Nupui pasala insiam leh nupa nun hman chungchang leh inthen leh thuah pawh chanvo intluk tlang an nei vek a ni.
16-02	Inneihna hi a innei turte duhthlanna fîm tak leh an remtih dunna ngeia ruahman tur a ni.
16-03	Chhungkaw din thu hi khuanu remruat thil a nih angin khawtlang leh  thuneihna pawhin a zah sakin a pawmpui ngei tur a ni.
17-00	Article 17
