00-00	PARNYATAAN OMOM PARKARA HAK-HAK ASASI MANOSSA
00-01	Saestona pangakowan drajat secara koddrat klaban hak se dha-padha sareng muttlak dhari sadajana anggota kaluwarga manossa enggi panika dasar dhari kamardikaan, keadilan sareng perdamaian e dunnya.
00-02	Saestona manabi tak agateyagi sareng nganggep enteng hak-hak epon manossa badhi adaddiyagi kalakowan-kalakowan bengges se bisa mapeggel ate nuraniepon umat manossa; wujudepon settong dhunnya, palenggiyanna manossa se badhi arassaagi kenikmatan, kebebasan angocappagi pamanggi ban keyakinan sareng kebebasan dhari rassa tako' ban kemeskenan ampon daddi pernyataan aspirasi paleng tenggi dhari sadajana ra'yat biyasa.
00-03	Saestona hak-hak manossa parlo e naonge kalaban peratoran hukum, sopaja oreng ta' kapaksa mele jalan berontak menangka cara paleng akher kaanguy alaban kedholiman sareng penjajahan.
00-04	Saestona ce' parlona mamajuagi hubungan kakancaan eanterona nagara-nagara.
00-05	Saestona bangsa-bangsa dhari Perserikatan Bangsa-Bangsa e dhalem Piagam Perserikatan Bangsa-Bangsa ampon anegessagi pole kapercajaannepon dha' hak-hak dasar manossa, dha' drajat klaban ajina manossa sareng hak-hak se padha kaangguy oreng lake otaba oreng bine, sareng ampon motossagi kaangguy matenggi kamajuwan sosial sareng drajat kaadilan se langkong sae dhalem kamardikaan se langkong lebar.
00-06	Saestona nagara-nagara anggota ampon ajanji areng-sareng Perserikatan Bangsa- Bangsa kaangguy matenggi kamajuwan, ajina ban hormatepon sadajana oreng dha' hak-hak asasi manossa ban kebebasan dhasar.
00-07	Saestona pemahaman se padha parkara hak-hak ban kebebasan-kebebasan kasebbut sanget penting kaangguy nglakone onggu-onggu janji kasebbut, melaepon:
00-08	Asareng Ka'dhinto
00-09	MAJELIS AKBAR
00-10	ngabarragi
00-11	PERNYATAAN OMOM PARKARA HAK-HAK ASASI MANOSSA
