00-00	NAN IN KWALOK EO AN LAL IN KIN MARON KO AN ARMIJ
00-01	Kinke watoke utiej eo ej mottan maron ko rej jonair wot juon im rej men in letok non ro otemjej uaan bamle ko an otemjej im bwe men ekin rej einwot dreka in jabon em non anemkwoj, wanik im ainemon eo ilo lal in,
00-02	Kinke ne ej ejelok lemnok kaki im kwo-wan maron ko an armij enwij an walok ilo jet wawin ko jen jerbal ko an ro dri nana im ejelok wawin mantin mour ejejjit im bwe jerbal kein rar kokkure boklikot eo an armij otemjej, im kio emwij an ijino juon bar lol eo im emwij kwalok kake bwe ilo lol in ekal ej men in kotobar eo elap tata an armij joanir wot juon bwe ren jimor jerammon jen anemkwoj in je im kwalok lemnok ko ilo burueir im tomak eo air im air anemkwoj ion mijak im aikuij,
00-03	Kinke ekanuij in lap tokjen, elane ejelok kilen armij bwe en komone juon wawin eo, einwot men in torak eo an eliktata, non jutak mae kien eo enana im wawin ko renana tata, bwe rul eo an kien ko emwij komoni en men in kejbarok maron ko an armij,
00-04	Kinke elap tokjen en wonmanlok im emonlok wawin jimjera eo ikotan lol ko,
00-05	Kinke armij ro otemmjej air United Nations emwij air bar kabine tomak eo air ilo maron ko relaptata tokjeir an otemjej, ilo utiej eo im kin an wot tokjen kajojo armij im ilo maron ko jonair wot juon an man im kora ro im dror ilo burueir bwe ren lemanlok im kokmonmonlok wawin jukjuk im ber ko im bwe en emonlok kojeien armij ilo mour in kin anemkwoj eo elaplok,
00-06	Kinke lol ko Uaan emwij air kalimur bwe ren kotobar, ilo air kobalok im buru kuk iben United Nations, im lemanlok im kokmonmonlok im bwe otemjej ren kautiej im lolorjaki maron ko an armij im anemkwoj ko air rellap tata tokjeir,
00-07	Kinke melele eo einwot juon kin maron kein im anemkwoj kein ej men eo elaptata tokjen non kotobrak kalimur in,
00-08	Kio, Kin men in,
00-09	General Assembly eo
00-10	Ei kwalok
