00-00	[missing]
00-01	Тясәзыби”, куниа басәбса ӈанасанә” корҫә терә, иттүо бәнди” ӈанасанәй танде” терәтини, ӈонә хелиде” ӈиле мәнүтүӈ” (правайтиӈ) иттү бәзәтуобса тохитәны, хунтәмәны буобса, бәнде” ӈанасанә”дя иттүо хетәгәә нилу; ӈонә
00-02	тясәзыби”, куниа нинту” тясәзыбся ӈонә ноӈхомәны ибся ӈанасанә” ӈиле мәнә”дя (к правам) тәза”а” номбә” кәрҫу”, курәди” болуатүгуйтү” ӈанасанәй сяру, ӈонә мелызәби” тәрәди хетәгәә нилу, кунини ӈанасанә” хонсызә” няндятуо” буозу” ӈонә манү”тәбса, нисызә” хыләдятә” ӈонә мәӈкәәмәны нилы”, дебтурусү” хирәгәә ӈанасанә” мәнә ися; ӈонә
00-03	тясәзыби”, куниа ӈанасанәй ӈиле мәнә” (права”) муунтабү” мынту кәмиабса законәтәны, нинагәты ӈанаса нонсу” ӈизи”тихиасы ӈиле мәнүтү (правайтү); ӈонә
00-04	тясәзыби”, куниа ӈанасанәй танде” хелы”сыӈы” нятүӈ сүөарүрӈү” дүзытәндыӈ; ӈонә
00-05	тясәзыби”, куниа ӈанасанәй танде” иттүо” Сунә 5уомтумәә” Тандейтәны (Объединенный Нациятәны) ӈанузумтудүо” Уставатәнынты иттүо” ӈиле хүнтүрүбсятүӈ ӈанасанәй ӈиле мәнә”дя (права”дя), ӈанасанә корҫә ӈүназәйдя, денсиде” ӈиле мәнә”дя (права”дя) куодүму ӈонә ны дермәәны тәмәәны сытыӈ мундүсуо” хелысыбсяниимәәны социальный прогрессетәны нягәй нилынягәтыӈ няндя”са; ӈонә
00-06	тясәзыби”, куниа моу”-терә” (государства-члены) мундүху” Сунә 5уомтумәә” Тандейнану (Объединенный Нациянану), нятүӈ ӈәзүнагәтуӈ, сүөарүрнагәтуӈ, ӈәзүнагәтуӈ ӈанасанәй ӈиле мәнә” (права”) ӈонә мәӈәзәә нендябсанутүӈ; ӈонә
00-07	тясәзыби”, куниа бәнде” ӈанасанә” дильситиӈи” корҫә ӈонә ӈоры тәндәй ӈиле мәнәй (этих прав) ӈонә няндябса” хонты тетуа ани”ә тору дүлсынагә әмә сиәр,
00-08	Генеральная Ассамблея
00-09	дебтазату ӈануо
00-10	Бәнде” ӈанасанә” дязыкүдя иттүо декларация ӈанасанә ӈиле мәнә” (прав) нерутәты хуантәту дямәләкә кәрҫу, курәди түүнянтуӈу” бәнде” ӈанасанә” танде” ӈонә государства”, тәндә дязыкү курәдите ӈанаса кәтти курәдите общество терә, сәӈүрса әмә ӈануо Декларациядя, кәрбулохазәйтә” тенымтыгуйся ӈонә хозатәбса сәрәәмәны тәндә” права” ӈонә няндябса” нягәй бәндети тенырынагәтыӈ ӈонә митәбиазә” национальный ӈонә международный прогрессивный сәрәәмәны, бәнде” ӈанасанә” танде” ӈонә государства-терә организация тенырынагәтыӈ, тәндә комәәны моу терә” иттүо” юрисдикциетәнынтыӈ.
