00-00	IRAEGUl BOTATAIGACHA ICOMANTAIGUIRO OCA NIBARINTSICA
00-01	Aiti ora caninaro ora icogaigui angantaiguë antagaisati matsiguenga. Tení ongomeite queroca inintacagaigái pairo-raca anganquero ora caninaro.
00-02	AQUENGAIGACA ora antagaisati matsiguenga aisati icantaigaca. Aroquenta ibogaiguë iriro matsiguengasonori. Iroro teni ongomeite cara paniro imeratimari ira basini. Teni ongomeite cara paniro ingantaguebiritirí catsimaro ira basiní. Aisati caninataque antagaisati matsiguenga intimasantaigue caninasati.
00-03	AQUENGAIGACA cara tojai icantaguebiritengani ora te onganinate ira matsiguenga tenta irogóigue irirojegui matsiguengasonori. Icantaiguëri ora ogóigui eiro te ongomeite. Aquengaigaca cara iroguiaque omagaro matsiguenga intimaiguë caninasati. Teni ongomeite intsorogaigue, teatisati ongomeite iritasegue, carari caninataque antagaisati irinibataigue ora ijique caninaro, aisati caninataque inguemisantaiguë ora ijique caninaro.
00-04	AQUENGAIGACA caninataque angábintsaigueri omagaro matsiguenga arota ingantaiguë ora ijique caninaro. Aique quero icogaigui iriocairi itingomipague.
00-05	AQUENGAIGACA caninataque intimaigue caninasatí antagaisatí matsiguenga. Quero iguisëgotobaga, querootisati yógobaga, querootisati yomintsorogobaga ira paniacha omagaropaguequë.
00-06	AQUENGAIGACA eiro iragátane omagarojegui país ora jitacha Naciones Unidas cara antagaisati matsiguenga ingantaiguë ora ijitaigui caninaro aisa teni ongomeite cara te pairi iranintacaguiri ingantiro. Aquengaigaca cara aisati icantaigaca omagaro, sërari aisati tsinane. Aquengaigaca caninataque omitocotaguetiri antagaisati matsiguenga intimaigue caninasati.
00-07	AQUENGAIGACA cara caninataque omitocotaigueri omagaro matsiguenga iraniacaninatobaguima aisati iranintacagobaguëma ingantaiguë ora caninaropague.
00-08	AQUENGAIGACA caninataque irogóigue antagaisati matsiguenga ora aquengaigaca.
00-09	IRAEGUl BOTATAIGACHA ICOMANTAIGUIRO OCA NIBARINTSICA:
00-10	Aiti ora caninaropague. Caninataque ingantaiguero antagaisati matsiguenga. Teni ongomeite cara queroca inintacagaigái pairiraca anganquero ora caninaro. Aisati caninataque ingomantaguëqueri imatsiguenga itingomipague irogometaiguëri cara isicoiraquë arota iraniacaninatobaguëma omagaro matsiguengajegui atiraca itimaiguira.
01-00	1.
01-01	Antagaisati matsiguenga ibogaiguë matsiguengasonorl. Aisati icantaigaca. Teni iromerataiguengani. Antagaisati iquengaigui aisati igóiguiro ora caninaro aisati igóiguiro ora te onganinate. Iroro caninataque omagaro matsiguenga iraniacaninataigueri ira basiniati matsiguenga aisati ingantaiguerí ora caninaro.
02-00	2.
02-01	Antagaisati ora ocomanti oca sanguenarica irasi omagaro matsiguenga. Teni ongomeite cara queroca pairiraca inintacagaigái anganquero. Jemita obiro sërari, jemita obiro tsinane, jemita obiro biracocha, matsiguengasonori, tsitari. Jemita pinibare, j emita pitosorintsite, jemita ora piquengui, jemita tojai piguireguite. Aisati jemita negaraca pitimi, jemita pairoraca ijitara pitingomi. Teni ongomeite cara queroca inintacaguimi pinganquero ora osanguenataga yaca.
03-00	3.
03-01	Teni ongomeite cara iróguimi pairiraca. Teatisati ongomeite cara imeratimi basini, teatisati ongomeite cara pairiraca ingantaguebiriquemi ora catsimaro.
04-00	4.
04-01	Tení ongomeite cara pairiraca iromanantërí ira basini. Quero ini ibimantaga.
05-00	5.
05-01	Obironta matsiguenga, tení ongomeite cara iratsipiriaquemi pairiraca.
06-00	6.
06-01	Caninataque itingomipague iraniacaninataiguerí antagaisati matsiguenga. Ainta itingomi ira jitacha joes. Iraniaquerita iriro omagaro matsiguenga caninari.
07-00	7.
07-01	Aiti sanguenaripague caninaro ora iquengaigaca itingomi. Ora sanguenaripaguera ocábintsaiguëri antagaisati matsiguenga aisati icantaigaca omagaro matsiguenga catingasatiquë sanguenari.
08-00	8.
08-01	Ira joes ingábintsaiguëmi cara sanguenariquë iromitocoquemí cara ainta pairiraca quero inintacaguimi pinganque ora ijique caninaro omagaro matsiguenga.
09-00	9.
09-01	Teni ongomeite cara irágasitimi pairiraca, teatisati cara iromingasiquemi, teatisati cara iriocasiquerni piguebatsitequë.
10-00	10.
10-01	Aroca pinganque ora te onganinate, aisati aintaca ira comantëgotëmine cara picanque ora te onganinate, quero igoontimi querootisati icomantëgotimí picasitígote ira joes queroca iniacaninatimí. Querootisati icomantëgotimi pairiraca ora pinganque queroquerai picomantëgota obiatí,
11-00	11.
11-00	Aintaca irá comantëgotëmi picanque ora te oñganinate, iraniacaninatimita joes irooti irogoontasantimi cara picantagueti ora te onganinate. Aisati imëmita ora pininti arota pingomantëgotëma caninasati.
11-01	Teni ongomeite cara ingasitígatimi cara sanguenariquë teca inguengaiguema pitingomi teraiquerai pingantaguete ora te onganinate.
12-00	12.
12-01	Teni ongomeite cara ingantocotaguetasitimi obiro, aisati cara jrinibatëgotaguetasitimari pomatsiguenga. Ora sanguenari ongábintsëmi.
13-00	13.
13-00	Teni ongomeite cara pairiraca quero inintacaguimi pijataguëque cara pingogue negaraca pintimaque cara quibatsiquë teni asintasitengani.
13-01	Aisati caninataque pisotocanë paisipaguequë, aisati pasi pobaisitequë, aisati caninataque popigaima pobaisitequë.
14-00	14.
14-00	Cara ingantaguëquimi catsimaro, caninataque pijaque cara basiniatiquë país arota ingábintsaimi canta.
14-01	Cara picantaguëque ora te onganinate quero pisiga cara basiniatiquë país. Caninataque irogoontimi cara pasi pobaisitequë aisati ingomantëgotimi ora picanque. Ingasitígatimi cara picantaguëque ora te onganinate.
15-00	15.
15-00	Caninataque antagaisati matsiguenga inganque: "Oca paisica iroonti nasi nobaisite". Quero pairi yágopitimi cara picanque: Oca nasiati nobaisite".
15-01	Querootisati pairiraca yágopitimi cara pingoguë pijocanëro pobaisite aisati pijaque cara iroraiquë pobaisite.
16-00	16.
16-00	Ainta ira ogomeantatsi teni ongomeite págue pijina cara onibateca basiniati nibarintsi cagaro pasi. Teni ongomeite oca ogomeantagantsica. Caninataque págue pijina arota irinane pijanequite irootisati pomatsiguenga. Aroca inganque quero págui pijina basiniatinta onibare, quero piquemisantirí tenta irogóte ora icanti. Aitosati asi tsinane ira águë ojime. Caninataque águero ojime jemita irinibare.
16-01	Paniro páguiro pijina, paniro páguëri pijime cara pinguenguëma pitirooti obiro.
16-02	Caninataque ongábintsëmi gobirino obiro aisa pijina aisa pijaniquite.
17-00	17.
17-00	Caninataque antagaisati matsiguenga ingasintëmaro ora iraisati: iguebatsite, ibango, irantomënto, aisati basinipague.
17-01	Tení ongomeite cara pairiraca irágopitimi ora pasiati.
18-00	18.
18-01	Teni ongomeite cara pairiraca iragáquemi ora pinguenguëma aisati ora pinguemisanque. Caninataque pinguemisanqueri pasi pitosorintsite. Aisati caninataque cara picogui pingampiatiro ora pinguenguëma aisati ora pinguemisanque. Caninataque pomanocotiri pitosorintsite aisati pogometocotiri catingasatiquë matsiguenga.
19-00	19.
19-01	Caninataque antagaisati matsiguenga inguenguëma ora ijique caninaro aisati caninataque ingomantaguetiro atiraca ininti. Teni ongomeite cara pairiraca inganquemi ora te onganinate aroquenta piquianca ora basiniati ora te inguenguema iriro.
20-00	20.
20-00	Caninataque popatoitima obirojequi arota pintaiguë ora caninaro.
20-01	Aisati queroca pininti popatota, caninataque.
21-00	21.
21-00	Caninataque cara antagaisati matsiguenga ingomantëro igobirinote ora icogui iriro. Queroca icantiro iriati caninataque iragáque basini ira nibabintineri catingasatiquë itingomipague.
21-01	Aitica ora onganquineri matsiguenga pigobirinote. caninataque onganquimi omagaro obirojequi.
21-02	Ora inintaigue matsiguengajegui agáqueri ora ingantaiguë itingomipague. Aisati caninataque irirai itingomi iripëgairi ira irinaga cara iragátaiguëñ imatsiguenga.
22-00	22.
22-01	Caninataque antagaisati matsiguenga intarobacaate aisati irante arota inganinasëretanë irironta matsiguengasonori. Aisati caninataque igobirinote omitocotiri intimaque caninasati aisati inganinatanë.
23-00	23.
23-00	Caninataque intarobacaate matsiguengajegui inganque ora oganinatërini atiraca iranintë. Queroca pini itarobacaare omitocotirita igobirinote iraniaquero irorai itarobacaare.
23-01	Caninataque antagaisati matsiguenga iráguiri iriatisati quirequi aisati icantari ibega pairiraca basini cara inganque irootisati itarobacaare.
23-02	Caninataque cara intarobacaate matsiguenga iráguiri iguireguite ira cotonguiboro arota quero itasegui iriro querootisati imatsiguenga. Queroca cotonguiboro ainta iromitocoquerl.
23-03	Caninataque antagaisati matsiguenga intsibatimari basini irapatoitaiguëma cara ingábintsaiguëma ora iraisatijegui.
24-00	24.
24-01	Caninataque intarobacaate omagaro matsiguenga. Aisati caninataque cataguiteri comagoriantague cara quero itarobacaati. Aisati caninataque ora jitacha vacación cara përosati iripënabintiri antagaisati matsiguenga iguireguite.
25-00	25.
25-00	Caninataque pintarobacaate antagaisati obirojegui páguëri quirequi ira cotonquiboro arota popaigue quero pitasegui, cotonguiboro asi pomanchaqui obiro aisati asi pijina aisati irasi pijaniquite, aisati cotonguiboro asi jompi. Aisati caninataque ainta iromitocoquemi aroca pijanaitë, aroca otsonquima pitarobacaare, aroca ingamaque ira casintimi, aroca pintiasiparitanë.
25-01	Caninataque ainta ira ingábintsëro aisati iromitocotiro antagaisati tsinane aisati ojaniquite cara ontsomaqueri. Aisati caninataque ingábintsaigueri omagaro janequi jemita irogótengani iriri.
26-00	26.
26-00	Caninataque irisitoriataigue antagaisati matsiguenga cara isicoiraquë cara ipënabentineri igobirinote ora opënatima primaria. Iragáqueri ianiquite casintari cara irisitoriate. Caninataque irogóiganë irogomere inganinatanë, aisati iraniacaninataigueri ira basini irogomere, aisati irogótanë intimaque caninasati, aisati iromitocoqueri antagaisati matsiguenga iraniacaninatobaguëma cara ocanti oca sanguenarica.
26-01	Caninataque irisitoriataigue antagaisati arota irogótanëro ora caninaro cara inganinasëretanë, aisati iraniacaninatiri ira basiniati aisa iromitocoqueri imatsiguenga cara iraniacaninataiguëri iraegui basiniati.
26-02	Iraegui casintari janequi inganque pairo irogometaiguëri ianiquite.
27-00	27.
27-00	Caninataque antagaisati matsiguenga intsibataiguemari imatsiguenga cara omagaro inganque ora yameitaigaca irirojegui.
27-01	Ainta matsiguenga ingositëri basini ora inganque, ora irobetsique irorai, aisati ora irisanguenataguëque. Oca te ongomeite.
28-00	28.
28-01	Caninataque antagaisati matsiguenga intimaiguë cara inguemisanquero oca sanguenarica.
29-00	29.
29-00	Caninataque antagaisati matsiguenga iraniacaninataigueri itingomi ira imatsiguenga, aisati inguemisanqueri itingomipague arota intimaigue caninasati antagaisati.
29-01	Inguemisantirota antagaisati matsiguenga ora iquengaigaca aisati ora isanguenaque itingomipague. Cara inganque negaca iromitocotaiguëri omagaro itimanamitane cara ibaisitequë cara intimaiguë caninasati omagaro.
29-02	Angagaisati matsiguenga inguemisanquerota oca sanguenarica ora iquengaigaca aisati ora isanguenataiguë iragátane tojai país oraegui jitacha Naciones Unidas.
30-00	30.
30-01	Oca sanguenarica quero ipiri pairiraca matsiguenga querootisati pairoraca gobirino cara ingantaguebiritiri catsimaro ira matsiguenga.
