00-00	ENTUURA Y'OBUNTU AHA BANTU OMUNSI YOONA
00-01	Ekitiinisa ky'omuntu ekyobuhangwa nikiingana nobushoborozi obutakabaasa kwihwaho eka yabantu boona heza niyo ntandikirro y'oburinganiza omu nsi yoona.
00-02	Obutagyendera ahaabugabe bw'abantu burugiremi ebikorwa bibi ebisiisire emiteekatekyere y'abantu kandi okuhika ahabwire bw'abantu baraagirire obugabe bw'okugamba ekibarikwenda bakikiririza n'omu kibarikwenda bataine kibari kutiina nikyo abantu baburiijo bashemereire kurwanirira. Omuntu ku araabe atari wokugyemwa kugomera obutegyeki bubi nikimanyisa ngu obugabe bw'omuntu bushemerire kurindwa entegyeka ey'amateeka.
00-03	Ekibiina ky'Amahanga Ageeteraine omu kihaandiiko kyakyo nikihamiza kimwe kukirikwikiriza omu magara g'obuntu nomukitiinisa n'omuhendo gwomuntu kandi kimaririra okukora ekikirikubaasa kureebeka ngu omutindo gwamagara obushoborozi n'amagara g'omuntu nikihuru munonga omu kuhikiriza ekigyendererwa kyekihandiko eki. Nahabwekyo Orukiiko Orwanahanga Ageeteraine (General Assembly) rurangirire ENTUURA Y'OBUNTU AHA BANTU OMUNSI YOONA.
00-04	Abantu boona ahu bari ahabwokugira ekyetengo kimwe ekyamahanga goona bashemereire kwijuka ekirangiriro eki hamwe nokufayo munonga obwo barikwegyesa no kugunjura abantu kutamu ekitiinisa amagara gobuntu omunsi yoona.
01-00	Ekicweka 1.
01-01	Abantu nibazaarwa baine obugabe nobushoborozi ebiri kwingana nibahangwa baine obwengye kandi barikubasa kwahura ekirungi nekibi, nahabwekyo abantu bashemereire kutuura kumwe nkabanya Uganda.
02-00	Ekicweka 2.
02-01	Buri muntu ashemereire atungye obusingye oburi kugambwaho omu kihandiiko eki ahatari kushorora okwomuringo gwoona. Katugire ahabwei hanga rye, erangi yomubiri gwe, kab'omushaija narishi omukazi, orurimi, ediini, emiteekateekyere y'omuntu ahabyobutegyeki bwensi oba abantu omwarikuru ga, ebintu, byabungire obuzaarebwe narishi enshonga endiijo.
03-00	Ekicweka 3.
03-01	Omuntu aine okubaho omu muringo gwari kusiima.
04-00	Ekicweka 4.
04-01	Tihariho muntu oshemereire kukwatirwa omubuhuuku. Obuhuuku, nobushubuzi bw'abahuuku, tiburikwiikirizibwa omunsi yoona.
05-00	Ekicweka 5.
05-01	Kungangarazibwa omu miringo gutari gw'obuntu.
06-00	Ekicweka 6.
06-01	Buri muntu ashemereire kutwazibwa nk'omuntu omu mbuga zebiragiro.
07-00	Ekicweka 7.
07-01	Omu mbuga z'ebiragiro abantu boona nibaingana kandi ebiragiro nibibarinda batariho kushorora.
08-00	Ekicweka 8.
08-01	Buri muntu, naikirizibwa kutwaara enshonga ze omu mbuga zebiragiro ezihikire obugabe bwe bwaaba nibujogibwa.
09-00	Ekicweka 9.
09-01	Tihariho muntu oraatsibwa atahozesibwe nainga akahangahangusibwa omu muringo ogutarikugyendera aha biragiro.
10-00	Ekicweka 10.
10-01	Buri muntu ahatari kushoroora naatekwa kuhozesibwa "omu mushana" omu kooti etaine kugweera orubaju rumwe kandi nokumanyisibwa omushango gwoona ogurikuba nigumutabaarizibwa.
11-00	Ekicweka 11.
11-00	Buri muntu weena orkutebwaho omushango ogwine ekiheneso naatekwa kutwaarwa nkoteine rubanza akuhitsya kyaahamibwa ngu akashobya okurugiirira omu biragiro kandi obwo arikuheebwa nomugisha okweehozaho nkokukirikubasika.
11-01	Tihariho muntu weena kuhebwa ekiheneso aha bworubanja rwamutairweho omu bwire bukyabaire kitarikumanya mu biragiro.
12-00	Ekicweka 12.
12-01	Ekitinisa kyomuntu, amakage, ab'eka ye, ebihandiko bye hamwe namabaruhage tibishemereire kutahirirwa narishi kuzanirwaho. Buri muntu aine obushoborozi bwokweyambisa ebiragiro kuzibira abo abarikwenda kwetasya omu nshonga ze wenka.
13-00	Ekicweka 13.
13-00	Buri muntu aine obugabe kugyenda narishi kuraara hoona ahu ari kwenda omunda y'ensharo z'eihanga rye.
13-01	[Missing?]
14-00	Ekicweka 14.
14-00	Buri muntu orinkuhiganisibwa aine obugabe kwiinikangira omu ihanga erindi, n'okusheruramu obuhungiro hatariho kubonbonesibwa.
14-01	Obugabe obu, obwokwirukangara omu eihanga erindi, tibwokukozesa kubi kuri noogira ngu omuntu orikuhangahanguka, nateebwaho emishango etari yobutegyeki, narishi enshobi ezi arikukora tizirikugyendera ha bigyendererwa bya' Amahanga Ageeteraine.
15-00	Ekicweka 15.
15-00	Buri muntu, naatekwa kutunga eihanga eryaari kumanywa mu nkomutuuzi.
15-01	Tihariho muntu oriihwaho obutuuzi omu eihanga rye narishi obutiikirizibwa kuhiinduraho.
16-00	Ekicweka 16.
16-00	Omushaija narishi omukazi owahikize emyaka y'obukuru takuzibirwa okurugiirira aha eihanga rye oruganda narishi ediini, kwe shoborora aha byobushwere nokutandikaho eka. Omushaija n'omukazi nibainganisa obushoborozi omu bushwere bwabo bwagumaho nari bwahwaho.
16-01	Obushweere nibunaho, omushaija n'omukazi baaba biikirizangaine.
16-02	Eka nigwo musingi gobuhangwa hamwe neihanga nahabwekyo abantu na Gavumenti bashemereire kukuuma omusingi ogu.
17-00	Ekicweka 17.
17-00	Omuntu aine obugabe, kwetungira ebye wenka narishi kubitungira hamwe nabagyenzi be.
