00-00	IMANDAP KIPKOSOBEI EN NGWONDUINI
00-01	En kosipet nepo kongit nebo keny ak imandap kipkosopei, ko togol kogergei ak chomiet en nguony. En kanyalet ak sosisyet chebo kipkosopei kogoibor otepto neberber ne kogoyait oteptop kipkosopei ko en iyon komuoe kasetap logoywek kaap ngoony kole nyolu kogerchi imanda nemuen kei en kayanet isomuei omu chon togol kogigemwa kele imanda nepo chitogol.
00-02	En agopo torchinet, komagikonya chi kosomei toretet keeso konyolisyet ak weket, ko en lyon konyolu komi chi ngwonyitop ripset
00-03	En agopo torchinet nyolu choruadit kotestai ak emotinuek.
00-04	En agapo piik chenomu ngwony,kogoyosin kokeny en kayanet nyuwan kole imandap keny, kongit ak nyigisindop kipkosepei kole en imandap chitogol,ingogergeit imanit en murenik ak tiepiosok,ko en agopo agotilsin ngolyot ak otepto nesingoi nepo koi keny.
00-05	En agopo emotinuek chugigonam gei, komwa kole kosiniet taap emet nenomu ngwony,konyolu kerip ak kegonyit imandaap piik chesoptos ak sopenyin.
00-06	En agopo kosipetap imanit,konyolu kotestai keribei ngotutiet nono. Agemwai nguondut kele nyolu kesip imandaap kipkosopei en ngwony,otko non tieyuot taap kogilet taap emet taap ngwony komugul,ko chii ak kipkaita agetogol,konomndechi ngolyonon kipkoy.kogilgei konet key ngolyot taap imanda ak katiagetap kei.
00-07	En iyon,emotinuek togol kogilgei kosip imanda,isonayaak en emotinuek chugigonam gei ak emotinuek chenomu.
01-00	Ngongutiet tap Tai
01-01	Piik togol kosigotiik en katiagetapkei koguyet ak imandanyuwan koyuyosin togol kogigigochi ngomnotet ak koperuret en iyon konyolu koyochigei oteptop tupchondit.
02-00	Ngongutietap Oeng
02-01	Chitogol komisi kosich katiaget taap kei kotiengei ngaleg togol chuagemwa en tai, komomi tengelisyet agetogol, komagisip kele ngo ngo.
02-02	Emet, ngetotik, ak tiepiosok anan iyegisoen, tiemereret, kapuatet, onon iyegigisikchin chito,korubet,en yiotet onon en oretage togol.
02-03	En iyon amaitegep isipegei tiemereret, kirwongnotet,onon itiengei kosiniet taapchi. Otko emet nepoyokei, emet nechomegei, nemopoyugei, onon emet negipoyuemetage en otepto agetogol.
03-00	Ngongutietatap Somok
03-01	Chito agetogol kotinyei imanitaap mengisyet, imandaap katiagetap kei ak ripetoop sopenyin.
04-00	Ngongutietap Angwan
04-01	Chito agetogol komagiiy koyogindet nebo koyogiik,koyoknotet ak oldoisyenyin koyetat kotogol.
05-00	Ngongutietat Mut
05-01	Chito age togol komaginyalil, omogipir, amagisas ono geyochi punyondit.
06-00	Ngongutietap Lo
