00-00	Shizhe Beyel-ngi Chuanli-tin Shuanyan
00-01	Beyel-ngi zhunyan-a-tin bineken pingdeng buyi chuanli-ye-tin chengren, shizhe zhiyu, zhengyi bineken heping-ngi chichu-tin bishin,
00-02	Beyel-ngi chuanli-ye-tin wushi bineken wumie yeman baoshing-shel oochaa, eril baoshing-shel
00-03	beyel-ngi liangshin-ye-tin dianwu-choo-l. Beyel bambur yanlun bineken shinyang zhiyu bi bineken kongchu bineken kuyfa e-shi-re shizhe eme-re-n, putong beyel-ngi manii gugda yuanwang-tin bishin,
00-04	Beyel baozheng-e bineken yapo-yo e-fanpan-kshi, beyel-ngi chuanli-tin fazhi-du baohu-ro biyao bishin,
00-05	Gurun-shol-ngi aya guanshi-ngi fazhan chuchin-re biyao bishin,
00-06	Lianhe Gurun-ngi gurun-shol-ngi beyel-tin Lianhe Gurun-ngi Shanzhang-dulaa-in chiben beyel-ngi chuanli-lee-tin, renge zhunyan, chachi bineken niray ashii pingdeng chuanli-lee-tin shinnian oo-choo-l, egdenge-chere zhiyu-loo shehui chinbu bineken shenghuo shuiping gaishan chuchin-kshi,
00-07	Huiyuan Gurun-shol Lianhe Gurun beyel-ngi chuanli-ye-tin bineken chiben zhiyu-ye-tin pubian zhunzhong-o bineken zhunshin-e chuchin-meet-kshi,
00-08	Eril chuanli-we-shel bineken zhiyu-wo-shol pubian liaozhe eri shiyuan-ma chongfen shishan-du manii gugda zhongyaoshing bishin,
00-09	Eshi,
00-10	Dahui,
00-11	Eri Shizhe Beyel-ngi Chuanli-tin Shuanyan-ma fabu-chaa, beyel-ngi bineken gurun-shol-ngi gongtong biaozhun-tin oo-chaa beyel bineken shehui chigou shooti eri shuanyan-ma ezhe-kshi, chaohui bineken chaoyu-duk chuanli-ye bineken zhiyu-yo zhunzhong-o chuchin, gurun-ngi bineken gurun zhongchan-ngi chanchin choshi-duk eril chuanli-shel bineken zhiyu-shol huiyuan gurun-shol-ngi beyel-du-tin pubian bineken shaoguo bi-re chengren-ye bineken zhunshin-ye baka-wkann-an.
01-00	Umuu-ki
01-01	Beyel bambur zhiyu bishi, zhunyan-du bineken chuanli-du bambur pingdeng bishi. Nugartin lishing bineken liangshin bishi, akin nekun guanshi-ngi chingshen-du-in duidai-meet-ki-tin.
02-00	Zhuu-ki
02-01	Beyel bambur eri shuanyan-du chuanli-shel bineken zhiyu-shol bi-re zhige bishi, zhongzhu, fuse, shingbie, ulgur, zongchao, zhengzhi bineken chita chanche, guochi bineken shehui chushen, chaichan, chusheng bineken chita shenfen e-chufen-ngi-tin.
02-02	Gurun-ngi bineken lingtu-ngi zhengzhi, shingzheng bineken guoji diwei-duk e-chufen-ngi-tin. Eri lingtu duli, tuoguan, e-zhizhi, chuchuan shanzhi bi-re chingkuang bishin, bambur e-angngu-yi-tin.
03-00	Ilaa-ki
03-01	Beyel bambur shengming, zhiyu bineken renshen anchuan bi-re chuanli bishi.
04-00	Diyii-ki
04-01	Beyel bambur nuli bineken nuyi e-oo-yi-tin. Nuli zhidu bineken nuli maimai bambur jinzhi-yi-tin.
05-00	Tungngaa-ki
05-01	Beyel bambur kushing-e bineken chanren, burendao bineken wurushing daiyu-wo bineken shingfa-wa e-baka-yi-tin.
06-00	Nunguu-ki
06-01	Renhe difang-du bambur falü-duk renge-ye chengren-ngi-tin.
07-00	Nadaa-ki
07-01	Falü-duk beyel bambur pingdeng, falü-ngi pingdeng baohu-yo-nin baka-ra chuanli bishi, chishi-ye e-baka-yi-tin. Beyel bambur pingdeng baohu-yo baka-ra chuanli bishi, eri shuanyan-a weifan-na chishi-du bineken eri chishi-ye shangdong-lo shingwei-du e-weihai-yi-tin.
08-00	Zhapkuu-ki
08-01	Shanfa bineken falü-duk beye-ngi chiben chuanli-n chinhai-ya baka-du-wi, hege gurun fating-du eri chihai shingwei-du shaoguo bi-re buchiu oo-w-a chuanli bishin.
09-00	Yeyii-ki
09-01	Beye-ye renyi e-daibu-yi-tin, e-juchin-ngi-tin, e-fangzhu-yi-tin.
10-00	Zhaa-ki
10-01	Beye bambur pingdeng duli bineken wupianyi fating-du gongzheng bineken gongkai shenpan-w-a chuanli bishin, nuganngin chuanli-ye-n yiwu-yo-n choding, nuganin-du oo-ro shingshi zhikong-o panding-daa-wi zhaalin.
11-00	Zhaan umuu-ki
11-01	Shingshi konggao-yo baka-chaa beye, bianhu bi-re gongkai shenpan-in echee baka-ra-k-in, zui echee chuanli bishin.
11-02	Beye-ngi shingwei-n bineken bushingwei-n, fasheng-du gurun fa-duk guochi fa-duk bambur shingshi zui echee-re-k-in, shingshi zui e-shi-yi-n.
12-00	Zhaan zhuu-ki
12-01	Beye-ngi sishenghuo-n, chating-in, zhuu-n bineken tongshin-in renyi e-ganshe-yi-tin, rongyu-n e-gongchi-yi-tin. Beyel bambur falü-zhi eri ganshe-we-re gongchi-we-re chuanli bishi.
13-00	Zhaan ilaa-ki
13-01	Beye gurun-du zhiyu chanshi bineken aanga-ra chuanli bishin.
13-02	Beye gurun-duk yuu-ro chuanli bishin, gurun-mi bishin, gurun-kki emergi-re chuanli bishin.
14-00	Zhaan diyii-ki
14-01	Beye tulgide-ngi gurun-du-in pohai-ya e-baka-daa-wi zhaalin bihu-yo uyume-re baka-ra chuanli bishin.
14-02	Zhengzhishing e-shi-re zuishing bineken Lianhe Gurun-ngi zongzhi-ye-n bineken yuanze-ye-n weibei-re shingwei-duk chisu-w-o chingkuang-du, eri chuanli-ye e-baytalaa-yi-n.
15-00	Zhaan tungngaa-ki
15-01	Beye guochi bi-re chuanli bishin.
15-02	Beye-ngi guochi-ye-n renyi e-tii-yi-tin, guochi-ye gaibian-na chuanli-ye e-fouren-ni-tin.
16-00	Zhaan nunguu-ki
16-01	Niray beye bineken ashii beye, zhongzhu, guochi bineken zhongcho-du e-shanzhi-yi-tin, huncha-ra zhuu oo-ro chuanli bishi. Hunyin-du, cheehun-du bineken lihun-du pingdeng chuanli bi-yi-tin.
16-02	Niray beye bineken ashii beye bambur zhiyu bineken wanchuan tongyi-chaa-shik-tin, chehun-ni-tin.
16-03	Zhuu tianran bineken chiben shehui-ngi danyuan-in bishin, shehui-du gurun-du baohu-yi-n.
17-00	Zhaan nadaa-ki
17-01	Beye chaichan-mi bi-re chuanli bishin, chaichan-bi-meet-te chuanli bishin.
17-02	Beye-ngi chaichan-a-n renyi e-tii-yi-tin.
18-00	Zhaan zhapkuu-ki
18-01	Beye bodo, liangshin bineken zhongcho zhiyu-ngi chuanli-n bishin; eri chuanli-du bishi zhongcho bineken shinyang-a gaibian-na zhiyu, dandu bineken chiti, gongkai bineken mimi chaoyi, shizhan, libai bineken chelü-duk zhongcho-yo-n shinyang-a-n biaoshi-re zhiyu.
19-00	Zhaan yeyii-ki
19-01	Beye zhuzhang bineken yizhan-a fabio-ro zhiyu bi-re chuanli bishin; eri chuanli-du bishi zhuzhang ganshe-ye e-baka-ra zhiyu, meiche-duk renhe gurun-duk shaoshi bineken bodo-yo gelee-re baka-ra bineken chuandi-re zhiyu.
20-00	Zhuur zhaan
20-01	Beye heping zhihui bineken zhishe-re zhiyu bi-re chuanli bishin.
20-02	Beye changpo-yo baka-chaa-shik-in, tuanti-kki e-ii-yi-n.
21-00	Zhuur zhaan umuu-ki
21-01	Beye zhiche bineken zhiyu shuanlaa-ra daibyo-duk gurun-o zhili chanyu-ro chuanli bishin.
21-02	Beye chihui pingdeng gurun-ngi gongwu-yo-n chancha-ra chuanli bishin.
21-03	Irgen yizhi zhengfu chuanli-ngi chichu-n bishin; eri yizhi dingchi bineken zhengzheng shuanchu-duk byoshan-ni-n, shuanchu pubian bineken pingdeng toupyochuan-duk, gerbi-ye e-ezhe-re toupyo bineken shangdang zhiyu toupyo chengshu-duk oo-yi-n.
22-00	Zhuur zhaan zhuu-ki
22-01	Beye shehui-ngi chengyuan-in bishin, shehui baozhang-a baka-ra chuanli bishin, zhunyan-mi bineken renge-wi zhiyu fazhan-du ga-ra zhingzhi, shehui bineken wenhua-du chuanli-ye shishan-ya baka-ra chuanli bishin, eri shishan gurun nuli-duk, guochi hezhuo-duk, gurun-ngi zhuzhi-n bineken zhiyuan chingkuang-duk bishin.
23-00	Zhuur zhaan ilaa-ki
23-01	Beye gerbe-re, zhiyu zhiye-ye shuan-na, gongzheng bineken heshi gerbe-re tiaochan-a baka-ra, shiye-ye bimian-a bozhang-a baka-ra chuanli bishin.
23-02	Beyel gerbe pingdeng chalin pingdeng chuanli bishi, chishi-ye e-baka-yi-tin.
23-03	Gerbe irgen gongzheng bineken heshi chalin-e baka-ra chuanli bishin, nuganin bineken zhuu beye-wi beye zhunyan fuhe-re shenghuo tiaochan bi-yi-tin, biyo-du chita fangshi-ngi shehui bozhang-a-n baka-yi-tin.
23-04	Beye liyi-wi-ye weihu-daa-wi zhaalin gonghui-yo zhuzhi-re chancha-ra chuanli bishin.
24-00	Zhuur zhaan diyii-ki
24-01	Beye shushi bineken shansha-ra chuanli bishin, gerbe-re shizhan shanzhi bi-re dingchi chalin bi-re hucha-ra chuanli bishin.
25-00	Zhuur zhaan tungngaa-ki
25-01	Nuganin bineken zhuu beye-wi-ngi chankang-a-n bineken fuli-ye-n weichi-daa-wi zhaalin, beye shenghuo shuizhun-o baka-ra chuanli bishin, zheekte, teti, zhuu, yiliao bineken biyo shehui fuwu bishi; shiye, chibing, chanfei, shougua, shuailao bineken chita kongzhi-re banfa e-shi-re chingkuang-du mousheng nengli e-chaa, bozhang-a baka-ra chuanli bishin.
25-02	Enin bineken kookan tebie zhaogu bineken shezhu-yo baka-ra chuanli bishi. Kookan-shal, hunyin-du baldi-chaa bineken hunyin tulgide baldi-chaa, bambur pingdeng shehui bohu-yo baka-yi-tin.
26-00	Zhuur zhaan nunguu-ki
26-01	Beyel bambur chaoyu-yo baka-ra chuanli bishi, chaoyu ulin aachi-yi-n, manii achukun chuchi bineken chiben cheduan erigechin bi-yi-n. Chuchi chaoyu yiwu shingzhi bi-yi-n. Zhishu bineken zhiye chaoyu pubian bi-yi-tin. Gugda chaoyu chengzhi-duk beyel-du pingdeng kaifang-na-n.
26-02	Chaoyu-ngi mudi-n beye-ngi geshing-e-n chongfen fazhan bishin, beyel-ngi chuanli bineken chiben zhiyu-yo zhunzhong-o chachang bishin. Chaoyu gurun-shol, zhongzhu-shol bineken zhongzhao zhituan-shal-ngi liaoche-ye-n, rongren-e-n bineken youyi-ye-n chuzhing-ni-n, Lianhe Gurun heping-e weihu-ro huodong-shol-o chuzhing-ni-n.
26-03	Amin enin kookan-mi baka-ra chaoyu-du, youshan shuanzhe-re chuanli bishi.
27-00	Zhuur zhaan nadaa-ki
27-01	Beye zhiyu shehui-ngi wenhua shenghuo-yo chancha-ra chuanli bishin, yishu-yo shangshou, kesho bineken fuli-ye-n baka-ra chuanli bishin.
27-02	Beye kesho, wensho bineken meishu zhopin-mi-duk oo-ro zhingshen bineken wuzhi liyi-ye bohu-w-o chuanli bishin.
28-00	Zhuur zhaan zhapkuu-ki
28-01	Beye shehui bineken guochi-ngi zhishu-ye-n ga-ra chuanli bishin, eri zhishu-du, eri shuanyan-du oo-ro chuanli-shel bineken zhiyu-shol chongfen shishan-a.
29-00	Zhuur zhaan yeyii-ki
29-01	Beye shehui-du zheren bishin, shehui-du geshing-mi zhiyu bineken chongfen fazhan-a baka-ra.
29-02	Beye chuanli-ye-wi bineken zhiyu-yo-wi shingshi, falü-du shanzhi-w, eri shanzhi-ye choding-e mudi beye-ngi chuanli-ye-n bineken zhiyu-yo-n chongfen zhunzhong bozheng bishin, minzhu shehui-du dode, gonggong zhishu bineken pubian fuli-ngi zhengdang shuyo-yo shiying bishin.
29-03	Eril chuanli-we bineken zhiyu-wo shingshi, renhe chingkuang-du bambur Lianhe Gurun-ngi zhongzhi bineken yuanzhe-ye-n e-weibei-yi-n.
30-00	Ilan zhaa-ki
30-01	Eri shuanyan-ngi renhe tiaowen-in, renhe gurun, chituan bineken beye eri shuanyan-du oo-ro chuanli-ye bineken zhiyu-yo pohuay-a chuanli bishi cheshi e-oo-yi-n.
