00-00	Universal Declaration of Human Rights
00-01	Dem recognise say human beings get dignity wey dey with us and rights wey go make all of us friendly with each other, so tay, we all come be like one family. Na dis be di foundation of our freedom and peace wey de for di whole world.
00-02	Since e be like say, dem no see our right as any ting and dem come de do dem as dem like, dis come make people de behave like say dem be animals, dis come vex everibodi, so tay, dem come talk say everi human being must go get their freedom, wey go make dem talk any tink say naim be di right ting and wen dem de talk, dem no go fear to talk. Na dis be di beta ting wey all common people want.
00-03	Since e de important say if man no go by force fight well, well, say for sake dem de oppress am or dem de treat am harshly, then de law of di society must to protect di human rights wey human beings get, e de important say make all di kontris for dis world make sure say dem be friends.
00-04	Since dem say all di people for di meeting of di whole world talk say dem know and sure say we human beings get our right kampe, as we suppose to get, and say man and woman get equal right. Dem say all of dem don decide say dem go make sure say dem helep to see say progress de for all di kontris and beta beta life de too for everibodi.
00-05	Since dem say all di kontris wey be members for di meeting of di whole world talk say dem go make sure say, dem go helep each other to see say dem respect and see say di right and freedom wey we get as human beings, we get dem.
00-06	Since dem say e good make everibodi understand wetin dis right and freedom be, so tay, all di tings dem talk about human rights, people go de aware of am.
00-07	Now therefore, dis meeting now come talk say dis universal declaration of human rights talk say naim be di achievement wey all di people and all di nations of di world achieve, sake for say, everi person and everi ting wey dey for our society must to know all di rights and make dem keep am for their mind everi time. Dem must to make sure say dem teach everibodi dis rights and dem must know am, so tay, dem go helep promote di respect for dis rights and freedom of all di people of di kontri dem de control.
01-00	Article 1
01-01	Everi human being, naim dem born free and dem de equal for dignity and di rights wey we get, as human beings, God come give us beta sense wey we de take tink well, well and beta mind, sake for dis, we must to treat each other like broda and sister.
02-00	Article 2
02-01	Everi one naim de entitle to all di rights and freedom wey dey for dis small book, no mata di kind language wey person dey speak, di kontri wey one come from, di kind religion wey one de do, di kind ting wey one dey tink, di kind person wey one be, di how dem take born one, di kind place wey one come from, di kind propati wey one get or weda you be man or woman.
02-02	Dem come talk again say, dem no go look at di way, wey dem dey rule dat kontri or how dem de control di kontri or di kind position of di kontri wey we belong, weda na free kontri, say no be anoda people from anoda kontri de rule there or weda na dem dey rule demself or weda dem get one ogbonke kontri we dey rule dem.
03-00	Article 3
03-01	Everi one naim get right to live, get right to do as e like and right to see say im life safe for where e dey.
04-00	Article 4
04-01	Dem talk say nobodi must to hold di other one like slave or make am boi boi. Say dem no go gree at all, at all, no mata how e be.
05-00	Article 5
05-01	Dem no go gree make anoda person moles anoda one, make e treat am like say na animal or make person punish anoda person as e like.
06-00	Article 6
06-01	Everi one na im get right say make dem know am anywhere say na person, sef, as a person before di law.
07-00	Article 7
07-01	Everi one na im be, di same for law, no mata wetin di person be or di kind person e be. Di law of our kontri must to make sure say notin happen to am. Di law must to make sure say dem treat everibodi di same, so tay all dis tings we de talk about human right, nobodi go against am, or gada people to go against am.
08-00	Article 8
08-01	Everi one naim get right say make dem give am good judgement if dem bring di person before people wey go de judge am, sake for say e do someting wey e be say di right wey e be im own, e violate am.
09-00	Article 9
09-01	Dem must not arrest anybodi as dem like or lock am up for one cell or place, so tay nobodi go see am, or force am make e comot im kontri go live for anoda kontri for fear say dem go arrest or kill am for im own kontri.
10-00	Article 10
10-01	Everi one naim de entitle to say wen e face people wey go judge am, dem must to make sure say mago mago no de wen dem de do im case, if dem say e do something wey e bad.
11-00	Article 11
