00-00	اعلامیه جهانی حقوق بشر
00-01	از آنجا که شناسائی حیثیت ذاتی کلیهٔ اعضای خانواده بشری و حقوق یکسان و انتقال ناپذیر آنان اساس آزادی و عدالت و صلح را در جهان تشکیل میدهد،
00-02	از آنجا که عدم شناسائی و تحقیر حقوق بشر منتهی به اعمال وحشیانه‌ای گردیده است که روح بشریت را بعصیان واداشته و ظهور دنیائی که در آن افراد بشر در بیان و عقیده آزاد و از ترس و فقر فارغ باشند بعنوان بالاترین آمال بشر اعلام شده است،
00-03	از آنجا که اساساً حقوق انسانی را باید با اجرای قانون حمایت کرد تا بشر بعنوان آخرین علاج بقیام بر ضد ظلم و فشار مجبور نگردد،
00-04	از آنجا که اساساً لازم است توسعه روابط دوستانه بین ملل را مورد تشویق قرار داد،
00-05	از آنجا که مردم ملل متحد ایمان خود را بحقوق اساسی بشر و مقام و ارزش فرد انسانی و تساوی حقوق مرد و زن مجدداً در منشور اعلام کرده‌اند و تصمیم راسخ گرفته‌اند که به پیشرفت اجتماعی کمک کنند و در محیطی آزادتر وضع زندگی بهتری بوجود آورند،
00-06	از آنجا که دول عضو متعهد شده‌اند که احترام جهانی و رعایت واقعی حقوق بشر و آزادی‌های اساسی را با همکاری سازمان ملل متحد تأمین کنند،
00-07	از آنجا که حسن تفاهم مشترکی نسبت باین حقوق و آزادیها برای اجرای کامل این تعهد کمال اهمیت را دارد،
00-08	مجمع عمومی این اعلامیه جهانی حقوق بشر را آرمان مشترکی برای تمام مردم و کلیهٔ ملل اعلام میکند تا جمیع افراد و همهٔ ارکان اجتماع این اعلامیه را دائما در مد نظر داشته باشند و مجاهدت کنند که بوسیلهٔ تعلیم و تربیت احترام این حقوق و آزادیها توسعه یابد و با تدابیر تدریجی ملی و بین‌المللی، شناسائی و اجرای واقعی و حیاتی آنها، چه در میان خود ملل عضو و چه در بین مردم کشورهائی که در قلمرو آنها میباشند، تأمین گردد.
01-00	مادهٔ اول
01-01	تمام افراد بشر آزاد بدنیا میایند و از لحاظ حیثیت و حقوق با هم برابرند. همه دارای عقل و وجدان میباشند و باید نسبت بیکدیگر با روح برادری رفتار کنند.
02-00	مادهٔ دوم
02-01	هر کس میتواند بدون هیچگونه تمایز مخصوصا از حیث نژاد، رنگ، جنس، زبان، مذهب، عقیدهٔ سیاسی یا هر عقیده دیگر و همچنین ملیت، وضع اجتماعی، ثروت، ولادت یا هر موقعیت دیگر، از تمام حقوق و کلیهٔ آزادی‌هائیکه در اعلامیه ذکر حاضر شده است، بهره‌مند گردد.
02-02	بعلاوه هیچ تبعیضی بعمل نخواهد آمد که مبتنی بر وضع سیاسی، اداری و قضائی یا بین‌المللی کشور یا سرزمینی باشد که شخص بآن تعلق دارد، خواه این کشور مستقل، تحت قیومیت یا غیر خودمختار بوده یا حاکمیت آن بشکلی محدود شده باشد.
03-00	مادهٔ سوم
03-01	هر کس حق زندگی، آزادی و امنیت شخصی دارد.
04-00	مادهٔ چهارم
04-01	احدی را نمیتوان در بردگی نگاهداشت و داد و ستد بردگان بهر شکلی که باشد ممنوع است.
05-00	مادهٔ پنجم
05-01	احدی را نمیتوان تحت شکنجه یا مجازات یا رفتاری قرار داد که ظالمانه و یا بر خلاف انسانیت و شئون بشری یا موهن باشد.
06-00	مادهٔ ششم
06-01	هر کس حق دارد که شخصیت حقوقی او در همه‌جا بعنوان یک انسان در مقابل قانون شناخته شود.
07-00	مادهٔ هفتم
07-01	همه در برابر قانون مساوی هستند و حق دارند بدون تبعیض و بالسویه از حمایت قانون برخوردار شوند. همه حق دارند در مقابل هر تبعیضی که ناقض اعلامیه حاضر باشد و بر علیه هر تحریکی که برای چنین تبعیضی بعمل آید بطور تساوی از حمایت قانون بهره‌مند شوند.
08-00	مادهٔ هشتم
08-01	در برابر اعمالی که حقوق اساسی فرد را مورد تجاوز قرار بدهد و آن حقوق بوسیله قانون اساسی یا قانون دیگری برای او شناخته‌شده باشد، هر کس حق رجوع مؤثر بمحاکم ملیِ صالحه دارد.
09-00	مادهٔ نهم
09-01	احدی نمیتواند خودسرانه توقیف ‐ حبس یا تبعید بشود.
10-00	مادهٔ دهم
10-01	هر کس با مساوات کامل حق دارد که دعوایش بوسیله دادگاه مستقل و بی‌طرفی، منصفانه و علناً رسیدگی بشود و چنین دادگاهی درباره حقوق و الزامات او یا هر اتهام جزائی که باو توجه پیدا کرده باشد إتخاذ تصمیم بنماید.
11-00	مادهٔ یازدهم
11-01	هر کس که به بزه‌کاری متهم شده باشد بی‌گناه محسوب خواهد شد تا وقتیکه در جریان یک دعوای عمومی که در آن کلیه تضمین‌های لازم برای دفاع او تأمین شده باشد تقصیر او قانوناً محرز گردد.
11-02	هیچکس برای انجام یا عدم انجام عملی که در موقع ارتکاب، آن عمل بموجب حقوق ملی یا بین‌المللی جرم شناخته نمیشده است محکوم نخواهد شد. بهمین طریق هیچ مجازاتی شدیدتر از آنچه که در موقع ارتکاب جرم بدان تعلق میگرفت درباره احدی اعمال نخواهد شد.
12-00	مادهٔ دوازدهم
12-01	احدی در زندگی خصوصی، امور خانوادگی، اقامتگاه یا مکاتبات خود، نباید مورد مداخله‌های خودسرانه واقع شود و شرافت و اسم و رسمش نباید مورد حمله قرار گیرد. هر کس حق دارد که در مقابل اینگونه مداخلات و حملات مورد حمایت قانون قرار گیرد.
13-00	مادهٔ سیزدهم
13-01	هر کس حق دارد که در داخل هر کشوری آزادانه عبور و مرور کند و محل اقامت خود را انتخاب نماید.
13-02	هر کس حق دارد هر کشوری و از جمله کشور خود را ترک کند یا به کشور خود باز گردد.
14-00	مادهٔ چهاردهم
14-01	هر کس حق دارد در برابر تعقیب شکنجه و آزار پناهگاهی جستجو کند و در کشورهای دیگر پناه اختیار کند.
14-02	در موردی که تعقیب واقعاً مبتنی بجرم عمومی و غیرسیاسی یا رفتارهائی مخالف با اصول و مقاصد ملل متحد باشد، نمیتوان از این حق استفاده نمود.
15-00	مادهٔ پانزدهم
15-01	هر کس حق دارد که دارای تابعیت باشد.
15-02	احدی را نمی‌توان خودسرانه از تابعیت خود یا از حق تغییر تابعیت محروم کرد.
16-00	مادهٔ شانزدهم
16-01	هر زن و مرد بالغی حق دارند بدون هیچگونه محدودیت از نظر نژاد، ملیت، تابعیت یا مذهب با همدیگر زناشوئی کنند و تشکیل خانواده دهند. در تمام مدت زناشوئی و هنگام انحلال آن، زن و شوهر در کلیه امور مربوط بازدواج، دارای حقوق مساوی میباشند.
16-02	ازدواج باید با رضایت کامل و آزادانهٔ زن و مرد واقع شود.
16-03	خانواده رکن طبیعی و اساسی اجتماع است و حق دارد از حمایت جامعه و دولت بهره‌مند شود.
17-00	مادهٔ هفدهم
17-01	هر شخص منفردا یا بطور اجتماعی حق مالکیت دارد.
17-02	احدی را نمیتوان خودسرانه از حق مالکیت محروم نمود.
18-00	مادهٔ هیجدهم
18-01	هر کس حق دارد که از آزادی فکر، وجدان و مذهب بهره‌مند شود. این حق متضمن آزادی تغییر مذهب یا عقیده و همچنین متضمن آزادی اظهار عقیده و ایمان میباشد و نیز شامل تعلیمات مذهبی و اجرای مراسم دینی است. هر کس میتواند از این حقوق منفرداً یا مجتمعاً بطور خصوصی یا بطور عمومی برخوردار باشد.
19-00	مادهٔ نوزدهم
19-01	هر کس حق آزادی عقیده و بیان دارد و حق مزبور شامل آنست که از داشتن عقاید خود بیم و اضطرابی نداشته باشد و در کسب اطلاعات و افکار و در اخذ و انتشار آن بتمام وسائل ممکن و بدون ملاحظات مرزی آزاد باشد.
20-00	مادهٔ بیستم
20-01	هر کس حق دارد آزادانه مجامع و جمعیت‌های مسالمت‌آمیز تشکیل دهد.
20-02	هیچکس را نمیتوان مجبور بشرکت در اجتماعی کرد.
21-00	مادهٔ بیست و یکم
21-01	هر کس حق دارد در اداره امور عمومی کشور خود، خواه مستقیما و خواه با وساطت نمایندگانی که آزادانه انتخاب شده باشند شرکت جوید.
21-02	هر کس حق دارد با تساوی شرایط، بمشاغل عمومی کشور خود نائل آید.
21-03	اساس و منشأ قدرت حکومت، ارادهٔ مردم است، این اراده باید بوسیله انتخاباتی ابراز گردد که از روی صداقت و بطور ادواری صورت پذیرد. انتخابات باید عمومی و با رعایت مساوات باشد و با رأی مخفی یا طریقه‌ای نظیر آن انجام گیرد که آزادی رأی را تأمین نماید.
22-00	مادهٔ بیست و دوم
22-01	هر کس بعنوان عضو اجتماع حق امنیت اجتماعی دارد و مجاز است بوسیله مساعی ملی و همکاری بین‌المللی حقوق اقتصادی و اجتماعی و فرهنگی خود را که لازمهٔ مقام و نمود آزادانه شخصیت او است با رعایت تشکیلات و منابع هر کشور بدست آورد.
23-00	مادهٔ بیست و سوم
23-01	هر کس حق دارد کار کند، کار خود را آزادانه انتخاب نماید، شرایط منصفانه و رضایت بخشی برای کار خواستار باشد و در مقابل بیکاری مورد حمایت قرار گیرد.
23-02	همه حق دارند که بدون هیچ تبعیضی، در مقابل کار مساوی، اجرت مساوی دریافت دارند.
23-03	هر کس که کار میکند بمزد منصفانه و رضایت بخشی ذیحق میشود که زندگی او و خانواده‌اش را موافق شئون انسانی تأمین کند و آنرا در صورت لزوم با هر نوع وسائل دیگر حمایت اجتماعی تکمیل نماید.
23-04	هر کس حق دارد که برای دفاع از منافع خود با دیگران اتحادیه تشکیل دهد و در اتحادیه‌ها نیز شرکت کند.
24-00	مادهٔ بیست و چهارم
24-01	هر کس حق استراحت و فراغت و تفریح دارد و بخصوص بمحدودیت معقول ساعات کار و مرخصی‌های ادواری با اخذ حقوق ذیحق میباشد.
25-00	مادهٔ بیست و پنجم
25-01	هر کس حق دارد که سطح زندگانی و سلامتی و رفاه خود و خانواده‌اش را از حیث خوراک و مسکن و مراقبتهای طبی و خدمات لازم اجتماعی تأمین کند و همچنین حق دارد که در مواقع بیکاری، بیماری، نقص اعضاء، بیوگی، پیری یا در تمام موارد دیگری که بعلل خارج از اردهٔ انسان وسائل  امرار معاش از دست رفته باشد از شرایط آبرومندانه زندگی برخوردار شود.
25-02	مادران و کودکان حق دارند که از کمک و مراقبت مخصوصی بهره‌مند شوند. کودکان چه بر اثر ازدواج و چه بدون ازدواج بدنیا آمده باشند، حق دارند که همه از یکنوع حمایت اجتماعی برخوردار شوند.
26-00	مادهٔ بیست و ششم
26-01	هر کس حق دارد که از آموزش و پرورش بهره‌مند شود. آموزش و پرورش لااقل تا حدودی که مربوط بتعلیمات ابتدائی و اساسی است باید مجانی باشد. آموزش ابتدائی اجباری است. آموزش حرفه‌ای باید با شرایط تساوی کامل بروی همه باز باشد تا همه بنا باستعداد خود بتوانند از آن بهره‌مند گردند.
