00-00	POASON PWUNG EN KAWEID TOHN WEIN SAMPA KAROS
00-01	Pwehki eh sansalehr oh dehde me mie uhdahn kesempwelen de pwungin tohn sampa karos me duwepenehte oh ih poason en mour saledek, pwung oh meleilei nan sampa,
00-02	Pwehki seu petehkpen aramas de kasohwe kesempwelen aramas oh arail pwung me kahrehdahr wiewia me sohte konehng ah ngeder oh kawelahr mour mwahu en aramas, oh pil ansou mwahu oh konehng eh leledohr me aramas akan konehng ren perenki saledek en kosoia de rapahki arail pwung, oh arail saledek sang perki mehkot de masak de pil anahn akan me kosondier en wia irair keieu oh ileile nan en aramas sohte lipillipil arail mour,
00-03	Pwehki eh ininin kesempwal mehlel pwe ma aramas sohte pahn itoitieng ren medemedewe pei de mahwin, pwehki arail solahr itar de kakehng kanengamah iong lokolok pahn kaun suwed de nan ansou suwed, ihme karheda me en aramas eh mour oh pwung pahn mihmihte pahn epwelpen kosonned akan,
00-04	Pwehki eh kesempwal kitail en ngongki kekeirdahn nanpwung mwahu penehn tohn sampa kan,
00-05	Pwehki tohn tiepenehn sampa arail kosonehdier nan "Charter en United Nations" arail pwoson poahson en mour mwahu en aramas oh arail pwung kan, duwen ksempwelen aramas oh en aramas arail pwung eh pahrek, ohl de lih irail kan me towehda pwihn en tiepenehn sampa "United Nations" kosonehdier ren kakairada, kalaudehla oh kamwahwihla roson en aramas me pid mour mwahu oh saledek laud,
00-06	Pwehki wehi me towehda pwihn en "United Nations" arail inoukihdahr ren alehdi, pahn sewesepen "United Nations", sohng kan me pahn kakehlahda poahson en kawawih oh kapwaiada mour pwung oh saledek mehlel en aramas,
00-07	Pwehki nin duwen eh dehdehiong karos duwen mour pwung oh saledek ara nohn kesempwal oh ih sohng pwukat me pahn kamarainihdi karos inou wet,
00-08	Ihme Kahrehda,
00-09	PWIHN EN TIEPENEHN SAMPA KOSONEHDIER ME
00-10	POASON PWUNG EN KAWEID TOHN WEIN SAMPA KAROS duen eh dehde mehlel ong karos me tepin keirda, me aramas karos oh wein sampa karos uhdahn pahn ahniki oh ehu ansou ma korusie oh songen spwihn en aramas akan pahn tamataman ansou karos poason wet oh ngoangki de sukuhlki ong karos kekeirdahn sohng en pwung oh saledek pwukat ni irair en keirda, nan wehi kan oh nan pwungen wehikan, pwehn kak alehdt petehk parail rehn karos me towehda pwihn wet oh rehn irail tohn Kahn Sapwen Kohwa kan me mi pahn arail epwel oh manaman.
01-00	Iralaud 1.
01-01	Tohn sampa karos ipwiwei nan saledek oh duwepenehte nan arail wasa oh arail pwung. Arail marain oh pehm ih utakerail kahrehda korusie konehng sawaspene nin duwen pirien ehu.
02-00	Iralaud 2.
02-01	Korusie pai ki songen pwung oh saledek seu lipilipil me kosondier nan poason wet, pwilidak en wasa de mwomwen kilin aramas, lih de ohl, lokaiahn aramas, en aramas eh lamalam, Piros de Kadilik, de seu lipilipil, mwomwen "Government" seu lipilipil de medemedewehn aramas, tohn songen wehi de pwihn karos, semwehmwe de kepwehpwe, ahnek dipwisou de soh, oh kedeudok en emen emen oh pil sohng teikan sell lipilipil.
03-00	Iralaud 3.
03-01	Aramas karos ahniki de paiki pwungin mour, pwungin saledek oh pil pwungin saledek sang apwal en paliwar.
04-00	Iralaud 4.
04-01	Sohte aramas emen kak wia lidu men de doadoahk ni mwomwen lidu men; lidu de pesineski de pwainda lidukan uhong poason wet oh pil pahn inepwihdi ni soangen mwohmw karos.
05-00	Iralaud 5.
05-01	Sohte me pahn mi pahn kalokolok en mahn de kamakam duehla mahn.
06-00	Iralaud 6.
06-01	Aramas karos ahniki de paiki pwungin kawawih wasa karos pahn menemenen Kosonned.
07-00	Iralaud 7.
